# time  chi_mean_R8  chi_min_R8  chi_max_R8  lapse_mean_R8  lapse_min_R8  lapse_max_R8  K_mean_R8  K_min_R8  K_max_R8  chi_mean_R16  chi_min_R16  chi_max_R16  lapse_mean_R16  lapse_min_R16  lapse_max_R16  K_mean_R16  K_min_R16  K_max_R16
0.0000000000000000e+00  1.0000059202839011e+00  9.9264977211434868e-01  1.0073940911320662e+00  9.9999605289828719e-01  9.9594531167825118e-01  1.0040564874484976e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0000027121930539e+00  9.9870718667718050e-01  1.0013013114989651e+00  9.9999723740770730e-01  9.9935576224323674e-01  1.0006386832137766e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
8.0000000000000004e-01  1.0000059243477455e+00  9.9264893724982572e-01  1.0073940750468577e+00  9.9999604309194479e-01  9.9594317100487118e-01  1.0040615978910719e+00  -2.6115957523294126e-08  -3.6201443239468398e-05  3.8317587913934494e-05  1.0000027111452481e+00  9.9870721995567235e-01  1.0013012740782665e+00  9.9999724054529493e-01  9.9935573444911852e-01  1.0006387241882828e+00  -3.9680999468135869e-09  -1.1767528715315605e-07  1.0260703979141037e-07
1.6000000000000001e+00  1.0000058515642414e+00  9.9264441570621809e-01  1.0073980374382965e+00  9.9999626091325333e-01  9.9595329968725199e-01  1.0040576270178379e+00  -1.5323305797427657e-07  -2.6272702912172704e-05  3.0985218078351319e-05  1.0000027079479774e+00  9.9870727593383035e-01  1.0013012029403681e+00  9.9999725012622065e-01  9.9935562741013617e-01  1.0006388669603499e+00  -8.0195523270473233e-09  -1.3419706273409768e-07  1.0051384339946470e-07
2.3999999999999901e+00  1.0000057055402709e+00  9.9263871812783555e-01  1.0074089510068560e+00  9.9999669440133232e-01  9.9598319415652958e-01  1.0040201820493078e+00  -2.8271320031423407e-07  -1.4321854520692061e-05  1.3290089949789316e-05  1.0000027021469462e+00  9.9870755347677675e-01  1.0013008997367054e+00  9.9999726698539582e-01  9.9935510394703664e-01  1.0006394655693645e+00  -1.3127600116347173e-08  -4.8167624756269775e-07  4.0146344417615447e-07
3.1999999999999802e+00  1.0000055738760483e+00  9.9265494147306998e-01  1.0073942358179158e+00  9.9999716811879580e-01  9.9596138188585726e-01  1.0040358827846521e+00  -2.1952407439096439e-07  -1.2230193216918651e-05  1.3821872252010903e-05  1.0000026955190167e+00  9.9870700514750221e-01  1.0013014931879767e+00  9.9999728847104064e-01  9.9935608204899484e-01  1.0006384012399714e+00  -1.5413389679320591e-08  -1.3557847487068549e-06  1.2472176151821974e-06
3.9999999999999600e+00  1.0000056359371030e+00  9.9265177002827831e-01  1.0074021561768831e+00  9.9999727369339397e-01  9.9596146471900693e-01  1.0040214688263838e+00  1.6646906242359770e-07  -1.0375957657532183e-05  8.9781688176534712e-06  1.0000026703078779e+00  9.9871122760579012e-01  1.0012961078747813e+00  9.9999734509013005e-01  9.9934829741659492e-01  1.0006485008654415e+00  -6.2276910590903856e-08  -8.4545621675299944e-06  7.1981949497282367e-06
4.7999999999999403e+00  1.0000058492747290e+00  9.9264933599797978e-01  1.0074046883946848e+00  9.9999690046410161e-01  9.9596389480113623e-01  1.0040089195698230e+00  2.1742509825540506e-07  -1.0164367762380400e-05  1.3636554568360173e-05  1.0000026123365673e+00  9.9871260816719032e-01  1.0012952975614950e+00  9.9999748048514481e-01  9.9934267102797303e-01  1.0006537063812972e+00  -9.9057872022264630e-08  -9.0255119351103388e-06  7.3192094719079858e-06
5.5999999999999304e+00  1.0000059482257306e+00  9.9265768088150652e-01  1.0073842710199414e+00  9.9999653081078299e-01  9.9594726454506421e-01  1.0040366437320740e+00  3.4095671254689359e-07  -2.8284604960245519e-05  1.8618651529702043e-05  1.0000025601385902e+00  9.9871057684194986e-01  1.0012973453722609e+00  9.9999763149955478e-01  9.9934470796607766e-01  1.0006516912236052e+00  -8.4395494960375327e-08  -7.9806255264625096e-06  6.5674436511592982e-06
6.3999999999999098e+00  1.0000059305245506e+00  9.9265963372281518e-01  1.0073740946962384e+00  9.9999620807174927e-01  9.9593070543069573e-01  1.0040676565983071e+00  1.6968190216971233e-07  -3.3907235553667770e-05  2.6038252163954181e-05  1.0000025064046849e+00  9.9871006809146445e-01  1.0012974507000074e+00  9.9999778938367001e-01  9.9934551177106778e-01  1.0006517105667765e+00  -1.2630911919898263e-07  -6.9240249931969263e-06  5.7701958447791085e-06
7.1999999999998900e+00  1.0000059204229090e+00  9.9265658508769161e-01  1.0073759962345525e+00  9.9999589198915806e-01  9.9593374490368480e-01  1.0040726971428591e+00  2.3305647913099122e-07  -2.0718194610647730e-05  1.4928039428426781e-05  1.0000024148240261e+00  9.9870989914602948e-01  1.0012973967241019e+00  9.9999803036995605e-01  9.9934603939217337e-01  1.0006520180730423e+00  -1.7486086969223121e-07  -5.9303624338982772e-06  5.1346091222147057e-06
