# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
0.0000000000000000e+00  7.9472465837496467e+00  2.4551160005931646e-02  6.6419753243758652e+00  2.7556671788255666e-01  3.1920973771883748e+01  3.2000000000000007e+01  3.2000000000000014e+01  4.7999999999999998e+00  7.9470550931512065e+00  6.6422425766956401e+00  2.7634445236644395e-01  4.3375355098767931e+00  7.4559277604039853e-01  4.4068764575965975e+00  7.3603051322509361e-01  4.9206580087864488e-01  9.8961493962662328e-01
8.0000000000000004e-01  7.9533919210226891e+00  2.4619320018679430e-02  6.6419975462534158e+00  2.7556234073878128e-01  3.1920384660147402e+01  3.2000000000000256e+01  3.2000000000000000e+01  4.7999999999999998e+00  7.9531938007267051e+00  6.6422693221905824e+00  2.7633728052439971e-01  4.3377548634011287e+00  7.4557066672940653e-01  4.4067498707515886e+00  7.3606352438801015e-01  4.9200327152702800e-01  9.8961458336376873e-01
1.6000000000000001e+00  7.9596643046783502e+00  2.4560048147910352e-02  6.6420560182754009e+00  2.7557413018106519e-01  3.1919593994527798e+01  3.2000000000002565e+01  3.1999999999999993e+01  4.7999999999999998e+00  7.9594539483648088e+00  6.6423349828075269e+00  2.7478135471882092e-01  4.3381880766573326e+00  7.4558194611973660e-01  4.4065370401758361e+00  7.3616809748990486e-01  4.9191685953551589e-01  9.8962702709429529e-01
2.3999999999999901e+00  7.9661393488885999e+00  2.4491322089481283e-02  6.6420814924389076e+00  2.7558337404483313e-01  3.1920113457937806e+01  3.2000000000007589e+01  3.1999999999999986e+01  4.7999999999999998e+00  7.9659176492461512e+00  6.6423611305751535e+00  2.7479244775127903e-01  4.3384936284046240e+00  7.4556149428107432e-01  4.4063192568317637e+00  7.3621680699544290e-01  4.9196322890569300e-01  9.8964144962121803e-01
3.1999999999999802e+00  7.9725495919562910e+00  2.4588541396969327e-02  6.6420919669559169e+00  2.7557296525226238e-01  3.1922391942809842e+01  3.2000000000014289e+01  3.1999999999999961e+01  4.7999999999999998e+00  7.9723268453282223e+00  6.6423618584339517e+00  2.7634579589634706e-01  4.3388631678316436e+00  7.4517614145503597e-01  4.4059612149243739e+00  7.3615779054946584e-01  4.9218630646427225e-01  9.8960485822780653e-01
3.9999999999999600e+00  7.9786808817200479e+00  2.4610770789963710e-02  6.6421188804371036e+00  2.7395550238771244e-01  3.1925498442054383e+01  3.2000000000023931e+01  3.1999999999999925e+01  4.7999999999999998e+00  7.9784707099007957e+00  6.6423729795760327e+00  2.7595238436215452e-01  4.3396235375878067e+00  7.4472558803171385e-01  4.4052727482889420e+00  7.3644751681046028e-01  4.9248558549774119e-01  9.8958356578799289e-01
4.7999999999999403e+00  7.9841773229882929e+00  2.4547770300484630e-02  6.6421679926145627e+00  2.7394831775188344e-01  3.1928000622428350e+01  3.2000000000029885e+01  3.1999999999999858e+01  4.7999999999999998e+00  7.9839861247798378e+00  6.6424092810433644e+00  2.7594092420569982e-01  4.3407918836173227e+00  7.4442470163958252e-01  4.4042804298914344e+00  7.3697733587343783e-01  4.9271249116546428e-01  9.8967113647746541e-01
5.5999999999999304e+00  7.9893127350440256e+00  2.4511202147002122e-02  6.6421363239490372e+00  2.7395307093282434e-01  3.1929533455618916e+01  3.2000000000013777e+01  3.1999999999999719e+01  4.7999999999999998e+00  7.9891372899191371e+00  6.6423716393696797e+00  2.7594295448450795e-01  4.3419499306442164e+00  7.4439017746671288e-01  4.4030750672014394e+00  7.3744203022454413e-01  4.9283350081813043e-01  9.8965560519395346e-01
6.3999999999999098e+00  7.9949405226354022e+00  2.4529424167125554e-02  6.6419600226891076e+00  2.7397694674824830e-01  3.1931283142081838e+01  3.1999999999962135e+01  3.1999999999999435e+01  4.7999999999999998e+00  7.9947749561374462e+00  6.6421903538978491e+00  2.7539090816817269e-01  4.3428778024883750e+00  7.4430771760832160e-01  4.4016542416476589e+00  7.3754876185835394e-01  4.9297302196062315e-01  9.8966937679434674e-01
7.1999999999998900e+00  8.0013812643439870e+00  2.4559929005277505e-02  6.6417618630013360e+00  2.7256473955311239e-01  3.1934274421903670e+01  3.1999999999873147e+01  3.1999999999998863e+01  4.7999999999999998e+00  8.0012226477493229e+00  6.6419820081701344e+00  2.7542219406037965e-01  4.3440815018261620e+00  7.4420293568503537e-01  4.3998903998853054e+00  7.3768882032855998e-01  4.9323147845555210e-01  9.8967947493039554e-01
