# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  7.1351385724804626e-12  2.8692197295397587e-12  4.0843402483412961e-01  2.6337360993365184e+00  8.9158148883328747e-01
8.0000000000000004e-01  4.9867134556295100e-12  2.2049367680635819e-12  4.1229818995881301e-01  2.6491927598352518e+00  8.7667164717631263e-01
1.6000000000000001e+00  5.9641219286728178e-12  2.2667953629918790e-12  3.5279602784825081e-01  2.4111841113930033e+00  8.9105256074005301e-01
2.3999999999999901e+00  5.8310740680306500e-12  2.1024550983581962e-12  2.7737996124435010e-01  2.1095198449774006e+00  8.8538434580297543e-01
3.1999999999999802e+00  6.7346390163528695e-12  2.2216650195551403e-12  2.7471126584201710e-01  2.0988450633680684e+00  9.1424082760742265e-01
3.9999999999999600e+00  9.4084333513511527e-12  3.9461976785804551e-12  2.7836266246786001e-01  2.1134506498714400e+00  9.1147631077303626e-01
4.7999999999999403e+00  1.2158530612032948e-11  6.0755472944675955e-12  5.2335629877665402e-01  3.0934251951066161e+00  9.3491330516172921e-01
5.5999999999999304e+00  1.7005573517286448e-11  1.0183896298475360e-11  4.4675375469186257e-01  2.7870150187674501e+00  9.3449114503290431e-01
6.3999999999999098e+00  2.2573203690926731e-11  1.4310347280248402e-11  4.9036396855270076e-01  2.9614558742108033e+00  9.2853356060652281e-01
7.1999999999998900e+00  2.2492376831439310e-11  1.3458706555454738e-11  6.3186359238854717e-01  3.5274543695541887e+00  8.6982910170608552e-01
7.9999999999998703e+00  2.1045679877359438e-11  1.3036375601952309e-11  6.7834363981295898e-01  3.7133745592518359e+00  7.7798452785503214e-01
8.7999999999998604e+00  1.5069247465148843e-11  8.3393134135061468e-12  6.1386025226524932e-01  3.4554410090609973e+00  7.0950532302782410e-01
9.5999999999998398e+00  1.2692853752142389e-11  6.8329735419279036e-12  6.4119284199524706e-01  3.5647713679809883e+00  4.2589154287587810e-01
1.0399999999999800e+01  1.2767157257406467e-11  6.8895822776800098e-12  6.3612391106980559e-01  3.5444956442792224e+00  3.4833105737058151e-01
1.1199999999999800e+01  1.5242749039761048e-11  8.3962630179355611e-12  6.3683614399858379e-01  3.5473445759943352e+00  1.6767449985125946e-01
1.1999999999999799e+01  1.9783916875489467e-11  1.1965260807213935e-11  6.5471154155179634e-01  3.6188461662071854e+00  2.8327346949134476e-02
1.2799999999999800e+01  2.7506563677225418e-11  1.7800154435411109e-11  6.7838674397767718e-01  3.7135469759107087e+00  9.7095911418121711e-02
1.3599999999999801e+01  3.6363417442417085e-11  2.4215969962589421e-11  6.8948120349995179e-01  3.7579248139998072e+00  1.3420411511912800e-01
1.4399999999999700e+01  4.1357780140882660e-11  2.7896995629348691e-11  6.9927374693186606e-01  3.7970949877274642e+00  8.8707059475848740e-02
1.5199999999999701e+01  4.2657414192221353e-11  2.8860881991351028e-11  7.0220413507000456e-01  3.8088165402800183e+00  2.5175153955088580e-02
1.5999999999999700e+01  4.2695436698555126e-11  2.8794692781112862e-11  7.0700716937994246e-01  3.8280286775197698e+00  1.7454364562985755e-01
1.6799999999999802e+01  4.5593052223644944e-11  3.0916680523991697e-11  7.1615743309917634e-01  3.8646297323967054e+00  5.2438581490097103e-01
1.7600000000000001e+01  5.1325943512221380e-11  3.5139352284906964e-11  6.9630248805654715e-01  3.7852099522261886e+00  9.0705709770096143e-01
1.8400000000000102e+01  5.9612998305845250e-11  4.1200774254252758e-11  6.7175367383879847e-01  3.6870146953551939e+00  9.2430745725796304e-01
1.9200000000000198e+01  6.8921427225172246e-11  4.8078770207674935e-11  7.1001155617229039e-01  3.8400462246891616e+00  8.3366826521947246e-01
2.0000000000000298e+01  7.8286159676455659e-11  5.5000949776014680e-11  6.9043863629859348e-01  3.7617545451943739e+00  9.4176110402258495e-01
2.0800000000000502e+01  8.9154718173686092e-11  6.3016953635625808e-11  7.2179068110468969e-01  3.8871627244187588e+00  8.8172804623266066e-01
2.1600000000000598e+01  1.0163728722980382e-10  7.2230919218984060e-11  7.2525231561912340e-01  3.9010092624764936e+00  7.8349625298799142e-01
2.2400000000000698e+01  1.1524203714409322e-10  8.2271312585657573e-11  7.2780893110890965e-01  3.9112357244356386e+00  7.6588490243044571e-01
