time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  9.5700508471633110e-09
8.0000000000000004e-01  -9.4381213612171510e-16  9.3919639767334966e-08
1.6000000000000001e+00  -4.5930583602978408e-16  3.8036950971874548e-08
2.3999999999999901e+00  7.2277668376113683e-16  2.1966400338439939e-07
3.1999999999999802e+00  9.0176423045487742e-16  3.1603484602557236e-07
3.9999999999999600e+00  -1.3280054500943636e-16  2.9125826386983568e-07
4.7999999999999403e+00  -8.7767110417024654e-16  2.2793677773675495e-07
5.5999999999999304e+00  -2.5233076319944753e-16  1.7942257685326449e-07
6.3999999999999098e+00  8.6233089000330946e-16  1.5226385190598767e-07
7.1999999999998900e+00  8.6667177617333575e-16  1.3604833615170924e-07
7.9999999999998703e+00  -2.5208393190348367e-16  1.2325779660065465e-07
8.7999999999998604e+00  -8.7521059980595961e-16  1.1156890194933515e-07
9.5999999999998398e+00  -8.1992817424593859e-17  1.0094839595321887e-07
1.0399999999999800e+01  9.9213727907596589e-16  9.1674276943450442e-08
1.1199999999999800e+01  7.8418125753208970e-16  8.3685467449331111e-08
1.1999999999999799e+01  -4.2568507952464900e-16  7.7079499293575963e-08
1.2799999999999800e+01  -8.6677376907103286e-16  7.3511936455594163e-08
1.3599999999999801e+01  1.0345737554431817e-16  7.0088593608104229e-08
1.4399999999999700e+01  1.3904078555397868e-15  7.0379333247183049e-08
1.5199999999999701e+01  5.4379032453967762e-16  6.7705210727191103e-08
1.5999999999999700e+01  1.6724398265084120e-16  6.4866211506652246e-08
1.6799999999999802e+01  7.5817507963123920e-15  6.3045973548531286e-08
1.7600000000000001e+01  3.9335158778229989e-14  6.1564250562407260e-08
1.8400000000000102e+01  9.1328279819614352e-14  6.1317433194116951e-08
1.9200000000000198e+01  5.3004353014254153e-13  5.9582530475458937e-08
2.0000000000000298e+01  9.4221653510396555e-13  5.5616652725569279e-08
2.0800000000000502e+01  3.1830338584540312e-12  5.6456597272564841e-08
2.1600000000000598e+01  7.9168995241647573e-12  6.2655180894863566e-08
2.2400000000000698e+01  1.3231373256866722e-11  6.4499167618795126e-08
2.3200000000000799e+01  3.2077065475053548e-11  7.2338380631736440e-08
2.4000000000000998e+01  4.0715218766818511e-11  8.1197480484776930e-08
2.4800000000001098e+01  8.7865533684531793e-11  8.4103861838733965e-08
2.5600000000001199e+01  8.1015110766620965e-11  7.7482821163998700e-08
2.6400000000001299e+01  1.7886201201320776e-10  8.7216618414418357e-08
2.7200000000001499e+01  1.4375068576821641e-10  1.0269377951385884e-07
2.8000000000001599e+01  2.7570902345761108e-10  1.0469762442666570e-07
2.8800000000001699e+01  2.9793577683435015e-10  1.0040772069242887e-07
2.9600000000001799e+01  3.8750126627439830e-10  9.6575488237723873e-08
3.0400000000001999e+01  5.5815640329710062e-10  9.2246198177571915e-08
3.1200000000002099e+01  5.4793071447696167e-10  9.2792476188783402e-08
3.2000000000002203e+01  6.7662544675378662e-10  8.9918878591463341e-08
3.2800000000002001e+01  6.4040057511817181e-10  7.9273372144484680e-08
3.3600000000001899e+01  6.1290451788301723e-10  8.6715200392560837e-08
3.4400000000001697e+01  6.8086482186784675e-10  7.7163492786763521e-08
3.5200000000001602e+01  7.4727548722630314e-10  6.3079465375413431e-08
3.6000000000001400e+01  8.7858422806565282e-10  5.6464743371417003e-08
3.6800000000001198e+01  9.9683702902038225e-10  4.6921670693350898e-08
3.7600000000001103e+01  1.0028570647941876e-09  5.0631610243618654e-08
3.8400000000000901e+01  9.1749367758874727e-10  5.3777965984767624e-08
3.9200000000000799e+01  8.3361263338239168e-10  4.7911628587014161e-08
4.0000000000000597e+01  6.1554598941461465e-10  4.7841730851446015e-08
4.0800000000000502e+01  6.5072704300961873e-10  4.2374230558962508e-08
4.1600000000000300e+01  7.0660760639337611e-10  4.8681619423557164e-08
4.2400000000000098e+01  5.6163988654378821e-10  4.8829741895312807e-08
4.3200000000000003e+01  8.9309450336436188e-10  4.8187674540598936e-08
4.3999999999999801e+01  6.7792228367550849e-10  5.2999340150203929e-08
4.4799999999999699e+01  6.9134570723647799e-10  5.0077829168548335e-08
4.5599999999999497e+01  7.4877157015901602e-10  5.5449420947191288e-08
4.6399999999999302e+01  5.8174376300297571e-10  5.5085287025759710e-08
4.7199999999999200e+01  6.8761568640502796e-10  5.5238343878135185e-08
4.7999999999998998e+01  5.3491887958541173e-10  6.2458582837419728e-08
4.8799999999998903e+01  5.6072880526373324e-10  6.0265648511639596e-08
4.9599999999998701e+01  6.0828725793186377e-10  5.8534098915350586e-08
5.0399999999998499e+01  5.4229406011462375e-10  6.4750018158741948e-08
5.1199999999998397e+01  5.3042478388594843e-10  6.1547282361993115e-08
5.1999999999998202e+01  7.1338244838702099e-10  7.5018524833075696e-08
5.2799999999998100e+01  5.8713574897628540e-10  6.4030811782572763e-08
5.3599999999997898e+01  4.7995416160490069e-10  7.0636820959970929e-08
5.4399999999997704e+01  5.8821736114514118e-10  7.4520794553628599e-08
5.5199999999997601e+01  6.1579416112949654e-10  7.1341230706419711e-08
5.5999999999997399e+01  4.9885913975405125e-10  8.4957361438930286e-08
5.6799999999997297e+01  5.4494573292101346e-10  6.9531304558106389e-08
5.7599999999997102e+01  7.2920214633260148e-10  8.2734341627394827e-08
5.8399999999997000e+01  5.6306643258206498e-10  7.7076835486321260e-08
5.9199999999996798e+01  4.5604124440569066e-10  8.6164976337117773e-08
5.9999999999996597e+01  5.6938770722088900e-10  8.8290350322592052e-08
6.0799999999996501e+01  6.4034421940788547e-10  7.9911970138754020e-08
6.1599999999996299e+01  4.8642589455310364e-10  8.9997536296698536e-08
6.2399999999996197e+01  5.1159629370602907e-10  9.0308855971592194e-08
6.3199999999996002e+01  6.7977632481028589e-10  8.5815772392862483e-08
6.3999999999995801e+01  5.3343014450244943e-10  9.3991691173183089e-08
6.4799999999996203e+01  4.1033678034020582e-10  8.5640778115648156e-08
6.5599999999996697e+01  5.1516563451443969e-10  9.2690969864684147e-08
6.6399999999997107e+01  6.1317750668613478e-10  9.3810175079515156e-08
6.7199999999997502e+01  4.7480219275095693e-10  9.0749636143507464e-08
6.7999999999997897e+01  4.4445160545362297e-10  1.0091683831627838e-07
6.8799999999998306e+01  5.5946204558535070e-10  9.8398628170594401e-08
6.9599999999998701e+01  5.1243790581122390e-10  1.1039704645723286e-07
7.0399999999999096e+01  3.9219692749610539e-10  1.0705226517357855e-07
7.1199999999999505e+01  4.4273366986957532e-10  1.0382412272819946e-07
7.1999999999999901e+01  5.5065432197812485e-10  1.1759440431255766e-07
7.2800000000000296e+01  4.5598002708242731e-10  1.0844014785042910e-07
7.3600000000000705e+01  3.8226601418257670e-10  1.2629343010017621e-07
7.4400000000001199e+01  4.4044929340853333e-10  1.0164436134948559e-07
7.5200000000001594e+01  4.7110639702406940e-10  1.2315712177389772e-07
7.6000000000002004e+01  3.9942972978418783e-10  9.9985685005254848e-08
7.6800000000002399e+01  3.7408938678576977e-10  1.2200685067062680e-07
7.7600000000002794e+01  4.4197150640235849e-10  1.1486717656419595e-07
7.8400000000003203e+01  4.2623847151963809e-10  1.2128815292751229e-07
7.9200000000003598e+01  3.4754645895832711e-10  1.2587397359890800e-07
8.0000000000003993e+01  3.3689484282800656e-10  1.1877441147092402e-07
8.0800000000004403e+01  3.9260391527648221e-10  1.3401327867833421e-07
8.1600000000004798e+01  3.8325818667667283e-10  1.2605821697178435e-07
8.2400000000005207e+01  3.3467751519200855e-10  1.4125994215193927e-07
8.3200000000005701e+01  3.5315780250238454e-10  1.3571496474334229e-07
8.4000000000006096e+01  3.6581062465265832e-10  1.4372356851653259e-07
