# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
0.0000000000000000e+00  7.4072118092103558e+00  2.4460450939374923e-02  6.7281808506354386e+00  2.7657177430981789e-01  3.1551359865409118e+01  3.2000000000000341e+01  3.2000000000000121e+01  4.7999999999999998e+00  7.3888940054440457e+00  6.7319510761746990e+00  2.7770800306475291e-01  4.6609956179039091e+00  7.0492965242554040e-01  4.4068808717776706e+00  7.3603047469286043e-01  4.5510569292343100e-01  9.9191144822598087e-01
8.0000000000000004e-01  7.4133886023023354e+00  2.4530222021050818e-02  6.7281908816525782e+00  2.7658481199234441e-01  3.1551223101902210e+01  3.2000000000000455e+01  3.2000000000000000e+01  4.7999999999999998e+00  7.3950552491420503e+00  6.7319614574180662e+00  2.7771980153053299e-01  4.6611596349804820e+00  7.0490545773719360e-01  4.4067865624083655e+00  7.3605841094465319e-01  4.5508846627497740e-01  9.9191258696230744e-01
1.6000000000000001e+00  7.4197707868805560e+00  2.4449816483058426e-02  6.7282150170805286e+00  2.7659842326022255e-01  3.1551010602629475e+01  3.2000000000005826e+01  3.2000000000000036e+01  4.7999999999999998e+00  7.4014156387181593e+00  6.7319878169552423e+00  2.7773260658747395e-01  4.6614493368249157e+00  7.0487566934280754e-01  4.4066309825884806e+00  7.3615528283497733e-01  4.5506006527725623e-01  9.9192544531996141e-01
2.3999999999999901e+00  7.4264250882778438e+00  2.4348552537482415e-02  6.7282761435888503e+00  2.7658945875971169e-01  3.1551917872025307e+01  3.2000000000017188e+01  3.1999999999999986e+01  4.7999999999999998e+00  7.4080429771364873e+00  6.7320487172802741e+00  2.7772326445949030e-01  4.6615785578854707e+00  7.0496591128941644e-01  4.4064566493383461e+00  7.3619702956815802e-01  4.5514502489870506e-01  9.9194131340646363e-01
3.1999999999999802e+00  7.4329512286902570e+00  2.4423490832999575e-02  6.7284150649296786e+00  2.7593092423273263e-01  3.1554219488919383e+01  3.2000000000026432e+01  3.1999999999999883e+01  4.7999999999999998e+00  7.4145502810972186e+00  6.7321804797659430e+00  2.7769427845106970e-01  4.6617015900435002e+00  7.0482253448198451e-01  4.4061638558051284e+00  7.3610602440669770e-01  4.5536917032274643e-01  9.9187961520829393e-01
3.9999999999999600e+00  7.4388254285591264e+00  2.4460421171695231e-02  6.7286063279842292e+00  2.7590514323219001e-01  3.1556959965687419e+01  3.2000000000020172e+01  3.1999999999999712e+01  4.7999999999999998e+00  7.4204214333329848e+00  6.7323584373408973e+00  2.7766808980611013e-01  4.6621474936086331e+00  7.0443019237211668e-01  4.4056095324237958e+00  7.3632050475937005e-01  4.5563034915404010e-01  9.9190414014663353e-01
4.7999999999999403e+00  7.4438811888896401e+00  2.4450302929419906e-02  6.7287612497582199e+00  2.7589450528860027e-01  3.1559074110434537e+01  3.1999999999982837e+01  3.1999999999999439e+01  4.7999999999999998e+00  7.4254888099008500e+00  6.7324993208832300e+00  2.7765758542007452e-01  4.6629289056753231e+00  7.0403827944551378e-01  4.4048127334837552e+00  7.3676623358195059e-01  4.5581928264502808e-01  9.9196050163668870e-01
5.5999999999999304e+00  7.4488474398167783e+00  2.4461331654595134e-02  6.7287825839991147e+00  2.7599598333759895e-01  3.1560549519846514e+01  3.1999999999905331e+01  3.1999999999998952e+01  4.7999999999999998e+00  7.4304697729035558e+00  6.7325103449936607e+00  2.7766581412131647e-01  4.6637264084926668e+00  7.0381496596391757e-01  4.4038151689308052e+00  7.3718194547362004e-01  4.5593894511770022e-01  9.9195236809943876e-01
6.3999999999999098e+00  7.4545309281668679e+00  2.4467607805709547e-02  6.7287201325797916e+00  2.7601865371723511e-01  3.1562356416394646e+01  3.1999999999783558e+01  3.1999999999998018e+01  4.7999999999999998e+00  7.4361538443522619e+00  6.7324407376698669e+00  2.7750606674029776e-01  4.6644336839497091e+00  7.0357781096336813e-01  4.4026015410611858e+00  7.3727544212845697e-01  4.5608994452415774e-01  9.9195893983090322e-01
7.1999999999998900e+00  7.4607173736711765e+00  2.4449428385307597e-02  6.7287144569879533e+00  2.7584204393470585e-01  3.1565016192442613e+01  3.1999999999577696e+01  3.1999999999996291e+01  4.7999999999999998e+00  7.4423317435331535e+00  6.7324265041852893e+00  2.7752253918421993e-01  4.6653853664820097e+00  7.0346924826441137e-01  4.4011072382542409e+00  7.3740229006263980e-01  4.5632027568640032e-01  9.9196077414840955e-01
7.9999999999998703e+00  7.4663990047645967e+00  2.4433265525456806e-02  6.7287660700825862e+00  2.7586098250316571e-01  3.1567723236687954e+01  3.1999999999221906e+01  3.1999999999993037e+01  4.7999999999999998e+00  7.4480031701689686e+00  6.7324701398429943e+00  2.7754029897564825e-01  4.6668284709002892e+00  7.0337679490461202e-01  4.3993213783201268e+00  7.3773258205984071e-01  4.5654238203004249e-01  9.9195720288180111e-01
8.7999999999998604e+00  7.4710339869641338e+00  2.4434354446772551e-02  6.7287362842411254e+00  2.7724554623449404e-01  3.1569449535495981e+01  3.1999999998683066e+01  3.1999999999987001e+01  4.7999999999999998e+00  7.4526268502263617e+00  6.7324372998797442e+00  2.7765714574689682e-01  4.6684904597555885e+00  7.0320277179761703e-01  4.3974016306394876e+00  7.3817539404799093e-01  4.5665340925131159e-01  9.9195703995914053e-01
9.5999999999998398e+00  7.4753285978605879e+00  2.4447024443939067e-02  6.7286071873368023e+00  2.7728880795087857e-01  3.1570359789908800e+01  3.1999999997952006e+01  3.1999999999975532e+01  4.7999999999999998e+00  7.4569086035086709e+00  6.7323088761501477e+00  2.7769929183688413e-01  4.6700655165693474e+00  7.0301258071276851e-01  4.3955426889841673e+00  7.3856872806711471e-01  4.5667591064494095e-01  9.9196565682816895e-01
1.0399999999999800e+01  7.4803557358565556e+00  2.4455286740737468e-02  6.7286925741948682e+00  2.7731509919575958e-01  3.1571464394385377e+01  3.1999999997009805e+01  3.1999999999955449e+01  4.7999999999999998e+00  7.4619224614040753e+00  6.7323939482560595e+00  2.7772337442337885e-01  4.6719222527650484e+00  7.0292815966598543e-01  4.3939947976064442e+00  7.3884739248254583e-01  4.5671273287273362e-01  9.9197009371663314e-01
1.1199999999999800e+01  7.4861899503997744e+00  2.4453331563063990e-02  6.7295081384153042e+00  2.7730425183023077e-01  3.1573043078058319e+01  3.1999999995795275e+01  3.1999999999915072e+01  4.7999999999999998e+00  7.4677445553676023e+00  6.7332076064520265e+00  2.7771088698821694e-01  4.6747923176172925e+00  7.0297446988896228e-01  4.3934588336596407e+00  7.3898196567164998e-01  4.5678574317797094e-01  9.9196488902973456e-01
1.1999999999999799e+01  7.4919747244273358e+00  2.4448189277266486e-02  6.7313545718937098e+00  2.7727215161069307e-01  3.1574214060310737e+01  3.1999999994211265e+01  3.1999999999836820e+01  4.7999999999999998e+00  7.4735186215193430e+00  6.7350553183926776e+00  2.7767722088490826e-01  4.6788002303930414e+00  7.0307652773670526e-01  4.3949585553320150e+00  7.3894571854594371e-01  4.5680184690575704e-01  9.9195882880371256e-01
1.2799999999999800e+01  7.4973649340264057e+00  2.4449362348739404e-02  6.7343346553924821e+00  2.7723855460220048e-01  3.1574243626523657e+01  3.1999999991875047e+01  3.1999999999612236e+01  4.7999999999999998e+00  7.4788980624777732e+00  6.7380435950367570e+00  2.7764207044968398e-01  4.6837931322144968e+00  7.0314363813960712e-01  4.3991632342817750e+00  7.3880237519454472e-01  4.5669326277247829e-01  9.9195725911907529e-01
1.3599999999999801e+01  7.5035150177051406e+00  2.4455496039608570e-02  6.7394991648564657e+00  2.7718412091670558e-01  3.1573495960186651e+01  3.1999999988954769e+01  3.1999999999231093e+01  4.7999999999999998e+00  7.4850351089750742e+00  6.7432227029324814e+00  2.7758607582696604e-01  4.6913251378169338e+00  7.0313207483597817e-01  4.4075100150437434e+00  7.3856049841618765e-01  4.5650628544132410e-01  9.9196056414522915e-01
1.4399999999999700e+01  7.5117314649247273e+00  2.4457922397565810e-02  6.7485322650269124e+00  2.7707436186553186e-01  3.1572790786131609e+01  3.1999999985101969e+01  3.1999999998702574e+01  4.7999999999999998e+00  7.4932357393236089e+00  6.7522748086542617e+00  2.7747452572478132e-01  4.7039509964091266e+00  7.0310212137805428e-01  4.4223029732468300e+00  7.3814065179890420e-01  4.5631683287287428e-01  9.9196456141154588e-01
1.5199999999999701e+01  7.5215324752481969e+00  2.4453382053634842e-02  6.7616818095041884e+00  2.7691216241781563e-01  3.1572387111761714e+01  3.1999999979987894e+01  3.1999999997980218e+01  4.7999999999999998e+00  7.5030203750171438e+00  6.7654469771317691e+00  2.7731008294931753e-01  4.7224404184897040e+00  7.0314369489240958e-01  4.4435182387204106e+00  7.3753974988049908e-01  4.5614152395453206e-01  9.9196326899407306e-01
1.5999999999999700e+01  7.5316500127882353e+00  2.4447418402441589e-02  6.7785090286374494e+00  2.7672578554023491e-01  3.1572091765627714e+01  3.1999999972922598e+01  3.1999999996910862e+01  4.7999999999999998e+00  7.5131231496380195e+00  6.7823013812636441e+00  2.7712106503874628e-01  4.7478007406809297e+00  7.0317082604423786e-01  4.4689327996310455e+00  7.3686788620335231e-01  4.5596458909736520e-01  9.9195792026145457e-01
1.6799999999999802e+01  7.5420868774234657e+00  2.4447623707573269e-02  6.7990552026508970e+00  2.7651760217781229e-01  3.1571336988673508e+01  3.1999999961508234e+01  3.1999999995110358e+01  4.7999999999999998e+00  7.5235461121043450e+00  6.8028820409774520e+00  2.7691008589343108e-01  4.7792458300104590e+00  7.0305824562923258e-01  4.4994104061344178e+00  7.3611422184684339e-01  4.5572898012485774e-01  9.9195469320481577e-01
1.7600000000000001e+01  7.5532862427687029e+00  2.4453553006453937e-02  6.8232320450402764e+00  2.7628369590011786e-01  3.1570231546457194e+01  3.1999999940882464e+01  3.1999999991345970e+01  4.7999999999999998e+00  7.5347304059174478e+00  6.8271003162295552e+00  2.7667335257319337e-01  4.8154338613960332e+00  7.0281818104155835e-01  4.5355250499077746e+00  7.3572423707205525e-01  4.5544902557073341e-01  9.9195608531661983e-01
1.8400000000000102e+01  7.5644422547129064e+00  2.4457563326643870e-02  6.8493880978917554e+00  2.7605905826696486e-01  3.1569483199150962e+01  3.1999999900930533e+01  3.1999999982926742e+01  4.7999999999999998e+00  7.5458700315792369e+00  6.8533001965820448e+00  2.7644578300554451e-01  4.8544766357440272e+00  7.0309327739847094e-01  4.5737807212631090e+00  7.3537990370326312e-01  4.5519387229085961e-01  9.9195860528802604e-01
1.9200000000000198e+01  7.5748372970141364e+00  2.4455312129340840e-02  6.8764518684367903e+00  2.7586692081797254e-01  3.1569075243249046e+01  3.1999999829831005e+01  3.1999999966691981e+01  4.7999999999999998e+00  7.5562491637388005e+00  6.8804090930684181e+00  2.7625035862606090e-01  4.8945225400805121e+00  7.0359727224979274e-01  4.6130674137291514e+00  7.3509025714610499e-01  4.5496038435456687e-01  9.9195768313832466e-01
2.0000000000000298e+01  7.5845051969359316e+00  2.4450926962332708e-02  6.9047322119519263e+00  2.7436818420032133e-01  3.1568636846362502e+01  3.1999999702038089e+01  3.1999999934988601e+01  4.7999999999999998e+00  7.5659028479165737e+00  6.9087378176109890e+00  2.7600132922782800e-01  4.9356227917423556e+00  7.0420962530717479e-01  4.6544772141399244e+00  7.3437593349931651e-01  4.5471340817667544e-01  9.9195331205978288e-01
2.0800000000000502e+01  7.5942023878549145e+00  2.4450861336898121e-02  6.9353651833959775e+00  2.7420770051610510e-01  3.1567788455933460e+01  3.1999999466935527e+01  3.1999999870646320e+01  4.7999999999999998e+00  7.5755862077231040e+00  6.9394253227156710e+00  2.7583538766092752e-01  4.9787303505591955e+00  7.0429411094083805e-01  4.7002037695895407e+00  7.3406560352699546e-01  4.5442624700257783e-01  9.9194999758495606e-01
