# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  3.4164558857672867e-09  2.5439080888392982e-09  7.4575126320002583e-01  3.9830050528001033e+00  7.6768557051454078e-01
8.0000000000000004e-01  3.3384280541810603e-09  2.4931935472828763e-09  7.4686719297983828e-01  3.9874687719193531e+00  7.6550079188679920e-01
1.6000000000000001e+00  3.3072986819362638e-09  2.4678260636783621e-09  7.4650079081480625e-01  3.9860031632592250e+00  7.6479469481585705e-01
2.3999999999999901e+00  3.3230225163638782e-09  2.4755565761251644e-09  7.4533954641390721e-01  3.9813581856556288e+00  7.6577034032791269e-01
3.1999999999999802e+00  3.3334308804772864e-09  2.4771345723943558e-09  7.4467951248017683e-01  3.9787180499207073e+00  7.6641395554254432e-01
3.9999999999999600e+00  3.2231670247138183e-09  2.3960665432913259e-09  7.4418965029108031e-01  3.9767586011643212e+00  7.5958505764061357e-01
4.7999999999999403e+00  3.2128410538625932e-09  2.3873427762425061e-09  7.4676372944523328e-01  3.9870549177809331e+00  7.7159164992876661e-01
5.5999999999999304e+00  3.0345962745011128e-09  2.2586009519673163e-09  7.4604748825392186e-01  3.9841899530156875e+00  7.5685751230179099e-01
6.3999999999999098e+00  2.8828260640108659e-09  2.1463630937991152e-09  7.4405859826597753e-01  3.9762343930639101e+00  7.5020563468031576e-01
7.1999999999998900e+00  3.0035461454007385e-09  2.2310262230837335e-09  7.4665749529076775e-01  3.9866299811630710e+00  7.6699215074501081e-01
7.9999999999998703e+00  2.9917341159582687e-09  2.2277624394679602e-09  7.4393132184525057e-01  3.9757252873810023e+00  7.6583641514163681e-01
8.7999999999998604e+00  3.1160089941974434e-09  2.3165386003808570e-09  7.4593495770032359e-01  3.9837398308012943e+00  7.6258631500130691e-01
9.5999999999998398e+00  3.2218638862866605e-09  2.3949738986778743e-09  7.4513208379260931e-01  3.9805283351704372e+00  8.1602441733149345e-01
1.0399999999999800e+01  3.1555298403612549e-09  2.3494687798324179e-09  7.4812324383729245e-01  3.9924929753491698e+00  8.0776332009569984e-01
1.1199999999999800e+01  3.0599780067907659e-09  2.2773008905976467e-09  7.4410267409673225e-01  3.9764106963869290e+00  8.0645188771709142e-01
1.1999999999999799e+01  2.9760946849908666e-09  2.2136112370699206e-09  7.4307142162333450e-01  3.9722856864933380e+00  8.1939307138874329e-01
1.2799999999999800e+01  2.9145228757296925e-09  2.1678859968794107e-09  7.4506574047817076e-01  3.9802629619126830e+00  8.5565171179135746e-01
1.3599999999999801e+01  2.9603399585797226e-09  2.2018477290624886e-09  7.5140550456306676e-01  4.0056220182522670e+00  9.2665063067627551e-01
1.4399999999999700e+01  2.9703052887360951e-09  2.2098465454087385e-09  7.3815273830676531e-01  3.9526109532270612e+00  9.6030875511658165e-01
1.5199999999999701e+01  2.8998270345186289e-09  2.1577371783123393e-09  7.4294127877141858e-01  3.9717651150856743e+00  9.0760182037952564e-01
1.5999999999999700e+01  2.8369957873915576e-09  2.1108020155053323e-09  7.4225633898545440e-01  3.9690253559418176e+00  8.4757645265497128e-01
1.6799999999999802e+01  2.7663176515789340e-09  2.0580290797954579e-09  7.4322243148845968e-01  3.9728897259538387e+00  7.7567240507725010e-01
