# time  Re(R=8)  Im(R=8)  Re(R=16)  Im(R=16)
0.0000000000000000e+00  -4.1611170237259014e-05  1.0338037121238736e-17  -2.7260168903668456e-06  -3.9713867650956918e-18
8.0000000000000004e-01  -4.0968195618935558e-05  1.3681254988227778e-16  -2.7232265814071444e-06  -4.9247544418381739e-17
1.6000000000000001e+00  -4.0813006806861624e-05  1.1813674394474134e-16  -2.7201363840190899e-06  -1.0229074935252840e-16
2.3999999999999901e+00  -4.1012432253021374e-05  2.2888079608408395e-16  -2.7195844923469695e-06  -2.7745948887660021e-17
3.1999999999999802e+00  -4.1218130523408688e-05  -1.4215902184534692e-16  -2.7129656626346423e-06  -8.6636816172382935e-17
3.9999999999999600e+00  -4.0487529880130286e-05  5.2529171740449063e-17  -2.7622513233667250e-06  2.2103275789508704e-16
4.7999999999999403e+00  -4.0477242430363408e-05  5.7218557894685683e-17  -2.5755507065458353e-06  -5.2856446080677913e-16
5.5999999999999304e+00  -3.9229017584243306e-05  6.4354810475303163e-17  -2.6999610503453840e-06  1.7551179382341021e-15
6.3999999999999098e+00  -3.8208140618249410e-05  4.1102273765514924e-17  -2.7354394426287075e-06  -1.2678605008937574e-14
7.1999999999998900e+00  -3.9135054688577774e-05  -1.7217702246309207e-16  -2.5464614509022686e-06  6.4629702814111789e-14
7.9999999999998703e+00  -3.8931992718667317e-05  -2.7617509245226463e-18  -2.5921419400166910e-06  -2.3100038027727856e-13
8.7999999999998604e+00  -3.9816055917312596e-05  1.5754939873872074e-16  -2.6586622840574890e-06  7.5047620750561158e-13
9.5999999999998398e+00  -4.0543226508100777e-05  -5.6064687262288512e-17  -2.0420537486011340e-06  -2.2824237773882433e-12
1.0399999999999800e+01  -4.0023464360029303e-05  1.2291282392112943e-15  -2.1016444616526911e-06  4.8736962376303455e-12
1.1199999999999800e+01  -3.9426240914340701e-05  -8.8658521425381094e-15  -2.1170201813301240e-06  -4.8183691096107608e-12
1.1999999999999799e+01  -3.8925039746567471e-05  3.3491494481362508e-14  -1.9360928173857308e-06  -3.5576313887017545e-12
1.2799999999999800e+01  -3.8538262772635603e-05  -1.0154952855513850e-13  -1.4937403226808177e-06  1.1319444250544821e-11
1.3599999999999801e+01  -3.8862980516642700e-05  3.1721387665145987e-13  -7.1847996395693403e-07  1.7494992387193831e-12
1.4399999999999700e+01  -3.8917345963853038e-05  -1.0579767754416176e-12  -3.9871248393315768e-07  -1.8521098861238228e-11
1.5199999999999701e+01  -3.8435628604359978e-05  3.0397526750776421e-12  -9.2951856945712565e-07  -6.5147106383604078e-12
1.5999999999999700e+01  -3.7997167259853871e-05  -5.3285671201674511e-12  -1.5790281788240334e-06  2.6529419075780567e-11
1.6799999999999802e+01  -3.7480842767743308e-05  2.7783339805569616e-12  -2.3790371300726625e-06  -2.0167924596177563e-12
1.7600000000000001e+01  -3.7072243380593633e-05  2.0035693488258173e-12  -3.2326569742531980e-06  -2.4259663914787565e-11
1.8400000000000102e+01  -3.6882403275061433e-05  -1.1755038877513634e-12  -3.1077184079899175e-06  -9.6529537573694693e-12
1.9200000000000198e+01  -3.6653760980319072e-05  2.4663850851580561e-12  -2.5547529103411511e-06  5.0586435998095017e-12
2.0000000000000298e+01  -3.6373959230734582e-05  -4.0295305461842675e-12  -2.1268617630032283e-06  -1.3565183333339366e-11
2.0800000000000502e+01  -3.6024918918140872e-05  -1.9301475802363313e-11  -2.0762771772090673e-06  -2.2815860695719583e-11
2.1600000000000598e+01  -3.5618316859702684e-05  -5.7842798595760761e-11  -2.5945569735535735e-06  -2.7561732920995506e-11
2.2400000000000698e+01  -3.5214048831835275e-05  -1.3411161845599650e-10  -2.8614779129254127e-06  -2.5027683897269180e-11
2.3200000000000799e+01  -3.4821265743543501e-05  -1.7941998091413022e-10  -2.6070652251278278e-06  -3.1410601297736142e-11
