NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.486244e+01        2.454133e+01        
2                   8.628760e+00        8.496531e+00        
3                   3.274788e+00        3.240876e+00        
4                   1.282408e+00        1.279333e+00        
5                   5.082139e-01        5.117103e-01        
6                   2.023478e-01        2.057437e-01        
7                   8.071615e-02        8.289585e-02        
8                   3.222254e-02        3.342717e-02        
9                   1.286973e-02        1.348366e-02        
10                  5.146622e-03        5.439620e-03        
11                  2.072608e-03        2.194545e-03        
12                  8.693625e-04        8.853588e-04        
