time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  1.0825098251132683e-08
8.0000000000000004e-01  -6.3663602565093770e-17  1.3888594909132600e-07
1.6000000000000001e+00  -4.2526643804939335e-17  7.3055263376709832e-08
2.3999999999999901e+00  3.4228879219081059e-17  2.8407902519378917e-07
3.1999999999999802e+00  7.0646974488819010e-17  4.0770515586930435e-07
3.9999999999999600e+00  2.4010847362412085e-17  3.7514390621312492e-07
4.7999999999999403e+00  -4.6716338356002020e-17  2.9507385712221280e-07
5.5999999999999304e+00  -5.2142032383074574e-17  2.3482089772223795e-07
6.3999999999999098e+00  1.6439824327286053e-17  2.0110634082089064e-07
7.1999999999998900e+00  7.3401877994179401e-17  1.8119067572164466e-07
7.9999999999998703e+00  4.5834455497302570e-17  1.6538048951152962e-07
8.7999999999998604e+00  -3.2323092922089763e-17  1.5036402999367702e-07
9.5999999999998398e+00  -6.1324254464584920e-17  1.3646361512450800e-07
1.0399999999999800e+01  -2.9744856997525042e-18  1.2448186974182078e-07
1.1199999999999800e+01  6.9469144369320661e-17  1.1421573419419891e-07
1.1999999999999799e+01  5.8073792364683072e-17  1.0652449980657663e-07
1.2799999999999800e+01  -9.1151223437860449e-18  9.9426786696686676e-08
1.3599999999999801e+01  -4.7682505419115560e-17  9.6595457364832697e-08
1.4399999999999700e+01  8.9768280812535611e-17  9.2329191102404851e-08
1.5199999999999701e+01  5.6597141063396545e-16  9.0217374190551602e-08
1.5999999999999700e+01  2.9036592836998082e-15  8.6806911372471276e-08
1.6799999999999802e+01  1.3007752777925302e-14  8.3095703733828873e-08
1.7600000000000001e+01  7.9227530844312005e-14  8.1305131739809255e-08
1.8400000000000102e+01  1.5304980918809664e-13  8.1010388711539095e-08
1.9200000000000198e+01  7.1480565836219618e-13  7.7974772643202266e-08
2.0000000000000298e+01  2.4947532581444243e-12  7.5180446817233473e-08
2.0800000000000502e+01  3.5893605433643207e-12  7.3957189313225851e-08
2.1600000000000598e+01  1.6058741171274904e-11  7.3811713050202786e-08
2.2400000000000698e+01  2.1376583826999738e-11  7.6782183172109095e-08
2.3200000000000799e+01  5.7856346301486917e-11  8.5690356217286109e-08
2.4000000000000998e+01  7.8856488080545537e-11  8.7539878148264339e-08
2.4800000000001098e+01  1.5963421458249972e-10  9.0410196427929803e-08
2.5600000000001199e+01  1.7832732115737079e-10  9.1026833309086705e-08
2.6400000000001299e+01  3.0596122047068562e-10  1.0115202768974115e-07
2.7200000000001499e+01  2.7786958776641044e-10  1.0106588727565310e-07
2.8000000000001599e+01  4.0093167063456843e-10  9.5857370530071036e-08
2.8800000000001699e+01  3.1617995777276049e-10  1.0101066248453422e-07
2.9600000000001799e+01  4.1445449027954382e-10  1.0140143075999049e-07
3.0400000000001999e+01  4.0559877374141864e-10  9.1593450706888589e-08
3.1200000000002099e+01  5.1096420420075005e-10  9.5555841194358729e-08
3.2000000000002203e+01  5.5375545307379443e-10  8.6801947347011589e-08
3.2800000000002001e+01  6.6738042855829148e-10  8.8448088551285214e-08
3.3600000000001899e+01  5.6919938729238105e-10  8.6809770772847916e-08
3.4400000000001697e+01  6.0960444757422349e-10  7.6645175086445518e-08
3.5200000000001602e+01  4.8489247758469667e-10  6.9659574472218651e-08
3.6000000000001400e+01  4.3338827679890241e-10  6.4010531110283143e-08
3.6800000000001198e+01  4.3812512625322951e-10  5.5261754892377357e-08
3.7600000000001103e+01  3.7271202233768153e-10  5.5162456075132710e-08
