# time  Re(R=8)  Im(R=8)  Re(R=16)  Im(R=16)
0.0000000000000000e+00  6.6780940558252343e-05  2.2092948604997102e-17  4.2370842535171001e-06  -1.6761312953394710e-17
8.0000000000000004e-01  6.7238410423648378e-05  7.5273700440121535e-17  4.2392660734585187e-06  -1.4441659129726747e-16
1.6000000000000001e+00  6.6099255071988154e-05  1.5589429635978584e-17  4.2429006740826054e-06  1.9298603455617416e-17
2.3999999999999901e+00  6.7124718887368311e-05  -5.2467338335299499e-17  4.2503833297711218e-06  -3.3458674919271719e-17
3.1999999999999802e+00  6.7402080020401685e-05  -1.6241856763601209e-19  4.2540959513604522e-06  2.2483032092626084e-17
3.9999999999999600e+00  6.8160379946935809e-05  -9.4291072413638273e-17  4.2744861260871387e-06  3.1608407546611055e-18
4.7999999999999403e+00  6.8895376431809196e-05  -9.5698417655501293e-17  4.1911256626660801e-06  -1.5264578248384606e-14
5.5999999999999304e+00  6.8241142470444702e-05  7.2635616325898017e-17  4.3468200251905135e-06  7.9808562482978394e-14
6.3999999999999098e+00  6.7960109706402945e-05  -8.7059740384691497e-17  4.2729633536757357e-06  -1.7646950846662056e-13
7.1999999999998900e+00  6.8779609858042118e-05  1.6058474130520653e-17  4.3118723424024101e-06  4.5029571775837399e-13
7.9999999999998703e+00  6.8757428274345071e-05  5.0711015519167707e-17  4.4387864889887075e-06  -1.8265775868033902e-12
8.7999999999998604e+00  6.8442060691622429e-05  6.6249644354134715e-16  4.5759543681011759e-06  6.1992586236308638e-12
9.5999999999998398e+00  6.8518431043470120e-05  -5.0947704053201344e-15  4.2467058040824153e-06  -1.0359178238553235e-11
1.0399999999999800e+01  6.8197642333886273e-05  2.5376104000971052e-14  4.3275518482829409e-06  6.5163391167252983e-12
1.1199999999999800e+01  6.7637984957236042e-05  -9.6101412003124129e-14  4.8893541304479521e-06  1.1416461139923019e-12
1.1999999999999799e+01  6.7278664842356883e-05  2.9566459762596559e-13  5.7039020031532845e-06  -7.5702408916035477e-12
1.2799999999999800e+01  6.7759807343470858e-05  -6.6141106399306496e-13  5.7898048118313194e-06  2.6016946199013412e-11
1.3599999999999801e+01  6.8931296880617198e-05  6.4953500689257497e-13  5.2637979522485903e-06  -3.6426586368487641e-11
1.4399999999999700e+01  6.9285784753868155e-05  1.8794538308696944e-12  5.0139391902802972e-06  -1.1874064820307931e-11
1.5199999999999701e+01  6.8903391637405869e-05  -8.0870070642618061e-12  5.5350140026158566e-06  5.7295869108369409e-11
1.5999999999999700e+01  6.8775719420283604e-05  9.1302842634947984e-12  5.3230746899002316e-06  -1.5843826587346566e-11
1.6799999999999802e+01  6.8785944428777424e-05  -1.0942067808045289e-12  4.8836287227963871e-06  -5.2627776214456409e-11
1.7600000000000001e+01  6.8962785214404844e-05  -7.9699267753842641e-12  4.8772521162654722e-06  1.8040143546719967e-11
1.8400000000000102e+01  6.9314269722896640e-05  3.7240152980065616e-12  4.5508328105323525e-06  9.4539658325399011e-12
1.9200000000000198e+01  6.9609143191711896e-05  -5.5953320767987880e-12  3.7547238561623313e-06  -1.9780801591211729e-11
2.0000000000000298e+01  6.9836234327410679e-05  5.1951661415934234e-13  3.4208627543694998e-06  -1.1828677467259676e-11
2.0800000000000502e+01  7.0037223160043349e-05  -1.1329509301973600e-11  4.0001071913477659e-06  -1.5278583760295500e-11
2.1600000000000598e+01  7.0232342562852706e-05  7.9094563034215563e-12  5.0165843616621933e-06  -1.2502651189299735e-11
2.2400000000000698e+01  7.0439071192215095e-05  8.6593572742263571e-11  5.2469528299971380e-06  -1.7231562701609385e-11
2.3200000000000799e+01  7.0645235642172562e-05  1.1640160025275478e-10  4.7720255390776566e-06  -1.9218316711582997e-11
2.4000000000000998e+01  7.0879118709257658e-05  6.7240958012441742e-11  4.4835815123478362e-06  -2.1099097825076626e-11
2.4800000000001098e+01  7.1160762038561989e-05  7.9328906326718248e-11  4.4246213744657137e-06  -3.5162327019388613e-11
