# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
0.0000000000000000e+00  7.4875973255176582e+00  2.4559202217539444e-02  6.7106238541721570e+00  2.7338124490000509e-01  3.2223570671665321e+01  3.1999999999999758e+01  3.1999999999999886e+01  4.7999999999999998e+00  7.5019307701249813e+00  6.7080251749852211e+00  2.7481685625571750e-01  4.3375306793037725e+00  7.4559307786172546e-01  4.6336092895483096e+00  7.0790657186897865e-01  5.2232619974145256e-01  9.8913855337808876e-01
8.0000000000000004e-01  7.4936968839018405e+00  2.4627884199922005e-02  6.7106843008565713e+00  2.7337302956729020e-01  3.2222850491273945e+01  3.1999999999999901e+01  3.2000000000000000e+01  4.7999999999999998e+00  7.5080344683836824e+00  6.7080910595341603e+00  2.7480915999778160e-01  4.3377246229954611e+00  7.4557491907177253e-01  4.6334897041182810e+00  7.0792838635120192e-01  5.2225067908618450e-01  9.8913862744159142e-01
1.6000000000000001e+00  7.4998493558160648e+00  2.4566895123369896e-02  6.7107815972846243e+00  2.7337017083422049e-01  3.2222019541315156e+01  3.1999999999997971e+01  3.1999999999999986e+01  4.7999999999999998e+00  7.5141885748088200e+00  6.7081953658684199e+00  2.7480713773638799e-01  4.3381124233439206e+00  7.4559214790459449e-01  4.6332808503580507e+00  7.0798859544913795e-01  5.2216039943185155e-01  9.8915146718864300e-01
2.3999999999999901e+00  7.5059597289757081e+00  2.4492964783951705e-02  6.7107893057152976e+00  2.7337092504732796e-01  3.2222482688822460e+01  3.1999999999994603e+01  3.2000000000000036e+01  4.7999999999999998e+00  7.5203040074583640e+00  6.7082027822417833e+00  2.7480433235063445e-01  4.3383823751195534e+00  7.4557684897220200e-01  4.6331315344428061e+00  7.0808938664573473e-01  5.2220093246684962e-01  9.8916569999372517e-01
3.1999999999999802e+00  7.5117451037561054e+00  2.4587398629671638e-02  6.7107167622015860e+00  2.7336527106568892e-01  3.2224660734674465e+01  3.1999999999996781e+01  3.2000000000000171e+01  4.7999999999999998e+00  7.5261017167035353e+00  6.7081206143480632e+00  2.7479902313927507e-01  4.3386960570900071e+00  7.4521667236086941e-01  4.6329894123540516e+00  7.0801955837987196e-01  5.2241290689468334e-01  9.8913007949062792e-01
3.9999999999999600e+00  7.5171373802816159e+00  2.4612375719008716e-02  6.7106406072088234e+00  2.7481185206492670e-01  3.2227678324446821e+01  3.2000000000015525e+01  3.2000000000000348e+01  4.7999999999999998e+00  7.5315154683731382e+00  6.7080312000371194e+00  2.7520551083806088e-01  4.3393401699256273e+00  7.4482694778801972e-01  4.6326676205017083e+00  7.0808532104834843e-01  5.2270204605518844e-01  9.8911010273218269e-01
4.7999999999999403e+00  7.5220228348136970e+00  2.4555195905830825e-02  6.7106106974690682e+00  2.7465380250741628e-01  3.2230129248763717e+01  3.2000000000048978e+01  3.2000000000000654e+01  4.7999999999999998e+00  7.5364210634814590e+00  6.7079930823172402e+00  2.7518701655751832e-01  4.3403373393992997e+00  7.4459631900172951e-01  4.6320334854500125e+00  7.0844957532980890e-01  5.2292442794453742e-01  9.8919758721945372e-01
5.5999999999999304e+00  7.5265839220546411e+00  2.4523058503786270e-02  6.7105231962131739e+00  2.7464200799905397e-01  3.2231709993945017e+01  3.2000000000077556e+01  3.2000000000001215e+01  4.7999999999999998e+00  7.5409919856748626e+00  6.7079039405337122e+00  2.7517385578738857e-01  4.3413117776283041e+00  7.4460549508128859e-01  4.6310669070768817e+00  7.0895782298053389e-01  5.2305364795746889e-01  9.8918138509686171e-01
6.3999999999999098e+00  7.5312752493222188e+00  2.4541103952679662e-02  6.7102462656391495e+00  2.7466230391127627e-01  3.2233685846276934e+01  3.2000000000098893e+01  3.2000000000002281e+01  4.7999999999999998e+00  7.5456917801536871e+00  6.7076235143592724e+00  2.7537351973616009e-01  4.3420553292420232e+00  7.4453662316588320e-01  4.6298092138264186e+00  7.0924113446139458e-01  5.2322027799833715e-01  9.8919366526315378e-01
7.1999999999998900e+00  7.5361815362626725e+00  2.4567090905623853e-02  6.7098338987383945e+00  2.7440231430757189e-01  3.2237127037164974e+01  3.2000000000160696e+01  3.2000000000004320e+01  4.7999999999999998e+00  7.5506095373710487e+00  6.7072006436258143e+00  2.7437750456604409e-01  4.3430160822299841e+00  7.4444314530737754e-01  4.6281937985206936e+00  7.0956419763895429e-01  5.2352762118171314e-01  9.8920183744802059e-01
