# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  1.9778943059955645e-09  1.4654623496465581e-09  7.4413797165575590e-01  3.9765518866230236e+00  7.6694612735858181e-01
8.0000000000000004e-01  1.9812253564403637e-09  1.4738285040015793e-09  7.4559279688752500e-01  3.9823711875501000e+00  7.6686477324627811e-01
1.6000000000000001e+00  1.9744135064151805e-09  1.4612432578388786e-09  7.4365134773190866e-01  3.9746053909276347e+00  7.6610908859053239e-01
2.3999999999999901e+00  2.0365749386996541e-09  1.5109433396560316e-09  7.4435604712879799e-01  3.9774241885151920e+00  7.6883067420419271e-01
3.1999999999999802e+00  2.0965844329491746e-09  1.5528094095838421e-09  7.4365106043575158e-01  3.9746042417430063e+00  7.7121835894683910e-01
3.9999999999999600e+00  2.1639584541352136e-09  1.6048487779545906e-09  7.4503163521313054e-01  3.9801265408525222e+00  7.7217176880159100e-01
4.7999999999999403e+00  2.2610992504855184e-09  1.6722339583145914e-09  7.4394665651420278e-01  3.9757866260568111e+00  7.7917694551073435e-01
5.5999999999999304e+00  2.2689598779353203e-09  1.6845398176097151e-09  7.4362339737969241e-01  3.9744935895187696e+00  7.7486515095989827e-01
6.3999999999999098e+00  2.2675807255029440e-09  1.6818976620144192e-09  7.4564603741579971e-01  3.9825841496631988e+00  7.7133712993001335e-01
7.1999999999998900e+00  2.3241074189066337e-09  1.7219526037475031e-09  7.4412896171013099e-01  3.9765158468405239e+00  7.7499089946479860e-01
7.9999999999998703e+00  2.3110433345390598e-09  1.7131427368954362e-09  7.4334611793727812e-01  3.9733844717491125e+00  7.6331313621859120e-01
8.7999999999998604e+00  2.2707533532183630e-09  1.6834058793700581e-09  7.4391045428037883e-01  3.9756418171215153e+00  7.5217535148084702e-01
9.5999999999998398e+00  2.2807773420835309e-09  1.6909993148340645e-09  7.4554235647663103e-01  3.9821694259065241e+00  7.6113591833749439e-01
1.0399999999999800e+01  2.2381271775742365e-09  1.6592032079407877e-09  7.4436667512588151e-01  3.9774667005035260e+00  7.4035290834131917e-01
1.1199999999999800e+01  2.2076134323459882e-09  1.6358177915017982e-09  7.4428807893298599e-01  3.9771523157319439e+00  6.9983554252767621e-01
1.1999999999999799e+01  2.2062591189549996e-09  1.6351421803062611e-09  7.4256407078277475e-01  3.9702562831310990e+00  6.4471131795004422e-01
1.2799999999999800e+01  2.2605277215699053e-09  1.6757501294638905e-09  7.4383308565824269e-01  3.9753323426329708e+00  6.2527125119498039e-01
1.3599999999999801e+01  2.3775144632259134e-09  1.7618036991933992e-09  7.4549810726357868e-01  3.9819924290543147e+00  6.3528834244109444e-01
1.4399999999999700e+01  2.4552918547359422e-09  1.8207231710436047e-09  7.4598462009284039e-01  3.9839384803713616e+00  6.6250873219645290e-01
1.5199999999999701e+01  2.4576241606368103e-09  1.8221837770459843e-09  7.4444601580803815e-01  3.9777840632321526e+00  6.4881863849043908e-01
1.5999999999999700e+01  2.4654061785152882e-09  1.8274508153811720e-09  7.4364782795526696e-01  3.9745913118210678e+00  6.7829076434408619e-01
1.6799999999999802e+01  2.4810821693767887e-09  1.8394078928291110e-09  7.4469778419371468e-01  3.9787911367748587e+00  7.1966857234665760e-01
1.7600000000000001e+01  2.5090277979999820e-09  1.8598668188891349e-09  7.4432434419376192e-01  3.9772973767750477e+00  7.3739374842968541e-01
1.8400000000000102e+01  2.5651601166309674e-09  1.9014244679636010e-09  7.4585154337753123e-01  3.9834061735101249e+00  7.7326076149986755e-01
1.9200000000000198e+01  2.6204124554346354e-09  1.9425516988395651e-09  7.4435754989370106e-01  3.9774301995748043e+00  8.3165849284333626e-01
2.0000000000000298e+01  2.6730080609491704e-09  1.9815776046876542e-09  7.4361537147755374e-01  3.9744614859102150e+00  8.4309996907034401e-01
2.0800000000000502e+01  2.7269180392413686e-09  2.0215734522519896e-09  7.4258853612195508e-01  3.9703541444878203e+00  8.1589018041930572e-01
2.1600000000000598e+01  2.7835928013659088e-09  2.0636688844362153e-09  7.4359677864640594e-01  3.9743871145856238e+00  7.5886283707303703e-01
2.2400000000000698e+01  2.8400236943377504e-09  2.1055023472284724e-09  7.4503583331562440e-01  3.9801433332624976e+00  7.3271417044349219e-01
2.3200000000000799e+01  2.8908837611436922e-09  2.1432226273561677e-09  7.4462611725002825e-01  3.9785044690001130e+00  7.5149021373454727e-01
2.4000000000000998e+01  2.9436622650442275e-09  2.1823948963312735e-09  7.4407206758483713e-01  3.9762882703393485e+00  7.6582636376465341e-01
2.4800000000001098e+01  3.0015699189092396e-09  2.2253161143889783e-09  7.4435398869619140e-01  3.9774159547847656e+00  7.7066122811421855e-01
2.5600000000001199e+01  3.0633760000982643e-09  2.2711065623931353e-09  7.4407339486960111e-01  3.9762935794784044e+00  7.7165072634374021e-01
2.6400000000001299e+01  3.1278188829746371e-09  2.3188841573306618e-09  7.4413597318924540e-01  3.9765438927569816e+00  7.5963617636914260e-01
2.7200000000001499e+01  3.1906833527697897e-09  2.3655386105980246e-09  7.4438972877210841e-01  3.9775589150884336e+00  7.4648526606040322e-01
2.8000000000001599e+01  3.2504469461923052e-09  2.4098776031043522e-09  7.4433167360737851e-01  3.9773266944295140e+00  7.3924321080490463e-01
2.8800000000001699e+01  3.3104081799437527e-09  2.4542984230415233e-09  7.4431770525540131e-01  3.9772708210216052e+00  7.3468759369392489e-01
2.9600000000001799e+01  3.3733586722670428e-09  2.5008779506470508e-09  7.4436512564561941e-01  3.9774605025824776e+00  7.3229269792502050e-01
3.0400000000001999e+01  3.4389771292459156e-09  2.5494472146342921e-09  7.4439812554449636e-01  3.9775925021779854e+00  7.3079204687888599e-01
3.1200000000002099e+01  3.5054014062970703e-09  2.5986607229544192e-09  7.4434176031922239e-01  3.9773670412768896e+00  7.2887396098896351e-01
3.2000000000002203e+01  3.5725856103720924e-09  2.6484497980691067e-09  7.4427713719301014e-01  3.9771085487720406e+00  7.2655653844045376e-01
3.2800000000002001e+01  3.6431736291082416e-09  2.7007153627767950e-09  7.4428776048317014e-01  3.9771510419326805e+00  7.2414195294815742e-01
3.3600000000001899e+01  3.7190060582597681e-09  2.7568400233417210e-09  7.4436687072857766e-01  3.9774674829143106e+00  7.2218878302230016e-01
3.4400000000001697e+01  3.7990422581622750e-09  2.8161117403004217e-09  7.4447956044855712e-01  3.9779182417942285e+00  7.2124138387296877e-01
3.5200000000001602e+01  3.8812232832656484e-09  2.8769941089905079e-09  7.4450631783892285e-01  3.9780252713556914e+00  7.2154321097210627e-01
3.6000000000001400e+01  3.9651855851474393e-09  2.9391629754870656e-09  7.4440595687276445e-01  3.9776238274910578e+00  7.2304835667153833e-01
3.6800000000001198e+01  4.0533469183470262e-09  3.0043865719675616e-09  7.4420124010078526e-01  3.9768049604031410e+00  7.2541867410625427e-01
3.7600000000001103e+01  4.1471027655726217e-09  3.0738372589293260e-09  7.4415706548867722e-01  3.9766282619547089e+00  7.2784900184140588e-01
3.8400000000000901e+01  4.2451889824008614e-09  3.1466291869891703e-09  7.4430992362728210e-01  3.9772396945091284e+00  7.2982779116433338e-01
3.9200000000000799e+01  4.3463101718401756e-09  3.2215772568574657e-09  7.4439037988860002e-01  3.9775615195544001e+00  7.3163446648698938e-01
4.0000000000000597e+01  4.4502137772408853e-09  3.2983601446493407e-09  7.4436701339691924e-01  3.9774680535876770e+00  7.3330806461643305e-01
