# time  Re(R=8)  Im(R=8)  Re(R=16)  Im(R=16)
0.0000000000000000e+00  3.1845960971077280e-05  -8.9760081420538207e-18  2.0791758420049769e-06  1.7265177284949953e-16
8.0000000000000004e-01  3.1712402335827330e-05  -8.6545591385708137e-19  2.0820755233476111e-06  1.0205288529558266e-16
1.6000000000000001e+00  3.1881798104657105e-05  -1.5443951727287658e-17  2.0862874397260780e-06  -1.1125605212309456e-16
2.3999999999999901e+00  3.2266221595882031e-05  -9.1261023803072827e-17  2.0924705958332746e-06  1.3457694703870419e-16
3.1999999999999802e+00  3.2813565994611597e-05  -7.3358135429905935e-17  2.0995337302765924e-06  2.0798401020184263e-17
3.9999999999999600e+00  3.3260861408087354e-05  2.6671098157435551e-16  2.1151161988661166e-06  -1.8722439898930343e-16
4.7999999999999403e+00  3.4164382524760125e-05  1.0329227978587291e-16  2.0889738089174172e-06  1.2792942419684631e-16
5.5999999999999304e+00  3.4035283633329214e-05  -9.5342875575891300e-17  2.1528633945178774e-06  7.6181482027870098e-16
6.3999999999999098e+00  3.4071808871577851e-05  7.5193655826606004e-17  2.1690007272267877e-06  -2.7900688026294377e-15
7.1999999999998900e+00  3.4531659850542043e-05  1.5697743974108728e-16  2.1669860465650868e-06  1.1682789733535682e-14
7.9999999999998703e+00  3.4422698398319459e-05  -2.4845593925336765e-17  2.2961629571587233e-06  -6.7618832452481100e-14
8.7999999999998604e+00  3.4092424592821112e-05  -1.6212761181863024e-16  2.3908825532180309e-06  3.0070169717434082e-13
9.5999999999998398e+00  3.4180663763964360e-05  -7.3886472230755805e-17  2.2854142113027120e-06  -7.4267179641196185e-13
1.0399999999999800e+01  3.3847556300073670e-05  1.6840454947425823e-16  2.5012084698648537e-06  1.3963046592603135e-12
1.1199999999999800e+01  3.3590995922072711e-05  -2.6500598895482733e-15  2.9353008218859918e-06  -2.7936031066443540e-12
1.1999999999999799e+01  3.3512189196179909e-05  1.0899843793724649e-14  3.6061312077211481e-06  6.1858613062130235e-12
1.2799999999999800e+01  3.3890152965409791e-05  -4.1450943443307369e-14  3.8771879140835572e-06  -7.5404512227672248e-12
1.3599999999999801e+01  3.4793101403182120e-05  1.4343452302083802e-13  3.8203915937648515e-06  5.4061770803136481e-13
1.4399999999999700e+01  3.5359484176618853e-05  -4.2735112031662013e-13  3.5340065071102642e-06  7.7681063772908759e-12
1.5199999999999701e+01  3.5366607302834513e-05  9.2792787088755895e-13  3.7283851787291374e-06  -7.4063633090491825e-12
1.5999999999999700e+01  3.5472484685514646e-05  -1.9015409419353773e-13  3.3745258053620439e-06  1.3377481041851923e-11
1.6799999999999802e+01  3.5620965034670842e-05  -1.6080463639462131e-12  2.8718157688403975e-06  1.3572153555286223e-12
1.7600000000000001e+01  3.5845784172611807e-05  1.6444748663981158e-12  2.6823567793734602e-06  -4.4539176459763345e-12
1.8400000000000102e+01  3.6276511747748374e-05  -2.9561181985005513e-13  2.2817670394541404e-06  4.3406352112264044e-12
1.9200000000000198e+01  3.6696747382068908e-05  3.3847197914396206e-12  1.6671642787167537e-06  1.0368734489899312e-11
2.0000000000000298e+01  3.7069331015630210e-05  1.1774747530439580e-11  1.5663809844721887e-06  2.0329723838387770e-11
2.0800000000000502e+01  3.7427491408846523e-05  3.3783732318473655e-11  1.8920591924496541e-06  1.4843499292112275e-11
2.1600000000000598e+01  3.7774650025864469e-05  6.6086726024354328e-11  2.5710299709930806e-06  3.3729248517215282e-12
2.2400000000000698e+01  3.8135081975203481e-05  1.0301550650033033e-10  2.9037059419342054e-06  1.4952348544548580e-11
2.3200000000000799e+01  3.8492839984505350e-05  1.4043565428069011e-10  2.7010836434159062e-06  3.2086672785959082e-11
2.4000000000000998e+01  3.8854538628141896e-05  1.5218450845904794e-10  2.5536938567709774e-06  3.9783348022448012e-11
2.4800000000001098e+01  3.9240555416536396e-05  1.0680149628889404e-10  2.5159678017967231e-06  4.0541640497941855e-11
2.5600000000001199e+01  3.9645292542356080e-05  8.7983558201632501e-11  2.5323310785956926e-06  2.4802584762277798e-11
2.6400000000001299e+01  4.0051590460859778e-05  7.4103394110011883e-11  2.7102784206356815e-06  3.4522139863625235e-11
2.7200000000001499e+01  4.0440581468967376e-05  -3.2737996419552251e-11  2.9053853439582234e-06  7.2260996567188283e-11
2.8000000000001599e+01  4.0810983019098953e-05  -6.1638721587130768e-12  3.0291343328507344e-06  6.5477169157813993e-11
2.8800000000001699e+01  4.1183111964331058e-05  9.8830846466704239e-11  3.1182434608201301e-06  3.3900067249328910e-11
2.9600000000001799e+01  4.1573837248935027e-05  5.1431200925009679e-11  3.1796741909967935e-06  6.7807371715367104e-11
3.0400000000001999e+01  4.1977834557315908e-05  5.8014391352049255e-11  3.2305596670042940e-06  9.7489870454641917e-11
3.1200000000002099e+01  4.2381178239369715e-05  1.8452804864870843e-10  3.2889705290471530e-06  1.0860775340745081e-10
3.2000000000002203e+01  4.2784406469871930e-05  2.6391931270773487e-10  3.3539178592309781e-06  1.2454281406942005e-10
3.2800000000002001e+01  4.3205037303517484e-05  2.8354293616604961e-10  3.4211075181280647e-06  8.5982332918161250e-11
3.3600000000001899e+01  4.3653586115464902e-05  3.2992745310212037e-10  3.4834917111956204e-06  1.1469689347069685e-10
3.4400000000001697e+01  4.4122505633830116e-05  4.5064863327693244e-10  3.5330574982485041e-06  1.8167093784562619e-10
3.5200000000001602e+01  4.4599815529462874e-05  5.8057117423825326e-10  3.5661348112324705e-06  1.6890043850457036e-10
