# time  chi_mean_R8  chi_min_R8  chi_max_R8  lapse_mean_R8  lapse_min_R8  lapse_max_R8  K_mean_R8  K_min_R8  K_max_R8  chi_mean_R16  chi_min_R16  chi_max_R16  lapse_mean_R16  lapse_min_R16  lapse_max_R16  K_mean_R16  K_min_R16  K_max_R16
0.0000000000000000e+00  1.0061783053165969e+00  1.0051141244719146e+00  1.0121653519565483e+00  1.0036439415835470e+00  1.0030877757939811e+00  1.0073508235417734e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0027462633784632e+00  1.0025219294243126e+00  1.0032533283563863e+00  1.0018708145926019e+00  1.0017547388392314e+00  1.0021371558243519e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
8.0000000000000004e-01  1.0061786384298268e+00  1.0051126184649841e+00  1.0121613301466126e+00  1.0036423242900718e+00  1.0030893657946671e+00  1.0071319760799913e+00  2.9133414051036691e-06  -1.9149366978829554e-04  2.3132260877100296e-04  1.0027444710734108e+00  1.0025633498322903e+00  1.0032404534628609e+00  1.0018698555523877e+00  1.0017746569911532e+00  1.0021305922718384e+00  1.5267498102236508e-06  -1.7935673044629208e-05  2.2493117067773749e-05
1.6000000000000001e+00  1.0061806275802376e+00  1.0051189288114069e+00  1.0121555692281334e+00  1.0036383132375972e+00  1.0030872640831925e+00  1.0068370120087120e+00  4.4755906736357392e-06  -1.1182535992514708e-04  1.3454584340037877e-04  1.0027450614485005e+00  1.0025641233146276e+00  1.0032448080926231e+00  1.0018694090299296e+00  1.0017746967806000e+00  1.0021305546212818e+00  1.0326223472679029e-06  -8.2181458742652055e-06  1.2844096925599272e-05
2.3999999999999901e+00  1.0061821380490026e+00  1.0051236566550501e+00  1.0120719841746706e+00  1.0036345671334412e+00  1.0030844362708369e+00  1.0067499094778445e+00  2.5435956156684076e-06  -1.8965642518296884e-04  1.4704570163563997e-04  1.0027456386308067e+00  1.0025642379711295e+00  1.0032478779591907e+00  1.0018685319233152e+00  1.0017743453673702e+00  1.0021314123980400e+00  1.1943477706393019e-06  -2.8276664759188788e-06  7.1222683896130358e-06
3.1999999999999802e+00  1.0061827923640119e+00  1.0051227505818006e+00  1.0119127411077082e+00  1.0036336153723693e+00  1.0030901960045904e+00  1.0069364151524383e+00  4.0713903108856986e-06  -3.2096647134937208e-04  3.1533203778366095e-04  1.0027463063051083e+00  1.0025641076220653e+00  1.0032502518328272e+00  1.0018672104755444e+00  1.0017740404499893e+00  1.0021307241410076e+00  1.3650309368497994e-06  -3.4184095513291055e-06  8.7497564352228181e-06
3.9999999999999600e+00  1.0061888089304905e+00  1.0051274021509324e+00  1.0119203009063991e+00  1.0036234034841787e+00  1.0030839020477738e+00  1.0068982062899716e+00  1.1495051967158830e-05  -2.3276583601857927e-04  2.7308092612581556e-04  1.0027470802966838e+00  1.0025645192804926e+00  1.0032514107146913e+00  1.0018654718571385e+00  1.0017723709479054e+00  1.0021368502951584e+00  1.4753690315845026e-06  -5.0477583096869400e-06  7.5937927728888904e-06
4.7999999999999403e+00  1.0061978600337445e+00  1.0051518264050543e+00  1.0119572024797689e+00  1.0036034512112542e+00  1.0030362469946277e+00  1.0067207011981676e+00  1.6712143147832413e-05  -1.2736409533743910e-04  1.6363862387734919e-04  1.0027477057305121e+00  1.0025661122110316e+00  1.0032536017734066e+00  1.0018638564469939e+00  1.0017697863312769e+00  1.0021271849276105e+00  1.3373985803773193e-06  -8.5216015569501948e-06  6.9839743266871222e-06
5.5999999999999304e+00  1.0062071914254012e+00  1.0051495221208984e+00  1.0118886091564783e+00  1.0035779381450967e+00  1.0030161990658488e+00  1.0066925258194965e+00  1.6947278168689623e-05  -9.8552634036081993e-05  1.0873539799321562e-04  1.0027485887344589e+00  1.0025673279400218e+00  1.0032632340552730e+00  1.0018617645122156e+00  1.0017662364954174e+00  1.0021354026625240e+00  1.9889322095499700e-06  -1.1683986464069450e-05  2.3125221501107888e-05
6.3999999999999098e+00  1.0062133597848453e+00  1.0051032686815102e+00  1.0118222615078212e+00  1.0035557889715951e+00  1.0030108241411058e+00  1.0067013874988155e+00  1.4225846137762173e-05  -1.1451726951590653e-04  9.4224461942820839e-05  1.0027499733892946e+00  1.0025683375949446e+00  1.0032651976256839e+00  1.0018585174194310e+00  1.0017628225446595e+00  1.0021092681665049e+00  2.6941849990466489e-06  -1.5008250554590827e-05  4.2907365731733473e-05
7.1999999999998900e+00  1.0062180885535057e+00  1.0051115130370980e+00  1.0117835448051302e+00  1.0035365254948145e+00  1.0030104377902973e+00  1.0066832751572623e+00  1.3428943829999132e-05  -8.4415448693358331e-05  1.0281290890425446e-04  1.0027516018056870e+00  1.0025691808834720e+00  1.0032871120756424e+00  1.0018543953147705e+00  1.0017593600115231e+00  1.0021333785167719e+00  2.8181144363335336e-06  -4.4067033967826819e-05  6.1224381462779165e-05
7.9999999999998703e+00  1.0062231989970913e+00  1.0051756793511333e+00  1.0117761383852375e+00  1.0035169779034803e+00  1.0029761482744848e+00  1.0065995379274184e+00  1.4071510026491182e-05  -5.3952612800266905e-05  1.0721935369958490e-04  1.0027527906812617e+00  1.0025661494819491e+00  1.0032770846367081e+00  1.0018508397890014e+00  1.0017540930219320e+00  1.0021328570136410e+00  2.3067123842935447e-06  -4.4891735536472659e-05  5.7779137773844603e-05
8.7999999999998604e+00  1.0062274775414664e+00  1.0052020082049491e+00  1.0117594097332236e+00  1.0034986974913283e+00  1.0029135369545272e+00  1.0064991720661691e+00  1.1513983555160702e-05  -7.2143463370000441e-05  8.6129448223874224e-05  1.0027542886471461e+00  1.0025636867442960e+00  1.0032770221374026e+00  1.0018469074063012e+00  1.0017607248731797e+00  1.0021015285888957e+00  3.6345985663286716e-06  -4.9622558496670474e-05  5.3559022506933505e-05
