# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  1.6653284817721134e-01  1.6666666666666430e-01
2.6666666666666600e-01  1.6653102327467129e-01  1.6666666666666430e-01
5.3333333333333299e-01  1.6652724426282775e-01  1.6666666666666430e-01
8.0000000000000104e-01  1.6652391247022313e-01  1.6666666666666430e-01
1.0666666666666700e+00  1.6652154405290301e-01  1.6666666666666430e-01
1.3333333333333299e+00  1.6651966515669403e-01  1.6666666666666430e-01
1.6000000000000001e+00  1.6651885036121586e-01  1.6666666666666430e-01
1.8666666666666600e+00  1.6651890966376859e-01  1.6666666666666430e-01
2.1333333333333302e+00  1.6651828249204184e-01  1.6666666666666430e-01
2.3999999999999999e+00  1.6651646157441266e-01  1.6666666666666430e-01
2.6666666666666701e+00  1.6651421925187951e-01  1.6666666666666430e-01
2.9333333333333500e+00  1.6651191475629043e-01  1.6666666666666430e-01
3.2000000000000202e+00  1.6650963833346233e-01  1.6666666666666430e-01
3.4666666666666899e+00  1.6650730015981471e-01  1.6666666666666430e-01
3.7333333333333698e+00  1.6650436208411135e-01  1.6666666666666430e-01
4.0000000000000400e+00  1.6650051017307443e-01  1.6666666666666430e-01
4.2666666666667101e+00  1.6649641974145082e-01  1.6666666666666430e-01
4.5333333333333803e+00  1.6649307965990656e-01  1.6666666666666430e-01
4.8000000000000602e+00  1.6649026761864902e-01  1.6666666666666430e-01
5.0666666666667304e+00  1.6648676157522058e-01  1.6666666666666430e-01
5.3333333333333997e+00  1.6648207025684336e-01  1.6666666666666430e-01
5.6000000000000796e+00  1.6647668145527875e-01  1.6666666666666430e-01
5.8666666666667497e+00  1.6647088656165435e-01  1.6666666666666430e-01
6.1333333333334199e+00  1.6646463909716167e-01  1.6666666666666430e-01
6.4000000000000901e+00  1.6645812949854633e-01  1.6666666666666430e-01
6.6666666666667700e+00  1.6645159856875816e-01  1.6666666666666430e-01
6.9333333333334402e+00  1.6644513645667913e-01  1.6666666666666430e-01
7.2000000000001103e+00  1.6643889153969360e-01  1.6666666666666430e-01
7.4666666666667796e+00  1.6643290921144444e-01  1.6666666666666430e-01
7.7333333333334604e+00  1.6642711165522237e-01  1.6666666666666430e-01
8.0000000000001297e+00  1.6642191121220565e-01  1.6666666666666430e-01
8.2666666666667705e+00  1.6641822019881689e-01  1.6666666666666430e-01
8.5333333333334007e+00  1.6641628780332587e-01  1.6666666666666430e-01
8.8000000000000398e+00  1.6641500821763691e-01  1.6666666666666430e-01
9.0666666666666806e+00  1.6641305170809054e-01  1.6666666666666430e-01
9.3333333333333197e+00  1.6641044835320970e-01  1.6666666666666430e-01
9.5999999999999499e+00  1.6640838651885620e-01  1.6666666666666430e-01
9.8666666666665908e+00  1.6640755074763622e-01  1.6666666666666430e-01
1.0133333333333200e+01  1.6640729731019613e-01  1.6666666666666430e-01
1.0399999999999901e+01  1.6640649466080024e-01  1.6666666666666430e-01
1.0666666666666501e+01  1.6640465869142707e-01  1.6666666666666430e-01
1.0933333333333101e+01  1.6640212362618331e-01  1.6666666666666430e-01
1.1199999999999800e+01  1.6639944714671642e-01  1.6666666666666430e-01
1.1466666666666400e+01  1.6639688965386243e-01  1.6666666666666430e-01
1.1733333333333100e+01  1.6639436594818055e-01  1.6666666666666430e-01
1.1999999999999700e+01  1.6639168334900556e-01  1.6666666666666430e-01
1.2266666666666300e+01  1.6638873398625506e-01  1.6666666666666430e-01
1.2533333333332999e+01  1.6638551502773449e-01  1.6666666666666430e-01
1.2799999999999599e+01  1.6638206635720929e-01  1.6666666666666430e-01
1.3066666666666199e+01  1.6637843504591315e-01  1.6666666666666430e-01
1.3333333333332900e+01  1.6637466990395791e-01  1.6666666666666430e-01
1.3599999999999500e+01  1.6637080369920931e-01  1.6666666666666430e-01
1.3866666666666200e+01  1.6636683495141930e-01  1.6666666666666430e-01
1.4133333333332800e+01  1.6636274810828569e-01  1.6666666666666430e-01
1.4399999999999400e+01  1.6635855310314082e-01  1.6666666666666430e-01
1.4666666666666099e+01  1.6635428713811018e-01  1.6666666666666430e-01
1.4933333333332699e+01  1.6634997370009583e-01  1.6666666666666430e-01
1.5199999999999299e+01  1.6634559503952731e-01  1.6666666666666430e-01
1.5466666666666001e+01  1.6634111448226793e-01  1.6666666666666430e-01
1.5733333333332601e+01  1.6633651789539849e-01  1.6666666666666430e-01
1.5999999999999201e+01  1.6633182154512596e-01  1.6666666666666430e-01
1.6266666666666001e+01  1.6632704016796285e-01  1.6666666666666430e-01
1.6533333333332699e+01  1.6632215865357514e-01  1.6666666666666430e-01
1.6799999999999400e+01  1.6631713943990101e-01  1.6666666666666430e-01
1.7066666666666102e+01  1.6631194798571816e-01  1.6666666666666430e-01
1.7333333333332799e+01  1.6630656201407801e-01  1.6666666666666430e-01
1.7599999999999500e+01  1.6630096181235426e-01  1.6666666666666430e-01
1.7866666666666202e+01  1.6629512474196687e-01  1.6666666666666430e-01
1.8133333333332899e+01  1.6628903345901502e-01  1.6666666666666430e-01
1.8399999999999601e+01  1.6628268384203612e-01  1.6666666666666430e-01
1.8666666666666298e+01  1.6627608107768910e-01  1.6666666666666430e-01
1.8933333333333000e+01  1.6626923055940959e-01  1.6666666666666430e-01
1.9199999999999701e+01  1.6626213473804921e-01  1.6666666666666430e-01
1.9466666666666502e+01  1.6625479570961885e-01  1.6666666666666430e-01
1.9733333333333199e+01  1.6624721634962003e-01  1.6666666666666430e-01
1.9999999999999901e+01  1.6623939841956850e-01  1.6666666666666430e-01
2.0266666666666602e+01  1.6623134274206341e-01  1.6666666666666430e-01
2.0533333333333299e+01  1.6622305363494319e-01  1.6666666666666430e-01
2.0800000000000001e+01  1.6621454179494738e-01  1.6666666666666430e-01
2.1066666666666698e+01  1.6620581881210575e-01  1.6666666666666430e-01
2.1333333333333400e+01  1.6619688578820205e-01  1.6666666666666430e-01
2.1600000000000101e+01  1.6618772710562671e-01  1.6666666666666430e-01
2.1866666666666799e+01  1.6617831611081535e-01  1.6666666666666430e-01
2.2133333333333500e+01  1.6616862637656252e-01  1.6666666666666430e-01
2.2400000000000201e+01  1.6615863736877667e-01  1.6666666666666430e-01
2.2666666666666998e+01  1.6614833367174500e-01  1.6666666666666430e-01
2.2933333333333699e+01  1.6613770764025623e-01  1.6666666666666430e-01
2.3200000000000401e+01  1.6612676968724471e-01  1.6666666666666430e-01
2.3466666666667098e+01  1.6611555468981468e-01  1.6666666666666430e-01
2.3733333333333800e+01  1.6610410986378477e-01  1.6666666666666430e-01
2.4000000000000501e+01  1.6609246675789327e-01  1.6666666666666430e-01
2.4266666666667199e+01  1.6608061856565803e-01  1.6666666666666430e-01
2.4533333333333900e+01  1.6606852150471832e-01  1.6666666666666430e-01
2.4800000000000601e+01  1.6605611783416438e-01  1.6666666666666430e-01
2.5066666666667299e+01  1.6604336092627561e-01  1.6666666666666430e-01
