# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  3.6855280145715109e-07  5.2798275796771838e-08  3.3020277165254691e-01  2.3208110866101874e+00  7.8823335689956397e-01
2.0000000000000001e-01  1.5024650198203339e-08  8.9227942947244345e-09  6.5074936423253482e-01  3.6029974569301393e+00  4.6654423135617135e-01
4.0000000000000002e-01  1.5145750361107640e-08  9.1260309929522856e-09  6.1845377459905104e-01  3.4738150983962042e+00  4.9693103341280032e-01
5.9999999999999998e-01  1.4174937980266082e-08  8.3924835625456658e-09  6.1128124470517742e-01  3.4451249788207097e+00  4.2516147142782978e-01
8.0000000000000104e-01  1.3994381859967986e-08  8.2885683284767798e-09  6.6805966840890674e-01  3.6722386736356269e+00  4.5860000254732131e-01
1.0000000000000000e+00  1.4081734436774324e-08  8.5527817509106742e-09  7.1759374637311102e-01  3.8703749854924441e+00  4.5737963748590238e-01
1.2000000000000000e+00  1.3007346131566171e-08  7.7670388595764595e-09  6.4964801959392093e-01  3.5985920783756837e+00  4.3887233781661722e-01
1.3999999999999899e+00  1.2958347143064736e-08  7.5897641795376557e-09  6.2897121586493210e-01  3.5158848634597284e+00  4.3948219527885929e-01
1.5999999999999901e+00  1.3567769791929886e-08  8.2061929284771495e-09  6.9428244331048627e-01  3.7771297732419451e+00  4.5396533756244195e-01
1.7999999999999801e+00  1.2799733729179603e-08  7.8055585471073639e-09  7.0879852574696933e-01  3.8351941029878773e+00  4.4944001170416331e-01
1.9999999999999800e+00  1.1894877372305774e-08  7.0867835689958137e-09  6.6002082705733101e-01  3.6400833082293240e+00  4.3005685979719743e-01
2.1999999999999802e+00  1.1874161555277846e-08  7.0216382844590047e-09  6.4061532518105713e-01  3.5624613007242285e+00  4.0810689029759628e-01
2.3999999999999702e+00  1.2117489081823105e-08  7.2278460345841029e-09  6.7021694221333017e-01  3.6808677688533207e+00  4.2180626402882154e-01
2.5999999999999699e+00  1.1990984233713395e-08  7.1825509363802765e-09  6.7359409825007521e-01  3.6943763930003009e+00  4.4027219269212903e-01
2.7999999999999599e+00  1.1566581383647547e-08  6.9428420548250179e-09  6.7118737256201688e-01  3.6847494902480675e+00  4.2734153673621367e-01
2.9999999999999600e+00  1.1087383190046140e-08  6.6267386564529673e-09  6.8277848392037832e-01  3.7311139356815133e+00  4.1571624428163140e-01
3.1999999999999500e+00  1.0771083525118229e-08  6.3989946318579132e-09  6.7177767417572376e-01  3.6871106967028950e+00  4.1752296137967321e-01
3.3999999999999502e+00  1.0646813952156339e-08  6.3312780746374603e-09  6.5148048047208040e-01  3.6059219218883216e+00  4.0791939536629607e-01
3.5999999999999499e+00  1.0471681930158925e-08  6.2244785299520937e-09  6.6195809466524791e-01  3.6478323786609916e+00  3.9680485041699270e-01
3.7999999999999399e+00  1.0273907980369198e-08  6.0834674705455566e-09  6.7482535922911202e-01  3.6993014369164481e+00  3.9619038966177844e-01
3.9999999999999400e+00  1.0090129879189745e-08  5.9887666937842017e-09  6.7533886702628099e-01  3.7013554681051239e+00  4.0365506786647032e-01
4.1999999999999300e+00  9.7820774956659270e-09  5.8169348853713721e-09  6.6879229257118622e-01  3.6751691702847449e+00  4.0215043982504700e-01
4.3999999999999302e+00  9.4623419425708755e-09  5.5867541276151667e-09  6.5911922144788981e-01  3.6364768857915593e+00  3.9368500415754315e-01
4.5999999999999197e+00  9.3058383135096085e-09  5.4709060818548466e-09  6.5739366397950239e-01  3.6295746559180095e+00  3.8712520064129818e-01
4.7999999999999199e+00  9.2056410579475650e-09  5.4391435922619233e-09  6.6591808743895342e-01  3.6636723497558137e+00  3.7720516683744004e-01
4.9999999999999201e+00  9.0046318871212416e-09  5.3380334504591252e-09  6.7104917095231187e-01  3.6841966838092475e+00  3.7610407486332498e-01
5.1999999999999096e+00  8.7348847423027111e-09  5.1554610220287637e-09  6.7010843857917313e-01  3.6804337543166925e+00  3.8744902815467247e-01
5.3999999999999098e+00  8.5020989037775278e-09  4.9900123255869208e-09  6.7121583404993190e-01  3.6848633361997276e+00  3.9014479642620020e-01
5.5999999999999002e+00  8.3290857955166403e-09  4.8732845714945460e-09  6.7032550232217925e-01  3.6813020092887170e+00  3.8232657653450830e-01
5.7999999999999003e+00  8.1830633751467430e-09  4.7785970038328695e-09  6.6240640330712175e-01  3.6496256132284870e+00  3.7790721564952767e-01
5.9999999999998899e+00  8.0463071739183501e-09  4.6988025932092388e-09  6.5806476917901957e-01  3.6322590767160783e+00  3.7743861122314454e-01
6.1999999999998900e+00  7.9128516256744902e-09  4.6263196877173412e-09  6.6495985116287415e-01  3.6598394046514966e+00  3.7166008524913485e-01
6.3999999999998902e+00  7.7566856123816864e-09  4.5248059664510476e-09  6.7099672390819487e-01  3.6839868956327795e+00  3.6293447253516148e-01
6.5999999999998797e+00  7.5831967202134410e-09  4.3949004171017833e-09  6.6883713542580125e-01  3.6753485417032050e+00  3.7089743764851352e-01
6.7999999999998799e+00  7.4553816651990033e-09  4.2876951375048054e-09  6.6496864497513508e-01  3.6598745799005403e+00  3.9442549668828897e-01
6.9999999999998703e+00  7.3844023019293353e-09  4.2221218345690115e-09  6.6452375505238193e-01  3.6580950202095277e+00  3.9773540002917290e-01
7.1999999999998696e+00  7.3159824840234244e-09  4.1796272701658108e-09  6.6693624132172036e-01  3.6677449652868814e+00  3.7593971842684815e-01
7.3999999999998600e+00  7.2260753745935666e-09  4.1240457214443909e-09  6.6900721881228054e-01  3.6760288752491221e+00  3.7301468534147475e-01
7.5999999999998602e+00  7.1261778421014368e-09  4.0226491490037963e-09  6.6671755459341120e-01  3.6668702183736448e+00  4.0279731314244732e-01
7.7999999999998604e+00  7.0651118294891939e-09  3.9237420690861402e-09  6.6214322898175881e-01  3.6485729159270353e+00  4.2231985605339556e-01
7.9999999999998499e+00  7.0668345904220334e-09  3.8907714154699035e-09  6.6290268105192562e-01  3.6516107242077025e+00  4.0824233987150232e-01
8.1999999999998803e+00  7.0577651615211774e-09  3.8606997800182836e-09  6.6615447608656819e-01  3.6646179043462728e+00  4.0213445651785584e-01
8.3999999999999098e+00  6.9734565127995667e-09  3.7370324406872791e-09  6.6447758028729820e-01  3.6579103211491928e+00  4.3423477234060515e-01
8.5999999999999392e+00  6.9260011754169398e-09  3.5982877033505125e-09  6.5606572666158114e-01  3.6242629066463246e+00  4.6790706335495058e-01
8.7999999999999794e+00  6.9973193163844798e-09  3.5410049617043240e-09  6.4892411852629917e-01  3.5956964741051967e+00  4.6779046181442385e-01
9.0000000000000107e+00  7.0806834909656854e-09  3.4914837027730295e-09  6.4734462041355179e-01  3.5893784816542071e+00  4.6741490779661138e-01
9.2000000000000401e+00  7.0946677181722506e-09  3.3552215288667062e-09  6.4678616310338943e-01  3.5871446524135577e+00  4.9520611916375751e-01
9.4000000000000696e+00  7.1510422089081885e-09  3.2048298385156129e-09  6.4255174934408854e-01  3.5702069973763542e+00  5.2570032976808079e-01
9.6000000000000991e+00  7.3294790688569613e-09  3.1252981764855405e-09  6.3481244706550100e-01  3.5392497882620040e+00  5.3780249010986769e-01
9.8000000000001304e+00  7.5560179916124406e-09  3.0587582123508713e-09  6.2913588466102799e-01  3.5165435386441120e+00  5.6212838872800397e-01
1.0000000000000201e+01  7.7822223880925394e-09  2.9349028386536938e-09  6.2826531764344318e-01  3.5130612705737727e+00  6.1827005654198397e-01
1.0200000000000200e+01  8.0905020831369087e-09  2.8072054786669058e-09  6.2730031278551412e-01  3.5092012511420565e+00  6.7382729653115059e-01
1.0400000000000199e+01  8.5404150763971513e-09  2.7508544601655853e-09  6.1820120044932536e-01  3.4728048017973014e+00  6.9387192054648628e-01
1.0600000000000300e+01  9.0964063450202012e-09  2.7550964851680331e-09  6.0993081103389812e-01  3.4397232441355925e+00  6.9863820167225366e-01
1.0800000000000299e+01  9.7320416442849925e-09  2.7669985823274045e-09  6.0917828860363099e-01  3.4367131544145240e+00  7.2702507772446712e-01
1.1000000000000300e+01  1.0494809854929178e-08  2.7833393971874220e-09  6.0956837603510106e-01  3.4382735041404042e+00  7.8526052198676966e-01
1.1200000000000401e+01  1.1421258105184743e-08  2.8459177382485748e-09  5.7882551562214624e-01  3.3153020624885849e+00  8.4163534142648655e-01
