# time  Re(R=8)  Im(R=8)  Re(R=16)  Im(R=16)
0.0000000000000000e+00  -5.9242949998196150e-05  -5.4129236602995415e-06  -1.7631155965860739e-04  -9.2417827286224009e-08
2.0000000000000001e-01  -3.9916946651624381e-05  -1.4995862751619282e-06  -1.2040761231147700e-05  1.7614167302915961e-09
4.0000000000000002e-01  -4.9515518206634012e-05  -3.0104678438098641e-07  -7.1119377962892786e-06  2.0123866259482712e-09
5.9999999999999998e-01  -4.2244380575916461e-05  1.2223641796700430e-07  -1.8953839371651381e-05  5.0148297497936549e-10
8.0000000000000104e-01  -4.2138432749105873e-05  -8.1839460851038256e-07  -1.5154223926523917e-05  -1.0860451213873792e-08
1.0000000000000000e+00  -4.4818425250853469e-05  -5.2583493320204954e-07  -1.2372774238422326e-05  3.1447609724863720e-08
1.2000000000000000e+00  -3.7047771409769409e-05  2.5603393897607083e-07  -1.6487321538398473e-05  9.0349142446348772e-08
1.3999999999999899e+00  -3.7089319551533268e-05  4.9224129292792099e-07  -1.7176639116539422e-05  -2.2971053768577444e-07
1.5999999999999901e+00  -4.0878146415061774e-05  -2.1063754773476226e-08  -1.3882933359089127e-05  -6.3264857233482291e-08
1.7999999999999801e+00  -3.6226174606542795e-05  -5.3742099377903415e-07  -1.2722172619704458e-05  4.3779077519692972e-07
1.9999999999999800e+00  -3.2920827396490002e-05  -1.6713215037960682e-07  -1.5439862034779258e-05  1.1923086509498988e-08
2.1999999999999802e+00  -3.3492479509898446e-05  3.6498138470489057e-07  -1.7358044197322999e-05  -5.6358825340188542e-07
2.3999999999999702e+00  -3.4677364479524585e-05  1.9261400869873988e-07  -1.5480387020036815e-05  -2.6818311952376409e-08
2.5999999999999699e+00  -3.3907949728371141e-05  -1.9218110772786156e-07  -1.4564614347102644e-05  4.7933562807767702e-07
2.7999999999999599e+00  -3.0972244229735476e-05  -1.3587259661241488e-07  -1.4976028769045685e-05  6.7373867705579622e-08
2.9999999999999600e+00  -2.9046294151764174e-05  3.2476861508164531e-08  -1.4187186300716509e-05  -1.3826150274865221e-07
3.1999999999999500e+00  -2.8593376806452545e-05  -5.8600310425346245e-08  -1.4520815967624787e-05  8.0340478694828462e-08
3.3999999999999502e+00  -2.7291018533109597e-05  2.3631692186697183e-09  -1.5888854666001634e-05  -1.9044205117599151e-07
3.5999999999999499e+00  -2.5073503013914913e-05  2.4858095113940572e-07  -1.5645638503112291e-05  -4.3983955084943387e-07
3.7999999999999399e+00  -2.4211216339236902e-05  9.2310729473606993e-08  -1.4638775026534540e-05  1.4982293672036810e-07
3.9999999999999400e+00  -2.3926700589583909e-05  -2.3941464015317415e-07  -1.4255263002017176e-05  5.9634572911847681e-07
4.1999999999999300e+00  -2.1476819607895437e-05  -1.6971230219237358e-07  -1.4464419815652410e-05  2.1410206330249803e-07
4.3999999999999302e+00  -1.8453928931133290e-05  1.0598279458295023e-07  -1.4918116405191576e-05  -2.8112628452663257e-07
4.5999999999999197e+00  -1.7368635507941980e-05  1.4913661363853740e-07  -1.5115004960666001e-05  -4.3246482076100453e-07
