# time  core_x_canon  core_y_canon  core_z_canon  peak_canon  core_x_phantom  core_y_phantom  core_z_phantom  peak_phantom  coord_sep  proper_sep  px_canon  px_phantom  px_total  shift_x_canon  shift_x_phantom  max_abs_shift
0.0000000000000000e+00  3.8001507098058411e+01  3.1999584011124941e+01  3.1999584008245520e+01  2.2563957635993264e-02  2.6002484408821996e+01  3.2000438175447272e+01  3.2000438175081747e+01  2.2260476436692510e-02  1.1999022689236416e+01  1.1243696146093114e+01  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
2.0000000000000001e-01  3.8001591437887299e+01  3.1999571895112293e+01  3.1999571976373247e+01  2.2564095634556042e-02  2.6002596343494108e+01  3.2000451788760891e+01  3.2000451820822320e+01  2.2262490393304666e-02  1.1998995094393191e+01  1.1243698053700291e+01  5.7749253040158809e-06  8.3091883499916833e-06  -2.5342630459758024e-06  -4.1851487243169421e-09  5.2284448510041560e-09  1.3812242725150333e-05
4.0000000000000002e-01  3.8001838792535928e+01  3.1999536944530064e+01  3.1999537270048144e+01  2.2562346182458785e-02  2.6002930197211299e+01  3.2000490950759094e+01  3.2000491078200270e+01  2.2266031631181619e-02  1.1998908595324629e+01  1.1243709577233215e+01  1.1537967469126892e-05  1.6607655465832702e-05  -5.0696879967058097e-06  -3.2729640653798302e-08  4.5339257677437687e-08  3.1429462522016807e-05
5.9999999999999998e-01  3.8002224122753518e+01  3.1999483985438562e+01  3.1999484694629619e+01  2.2559212614627996e-02  2.6003450699001316e+01  3.2000549855826726e+01  3.2000550133093633e+01  2.2270480942815529e-02  1.1998773423752201e+01  1.0996700853010834e+01  1.7275875321264225e-05  2.4882388874964636e-05  -7.6065135537004110e-06  -1.0590397669338305e-07  1.7121825699698422e-07  5.1769837555243353e-05
8.0000000000000104e-01  3.8002708935093871e+01  3.1999420105596556e+01  3.1999421307611915e+01  2.2555488908054845e-02  2.6004100691883671e+01  3.2000620081656521e+01  3.2000620548907143e+01  2.2275009932298306e-02  1.1998608243210199e+01  1.0996746938389224e+01  2.2979443165164638e-05  3.3114995765160284e-05  -1.0135552599995646e-05  -2.4847384738916376e-07  4.1301844782340227e-07  6.9075380238836008e-05
1.0000000000000000e+00  3.8003246454133290e+01  3.1999353525411422e+01  3.1999355295211082e+01  2.2552071729333885e-02  2.6004801338066368e+01  3.2000692105467209e+01  3.2000692786459751e+01  2.2278747914885211e-02  1.1998445116066922e+01  1.0996809029614550e+01  2.8643249001403725e-05  4.1282082183718343e-05  -1.2638833182314618e-05  -4.7779027933801633e-07  8.8552212799578701e-07  9.0734361048748965e-05
1.2000000000000000e+00  3.8003843469406164e+01  3.1999263867771244e+01  3.1999266253871244e+01  2.2549746181803377e-02  2.6005481986470336e+01  3.2000756995316699e+01  3.2000757901529695e+01  2.2281106514980633e-02  1.1998361482935827e+01  1.0996885460062600e+01  3.4262756593621391e-05  4.9358358840402749e-05  -1.5095602246781359e-05  -8.3947730709394794e-07  1.6048839720056757e-06  1.1973680140380267e-04
1.3999999999999899e+00  3.8004369387257142e+01  3.1999231472181318e+01  3.1999232865421725e+01  2.2548997576531692e-02  2.6006083008313912e+01  3.2000807880072053e+01  3.2000809022325846e+01  2.2281865785448683e-02  1.1998286378943231e+01  1.0996972913210726e+01  3.9831486548098447e-05  5.7318916168306383e-05  -1.7487429620207936e-05  -1.3944518215417316e-06  3.0876725797257296e-06  1.6102846814757316e-04
1.5999999999999901e+00  3.8004788799056875e+01  3.1999201055998519e+01  3.1999204816773908e+01  2.2549900233633038e-02  2.6006563328424132e+01  3.2000840949675997e+01  3.2000842353342470e+01  2.2281209888965925e-02  1.1998225470632743e+01  1.0997072053777760e+01  4.5339685358712335e-05  6.5138866645905985e-05  -1.9799181287193649e-05  -2.1422358660941692e-06  6.2938250084289568e-06  2.0824935284503011e-04
1.7999999999999801e+00  3.8005134103234511e+01  3.1999167587865934e+01  3.1999172149883066e+01  2.2552117043091745e-02  2.6006904467957106e+01  3.2000855859128244e+01  3.2000857574284638e+01  2.2279805495133302e-02  1.1998229635277404e+01  1.1244127578920672e+01  5.0774123535595706e-05  7.2791910173711615e-05  -2.2017786638115909e-05  -3.7053185208892645e-06  8.0820337082738565e-06  2.6467590015299747e-04
1.9999999999999800e+00  3.8005330393073265e+01  3.1999148518692433e+01  3.1999155382053321e+01  2.2555012634685789e-02  2.6007110558774126e+01  3.2000855405132675e+01  3.2000857505212991e+01  2.2278379938576211e-02  1.1998219834299139e+01  1.1244225946579395e+01  5.6117637565025593e-05  8.0251340335967919e-05  -2.4133702770942325e-05  -6.6518904385387223e-06  1.4088475772029317e-05  3.2827656445157908e-04
