time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  5.0050783003417086e-05
4.0000000000000002e-01  -6.2554934720205089e-19  2.0830395157535481e-06
8.0000000000000004e-01  -1.1240046556484010e-18  4.2870326090472753e-07
1.2000000000000000e+00  -1.3799154451121633e-18  1.8621221778736016e-07
1.6000000000000001e+00  -1.3598463203464051e-18  1.0978084098908347e-07
2.0000000000000000e+00  -1.0869858228474948e-18  1.0610150622764437e-07
2.3999999999999901e+00  -6.1446293953764503e-19  1.0402017758069529e-07
2.7999999999999798e+00  -2.0643321216393636e-20  1.0131596333184746e-07
3.1999999999999802e+00  5.9557331226866015e-19  1.0106232548551804e-07
3.5999999999999699e+00  1.1257627126876726e-18  1.0278138409549951e-07
3.9999999999999600e+00  1.4694289886967710e-18  1.0244001574732499e-07
4.3999999999999497e+00  1.5552986478833347e-18  9.9541367079389962e-08
4.7999999999999403e+00  1.3596260517599528e-18  9.5382166051791704e-08
5.1999999999999300e+00  9.1458292238713555e-19  9.1299532552336632e-08
5.5999999999999304e+00  3.0360931107909207e-19  8.7926669030017637e-08
5.9999999999999201e+00  -3.5505550534268028e-19  8.4427494807325827e-08
6.3999999999999098e+00  -9.3242886964789972e-19  8.0987192696311948e-08
6.7999999999999003e+00  -1.3150609905264997e-18  7.7824167434654645e-08
7.1999999999998900e+00  -1.4277824626938097e-18  7.5248694261776316e-08
7.5999999999998797e+00  -1.2484168547198871e-18  7.2866601772137879e-08
7.9999999999998703e+00  -8.1330237260283133e-19  7.0842714231121889e-08
8.3999999999998707e+00  -2.0836307149026726e-19  6.9419257013775244e-08
8.7999999999998604e+00  4.5694854814801101e-19  6.8804986024966020e-08
9.1999999999998501e+00  1.0554623899074126e-18  6.9129151454345497e-08
9.5999999999998398e+00  1.4273481654144319e-18  6.8083448342213830e-08
9.9999999999998295e+00  1.4563945145321096e-18  6.4885819604488816e-08
1.0399999999999800e+01  1.3550159910377566e-18  6.6968179433810050e-08
