# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  5.2979470739529668e-08  2.5694952249906590e-08  6.7472569376109481e-01  3.6989027750443793e+00  8.8298698787196883e-01
4.0000000000000002e-01  4.5945162201309315e-08  2.2776401692834722e-08  6.2383391388272014e-01  3.4953356555308805e+00  9.1848519746723523e-01
8.0000000000000004e-01  4.3252998294972272e-08  2.1743268053970611e-08  6.3155463580857707e-01  3.5262185432343083e+00  9.1539335825471779e-01
1.2000000000000000e+00  4.1858290433842093e-08  2.1119604625477070e-08  6.4280099939730573e-01  3.5712039975892229e+00  9.1916187992372511e-01
1.6000000000000001e+00  3.9352863096563802e-08  1.9740479081201932e-08  6.4242610534349931e-01  3.5697044213739972e+00  9.1526630117816177e-01
2.0000000000000000e+00  3.8752931797393876e-08  1.9565675027268711e-08  6.2216629145932278e-01  3.4886651658372911e+00  9.1733006683606266e-01
2.3999999999999901e+00  3.7472767975021197e-08  1.8909710726501412e-08  6.1074808013908632e-01  3.4429923205563453e+00  9.0987066558385254e-01
2.7999999999999798e+00  3.4565353503602667e-08  1.7461833959832878e-08  6.1466384498734583e-01  3.4586553799493833e+00  8.9973011231722322e-01
3.1999999999999802e+00  3.2621382117332004e-08  1.6387909834051798e-08  5.9619970510343878e-01  3.3847988204137551e+00  9.3171714949921725e-01
3.5999999999999699e+00  3.1156493610908351e-08  1.5573688323300724e-08  6.1059115516218743e-01  3.4423646206487497e+00  9.2108522140048366e-01
3.9999999999999600e+00  2.9594962478697629e-08  1.4641547720391841e-08  6.1327374956784653e-01  3.4530949982713861e+00  8.7471505681757156e-01
4.3999999999999497e+00  2.8060215339305431e-08  1.3694172052829599e-08  5.9831535788718360e-01  3.3932614315487344e+00  9.0012135826223294e-01
4.7999999999999403e+00  2.6295032974750165e-08  1.2750576791974065e-08  5.6799237030104033e-01  3.2719694812041613e+00  9.2346641028152976e-01
5.1999999999999300e+00  2.4557739832811420e-08  1.1859591026172203e-08  5.3682511532260324e-01  3.1473004612904130e+00  9.0847861374603900e-01
5.5999999999999304e+00  2.3331868596323216e-08  1.1210878733759416e-08  5.3486643244144472e-01  3.1394657297657789e+00  9.1145779522549120e-01
