# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  5.5843233760951423e-09  3.5417550312845134e-09  6.8504361185415141e-01  3.7401744474166057e+00  9.2586288188242949e-01
8.0000000000000004e-01  4.9024284678929514e-09  3.2762056263358231e-09  7.0029736960094491e-01  3.8011894784037796e+00  9.5098489006970821e-01
1.6000000000000001e+00  4.4672637091453917e-09  2.8789286838776978e-09  6.9785820598847037e-01  3.7914328239538815e+00  9.5052468909698795e-01
2.3999999999999901e+00  4.2990136467350391e-09  2.7609655625007460e-09  6.8692467556033887e-01  3.7476987022413555e+00  9.4686450664534227e-01
3.1999999999999802e+00  4.1110060233583222e-09  2.5819018363179547e-09  6.8597145430307271e-01  3.7438858172122909e+00  9.4694541963413659e-01
3.9999999999999600e+00  3.6535601508307354e-09  2.3067122282657815e-09  6.8092532357675717e-01  3.7237012943070287e+00  9.4618736365702438e-01
4.7999999999999403e+00  3.5113464201749161e-09  2.1930479564171441e-09  6.8622943519367241e-01  3.7449177407746896e+00  9.3930533685281548e-01
5.5999999999999304e+00  3.2276215047476488e-09  1.9954974329694232e-09  6.5877280990451514e-01  3.6350912396180606e+00  9.4364492621156726e-01
6.3999999999999098e+00  2.9463553626110959e-09  1.7947944455170940e-09  6.7311462099021968e-01  3.6924584839608787e+00  9.4791654621751253e-01
7.1999999999998900e+00  2.8676968530633986e-09  1.7507321257415208e-09  6.4659561489094508e-01  3.5863824595637803e+00  9.3508604875459755e-01
7.9999999999998703e+00  2.7172961438304446e-09  1.6670774026086902e-09  6.6565670330743210e-01  3.6626268132297284e+00  9.3637708965901900e-01
8.7999999999998604e+00  2.6611661595163517e-09  1.6393717620846975e-09  6.1304121371844056e-01  3.4521648548737622e+00  9.3453690102220455e-01
9.5999999999998398e+00  2.5129951149769123e-09  1.5423343933084105e-09  5.9880119411710797e-01  3.3952047764684319e+00  9.7674364638456190e-01
1.0399999999999800e+01  2.4816126967070830e-09  1.5284226146093542e-09  5.9715215804722932e-01  3.3886086321889173e+00  9.5343604551519667e-01
1.1199999999999800e+01  2.2919112438531437e-09  1.4061386773905996e-09  5.8325104133300743e-01  3.3330041653320297e+00  9.5745021720162116e-01
1.1999999999999799e+01  2.1256948606564456e-09  1.2959249673660200e-09  6.6827380663029545e-01  3.6730952265211818e+00  8.8112745070379805e-01
1.2799999999999800e+01  2.0197833631699537e-09  1.2353931464500142e-09  6.7384812958090812e-01  3.6953925183236325e+00  8.7859008115088610e-01
1.3599999999999801e+01  1.8999964156102814e-09  1.1602172807728361e-09  6.7678048926566392e-01  3.7071219570626557e+00  8.3602455415709920e-01
1.4399999999999700e+01  1.7837098301596764e-09  1.0823780085649264e-09  6.7086780688815884e-01  3.6834712275526353e+00  7.6240335146891736e-01
1.5199999999999701e+01  1.6904961558303366e-09  1.0232113794654064e-09  6.6781895614619002e-01  3.6712758245847601e+00  7.3296988289401499e-01
1.5999999999999700e+01  1.5904750833995238e-09  9.6307204600188610e-10  6.3502817538359513e-01  3.5401127015343805e+00  9.1360807585762782e-01
1.6799999999999802e+01  1.4855835579859204e-09  8.9761800500546720e-10  6.3941891148295960e-01  3.5576756459318384e+00  9.5614563193797353e-01
1.7600000000000001e+01  1.3902638097840404e-09  8.3548927223879859e-10  6.6583419727898552e-01  3.6633367891159421e+00  8.8823271428874306e-01
1.8400000000000102e+01  1.3073316304885582e-09  7.8319015621697441e-10  6.5545563618068070e-01  3.6218225447227228e+00  8.3530456914080609e-01
1.9200000000000198e+01  1.2247353989989496e-09  7.3166409437158321e-10  6.3648598691899017e-01  3.5459439476759607e+00  8.6486484619733595e-01
2.0000000000000298e+01  1.1475442385286436e-09  6.8313643273197046e-10  6.5170390200322625e-01  3.6068156080129050e+00  9.0377172395708527e-01
2.0800000000000502e+01  1.0755727253054043e-09  6.3790585482134312e-10  6.6215603346544105e-01  3.6486241338617642e+00  8.9391307484503812e-01
2.1600000000000598e+01  1.0058382432442705e-09  5.9390774264049507e-10  6.5939587590632831e-01  3.6375835036253132e+00  8.9285479247896982e-01
2.2400000000000698e+01  9.3866231896431294e-10  5.5151872753530442e-10  5.9005192722252275e-01  3.3602077088900910e+00  9.1879054791351988e-01
2.3200000000000799e+01  8.7545493559734566e-10  5.1176937146032685e-10  5.8461598156370287e-01  3.3384639262548115e+00  9.0929941978100204e-01
2.4000000000000998e+01  8.1649347958055174e-10  4.7474098647670454e-10  6.3094279840666767e-01  3.5237711936266707e+00  8.9480331019034687e-01
2.4800000000001098e+01  7.6089047220168220e-10  4.3990314296989767e-10  6.1879090045385809e-01  3.4751636018154324e+00  9.1695595494630300e-01
2.5600000000001199e+01  7.0891079197749405e-10  4.0747841110634272e-10  5.4675368383863276e-01  3.1870147353545311e+00  9.2564346141399667e-01
2.6400000000001299e+01  6.6073039508042517e-10  3.7758385263933563e-10  5.4126037085021883e-01  3.1650414834008753e+00  9.1762314752534491e-01
2.7200000000001499e+01  6.1619480090570197e-10  3.5012245503170351e-10  5.4358405327069415e-01  3.1743362130827766e+00  9.1380088534409687e-01
2.8000000000001599e+01  5.7517338731168751e-10  3.2498842443053531e-10  5.5064941143948753e-01  3.2025976457579501e+00  9.0047443315320996e-01
2.8800000000001699e+01  5.3730165644514411e-10  3.0192585196856054e-10  5.6213050876888859e-01  3.2485220350755544e+00  8.8288907706042419e-01
2.9600000000001799e+01  5.0232880618314777e-10  2.8075099558353262e-10  5.7548351770752704e-01  3.3019340708301081e+00  8.6176777248824843e-01
3.0400000000001999e+01  4.7016324478519509e-10  2.6139470489584642e-10  5.8594330314766374e-01  3.3437732125906550e+00  8.3907249953901530e-01
3.1200000000002099e+01  4.4087360904830482e-10  2.4390781405591910e-10  5.9554032851018635e-01  3.3821613140407454e+00  8.1481405338891777e-01
3.2000000000002203e+01  4.1454458427945781e-10  2.2835926635945369e-10  6.0385833107194897e-01  3.4154333242877959e+00  7.8790159459703091e-01
3.2800000000002001e+01  3.9098751434337830e-10  2.1461580603495802e-10  6.0817804860908020e-01  3.4327121944363208e+00  7.6359017393988760e-01
3.3600000000001899e+01  3.7011479601229075e-10  2.0259986025325414e-10  6.1134504406117451e-01  3.4453801762446981e+00  7.4469226059077065e-01
3.4400000000001697e+01  3.5195249274587659e-10  1.9237678340733121e-10  6.1296804124085202e-01  3.4518721649634081e+00  7.3074024991008213e-01
3.5200000000001602e+01  3.3666175567532759e-10  1.8405828345997315e-10  6.1384162423794497e-01  3.4553664969517799e+00  7.2149060130859899e-01
3.6000000000001400e+01  3.2454133564106342e-10  1.7784637231598794e-10  6.1557351097417246e-01  3.4622940438966898e+00  7.1411501579991365e-01
3.6800000000001198e+01  3.1548749334571117e-10  1.7375273256374261e-10  6.1682372470667302e-01  3.4672948988266921e+00  7.1014575105361488e-01
3.7600000000001103e+01  3.0963246484995442e-10  1.7182530676078780e-10  6.1937194894275294e-01  3.4774877957710117e+00  7.1192252360884734e-01
3.8400000000000901e+01  3.0739553569602679e-10  1.7239203087189040e-10  6.2169531978252968e-01  3.4867812791301187e+00  7.1371069489581029e-01
3.9200000000000799e+01  3.0877548674641298e-10  1.7552529678599132e-10  6.2380531689975149e-01  3.4952212675990060e+00  7.1355984847819665e-01
4.0000000000000597e+01  3.1357378694076077e-10  1.8103099782181453e-10  6.2821437290088955e-01  3.5128574916035582e+00  7.1469385074001268e-01
4.0800000000000502e+01  3.2188084443897945e-10  1.8901526367592086e-10  6.3457927199342334e-01  3.5383170879736934e+00  7.1632883631426558e-01
4.1600000000000300e+01  3.3406566955859209e-10  1.9975178131220259e-10  6.4049664866022349e-01  3.5619865946408940e+00  7.1699768984631240e-01
4.2400000000000098e+01  3.5003875791640407e-10  2.1318045333318337e-10  6.4556996885887952e-01  3.5822798754355181e+00  7.1568380968298428e-01
4.3200000000000003e+01  3.6953779485356147e-10  2.2911215916385513e-10  6.5175327901166824e-01  3.6070131160466730e+00  7.0870390602636524e-01
4.3999999999999801e+01  3.9241647095797293e-10  2.4747995106433763e-10  6.5863330980789103e-01  3.6345332392315641e+00  6.9894758895880194e-01
4.4799999999999699e+01  4.1873611254375134e-10  2.6835895122728960e-10  6.6772774193606566e-01  3.6709109677442626e+00  6.9302625804213691e-01
4.5599999999999497e+01  4.4899878049202217e-10  2.9197695211519364e-10  6.7630906625671106e-01  3.7052362650268442e+00  6.8557707728048711e-01
4.6399999999999302e+01  4.8347101731887756e-10  3.1858694531188077e-10  6.7999016745551977e-01  3.7199606698220791e+00  6.7130360205211614e-01
4.7199999999999200e+01  5.2158356104724365e-10  3.4793677622772121e-10  6.8486855500213784e-01  3.7394742200085513e+00  6.5988688027792641e-01
4.7999999999998998e+01  5.6296173012126389e-10  3.7966865692538726e-10  6.9224768889680299e-01  3.7689907555872120e+00  6.5562921149138353e-01
4.8799999999998903e+01  6.0944096159169242e-10  4.1502439983605393e-10  6.9752627027343017e-01  3.7901050810937207e+00  6.4917797470634875e-01
4.9599999999998701e+01  6.6305234557254072e-10  4.5542834932233377e-10  7.0168966820244771e-01  3.8067586728097909e+00  6.3931132227495635e-01
5.0399999999998499e+01  7.1881799752429153e-10  4.9716977423703743e-10  7.0656467705871595e-01  3.8262587082348638e+00  6.3361811748313512e-01
5.1199999999998397e+01  7.6534828160678649e-10  5.3216607093018921e-10  7.0846994512788697e-01  3.8338797805115479e+00  6.3092265598738440e-01
5.1999999999998202e+01  8.0132102264790417e-10  5.5980492967190585e-10  7.0719251771524483e-01  3.8287700708609793e+00  6.2826181269006676e-01
5.2799999999998100e+01  8.4443940340718801e-10  5.9291210703840168e-10  7.0981868962229022e-01  3.8392747584891609e+00  6.2869408360893453e-01
5.3599999999997898e+01  9.1351699890082197e-10  6.4479570913763030e-10  7.1710867556460900e-01  3.8684347022584360e+00  6.3062264476316754e-01
5.4399999999997704e+01  1.0072011174441066e-09  7.1423065044450972e-10  7.2353956741725545e-01  3.8941582696690218e+00  6.3301025676443257e-01
5.5199999999997601e+01  1.1075368871430975e-09  7.8799524653245071e-10  7.1670252854092675e-01  3.8668101141637070e+00  6.3741140475455782e-01
5.5999999999997399e+01  1.2010629827994760e-09  8.5723243420017605e-10  7.1322357022858962e-01  3.8528942809143585e+00  6.4904839205818576e-01
5.6799999999997297e+01  1.2924245143507409e-09  9.2582132782251026e-10  7.2050811347318500e-01  3.8820324538927400e+00  6.5716873566389322e-01
5.7599999999997102e+01  1.3909780932307285e-09  9.9970888780612022e-10  7.2985039195557821e-01  3.9194015678223129e+00  6.5464254570751701e-01
5.8399999999997000e+01  1.4988257998897428e-09  1.0790602944652451e-09  7.2730499374243940e-01  3.9092199749697576e+00  6.5603532844907986e-01
5.9199999999996798e+01  1.6096422346856504e-09  1.1595710785553574e-09  7.1713794504680262e-01  3.8685517801872105e+00  6.7929783695363655e-01
5.9999999999996597e+01  1.7186462052289578e-09  1.2396666452651707e-09  7.1589034394052309e-01  3.8635613757620924e+00  7.1813627851094874e-01
6.0799999999996501e+01  1.8358103196894767e-09  1.3273324088383307e-09  7.2658274313828519e-01  3.9063309725531408e+00  7.4385336566618687e-01
6.1599999999996299e+01  1.9641934674931162e-09  1.4236227014084145e-09  7.3478082642751352e-01  3.9391233057100541e+00  7.3860331552118452e-01
6.2399999999996197e+01  2.1013671697971966e-09  1.5251092026937524e-09  7.3065472815579147e-01  3.9226189126231659e+00  7.1430014624022364e-01
6.3199999999996002e+01  2.2495455832045644e-09  1.6336070133541153e-09  7.2483008007519589e-01  3.8993203203007836e+00  6.9586788931875942e-01
6.3999999999995801e+01  2.3971459391937444e-09  1.7423254859267924e-09  7.2523062877001232e-01  3.9009225150800493e+00  6.8980759235055433e-01
6.4799999999996203e+01  2.5433352586996642e-09  1.8509836600816329e-09  7.3077778794391612e-01  3.9231111517756645e+00  6.8845501507253326e-01
6.5599999999996697e+01  2.7057630296269589e-09  1.9714370722234709e-09  7.3516679610002222e-01  3.9406671844000889e+00  6.9009478929712076e-01
6.6399999999997107e+01  2.8778468640619411e-09  2.0980353051303244e-09  7.3391648744541305e-01  3.9356659497816522e+00  6.9169713351000406e-01
6.7199999999997502e+01  3.0444530160574831e-09  2.2198589258490855e-09  7.2843451384416202e-01  3.9137380553766481e+00  6.9076104549706807e-01
6.7999999999997897e+01  3.2187435900927419e-09  2.3487267504440730e-09  7.2538547092403283e-01  3.9015418836961313e+00  6.9039082123752127e-01
6.8799999999998306e+01  3.4057248747458951e-09  2.4886050513032729e-09  7.2952186744294178e-01  3.9180874697717671e+00  6.9211407448542017e-01
6.9599999999998701e+01  3.5996227063137750e-09  2.6317319938865126e-09  7.3491235482813966e-01  3.9396494193125586e+00  6.9505345163880716e-01
7.0399999999999096e+01  3.8040800974811155e-09  2.7808375182470018e-09  7.3712607439303302e-01  3.9485042975721321e+00  6.9604662174512810e-01
7.1199999999999505e+01  4.0043621245203294e-09  2.9274674899273258e-09  7.3374104887868263e-01  3.9349641955147305e+00  6.9526849098592802e-01
7.1999999999999901e+01  4.2027326802163697e-09  3.0731182930962688e-09  7.3132866964464005e-01  3.9253146785785602e+00  6.9662932112886966e-01
7.2800000000000296e+01  4.4509025071054045e-09  3.2589466495180680e-09  7.3591242205572960e-01  3.9436496882229184e+00  6.9833801105582327e-01
7.3600000000000705e+01  4.6735798559024162e-09  3.4301503105866652e-09  7.3713476233406694e-01  3.9485390493362678e+00  6.9806201333853279e-01
7.4400000000001199e+01  4.7001225251126766e-09  3.4478862126430067e-09  7.3227820352633399e-01  3.9291128141053360e+00  6.9760657342706700e-01
7.5200000000001594e+01  4.9147269411650711e-09  3.5912714778929176e-09  7.3425986629712603e-01  3.9370394651885041e+00  6.9978400092221804e-01
7.6000000000002004e+01  5.9538864823323909e-09  4.3505727179618025e-09  7.3940759358357777e-01  3.9576303743343111e+00  7.1605124296698874e-01
7.6800000000002399e+01  6.9882744405058319e-09  5.1222547676687289e-09  7.3229488098520856e-01  3.9291795239408343e+00  7.3344378398486954e-01
7.7600000000002794e+01  6.1893768258565461e-09  4.5469946291238664e-09  7.2816754691552821e-01  3.9126701876621128e+00  7.1537523512969370e-01
7.8400000000003203e+01  4.9092551222295498e-09  3.5974729300094208e-09  7.4058346241639916e-01  3.9623338496655967e+00  6.7743803702382932e-01
7.9200000000003598e+01  5.7592054800840442e-09  4.2078780982048844e-09  7.4688680225703763e-01  3.9875472090281505e+00  7.0324309334672397e-01
8.0000000000003993e+01  8.3023974858978823e-09  6.0875940001506661e-09  7.3622949634147716e-01  3.9449179853659087e+00  7.4822980235709713e-01
8.0800000000004403e+01  8.6441276849015671e-09  6.3354166296876840e-09  7.2739938835714124e-01  3.9095975534285650e+00  7.2705156917387559e-01
8.1600000000004798e+01  6.3533482304331725e-09  4.6642328411968141e-09  7.2936846599315841e-01  3.9174738639726336e+00  6.8349453836873553e-01
8.2400000000005207e+01  6.0163479903982843e-09  4.4082492947232318e-09  7.3173161936789788e-01  3.9269264774715915e+00  7.5220032956108995e-01
8.3200000000005701e+01  8.9329109020959361e-09  6.5531062151082504e-09  7.4839238220910986e-01  3.9935695288364395e+00  7.9181915700452421e-01
8.4000000000006096e+01  1.1560475271477396e-08  8.4849536521319295e-09  7.3852751392212979e-01  3.9541100556885191e+00  6.4547197884581609e-01
8.4800000000006506e+01  1.0196280296393091e-08  7.4886328244945158e-09  7.1985772914420254e-01  3.8794309165768102e+00  5.0188035003799036e-01
8.5600000000006901e+01  7.9940143136707858e-09  5.8695895153354517e-09  7.0500338862636303e-01  3.8200135545054521e+00  6.4964749954312062e-01
8.6400000000007296e+01  8.4478401929001791e-09  6.1995027754827790e-09  6.1284365005788577e-01  3.4513746002315431e+00  7.9269072608568925e-01
8.7200000000007705e+01  1.0433231933902225e-08  7.6507091634180252e-09  6.5576007122366098e-01  3.6230402848946439e+00  7.5734709214681584e-01
8.8000000000008100e+01  1.1593701593084941e-08  8.5125894018101025e-09  7.3068759983182563e-01  3.9227503993273025e+00  5.1564208768003095e-01
8.8800000000008495e+01  1.1499639762259962e-08  8.4480482616189448e-09  7.1226475495201491e-01  3.8490590198080596e+00  4.9886469520121757e-01
8.9600000000008905e+01  1.1313748064702068e-08  8.3257454491713837e-09  6.4013731945213592e-01  3.5605492778085437e+00  8.8256623129108924e-01
9.0400000000009300e+01  1.1646576555710582e-08  8.5497034849077343e-09  6.3502741635977222e-01  3.5401096654390889e+00  8.4254342608179678e-01
9.1200000000009794e+01  1.2333472890251816e-08  9.0558676457046862e-09  7.3256933986924555e-01  3.9302773594769822e+00  6.0599453033423367e-01
9.2000000000010203e+01  1.4011673776278588e-08  1.0295438427780248e-08  7.2821009414194604e-01  3.9128403765677842e+00  4.0904872104842138e-01
9.2800000000010598e+01  1.4450417936086942e-08  1.0628543770618424e-08  7.3362116308314618e-01  3.9344846523325847e+00  6.1470337425527011e-01
9.3600000000010994e+01  1.3290251096076561e-08  9.7597868025060471e-09  6.3392115979691011e-01  3.5356846391876404e+00  8.7260851504022163e-01
9.4400000000011403e+01  1.2793286228338107e-08  9.3963211846042729e-09  6.9586328771066552e-01  3.7834531508426621e+00  8.9018191426820281e-01
9.5200000000011798e+01  1.5185927586577606e-08  1.1168804136591146e-08  7.2457124467488132e-01  3.8982849786995253e+00  6.7953909519379829e-01
9.6000000000012193e+01  1.8006194855250399e-08  1.3187354939778515e-08  7.2961305158134748e-01  3.9184522063253899e+00  6.5075308619540873e-01
9.6800000000012602e+01  1.6810249767386647e-08  1.2336981950156450e-08  7.4504791317321295e-01  3.9801916526928518e+00  7.0790581391292673e-01
9.7600000000012997e+01  1.4894966983424817e-08  1.0943444384889743e-08  7.4304967494586038e-01  3.9721986997834415e+00  7.2999141746572582e-01
9.8400000000013407e+01  1.6020600585172629e-08  1.1813431255477230e-08  7.3060187338152027e-01  3.9224074935260811e+00  7.4468416116451797e-01
9.9200000000013802e+01  1.9337559666064109e-08  1.4195543223822443e-08  7.3385109850398933e-01  3.9354043940159573e+00  7.4780414014784979e-01
1.0000000000001400e+02  2.0294088621915440e-08  1.4891392583850281e-08  7.1955319462756306e-01  3.8782127785102523e+00  6.5536520529581754e-01
1.0080000000001500e+02  1.8979005632786352e-08  1.3955650215571558e-08  7.2344924946592881e-01  3.8937969978637152e+00  6.3281694589681625e-01
1.0160000000001500e+02  1.8709677728684544e-08  1.3775277192927278e-08  6.8423388720372924e-01  3.7369355488149170e+00  7.4140525837329008e-01
1.0240000000001500e+02  2.0282542776221807e-08  1.4912696411063430e-08  6.4301233394584967e-01  3.5720493357833987e+00  7.7343243675733264e-01
1.0320000000001600e+02  2.1740515272442381e-08  1.5975751528493032e-08  7.0460485265024975e-01  3.8184194106009990e+00  6.6503184835448803e-01
1.0400000000001600e+02  2.2443241492691370e-08  1.6479145673664323e-08  7.0096030269778908e-01  3.8038412107911563e+00  5.1099250649180405e-01
1.0480000000001699e+02  2.2530675500203859e-08  1.6585070540022009e-08  7.1766447528792976e-01  3.8706579011517190e+00  6.7321937041069058e-01
1.0560000000001700e+02  2.3320673047271217e-08  1.7143453997338036e-08  6.3857148604451208e-01  3.5542859441780483e+00  7.3484491423661680e-01
1.0640000000001800e+02  2.4026932689779470e-08  1.7678657772249420e-08  7.0920477653211533e-01  3.8368191061284613e+00  7.8748986251923547e-01
1.0720000000001799e+02  2.4980688573314790e-08  1.8355073955776431e-08  6.9998879963769167e-01  3.7999551985507667e+00  5.7450534974289980e-01
1.0800000000001801e+02  2.5689978802664422e-08  1.8908195329710720e-08  7.2507338102496077e-01  3.9002935240998431e+00  6.0695006163603449e-01
1.0880000000001900e+02  2.6433315703891351e-08  1.9461360683657064e-08  7.2048440723633533e-01  3.8819376289453413e+00  7.3416385255286376e-01
1.0960000000001899e+02  2.7238997574535820e-08  2.0054406111449980e-08  7.3386355569387152e-01  3.9354542227754861e+00  7.8906086697790778e-01
1.1040000000002000e+02  2.7971245290467190e-08  2.0588242266200475e-08  7.2940055813190030e-01  3.9176022325276012e+00  7.2571239246306107e-01
1.1120000000002000e+02  2.8671207897550636e-08  2.1107323363676510e-08  7.3241299407755789e-01  3.9296519763102316e+00  6.8609102368993935e-01
1.1200000000001999e+02  2.9496782954593022e-08  2.1722439685317975e-08  7.4160470002289136e-01  3.9664188000915654e+00  7.1439673697220130e-01
1.1280000000002100e+02  3.0580552401579998e-08  2.2518636468023513e-08  7.4286646078023555e-01  3.9714658431209422e+00  7.3215715433084239e-01
1.1360000000002100e+02  3.1641038297766297e-08  2.3297907064358276e-08  7.3866466160779742e-01  3.9546586464311897e+00  7.2436078965331063e-01
1.1440000000002200e+02  3.2442112594751413e-08  2.3892171491151993e-08  7.3718581964644314e-01  3.9487432785857726e+00  7.2317847601364815e-01
1.1520000000002200e+02  3.3200884639058642e-08  2.4452042174713234e-08  7.3973761512913705e-01  3.9589504605165482e+00  7.3155968519325187e-01
1.1600000000002200e+02  3.4201881704408867e-08  2.5183763806945753e-08  7.4227534746854706e-01  3.9691013898741883e+00  7.2948754729499565e-01
1.1680000000002300e+02  3.5272392413468849e-08  2.5971584408630769e-08  7.4174764372989199e-01  3.9669905749195680e+00  7.2011108632803777e-01
1.1760000000002300e+02  3.6144945835101909e-08  2.6620320850604722e-08  7.3914299318562038e-01  3.9565719727424815e+00  7.1922343713050285e-01
1.1840000000002399e+02  3.7036843582305461e-08  2.7277955737121899e-08  7.3725681804846577e-01  3.9490272721938631e+00  7.2806865114856278e-01
1.1920000000002400e+02  3.8227750999252785e-08  2.8149684422163493e-08  7.3884998272960034e-01  3.9553999309184014e+00  7.3556836458461072e-01
1.2000000000002400e+02  3.9443823656255960e-08  2.9043197070291496e-08  7.4213990698772536e-01  3.9685596279509014e+00  7.3273965306713018e-01
1.2080000000002499e+02  4.0318690242295031e-08  2.9690563426163012e-08  7.4236435601047757e-01  3.9694574240419103e+00  7.2242518421800139e-01
1.2160000000002501e+02  4.1048719368874556e-08  3.0235754898292868e-08  7.3922991892386103e-01  3.9569196756954441e+00  7.1656405562106285e-01
1.2240000000002600e+02  4.2086611907362151e-08  3.1006607524119746e-08  7.3755292335194267e-01  3.9502116934077707e+00  7.2118241882008394e-01
1.2320000000002599e+02  4.3545453903503237e-08  3.2066600516726491e-08  7.4052574328659848e-01  3.9621029731463939e+00  7.2784739910999596e-01
1.2400000000002700e+02  4.4990909677533412e-08  3.3102581140311455e-08  7.4184405392159647e-01  3.9673762156863859e+00  7.2580698312628056e-01
1.2480000000002700e+02  4.5838450335160794e-08  3.3728674100501762e-08  7.3911818140178431e-01  3.9564727256071373e+00  7.2035562500185146e-01
1.2560000000002699e+02  4.6282338833561125e-08  3.4096489325693886e-08  7.3848995069434187e-01  3.9539598027773675e+00  7.2244605562542719e-01
1.2640000000002800e+02  4.7352830339036272e-08  3.4907196615689157e-08  7.4031512469447536e-01  3.9612604987779014e+00  7.2644842951684463e-01
1.2720000000002800e+02  4.9353032252086040e-08  3.6348961313003477e-08  7.4063383999485899e-01  3.9625353599794360e+00  7.2227566739857496e-01
1.2800000000002899e+02  5.1150663564649865e-08  3.7633731373619677e-08  7.4045560383878717e-01  3.9618224153551487e+00  7.1720293639676691e-01
1.2880000000002801e+02  5.1872014184261411e-08  3.8179775533175436e-08  7.4085852414426756e-01  3.9634340965770702e+00  7.2204006688614220e-01
1.2960000000002699e+02  5.2267412476044381e-08  3.8505794896645931e-08  7.4060296921913693e-01  3.9624118768765477e+00  7.3173701673476121e-01
1.3040000000002601e+02  5.3365341472963168e-08  3.9315253259631338e-08  7.3932124985996572e-01  3.9572849994398629e+00  7.3092083170893263e-01
1.3120000000002599e+02  5.5221680667685811e-08  4.0650940054930006e-08  7.3604427060857014e-01  3.9441770824342806e+00  7.1633979080873411e-01
1.3200000000002501e+02  5.7149538662784194e-08  4.2051129434290582e-08  7.3489717089955964e-01  3.9395886835982385e+00  7.0907586565615155e-01
1.3280000000002400e+02  5.8469690293234714e-08  4.3041702689009190e-08  7.3688397832914010e-01  3.9475359133165604e+00  7.2175163629428229e-01
1.3360000000002299e+02  5.9232344083927566e-08  4.3629550904516378e-08  7.4005941340901871e-01  3.9602376536360748e+00  7.3902067547526573e-01
1.3440000000002300e+02  6.0097192028760984e-08  4.4267748246910563e-08  7.4231059915948117e-01  3.9692423966379247e+00  7.3766550943646514e-01
1.3520000000002199e+02  6.1499243923011109e-08  4.5275619519468315e-08  7.4149289743925051e-01  3.9659715897570020e+00  7.1584649646232212e-01
1.3600000000002100e+02  6.3288192278114823e-08  4.6573409746301510e-08  7.3500606760670584e-01  3.9400242704268233e+00  6.9960433570588532e-01
1.3680000000002099e+02  6.5190229126409040e-08  4.7990705422270149e-08  7.3626869943684214e-01  3.9450747977473686e+00  7.1568617954223190e-01
1.3760000000002000e+02  6.6733796821420731e-08  4.9147342800795086e-08  7.4031114495208139e-01  3.9612445798083256e+00  7.3696458279510146e-01
1.3840000000001899e+02  6.7234398787373392e-08  4.9504718435752310e-08  7.4251344087216431e-01  3.9700537634886572e+00  7.3747668384239062e-01
1.3920000000001801e+02  6.7576961521183715e-08  4.9732166954894465e-08  7.3943891895162417e-01  3.9577556758064967e+00  7.1939563245786209e-01
