# time  Re(R=8)  Im(R=8)  Re(R=16)  Im(R=16)
0.0000000000000000e+00  -4.4153448115341379e-05  1.9397688756216886e-07  6.3981369873196668e-08  1.3412534010659677e-09
8.0000000000000004e-01  -3.6270615141811800e-05  -5.0560116013856342e-08  -6.1471521881215462e-07  -1.7186022401165831e-09
1.6000000000000001e+00  -3.5500830067875297e-05  -8.7145888195996008e-08  -5.9170746781011212e-07  -4.2043106954085708e-09
2.3999999999999901e+00  -3.4113473585014863e-05  -4.9610816203799617e-07  -6.5083984455388267e-07  2.4056634874256895e-08
3.1999999999999802e+00  -3.2420442229811748e-05  1.1390030768563636e-07  -6.1178650027100751e-07  -3.7474281137171595e-08
3.9999999999999600e+00  -3.0099530867110204e-05  -6.0120549000023639e-07  -5.7629840178826910e-07  4.7285582064638636e-08
4.7999999999999403e+00  -2.9461647133630409e-05  6.5530085629517767e-08  -6.3078467404900091e-07  -5.6114206312787180e-08
5.5999999999999304e+00  -2.7063931139586667e-05  -1.8005691228732666e-07  -6.0377038745130454e-07  3.2492799962520348e-08
6.3999999999999098e+00  -2.4389261728359180e-05  -2.6888302097832550e-08  -4.3366034675015394e-07  2.6092443190124974e-08
7.1999999999998900e+00  -2.4494467722033921e-05  -4.1794564658797643e-07  -6.1416971178025013e-07  -7.6369206961061892e-08
7.9999999999998703e+00  -2.4019454020980894e-05  1.3679429492108349e-08  -5.6503215977014985e-07  4.0367491089449685e-08
8.7999999999998604e+00  -2.4048882552747837e-05  -2.9822495041685375e-07  -4.4612437257407071e-07  6.5409143689152984e-08
9.5999999999998398e+00  -2.3086696349235407e-05  6.3667516951646839e-08  1.9661729971517437e-07  -1.4648383357993506e-07
1.0399999999999800e+01  -2.3070933305726683e-05  -1.3529444743259399e-07  -3.0528511963633078e-07  1.6143211744769094e-07
1.1199999999999800e+01  -2.1756548726021689e-05  -8.7747935517274711e-08  2.6989970812395671e-07  -1.6498323760432069e-07
1.1999999999999799e+01  -2.0483417391135469e-05  -7.8906562101190453e-08  9.8005778570460374e-07  1.2497693923444589e-07
1.2799999999999800e+01  -2.0113828328236923e-05  -1.5361056218999233e-07  9.6029373502627621e-07  -1.2632053197680406e-07
1.3599999999999801e+01  -1.9226281124804749e-05  -8.3685484360461865e-08  1.3714067425554997e-06  1.3603577123202218e-07
1.4399999999999700e+01  -1.8128439692768062e-05  8.5556181338169695e-09  1.9897478429567037e-06  -2.1698385709505674e-08
1.5199999999999701e+01  -1.7414263772633021e-05  -4.9605755997750535e-08  2.1208778004729280e-06  -6.3906396529203472e-10
1.5999999999999700e+01  -1.6903390725935080e-05  -1.2913526126834773e-07  4.6430052888821808e-07  -9.2201859357139516e-08
1.6799999999999802e+01  -1.6114592119493995e-05  -5.7085906899177952e-08  -2.7760858139199790e-07  -3.3229084967624710e-08
1.7600000000000001e+01  -1.5185443561524537e-05  -2.0267839633831530e-08  -7.5610912593412298e-07  6.0622414792449950e-08
1.8400000000000102e+01  -1.4431935062042386e-05  -6.6030098280446257e-08  -1.0738401263651240e-06  5.3281978674120713e-08
1.9200000000000198e+01  -1.3725231446084679e-05  -6.0386306102417262e-08  -7.8273229977730032e-07  -3.3485340069141342e-09
2.0000000000000298e+01  -1.3011077349650351e-05  -4.8718625930870115e-08  -5.4814898844277369e-07  -1.8952190405586875e-08
2.0800000000000502e+01  -1.2290663768569756e-05  -4.8920227806384756e-08  -6.3612941476488050e-07  -6.5239221048318293e-08
2.1600000000000598e+01  -1.1534929948121931e-05  -5.0534206920919817e-08  -6.1016335996292417e-07  1.0711862334522665e-08
2.2400000000000698e+01  -1.0779992688946519e-05  -5.0206210767953991e-08  -2.9965747931130545e-07  7.6374735625613385e-08
2.3200000000000799e+01  -1.0026947194361805e-05  -4.6936171663174443e-08  -3.0907136048978967e-07  1.7773780124421709e-09
2.4000000000000998e+01  -9.2748591897552205e-06  -4.5163733640982711e-08  -4.7453967193809750e-07  -5.7741552722498350e-08
2.4800000000001098e+01  -8.5318920892589702e-06  -4.3737717886581362e-08  -3.2876860691910309e-07  1.6885426229375853e-09
2.5600000000001199e+01  -7.7978157515130616e-06  -4.1431740071316237e-08  -8.0396372517233814e-08  2.8961796570027041e-08
2.6400000000001299e+01  -7.0775494209591451e-06  -3.9076665367978140e-08  1.0810655395875177e-08  -1.0803097471998842e-08
2.7200000000001499e+01  -6.3781257557479448e-06  -3.7323599547331513e-08  6.1837848611366920e-08  -1.2971082307764331e-08
2.8000000000001599e+01  -5.6968485046862017e-06  -3.5863836574901428e-08  1.4308149616792416e-07  -1.7423583409765672e-09
2.8800000000001699e+01  -5.0225797974722813e-06  -3.4202847827179851e-08  2.3591774212089288e-07  -4.6239289313696975e-09
2.9600000000001799e+01  -4.3464386787770658e-06  -3.2602682240153218e-08  3.3977124039397046e-07  -7.3800815747865193e-09
3.0400000000001999e+01  -3.6668936064756046e-06  -3.1763941969611337e-08  4.4430221136872128e-07  -7.9669555030610201e-09
