# time  total_canon  bary_x_canon  bary_y_canon  bary_z_canon  rms_radius_canon  total_phantom  bary_x_phantom  bary_y_phantom  bary_z_phantom  rms_radius_phantom
0.0000000000000000e+00  3.9104569810902774e+00  3.7000189119477668e+01  3.1999886915307293e+01  3.1999886915307293e+01  4.3375556292421038e+00  4.1965184768015096e+00  2.7000451995953991e+01  3.2000113685884386e+01  3.2000113685884386e+01  4.3742451094275481e+00
8.0000000000000004e-01  3.9129445605104305e+00  3.7000197514927969e+01  3.1999860152696453e+01  3.1999860152693429e+01  4.3377908550414501e+00  4.2002534143668750e+00  2.7000522602197794e+01  3.2000141702256698e+01  3.2000141702248293e+01  4.3740979513126996e+00
1.6000000000000001e+00  3.9152822907793263e+00  3.7000205861130247e+01  3.1999796673029920e+01  3.1999796673004585e+01  4.3382542476675328e+00  4.2043001783992366e+00  2.7000676499693746e+01  3.2000208652460607e+01  3.2000208652374567e+01  4.3738512546086650e+00
2.3999999999999901e+00  3.9188339526879847e+00  3.7000190421927748e+01  3.1999727053625154e+01  3.1999727053552441e+01  4.3385915119002050e+00  4.2073351377770241e+00  2.7000817839537916e+01  3.2000283109323817e+01  3.2000283109035649e+01  4.3735916493624334e+00
3.1999999999999802e+00  3.9238645441889570e+00  3.7000193781998412e+01  3.1999686985630497e+01  3.1999686985504677e+01  4.3390015098653807e+00  4.2088110472975888e+00  2.7000917067242014e+01  3.2000327778562763e+01  3.2000327777924952e+01  4.3731552583522912e+00
3.9999999999999600e+00  3.9294483400333813e+00  3.7000246806888512e+01  3.1999634877687054e+01  3.1999634877531360e+01  4.3398257857591771e+00  4.2094648603619156e+00  2.7001096492165814e+01  3.2000383330665152e+01  3.2000383329526493e+01  4.3723247403710950e+00
4.7999999999999403e+00  3.9341161292304196e+00  3.7000318307152519e+01  3.1999482956564872e+01  3.1999482956408766e+01  4.3410938172449720e+00  4.2104146544303376e+00  2.7001511700768351e+01  3.2000542951072482e+01  3.2000542949319595e+01  4.3711564755074033e+00
5.5999999999999304e+00  3.9376745531702264e+00  3.7000380089666024e+01  3.1999232135455454e+01  3.1999232135322572e+01  4.3423724392974021e+00  4.2121322803330088e+00  2.7002141893430483e+01  3.2000811602759327e+01  3.2000811600350559e+01  4.3698074383712413e+00
6.3999999999999098e+00  3.9416164696163314e+00  3.7000452466369275e+01  3.1998968929009315e+01  3.1998968928925269e+01  4.3434224559032160e+00  4.2140016046121174e+00  2.7002835952256223e+01  3.2001099115988737e+01  3.2001099112947159e+01  4.3682949945704026e+00
7.1999999999998900e+00  3.9469991999525131e+00  3.7000571941918047e+01  3.1998717131883907e+01  3.1998717131872244e+01  4.3447691268381119e+00  4.2153230380248825e+00  2.7003580237109720e+01  3.2001376105491865e+01  3.2001376101872516e+01  4.3664453075381289e+00
7.9999999999998703e+00  3.9527587990919493e+00  3.7000736474105040e+01  3.1998378241301165e+01  3.1998378241362985e+01  4.3470400669750200e+00  4.2164855516000976e+00  2.7004575707521134e+01  3.2001746355071887e+01  3.2001746350933793e+01  4.3641866144247947e+00
8.7999999999998604e+00  3.9569631522429707e+00  3.7000913472778144e+01  3.1997872658409118e+01  3.1997872658527321e+01  4.3500283705062062e+00  4.2183990839275349e+00  2.7005979604372726e+01  3.2002309198640845e+01  3.2002309194055080e+01  4.3618641292434512e+00
9.5999999999998398e+00  3.9595477602287468e+00  3.7001103234313106e+01  3.1997274642394395e+01  3.1997274642552092e+01  4.3531160872001644e+00  4.2212461761664439e+00  2.7007676888957182e+01  3.2003006830826109e+01  3.2003006825911520e+01  4.3599240160701305e+00
1.0399999999999800e+01  3.9625841119066787e+00  3.7001347672496749e+01  3.1996720349183931e+01  3.1996720349360512e+01  4.3569048799692993e+00  4.2243838318681775e+00  2.7009460470742130e+01  3.2003707702793463e+01  3.2003707697732629e+01  4.3586297100597982e+00
1.1199999999999800e+01  3.9675189651267422e+00  3.7001669755050422e+01  3.1996228363716778e+01  3.1996228363856918e+01  4.3638186448556660e+00  4.2275299798384980e+00  2.7011390722345794e+01  3.2004425264066384e+01  3.2004425259084769e+01  4.3587176339825104e+00
1.1999999999999799e+01  3.9732073324619406e+00  3.7002049097470888e+01  3.1995697396903992e+01  3.1995697396895004e+01  4.3758259223614635e+00  4.2313887703534441e+00  2.7013765265177298e+01  3.2005324378486186e+01  3.2005324373808037e+01  4.3618131274791230e+00
1.2799999999999800e+01  3.9778578654301464e+00  3.7002443994405972e+01  3.1995097252738731e+01  3.1995097252415125e+01  4.3932966583163582e+00  4.2367006067351625e+00  2.7016610362222991e+01  3.2006430746341678e+01  3.2006430742143365e+01  4.3692411191523099e+00
1.3599999999999801e+01  3.9819362242733991e+00  3.7002945835036982e+01  3.1994577812220385e+01  3.1994577811379759e+01  4.4171462320079522e+00  4.2436213940523242e+00  2.7019653202763504e+01  3.2007578989044447e+01  3.2007578985522088e+01  4.3826834995838810e+00
1.4399999999999700e+01  3.9869741889669994e+00  3.7003631530530377e+01  3.1994143980365983e+01  3.1994143978971550e+01  4.4460330680457147e+00  4.2523354768259711e+00  2.7023269052854044e+01  3.2008938250224240e+01  3.2008938247661519e+01  4.4061286745678627e+00
