# time  f_op  f_geo  geo_trustworthy  max_local_speed  superluminal_fraction  max_shift  structure_coherence  reachable  n_rays  n_reached  max_h_rel_drift  f_geo_evol  f_geo_evol_ok
0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0129351486370834e+00  0.0000000000000000e+00  0.0000000000000000e+00  nan  1  5  5  1.2605628969726570e-04  0.0000000000000000e+00  0
8.0000000000000004e-01  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0130572180927704e+00  0.0000000000000000e+00  6.8710189737174063e-05  nan  1  5  5  1.3512594905810233e-04  0.0000000000000000e+00  0
1.6000000000000001e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0133965222369401e+00  0.0000000000000000e+00  2.4651098204177328e-04  nan  1  5  5  1.4121962287511535e-04  0.0000000000000000e+00  0
2.3999999999999901e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0130007763674285e+00  0.0000000000000000e+00  9.9192554128708314e-05  nan  1  5  5  1.3242110687421214e-04  0.0000000000000000e+00  0
3.1999999999999802e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0129668299633496e+00  0.0000000000000000e+00  1.3202527269520086e-04  nan  1  5  5  1.3410377772234071e-04  0.0000000000000000e+00  0
3.9999999999999600e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0128150400604006e+00  0.0000000000000000e+00  1.1252736980663956e-04  nan  1  5  5  1.3568014168145479e-04  0.0000000000000000e+00  0
4.7999999999999403e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0129537182550343e+00  0.0000000000000000e+00  8.0829839779956710e-05  nan  1  5  5  1.3540900121566647e-04  0.0000000000000000e+00  0
5.5999999999999304e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0129633358149956e+00  0.0000000000000000e+00  5.4977482260817779e-05  nan  1  5  5  1.3471951717230850e-04  0.0000000000000000e+00  0
6.3999999999999098e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0130264274619873e+00  0.0000000000000000e+00  4.7507945999543556e-05  nan  1  5  5  1.3427977736124274e-04  0.0000000000000000e+00  0
7.1999999999998900e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0130428600931631e+00  0.0000000000000000e+00  4.0638985124755553e-05  nan  1  5  5  1.3350174975820762e-04  0.0000000000000000e+00  0
7.9999999999998703e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0129894413449239e+00  0.0000000000000000e+00  3.4056245532688955e-05  nan  1  5  5  1.3374022611731872e-04  0.0000000000000000e+00  0
8.7999999999998604e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0129597993547095e+00  0.0000000000000000e+00  3.6466750652976186e-05  nan  1  5  5  1.3478367409614560e-04  0.0000000000000000e+00  0
9.5999999999998398e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0129871485692197e+00  0.0000000000000000e+00  3.2792639813891809e-05  nan  1  5  5  1.3448599792196725e-04  0.0000000000000000e+00  0
1.0399999999999800e+01  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0130052251750992e+00  0.0000000000000000e+00  3.1230736717904405e-05  nan  1  5  5  1.3314630863156754e-04  0.0000000000000000e+00  0
1.1199999999999800e+01  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0130072330970641e+00  0.0000000000000000e+00  3.6894443677960483e-05  nan  1  5  5  1.3336883595800855e-04  0.0000000000000000e+00  0
1.1999999999999799e+01  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0130032599226939e+00  0.0000000000000000e+00  4.3966553715059893e-05  nan  1  5  5  1.3385155070554601e-04  0.0000000000000000e+00  0
1.2799999999999800e+01  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0130080174349758e+00  0.0000000000000000e+00  4.6142416358250089e-05  nan  1  5  5  1.3355503372894254e-04  0.0000000000000000e+00  0
1.3599999999999801e+01  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0130244495476874e+00  0.0000000000000000e+00  4.5102743737091305e-05  nan  1  5  5  1.3314125153383971e-04  0.0000000000000000e+00  0
1.4399999999999700e+01  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0130384924749813e+00  0.0000000000000000e+00  4.7843197358750954e-05  nan  1  5  5  1.3293827953993144e-04  0.0000000000000000e+00  0
