# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  2.5021816722044188e-01  2.5000000000000000e-01
8.0000000000000004e-01  2.5021207530643030e-01  2.5000000000000000e-01
1.6000000000000001e+00  2.5021282327961586e-01  2.5000000000000000e-01
2.3999999999999901e+00  2.5021865127740750e-01  2.5000000000000000e-01
3.1999999999999802e+00  2.5021154558341996e-01  2.5000000000000000e-01
3.9999999999999600e+00  2.5019053133701219e-01  2.5000000000000000e-01
4.7999999999999403e+00  2.5018444992628502e-01  2.5000000000000000e-01
5.5999999999999304e+00  2.5018704010947906e-01  2.5000000000000000e-01
6.3999999999999098e+00  2.5018361748682905e-01  2.5000000000000000e-01
7.1999999999998900e+00  2.5018108631556257e-01  2.5000000000000000e-01
7.9999999999998703e+00  2.5017794751489564e-01  2.5000000000000000e-01
8.7999999999998604e+00  2.5017424662922000e-01  2.5000000000000000e-01
9.5999999999998398e+00  2.5017064697549174e-01  2.5000000000000000e-01
1.0399999999999800e+01  2.5016701766639443e-01  2.5000000000000000e-01
1.1199999999999800e+01  2.5016387842855436e-01  2.5000000000000000e-01
1.1999999999999799e+01  2.5016105198456828e-01  2.5000000000000000e-01
1.2799999999999800e+01  2.5015809221755092e-01  2.5000000000000000e-01
1.3599999999999801e+01  2.5015498483768100e-01  2.5000000000000000e-01
1.4399999999999700e+01  2.5015206042303745e-01  2.5000000000000000e-01
1.5199999999999701e+01  2.5014950452337903e-01  2.5000000000000000e-01
1.5999999999999700e+01  2.5014710866191797e-01  2.5000000000000000e-01
1.6799999999999802e+01  2.5014448539461054e-01  2.5000000000000000e-01
1.7600000000000001e+01  2.5014159679565817e-01  2.5000000000000000e-01
1.8400000000000102e+01  2.5013880564884106e-01  2.5000000000000000e-01
1.9200000000000198e+01  2.5013638007882072e-01  2.5000000000000000e-01
2.0000000000000298e+01  2.5013410332411917e-01  2.5000000000000000e-01
2.0800000000000502e+01  2.5013157620943033e-01  2.5000000000000000e-01
2.1600000000000598e+01  2.5012876500574394e-01  2.5000000000000000e-01
2.2400000000000698e+01  2.5012597111114587e-01  2.5000000000000000e-01
2.3200000000000799e+01  2.5012345941184649e-01  2.5000000000000000e-01
2.4000000000000998e+01  2.5012111676771276e-01  2.5000000000000000e-01
2.4800000000001098e+01  2.5011854747374263e-01  2.5000000000000000e-01
2.5600000000001199e+01  2.5011570260108956e-01  2.5000000000000000e-01
2.6400000000001299e+01  2.5011296643713554e-01  2.5000000000000000e-01
2.7200000000001499e+01  2.5011053788240889e-01  2.5000000000000000e-01
2.8000000000001599e+01  2.5010814586930846e-01  2.5000000000000000e-01
2.8800000000001699e+01  2.5010545779871940e-01  2.5000000000000000e-01
2.9600000000001799e+01  2.5010254165516960e-01  2.5000000000000000e-01
3.0400000000001999e+01  2.5009974382566486e-01  2.5000000000000000e-01
3.1200000000002099e+01  2.5009719672509745e-01  2.5000000000000000e-01
3.2000000000002203e+01  2.5009465924209168e-01  2.5000000000000000e-01
3.2800000000002001e+01  2.5009186819265705e-01  2.5000000000000000e-01
3.3600000000001899e+01  2.5008887477564384e-01  2.5000000000000000e-01
3.4400000000001697e+01  2.5008595465314676e-01  2.5000000000000000e-01
3.5200000000001602e+01  2.5008320415081087e-01  2.5000000000000000e-01
3.6000000000001400e+01  2.5008039856688158e-01  2.5000000000000000e-01
3.6800000000001198e+01  2.5007736261327063e-01  2.5000000000000000e-01
3.7600000000001103e+01  2.5007412382081090e-01  2.5000000000000000e-01
3.8400000000000901e+01  2.5007091324802511e-01  2.5000000000000000e-01
3.9200000000000799e+01  2.5006802677832618e-01  2.5000000000000000e-01
4.0000000000000597e+01  2.5006512842638690e-01  2.5000000000000000e-01
4.0800000000000502e+01  2.5006166492735854e-01  2.5000000000000000e-01
4.1600000000000300e+01  2.5005796719456969e-01  2.5000000000000000e-01
4.2400000000000098e+01  2.5005459524535478e-01  2.5000000000000000e-01
4.3200000000000003e+01  2.5005148349142420e-01  2.5000000000000000e-01
4.3999999999999801e+01  2.5004824459035691e-01  2.5000000000000000e-01
4.4799999999999699e+01  2.5004454428483980e-01  2.5000000000000000e-01
4.5599999999999497e+01  2.5004063726982062e-01  2.5000000000000000e-01
4.6399999999999302e+01  2.5003712052758509e-01  2.5000000000000000e-01
4.7199999999999200e+01  2.5003376484469680e-01  2.5000000000000000e-01
4.7999999999998998e+01  2.5002998487852773e-01  2.5000000000000000e-01
4.8799999999998903e+01  2.5002596155094386e-01  2.5000000000000000e-01
4.9599999999998701e+01  2.5002206359820345e-01  2.5000000000000000e-01
5.0399999999998499e+01  2.5001821101040117e-01  2.5000000000000000e-01
5.1199999999998397e+01  2.5001424931302557e-01  2.5000000000000000e-01
5.1999999999998202e+01  2.5001019213396963e-01  2.5000000000000000e-01
5.2799999999998100e+01  2.5000607365212896e-01  2.5000000000000000e-01
5.3599999999997898e+01  2.5000186558647053e-01  2.5000000000000000e-01
5.4399999999997704e+01  2.4999759433809640e-01  2.5000000000000000e-01
5.5199999999997601e+01  2.4999326550744966e-01  2.5000000000000000e-01
5.5999999999997399e+01  2.4998884902675766e-01  2.5000000000000000e-01
5.6799999999997297e+01  2.4998458667802889e-01  2.5000000000000000e-01
5.7599999999997102e+01  2.4998009606180466e-01  2.5000000000000000e-01
5.8399999999997000e+01  2.4997471045209929e-01  2.5000000000000000e-01
5.9199999999996798e+01  2.4996979198506275e-01  2.5000000000000000e-01
5.9999999999996597e+01  2.4996617959287878e-01  2.5000000000000000e-01
6.0799999999996501e+01  2.4996152936814203e-01  2.5000000000000000e-01
6.1599999999996299e+01  2.4995566885082909e-01  2.5000000000000000e-01
6.2399999999996197e+01  2.4995107416825216e-01  2.5000000000000000e-01
6.3199999999996002e+01  2.4994654996881052e-01  2.5000000000000000e-01
6.3999999999995801e+01  2.4994046564352357e-01  2.5000000000000000e-01
6.4799999999996203e+01  2.4993491552049296e-01  2.5000000000000000e-01
6.5599999999996697e+01  2.4993046360194804e-01  2.5000000000000000e-01
6.6399999999997107e+01  2.4992533525765959e-01  2.5000000000000000e-01
6.7199999999997502e+01  2.4991958173060913e-01  2.5000000000000000e-01
6.7999999999997897e+01  2.4991403918105792e-01  2.5000000000000000e-01
6.8799999999998306e+01  2.4990850574713511e-01  2.5000000000000000e-01
6.9599999999998701e+01  2.4990279585396394e-01  2.5000000000000000e-01
7.0399999999999096e+01  2.4989698357663118e-01  2.5000000000000000e-01
7.1199999999999505e+01  2.4989089771637832e-01  2.5000000000000000e-01
7.1999999999999901e+01  2.4988513302069221e-01  2.5000000000000000e-01
7.2800000000000296e+01  2.4987985045738331e-01  2.5000000000000000e-01
7.3600000000000705e+01  2.4987348943454743e-01  2.5000000000000000e-01
7.4400000000001199e+01  2.4986650084053133e-01  2.5000000000000000e-01
7.5200000000001594e+01  2.4986042774282433e-01  2.5000000000000000e-01
7.6000000000002004e+01  2.4985417677542859e-01  2.5000000000000000e-01
7.6800000000002399e+01  2.4984777789398030e-01  2.5000000000000000e-01
7.7600000000002794e+01  2.4984208892613069e-01  2.5000000000000000e-01
7.8400000000003203e+01  2.4983543093055563e-01  2.5000000000000000e-01
7.9200000000003598e+01  2.4982794635359959e-01  2.5000000000000000e-01
8.0000000000003993e+01  2.4982129936414721e-01  2.5000000000000000e-01
8.0800000000004403e+01  2.4981480115699992e-01  2.5000000000000000e-01
8.1600000000004798e+01  2.4980781807699265e-01  2.5000000000000000e-01
8.2400000000005207e+01  2.4980074004393998e-01  2.5000000000000000e-01
8.3200000000005701e+01  2.4979369705254736e-01  2.5000000000000000e-01
8.4000000000006096e+01  2.4978665000139735e-01  2.5000000000000000e-01
8.4800000000006506e+01  2.4977946862872089e-01  2.5000000000000000e-01
8.5600000000006901e+01  2.4977208752498190e-01  2.5000000000000000e-01
8.6400000000007296e+01  2.4976462379577036e-01  2.5000000000000000e-01
8.7200000000007705e+01  2.4975718020424076e-01  2.5000000000000000e-01
8.8000000000008100e+01  2.4974972126966496e-01  2.5000000000000000e-01
8.8800000000008495e+01  2.4974211471627317e-01  2.5000000000000000e-01
8.9600000000008905e+01  2.4973432055019115e-01  2.5000000000000000e-01
9.0400000000009300e+01  2.4972648080561438e-01  2.5000000000000000e-01
9.1200000000009794e+01  2.4971864446646944e-01  2.5000000000000000e-01
9.2000000000010203e+01  2.4971071379349072e-01  2.5000000000000000e-01
9.2800000000010598e+01  2.4970274521709410e-01  2.5000000000000000e-01
9.3600000000010994e+01  2.4969475985428777e-01  2.5000000000000000e-01
9.4400000000011403e+01  2.4968654007034971e-01  2.5000000000000000e-01
9.5200000000011798e+01  2.4967811445805665e-01  2.5000000000000000e-01
9.6000000000012193e+01  2.4966979410049497e-01  2.5000000000000000e-01
9.6800000000012602e+01  2.4966152971040112e-01  2.5000000000000000e-01
9.7600000000012997e+01  2.4965302035121559e-01  2.5000000000000000e-01
9.8400000000013407e+01  2.4964436969139656e-01  2.5000000000000000e-01
9.9200000000013802e+01  2.4963587869774023e-01  2.5000000000000000e-01
1.0000000000001400e+02  2.4962741356507265e-01  2.5000000000000000e-01
1.0080000000001500e+02  2.4961868228857342e-01  2.5000000000000000e-01
1.0160000000001500e+02  2.4960976668233775e-01  2.5000000000000000e-01
1.0240000000001500e+02  2.4960081467347275e-01  2.5000000000000000e-01
1.0320000000001600e+02  2.4959182720682996e-01  2.5000000000000000e-01
1.0400000000001600e+02  2.4958292317506603e-01  2.5000000000000000e-01
1.0480000000001699e+02  2.4957411840919144e-01  2.5000000000000000e-01
1.0560000000001700e+02  2.4956521605372695e-01  2.5000000000000000e-01
1.0640000000001800e+02  2.4955619707438531e-01  2.5000000000000000e-01
1.0720000000001799e+02  2.4954704483276458e-01  2.5000000000000000e-01
1.0800000000001801e+02  2.4953760886344195e-01  2.5000000000000000e-01
1.0880000000001900e+02  2.4952812766355506e-01  2.5000000000000000e-01
1.0960000000001899e+02  2.4951900771246258e-01  2.5000000000000000e-01
1.1040000000002000e+02  2.4951006060820130e-01  2.5000000000000000e-01
1.1120000000002000e+02  2.4950082309439808e-01  2.5000000000000000e-01
1.1200000000001999e+02  2.4949132081209052e-01  2.5000000000000000e-01
1.1280000000002100e+02  2.4948187915308603e-01  2.5000000000000000e-01
1.1360000000002100e+02  2.4947254422829121e-01  2.5000000000000000e-01
1.1440000000002200e+02  2.4946314893033109e-01  2.5000000000000000e-01
1.1520000000002200e+02  2.4945368226427458e-01  2.5000000000000000e-01
1.1600000000002200e+02  2.4944422985139919e-01  2.5000000000000000e-01
1.1680000000002300e+02  2.4943478052269402e-01  2.5000000000000000e-01
1.1760000000002300e+02  2.4942533448562820e-01  2.5000000000000000e-01
1.1840000000002399e+02  2.4941587567866480e-01  2.5000000000000000e-01
1.1920000000002400e+02  2.4940630170304348e-01  2.5000000000000000e-01
1.2000000000002400e+02  2.4939676151315263e-01  2.5000000000000000e-01
1.2080000000002499e+02  2.4938746946231241e-01  2.5000000000000000e-01
1.2160000000002501e+02  2.4937811403240351e-01  2.5000000000000000e-01
1.2240000000002600e+02  2.4936847123858902e-01  2.5000000000000000e-01
1.2320000000002599e+02  2.4935896747268740e-01  2.5000000000000000e-01
1.2400000000002700e+02  2.4934972110882647e-01  2.5000000000000000e-01
1.2480000000002700e+02  2.4934025970837026e-01  2.5000000000000000e-01
1.2560000000002699e+02  2.4933061241891186e-01  2.5000000000000000e-01
1.2640000000002800e+02  2.4932136870902147e-01  2.5000000000000000e-01
1.2720000000002800e+02  2.4931243068773140e-01  2.5000000000000000e-01
1.2800000000002899e+02  2.4930301291937881e-01  2.5000000000000000e-01
1.2880000000002801e+02  2.4929323586302893e-01  2.5000000000000000e-01
