# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
0.0000000000000000e+00  7.9473545598410871e+00  2.4552897896799944e-02  6.6418669643615722e+00  2.7559879162714507e-01  3.1920913035255495e+01  3.1999999752931508e+01  3.1999999752931512e+01  4.7999999999999998e+00  7.9480278622617933e+00  6.6414822893459755e+00  2.7497331780334566e-01  4.3375546827939617e+00  7.4559024708052157e-01  4.4068417579449664e+00  7.3603573964706726e-01  4.9205962111711049e-01  9.8971579470027593e-01
8.0000000000000004e-01  7.9535328071085329e+00  2.4621172738044910e-02  6.6418620267455477e+00  2.7560178122971674e-01  3.1920291059141917e+01  3.2000000082005776e+01  3.2000000082006906e+01  4.7999999999999998e+00  7.9541918423863311e+00  6.6414898084575515e+00  2.7497226351110848e-01  4.3377831194017551e+00  7.4556663902088693e-01  4.4066954930598570e+00  7.3607216276424359e-01  4.9199353176091154e-01  9.8968842038863636e-01
1.6000000000000001e+00  7.9598530140038095e+00  2.4560345143761198e-02  6.6418601615202775e+00  2.7563255919274243e-01  3.1919451542223481e+01  3.2000000743844588e+01  3.2000000743854770e+01  4.7999999999999998e+00  7.9604887533978168e+00  6.6415074564925058e+00  2.7500341596825689e-01  4.3382343269628620e+00  7.4557531633834362e-01  4.4064461587640640e+00  7.3618183576397422e-01  4.9190162667138204e-01  9.8968437918648700e-01
2.3999999999999901e+00  7.9663114800074482e+00  2.4492081887600770e-02  6.6418242949029525e+00  2.7566763215538304e-01  3.1919964099408315e+01  3.2000000984114926e+01  3.2000000984149523e+01  4.7999999999999998e+00  7.9669208615301716e+00  6.6415146227808552e+00  2.7501906442620749e-01  4.3385617505746872e+00  7.4555219183544907e-01  4.4061923904243070e+00  7.3623546489786629e-01  4.9194677170722456e-01  9.8972760450161412e-01
3.1999999999999802e+00  7.9726182442635913e+00  2.4592508365543619e-02  6.6417947617489661e+00  2.7568298603451435e-01  3.1922323880730012e+01  3.2000000929012785e+01  3.2000000929098391e+01  4.7999999999999998e+00  7.9732090101761575e+00  6.6415261088339443e+00  2.7658206967536020e-01  4.3389561274788084e+00  7.4515705762188278e-01  4.4057886930655261e+00  7.3619598632046268e-01  4.9217759880240897e-01  9.8969642912602795e-01
3.9999999999999600e+00  7.9786060210274972e+00  2.4617282535733118e-02  6.6417618119992046e+00  2.7409790418403723e-01  3.1925605400329911e+01  3.2000002387932469e+01  3.2000002388108605e+01  4.7999999999999998e+00  7.9791962021148848e+00  6.6415096543422543e+00  2.7621567234230116e-01  4.3397485343692255e+00  7.4468447258505266e-01  4.4050268023987513e+00  7.3652927900316456e-01  4.9249380680606736e-01  9.8967116438928504e-01
4.7999999999999403e+00  7.9839849915637711e+00  2.4554043567855104e-02  6.6416656728443408e+00  2.7414167976817705e-01  3.1928277207504980e+01  3.2000005346128816e+01  3.2000005346437540e+01  4.7999999999999998e+00  7.9845956656099961e+00  6.6414164609459814e+00  2.7625233454285025e-01  4.3409700996710487e+00  7.4436085249848549e-01  4.4039260173275894e+00  7.3710408496718072e-01  4.9273686025405022e-01  9.8975018629403910e-01
5.5999999999999304e+00  7.9890443727529581e+00  2.4514627786183511e-02  6.6414122034568317e+00  2.7420948409215384e-01  3.1929896556560557e+01  3.2000007814786258e+01  3.2000007815259863e+01  4.7999999999999998e+00  7.9896883667343515e+00  6.6411677557042950e+00  2.7631551550922090e-01  4.3421989049647456e+00  7.4431150611062924e-01  4.4026003458729255e+00  7.3759488225161107e-01  4.9286581069109103e-01  9.8974279338838766e-01
6.3999999999999098e+00  7.9945939472199239e+00  2.4531307400552909e-02  6.6410014625172202e+00  2.7285355757469665e-01  3.1931704227978852e+01  3.2000009338952971e+01  3.2000009339611452e+01  4.7999999999999998e+00  7.9952621289311363e+00  6.6407687156161117e+00  2.7582092575638817e-01  4.3431985876727488e+00  7.4422114186023192e-01  4.4010641762774352e+00  7.3771203601281121e-01  4.9301074600216049e-01  9.8973441819597530e-01
7.1999999999998900e+00  8.0009290949191385e+00  2.4564985897156298e-02  6.6405605772152239e+00  2.7295951850218386e-01  3.1934814354028880e+01  3.2000013585921010e+01  3.2000013586767636e+01  4.7999999999999998e+00  8.0015936420019429e+00  6.6403436553493691e+00  2.7591481693724562e-01  4.3444787339577129e+00  7.4411123742580509e-01  4.3991599447651240e+00  7.3786204666412170e-01  4.9328069280940978e-01  9.8972567001579748e-01
7.9999999999998703e+00  8.0073561009164802e+00  2.4579229153259791e-02  6.6401746533174864e+00  2.7321616398114090e-01  3.1938468156065035e+01  3.2000025250891419e+01  3.2000025251902912e+01  4.7999999999999998e+00  8.0079888778173878e+00  6.6399719278509410e+00  2.7470066768559837e-01  4.3466522132234955e+00  7.4391755794776926e-01  4.3968029907342192e+00  7.3827142697309045e-01  4.9358988207761384e-01  9.8974127741797746e-01
8.7999999999998604e+00  8.0128999484025751e+00  2.4556815961251970e-02  6.6398007866945106e+00  2.7323240798764631e-01  3.1940979796663257e+01  3.2000046789363921e+01  3.2000046790503710e+01  4.7999999999999998e+00  8.0134934316755935e+00  6.6396094864303716e+00  2.7310294898261511e-01  4.3495193877394440e+00  7.4362164890951787e-01  4.3942637950121597e+00  7.3882876455427482e-01  4.9376521663917960e-01  9.8975353083697759e-01
9.5999999999998398e+00  8.0177337678676821e+00  2.4529271380697860e-02  6.6394216478571462e+00  2.7335788331931621e-01  3.1942097119737980e+01  3.2000079428728071e+01  3.2000079429965282e+01  4.7999999999999998e+00  8.0183025470474245e+00  6.6392410175042222e+00  2.7321655165435604e-01  4.3524744367935098e+00  7.4336976134091826e-01  4.3919177565932452e+00  7.3931073028107752e-01  4.9378822962964125e-01  9.8974748788182043e-01
1.0399999999999800e+01  8.0232827507478568e+00  2.4534840634268411e-02  6.6394046268385170e+00  2.7348137021467178e-01  3.1943377792766977e+01  3.2000130785730072e+01  3.2000130787032198e+01  4.7999999999999998e+00  8.0238453805853638e+00  6.6392322617903954e+00  2.7039964964535768e-01  4.3560974080160939e+00  7.4319550233494847e-01  4.3900177119808772e+00  7.3962741655636033e-01  4.9382139898991745e-01  9.8974996295426954e-01
