# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  6.0425887463653795e-09  3.7769335998245376e-09  6.9202006437287333e-01  3.7680802574914933e+00  9.0913839503849947e-01
8.0000000000000004e-01  5.0172406005326110e-09  3.1642691650317585e-09  6.8008334257818093e-01  3.7203333703127237e+00  9.3125164896716706e-01
1.6000000000000001e+00  4.6953557503468311e-09  2.8954725873199864e-09  6.7958321337743843e-01  3.7183328535097537e+00  9.3108062555550641e-01
2.3999999999999901e+00  4.4125870981840750e-09  2.7066505266996780e-09  6.7983652845324627e-01  3.7193461138129851e+00  9.2488130985636796e-01
3.1999999999999802e+00  4.0719517143756723e-09  2.4569621943795307e-09  6.7170312380288366e-01  3.6868124952115346e+00  9.2738640500651004e-01
3.9999999999999600e+00  3.8307708130042605e-09  2.3129524892337281e-09  6.6691016221804245e-01  3.6676406488721698e+00  9.2246463717050275e-01
4.7999999999999403e+00  3.5469685859873695e-09  2.1299675174292707e-09  6.7073057717148221e-01  3.6829223086859288e+00  9.1587500763257634e-01
5.5999999999999304e+00  3.3225191754402478e-09  1.9801546548011915e-09  6.6169128710965552e-01  3.6467651484386221e+00  9.2900611296798674e-01
6.3999999999999098e+00  3.1416553486522257e-09  1.8731189249035440e-09  6.5944527236767525e-01  3.6377810894707010e+00  9.1679895882972495e-01
7.1999999999998900e+00  2.9737482735104300e-09  1.7617575042854318e-09  6.5682653005933700e-01  3.6273061202373480e+00  9.0765628887886340e-01
7.9999999999998703e+00  2.8110255724396202e-09  1.6790613411417880e-09  6.5920869186299513e-01  3.6368347674519805e+00  9.1855289162485643e-01
8.7999999999998604e+00  2.7228739897509850e-09  1.6281285971041164e-09  6.0332523405394922e-01  3.4133009362157969e+00  9.4400539842059483e-01
9.5999999999998398e+00  2.5583414416358385e-09  1.5296633246853001e-09  6.5558074087502050e-01  3.6223229635000820e+00  9.3693990928682036e-01
1.0399999999999800e+01  2.4736301244319162e-09  1.4801903804939419e-09  6.1231658115187459e-01  3.4492663246074984e+00  9.4730781690036825e-01
1.1199999999999800e+01  2.3530682502768155e-09  1.4138392823724312e-09  5.9212484342756078e-01  3.3684993737102431e+00  9.6444632387637030e-01
1.1999999999999799e+01  2.1908732808960534e-09  1.3102545812868203e-09  5.3480163317201423e-01  3.1392065326880569e+00  9.8412750871880061e-01
1.2799999999999800e+01  2.0974526127863731e-09  1.2534920816388358e-09  6.2208106057279622e-01  3.4883242422911849e+00  9.1230235393551129e-01
1.3599999999999801e+01  1.9857701270266189e-09  1.1925452428675156e-09  6.4921596828517425e-01  3.5968638731406970e+00  9.0758721528826725e-01
1.4399999999999700e+01  1.8736055035852650e-09  1.1255207968706574e-09  6.1926925269413824e-01  3.4770770107765530e+00  9.3113804509232900e-01
1.5199999999999701e+01  1.7832262429473050e-09  1.0677500882534527e-09  6.4091408130794525e-01  3.5636563252317810e+00  9.2987703609802086e-01
1.5999999999999700e+01  1.6979636651493469e-09  1.0164319678608893e-09  5.7796764885555529e-01  3.3118705954222212e+00  9.2312194059542385e-01
