# time  chi_mean_R8  chi_min_R8  chi_max_R8  lapse_mean_R8  lapse_min_R8  lapse_max_R8  K_mean_R8  K_min_R8  K_max_R8  chi_mean_R16  chi_min_R16  chi_max_R16  lapse_mean_R16  lapse_min_R16  lapse_max_R16  K_mean_R16  K_min_R16  K_max_R16
0.0000000000000000e+00  1.0001557793718487e+00  9.9116834774252338e-01  1.0103790226763165e+00  1.0000978761668877e+00  9.9448176331486327e-01  1.0072792414267766e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0000758577490099e+00  9.9850839328646646e-01  1.0016877051434008e+00  1.0000486471497858e+00  9.9922608255037337e-01  1.0008926407892667e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
8.0000000000000004e-01  1.0001586947818781e+00  9.9124496900196202e-01  1.0105005363573638e+00  1.0000937506784773e+00  9.9412532312555180e-01  1.0068191636029968e+00  3.1924254276045741e-06  -2.2874405289215947e-04  4.4071002013693040e-04  1.0000759307298304e+00  9.9851741909079639e-01  1.0016778308861776e+00  1.0000486937921522e+00  9.9923068931254211e-01  1.0008876032173064e+00  4.3566332940148008e-08  -1.1841319135813109e-05  1.4141887694994345e-05
1.6000000000000001e+00  1.0001591404155306e+00  9.9121230435457142e-01  1.0104772345651951e+00  1.0000845731689849e+00  9.9384034240481178e-01  1.0065046964355333e+00  9.1975082074731575e-07  -8.3766490806674908e-05  1.0223569969217270e-04  1.0000759529745804e+00  9.9851485434604859e-01  1.0016810782688146e+00  1.0000487160714713e+00  9.9923021588329575e-01  1.0008876007200853e+00  4.0080395606652927e-08  -4.4781242349572260e-06  8.2721333047725801e-06
2.3999999999999901e+00  1.0001565693011316e+00  9.9102668405662331e-01  1.0102378310374469e+00  1.0000809471141978e+00  9.9401154021052485e-01  1.0067166378624210e+00  -4.5666953513548700e-06  -4.2017431539481437e-04  1.3446107956545226e-04  1.0000759804404735e+00  9.9851141566126500e-01  1.0016818840355146e+00  1.0000487417992205e+00  9.9923310481241445e-01  1.0008891559202786e+00  6.3526147677395673e-08  -7.0508695683924281e-06  4.6522967979863415e-06
3.1999999999999802e+00  1.0001523703088238e+00  9.9094639211857349e-01  1.0102658023838458e+00  1.0000837367588957e+00  9.9420465523788848e-01  1.0067141100629864e+00  -6.4603174715923786e-06  -3.5734235701008254e-04  1.9770042655485891e-04  1.0000759825294641e+00  9.9851389512117750e-01  1.0016789294839896e+00  1.0000488064909658e+00  9.9922932180253388e-01  1.0008977773615435e+00  -7.5033937581984564e-08  -1.1435842991174356e-05  5.5264750643184409e-06
3.9999999999999600e+00  1.0001500837964863e+00  9.9097376589757780e-01  1.0102896217573394e+00  1.0000855665680739e+00  9.9416496866152071e-01  1.0065964012790665e+00  -3.3907738724860951e-06  -2.3604348347608858e-04  1.8689614203224787e-04  1.0000758782761565e+00  9.9851038372018264e-01  1.0016796476868934e+00  1.0000491183073918e+00  9.9923172908957025e-01  1.0009029457254937e+00  -1.0256030198578068e-07  -1.2257031715048932e-05  8.5730190675025317e-06
4.7999999999999403e+00  1.0001501751022999e+00  9.9095958465021572e-01  1.0102428180623924e+00  1.0000825556029043e+00  9.9413349108985571e-01  1.0065665511777684e+00  -1.7980223263164067e-06  -1.2434933883600504e-04  1.2276662902171122e-04  1.0000758234605196e+00  9.9850010366329767e-01  1.0016813466988082e+00  1.0000493998647784e+00  9.9925231372950940e-01  1.0009034781717812e+00  -2.2867429168390022e-07  -1.7293502465245723e-05  6.8318647385517102e-06
5.5999999999999304e+00  1.0001475581906298e+00  9.9095072900360570e-01  1.0101892821384522e+00  1.0000832523005678e+00  9.9407815885142015e-01  1.0066120666138014e+00  -6.7655600576192831e-06  -1.2704794651899903e-04  9.6783013441599421e-05  1.0000754825231601e+00  9.9850035095571521e-01  1.0016940616065422e+00  1.0000502782632619e+00  9.9925876566230099e-01  1.0008821747583820e+00  -4.9231996663856971e-07  -2.2602389215935958e-05  3.5883010187825974e-05
6.3999999999999098e+00  1.0001425523081635e+00  9.9091424817060980e-01  1.0101751723243388e+00  1.0000902394335234e+00  9.9409495279192039e-01  1.0065930025825720e+00  -7.3262382503562763e-06  -1.1730602476972555e-04  8.1623523721790342e-05  1.0000759282397149e+00  9.9852030147399007e-01  1.0017177830188180e+00  1.0000498932041082e+00  9.9922223620494433e-01  1.0008309767736827e+00  1.4405410136626873e-06  -2.0243261697450083e-05  6.3884401942765841e-05
7.1999999999998900e+00  1.0001408930127640e+00  9.9090349859194460e-01  1.0101547291082196e+00  1.0000928595806495e+00  9.9407943060809711e-01  1.0065797004846075e+00  -1.9894820117067772e-06  -9.9676249124262220e-05  8.3559480560904280e-05  1.0000776187427083e+00  9.9852222865190232e-01  1.0017117020041382e+00  1.0000464972218941e+00  9.9920389180457481e-01  1.0008246491847610e+00  2.3794228397697429e-06  -2.2833042213435553e-05  6.1236528992597320e-05
