NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.500066e+01        2.430061e+01        
2                   8.696507e+00        8.342308e+00        
3                   3.306341e+00        3.155545e+00        
4                   1.296910e+00        1.235098e+00        
5                   5.148029e-01        4.897912e-01        
6                   2.053075e-01        1.952461e-01        
7                   8.203144e-02        7.799808e-02        
8                   3.280102e-02        3.118811e-02        
9                   1.312053e-02        1.247637e-02        
10                  5.250576e-03        4.992264e-03        
11                  2.105324e-03        1.997945e-03        
12                  8.541270e-04        7.997109e-04        
