# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
0.0000000000000000e+00  7.9472632124513884e+00  2.4674942206862064e-02  5.9260498716901928e+00  4.1712930223169703e-01  3.1936477738684616e+01  3.2000000000000007e+01  3.2000000000000007e+01  4.7999999999999998e+00  7.9470304222572947e+00  5.9262087901173501e+00  4.2066339947752940e-01  4.3375807218635547e+00  7.4558915301122786e-01  4.4068312002841603e+00  7.3603399620119137e-01  4.9200291013982289e-01  9.9030758782874340e-01
8.0000000000000004e-01  7.9534139067884126e+00  2.4742615438422905e-02  5.9260759704528514e+00  4.1715076280559793e-01  3.1935911430371675e+01  3.2000000000000597e+01  3.2000000000000000e+01  4.7999999999999998e+00  7.9531750540489856e+00  5.9262386090408494e+00  4.2068358794283256e-01  4.3378395662226756e+00  7.4556116486339219e-01  4.4066642826666333e+00  7.3607291537977926e-01  4.9192501976736541e-01  9.9030649607793986e-01
1.6000000000000001e+00  7.9596959378112810e+00  2.4686051777467421e-02  5.9261431532876143e+00  4.1710292246226272e-01  3.1935159674426924e+01  3.2000000000006928e+01  3.2000000000000007e+01  4.7999999999999998e+00  7.9594457548285948e+00  5.9263120834927339e+00  4.2120632705003114e-01  4.3383445082457328e+00  7.4556381354415846e-01  4.4063796256948677e+00  7.3618629492358112e-01  4.9181676545313868e-01  9.9031876124755414e-01
2.3999999999999901e+00  7.9661757151276280e+00  2.4624643422224791e-02  5.9261691198995221e+00  4.1704547429618039e-01  3.1935717328795754e+01  3.2000000000018211e+01  3.1999999999999993e+01  4.7999999999999998e+00  7.9659131070034892e+00  5.9263401133501672e+00  4.2057254813617118e-01  4.3387048445169780e+00  7.4553665813534509e-01  4.4061088752540414e+00  7.3624210748874008e-01  4.9187593438441091e-01  9.9032470812215523e-01
3.1999999999999802e+00  7.9725873523217912e+00  2.4726337378965714e-02  5.9261727456434841e+00  4.1723593108451307e-01  3.1938034140034048e+01  3.2000000000025658e+01  3.1999999999999996e+01  4.7999999999999998e+00  7.9723209581295480e+00  5.9263378259219817e+00  4.2055449656145943e-01  4.3391555129231039e+00  7.4511628823153087e-01  4.4056765690401294e+00  7.3621722242249321e-01  4.9215671204742667e-01  9.9029150869394178e-01
3.9999999999999600e+00  7.9787234076819118e+00  2.4743366038090717e-02  5.9261939094687355e+00  4.1705192507436128e-01  3.1941203261980586e+01  3.2000000000003901e+01  3.1999999999999989e+01  4.7999999999999998e+00  7.9784675608551732e+00  5.9263475391757785e+00  4.2054156913949647e-01  4.3400881982119808e+00  7.4457960042443749e-01  4.4048321783205617e+00  7.3658924537123449e-01  4.9253096753121711e-01  9.9027707100998386e-01
4.7999999999999403e+00  7.9842279743528186e+00  2.4669063960251533e-02  5.9262455443588724e+00  4.1703126925346984e-01  3.1943818184700252e+01  3.1999999999927656e+01  3.1999999999999989e+01  4.7999999999999998e+00  7.9839914497217102e+00  5.9263892188844070e+00  4.1969774404690352e-01  4.3415164892845555e+00  7.4417767821232239e-01  4.4036066111301206e+00  7.3721324077385297e-01  4.9281245347835956e-01  9.9036057858999860e-01
5.5999999999999304e+00  7.9893727618702144e+00  2.4626152036838815e-02  5.9262127404213629e+00  4.1702936910609045e-01  3.1945512766855206e+01  3.1999999999790973e+01  3.1999999999999979e+01  4.7999999999999998e+00  7.9891538728956437e+00  5.9263518408753217e+00  4.1968647068337966e-01  4.3429574326475606e+00  7.4407722709807234e-01  4.4021503901417587e+00  7.3773596534208208e-01  4.9296147519392702e-01  9.9034471262837964e-01
6.3999999999999098e+00  7.9950117603018374e+00  2.4650999956650994e-02  5.9260190747058630e+00  4.1770694772006151e-01  3.1947449864719186e+01  3.1999999999604089e+01  3.1999999999999975e+01  4.7999999999999998e+00  7.9948036269804792e+00  5.9261551267734447e+00  4.1907613438291330e-01  4.3441690476426578e+00  7.4396934574671569e-01  4.4004824817694237e+00  7.3786312746946259e-01  4.9313484739075331e-01  9.9036084648711109e-01
7.1999999999998900e+00  8.0014737321335438e+00  2.4688092166891395e-02  5.9258024546853045e+00  4.1771035920085953e-01  3.1950655189834340e+01  3.1999999999376058e+01  3.1999999999999950e+01  4.7999999999999998e+00  8.0012718966358296e+00  5.9259318068001869e+00  4.1803519900060349e-01  4.3457411663270022e+00  7.4384096776969066e-01  4.3984053651698618e+00  7.3802374821814010e-01  4.9345660083408993e-01  9.9036954956421186e-01
7.9999999999998703e+00  8.0080289355815033e+00  2.4694436065850561e-02  5.9257615146806879e+00  4.1768992652501336e-01  3.1954430672403110e+01  3.1999999999097145e+01  3.1999999999999922e+01  4.7999999999999998e+00  8.0078300868563268e+00  5.9258822596391747e+00  4.1333329165125715e-01  4.3483486261631192e+00  7.4359208954179357e-01  4.3958098580391667e+00  7.3846769562365278e-01  4.9382070284883578e-01  9.9037361244198163e-01
8.7999999999998604e+00  8.0136446939169623e+00  2.4662927304583648e-02  5.9259209026570190e+00  4.1768152855931467e-01  3.1957233289190569e+01  3.1999999998744467e+01  3.1999999999999865e+01  4.7999999999999998e+00  8.0134461689266381e+00  5.9260365383231939e+00  4.1332223830798748e-01  4.3517431769243018e+00  7.4320947288054473e-01  4.3930113808266107e+00  7.3908056140944045e-01  4.9402576934204329e-01  9.9036926357925992e-01
9.5999999999998398e+00  8.0185121653176168e+00  2.4636097387900898e-02  5.9261946306676130e+00  4.1967357371849695e-01  3.1958834032173076e+01  3.1999999998310749e+01  3.1999999999999744e+01  4.7999999999999998e+00  8.0183142567186447e+00  5.9263094631858797e+00  4.1334109827575938e-01  4.3552559733388883e+00  7.4287231106360974e-01  4.3904433909292786e+00  7.3961449000862134e-01  4.9405681998764861e-01  9.9036633511592287e-01
1.0399999999999800e+01  8.0241539335033245e+00  2.4651662672093698e-02  5.9269058019719338e+00  4.1968684620923008e-01  3.1960654609120894e+01  3.1999999997818527e+01  3.1999999999999908e+01  4.7999999999999998e+00  8.0239595901101435e+00  5.9270191332743440e+00  4.1335113564230591e-01  4.3595650016661791e+00  7.4263142260868853e-01  4.3883450025832609e+00  7.3996458705979518e-01  4.9410648041890481e-01  9.9037584836305959e-01
1.1199999999999800e+01  8.0317305244692818e+00  2.4691042613217643e-02  5.9292070529353218e+00  4.2111979300320779e-01  3.1963726544581533e+01  3.1999999997305331e+01  3.2000000000000583e+01  4.7999999999999998e+00  8.0315415315943088e+00  5.9293146220464665e+00  4.1329117231219009e-01  4.3672828948732567e+00  7.4239363570731343e-01  4.3873175596438232e+00  7.4010961980808454e-01  4.9429662366971777e-01  9.9038602541941534e-01
1.1999999999999799e+01  8.0406801959040219e+00  2.4703397978038926e-02  5.9343360457023175e+00  4.2039428569877829e-01  3.1967186150316319e+01  3.1999999996735951e+01  3.2000000000002991e+01  4.7999999999999998e+00  8.0404950972190115e+00  5.9344367077336839e+00  4.1314439680277337e-01  4.3804699367466053e+00  7.4204581896327093e-01  4.3887021750223809e+00  7.4002732772145741e-01  4.9449963534792363e-01  9.9038359681431298e-01
1.2799999999999800e+01  8.0499155864521832e+00  2.4672490808144369e-02  5.9428758062324016e+00  4.2018714246177580e-01  3.1969597057951596e+01  3.1999999996082664e+01  3.1999999999987701e+01  4.7999999999999998e+00  8.0497321062010592e+00  5.9429734215045720e+00  4.1293768843297102e-01  4.3995021346007723e+00  7.4161273985215170e-01  4.3936752684958931e+00  7.3978248597702934e-01  4.9453896606683351e-01  9.9037650764690777e-01
1.3599999999999801e+01  8.0601338530321698e+00  2.4639135544181252e-02  5.9558481551326299e+00  4.1991794301937124e-01  3.1970996819919861e+01  3.1999999995240650e+01  3.1999999999947185e+01  4.7999999999999998e+00  8.0599524594052667e+00  5.9559462954678102e+00  4.1266941374843347e-01  4.4252429054062050e+00  7.4111121025490689e-01  4.4040154188957610e+00  7.3982224192385093e-01  4.9443581269329540e-01  9.9037793124551865e-01
1.4399999999999700e+01  8.0729859424253512e+00  2.4646592924767993e-02  5.9741702505113770e+00  4.1955186249148391e-01  3.1972409347841229e+01  3.1999999994236408e+01  3.1999999999833364e+01  4.7999999999999998e+00  8.0728097734011079e+00  5.9742689663616018e+00  4.1230813572765312e-01  4.4561513188910062e+00  7.4105546182709781e-01  4.4237114288425925e+00  7.3999180279760368e-01  4.9429638877251347e-01  9.9038872918426102e-01
1.5199999999999701e+01  8.0880948516754607e+00  2.4683221932950070e-02  5.9973265537493097e+00  4.1827853383321451e-01  3.1974445305744727e+01  3.1999999992530210e+01  3.1999999999732722e+01  4.7999999999999998e+00  8.0879261618879639e+00  5.9974239411258505e+00  4.1187060997774527e-01  4.4905181998991175e+00  7.4108101050027142e-01  4.4527943910300207e+00  7.3942827578090153e-01  4.9418582089099139e-01  9.9039698542692312e-01
1.5999999999999700e+01  8.1031909275587743e+00  2.4699638986208694e-02  6.0236831184065078e+00  4.1782492403383242e-01  3.1976476761731412e+01  3.1999999989468648e+01  3.1999999999663576e+01  4.7999999999999998e+00  8.1030295109134975e+00  6.0237795928533133e+00  4.1142352070430138e-01  4.5270211042652431e+00  7.4121738517769709e-01  4.4878437642212869e+00  7.3920001863995521e-01  4.9402959717820810e-01  9.9039424942447629e-01
1.6799999999999802e+01  8.1176412355239869e+00  2.4675408829539402e-02  6.0532498503290819e+00  4.1673273826979046e-01  3.1977451853262721e+01  3.1999999984138999e+01  3.1999999999671864e+01  4.7999999999999998e+00  8.1174865202596145e+00  6.0533496719919837e+00  4.1097082889867276e-01  4.5650573573927105e+00  7.4139214147464805e-01  4.5295298629616658e+00  7.3800331444212608e-01  4.9370046696700526e-01  9.9038700892277309e-01
1.7600000000000001e+01  8.1319855667524514e+00  2.4644488671499060e-02  6.0860483780757386e+00  4.1626876694398424e-01  3.1977670840198993e+01  3.1999999974030395e+01  3.1999999999727009e+01  4.7999999999999998e+00  8.1318384299467006e+00  6.0861547937530531e+00  4.1051016839299287e-01  4.6050565535664170e+00  7.4194899202135955e-01  4.5773367810331917e+00  7.3765920875025615e-01  4.9327054475455162e-01  9.9038717442380808e-01
1.8400000000000102e+01  8.1466255780556871e+00  2.4646916738360426e-02  6.1210391133429081e+00  4.1581759417806441e-01  3.1978602827221483e+01  3.1999999955467416e+01  3.1999999999504691e+01  4.7999999999999998e+00  8.1464877737147479e+00  6.1211501506599397e+00  4.1006317311970264e-01  4.6477683204581766e+00  7.4159606760131147e-01  4.6276553093661859e+00  7.3630101421115468e-01  4.9293640040351461e-01  9.9039570317218195e-01
1.9200000000000198e+01  8.1622099659477936e+00  2.4675240746327987e-02  6.1592895775570895e+00  4.1430148780208809e-01  3.1981400174413086e+01  3.1999999922596068e+01  3.1999999998627903e+01  4.7999999999999998e+00  8.1620823643027229e+00  6.1593992548460221e+00  4.0960262754230781e-01  4.6967114982779830e+00  7.4203358644624562e-01  4.6794460541631508e+00  7.3478638765162740e-01  4.9278539625890128e-01  9.9040271452879292e-01
2.0000000000000298e+01  8.1780879526502375e+00  2.4687428011396079e-02  6.2014774341393135e+00  4.0917377084447509e-01  3.1984771369511872e+01  3.1999999867790400e+01  3.1999999996218175e+01  4.7999999999999998e+00  8.1779695368968213e+00  6.2015845872742474e+00  4.1202790883549772e-01  4.7514684025867293e+00  7.4137122811495626e-01  4.7349798967888281e+00  7.3368815934194032e-01  4.9266607562643822e-01  9.9040113168130428e-01
2.0800000000000502e+01  8.1938270374121522e+00  2.4666063165294960e-02  6.2477090915733555e+00  4.0868634481173333e-01  3.1986518173985541e+01  3.1999999785065459e+01  3.1999999988659368e+01  4.7999999999999998e+00  8.1937166652174334e+00  6.2478205110838640e+00  4.1336948009626667e-01  4.8072345182421499e+00  7.4053138375415695e-01  4.7993146376684903e+00  7.3244227187778876e-01  4.9237638571829107e-01  9.9039527539114913e-01
2.1600000000000598e+01  8.2095011777760725e+00  2.4639840393789764e-02  6.2972639083355313e+00  4.0818948589998327e-01  3.1987698134191508e+01  3.1999999679619599e+01  3.1999999969701857e+01  4.7999999999999998e+00  8.2094003026932256e+00  6.2973823049360309e+00  4.1285931614841209e-01  4.8645331926542452e+00  7.4002284929679807e-01  4.8703280138002318e+00  7.3078038424255642e-01  4.9203024449184080e-01  9.9039483807294604e-01
2.2400000000000698e+01  8.2257367362003997e+00  2.4645034293595006e-02  6.3500251416387474e+00  4.0768280362216247e-01  3.1989968392098319e+01  3.1999999574654851e+01  3.1999999938619030e+01  4.7999999999999998e+00  8.2256478982933281e+00  6.3501468967387913e+00  4.1336569256124078e-01  4.9278016948897330e+00  7.3933464747154165e-01  4.9433906168814037e+00  7.2971217152427337e-01  4.9183919757733591e-01  9.9040140097285556e-01
2.3200000000000799e+01  8.2426942530217797e+00  2.4674560374158140e-02  6.4067804403418629e+00  4.0716573355152935e-01  3.1993531103890732e+01  3.1999999478520767e+01  3.1999999901031785e+01  4.7999999999999998e+00  8.2426185363936622e+00  6.4069013100188972e+00  4.1344421600614095e-01  4.9985238401885033e+00  7.3815232724539837e-01  5.0188489957004379e+00  7.2894012726972368e-01  4.9181129227043702e-01  9.9040640169826710e-01
2.4000000000000998e+01  8.2587835574489468e+00  2.4689601307700620e-02  6.4661434581693937e+00  4.0669286492111778e-01  3.1997459105013441e+01  3.1999999373611107e+01  3.1999999863040070e+01  4.7999999999999998e+00  8.2587195228086916e+00  6.4662630355122213e+00  4.1374059790654177e-01  5.0717571324952662e+00  7.3749876975225226e-01  5.0975163373788828e+00  7.2802903688912579e-01  4.9180543930358972e-01  9.9040372717455483e-01
2.4800000000001098e+01  8.2734573381645085e+00  2.4673431605493488e-02  6.5270234226458959e+00  4.0626791529323686e-01  3.2001188416749692e+01  3.1999999241688776e+01  3.1999999824537205e+01  4.7999999999999998e+00  8.2734023370275125e+00  6.5271434318842037e+00  4.1329914784657573e-01  5.1460847645868819e+00  7.3723466345649735e-01  5.1781905779222663e+00  7.2750749081468535e-01  4.9178261511082005e-01  9.9039792028333429e-01
2.5600000000001199e+01  8.2885887847438191e+00  2.4651985915229005e-02  6.5911458633311995e+00  4.0580607690060666e-01  3.2005313263991212e+01  3.1999999087584783e+01  3.1999999780049983e+01  4.7999999999999998e+00  8.2885415670004647e+00  6.5912653775127659e+00  4.1335884773294784e-01  5.2277730275140986e+00  7.3595702138961283e-01  5.2597190068488677e+00  7.2695870904227078e-01  4.9186648041064401e-01  9.9039740266067255e-01
2.6400000000001299e+01  8.3058416772322499e+00  2.4656179099296585e-02  6.6609974818409077e+00  4.0525270511251321e-01  3.2011087457956300e+01  3.1999998926378645e+01  3.1999999724023951e+01  4.7999999999999998e+00  8.3058036855891988e+00  6.6611106584646924e+00  4.0946386088201114e-01  5.3223362944755701e+00  7.3447978467232777e-01  5.3425163157907933e+00  7.2693687787938577e-01  4.9215610160430162e-01  9.9040284563312475e-01
