# time  Re(R=8)  Im(R=8)  Re(R=16)  Im(R=16)
0.0000000000000000e+00  -4.9214809540551427e-07  1.6233598192365480e-17  -3.9499885991183882e-08  3.2883341024739037e-18
8.0000000000000004e-01  4.0969657959985044e-08  -9.9345529768141497e-17  -3.5942450409195704e-08  1.6611631974575279e-16
1.6000000000000001e+00  -1.3218387517624832e-07  4.3738875572080747e-17  -3.1593322780913013e-08  8.1327570645601128e-18
2.3999999999999901e+00  1.4886324335427247e-07  9.9353576581140413e-17  -2.6115889564186793e-08  -9.6054576811848250e-17
3.1999999999999802e+00  3.6142796434298757e-07  -8.3706760462985350e-17  -1.5865597246859830e-08  9.6721438241159925e-17
3.9999999999999600e+00  1.1719707272814049e-06  3.7133522066978581e-16  -2.9952165000347256e-08  -6.1701014892524813e-17
4.7999999999999403e+00  1.8108852097563499e-06  -2.2091635703928858e-16  4.1630848817684157e-08  1.2137731498428520e-16
5.5999999999999304e+00  2.4485246942618487e-06  1.6831222288300751e-16  3.7637125165953281e-08  -8.0236852109686053e-16
6.3999999999999098e+00  3.0139482374564275e-06  -3.1464309375181868e-17  1.3109982548317263e-08  6.2241162194704327e-15
7.1999999999998900e+00  2.8830195040331865e-06  3.0314250391047341e-17  1.2711251138899605e-07  -2.7778921698194175e-14
7.9999999999998703e+00  2.9020792660674506e-06  -1.8320263857926448e-17  1.8557265124421982e-07  1.0304896580313924e-13
8.7999999999998604e+00  2.1399718158317023e-06  -1.4576992329949200e-16  2.3587298870274101e-07  -2.8549865811371524e-13
9.5999999999998398e+00  1.8264220165949469e-06  1.8675742410065397e-16  4.9188188713683653e-07  5.5841504584474577e-13
1.0399999999999800e+01  1.8650858892851997e-06  -2.2378229301632351e-16  5.9961251342348526e-07  -6.1757921829645181e-13
1.1199999999999800e+01  2.0083468107648793e-06  1.6060011495319920e-15  9.2863528878980337e-07  -3.1682962631577916e-13
1.1999999999999799e+01  2.2748716337889091e-06  -6.1014072297267208e-15  1.4802997284972409e-06  1.7498679919933781e-12
1.2799999999999800e+01  2.7618163922423536e-06  2.1524527875742554e-14  1.9388471769724133e-06  -1.4679168095298786e-12
1.3599999999999801e+01  3.2416595385148988e-06  -6.8300461044269040e-14  2.3435762656599400e-06  2.0479756890536345e-13
1.4399999999999700e+01  3.6110463093521277e-06  2.1273379049343275e-13  2.3244417948269091e-06  2.5715614448229791e-12
1.5199999999999701e+01  3.8324555795154323e-06  -5.0437617127771484e-13  2.1557789166648971e-06  -1.9287179314503115e-12
1.5999999999999700e+01  4.1415123369624750e-06  3.4894130897665152e-13  1.5318290401091040e-06  -1.2360014883082892e-12
1.6799999999999802e+01  4.5260362228609487e-06  2.3555853787189142e-13  7.2438224265719853e-07  2.9530572385061824e-12
1.7600000000000001e+01  4.9084390638855825e-06  -2.9239062851406285e-13  1.1658128592158932e-07  3.2276198299047253e-12
1.8400000000000102e+01  5.3346707905095073e-06  1.0837949603373207e-12  -1.0098128640873951e-07  1.1621746978337085e-12
1.9200000000000198e+01  5.7656529565383358e-06  3.7511954623300223e-12  -2.6035106114116303e-07  -1.5072909577618798e-12
2.0000000000000298e+01  6.1810970895306737e-06  1.0392398810008812e-11  -8.3830067022216703e-08  -4.9276507849447478e-12
2.0800000000000502e+01  6.6218276192942637e-06  1.8311068868050607e-11  2.1221708248924912e-07  1.3805217175657749e-12
2.1600000000000598e+01  7.0870926309148329e-06  2.1288476772118208e-11  4.3176032489073059e-07  1.2394101039331201e-12
2.2400000000000698e+01  7.5682238244042209e-06  1.6036999366465836e-11  4.9927952763888740e-07  -2.7922857520538898e-12
2.3200000000000799e+01  8.0537651355267437e-06  3.5177417782504100e-12  4.4941108470823883e-07  -4.7279981319201475e-12
2.4000000000000998e+01  8.5400240153381118e-06  -1.5171104705000429e-11  4.9556013519546586e-07  -2.5225441961361326e-12
2.4800000000001098e+01  9.0346362334337845e-06  -2.1313824427247096e-11  6.2414044072346771e-07  -2.6226987098800748e-12
2.5600000000001199e+01  9.5344744921599903e-06  -3.0971271902667630e-11  7.2164829895209285e-07  -1.7447708907833433e-13
2.6400000000001299e+01  1.0031426375201099e-05  -2.7715302597706672e-11  8.3288334662052728e-07  1.2456184660455221e-11
2.7200000000001499e+01  1.0518271464324364e-05  2.5135618487379593e-11  9.5505347176262004e-07  2.0310943242492120e-11
2.8000000000001599e+01  1.0993145308661785e-05  4.1043424289302497e-11  1.0608193545519451e-06  -5.2416480756296348e-12
2.8800000000001699e+01  1.1465833786072513e-05  1.2682058793456240e-12  1.1710333734767391e-06  -1.5425676785409882e-11
2.9600000000001799e+01  1.1948489642764763e-05  2.9356716273480884e-11  1.2814428966080946e-06  5.6044455537574587e-11
3.0400000000001999e+01  1.2443345279846573e-05  5.1381656756455902e-11  1.3854969321482329e-06  1.3326337851955533e-10
3.1200000000002099e+01  1.2944615694477193e-05  2.0246899885224194e-12  1.4918086918829780e-06  9.8083557536285015e-11
3.2000000000002203e+01  1.3449731181776656e-05  -3.0650542861943196e-11  1.5958264653664116e-06  5.5933095487866231e-11
3.2800000000002001e+01  1.3968269901629696e-05  -5.0962721284552882e-12  1.6855148294495707e-06  1.0412978671639471e-10
3.3600000000001899e+01  1.4513361940973037e-05  3.5817347236933827e-11  1.7532494857920320e-06  1.3067166912654827e-10
3.4400000000001697e+01  1.5089266581752923e-05  8.3533596670643871e-11  1.8001380836494315e-06  1.5088385909747071e-10
3.5200000000001602e+01  1.5686934959505960e-05  1.5170232908663796e-10  1.8336337122212276e-06  2.8522229781135153e-10
