# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  1.6669748442375537e-01  1.6666666666666430e-01
8.0000000000000104e-01  1.6669742056151057e-01  1.6666666666666430e-01
1.6000000000000001e+00  1.6669746078234896e-01  1.6666666666666430e-01
2.3999999999999999e+00  1.6669754649048341e-01  1.6666666666666430e-01
3.2000000000000202e+00  1.6669748413222282e-01  1.6666666666666430e-01
4.0000000000000400e+00  1.6669736545234293e-01  1.6666666666666430e-01
4.8000000000000602e+00  1.6669730806714114e-01  1.6666666666666430e-01
5.6000000000000796e+00  1.6669713009519727e-01  1.6666666666666430e-01
6.4000000000000901e+00  1.6669714781019943e-01  1.6666666666666430e-01
7.2000000000001103e+00  1.6669690720002320e-01  1.6666666666666430e-01
8.0000000000001297e+00  1.6669759817811350e-01  1.6666666666666430e-01
8.8000000000000398e+00  1.6669762061928470e-01  1.6666666666666430e-01
9.5999999999999499e+00  1.6669754390457489e-01  1.6666666666666430e-01
1.0399999999999901e+01  1.6669726066678195e-01  1.6666666666666430e-01
1.1199999999999800e+01  1.6669698599183097e-01  1.6666666666666430e-01
1.1999999999999700e+01  1.6669686671860490e-01  1.6666666666666430e-01
1.2799999999999599e+01  1.6669681975075507e-01  1.6666666666666430e-01
1.3599999999999500e+01  1.6669667598572863e-01  1.6666666666666430e-01
1.4399999999999400e+01  1.6669640413235903e-01  1.6666666666666430e-01
1.5199999999999299e+01  1.6669614912369501e-01  1.6666666666666430e-01
1.5999999999999201e+01  1.6669602588391363e-01  1.6666666666666430e-01
1.6799999999999400e+01  1.6669595415268121e-01  1.6666666666666430e-01
1.7599999999999500e+01  1.6669576336622219e-01  1.6666666666666430e-01
1.8399999999999601e+01  1.6669542575964602e-01  1.6666666666666430e-01
1.9199999999999701e+01  1.6669509312185926e-01  1.6666666666666430e-01
1.9999999999999901e+01  1.6669488751726000e-01  1.6666666666666430e-01
2.0800000000000001e+01  1.6669471869070349e-01  1.6666666666666430e-01
2.1600000000000101e+01  1.6669447355192002e-01  1.6666666666666430e-01
2.2400000000000201e+01  1.6669400095804096e-01  1.6666666666666430e-01
2.3200000000000401e+01  1.6669334307129149e-01  1.6666666666666430e-01
2.4000000000000501e+01  1.6669305095437428e-01  1.6666666666666430e-01
2.4800000000000601e+01  1.6669285481192478e-01  1.6666666666666430e-01
2.5600000000000701e+01  1.6669249332339495e-01  1.6666666666666430e-01
2.6400000000000901e+01  1.6669201324251984e-01  1.6666666666666430e-01
2.7200000000001001e+01  1.6669155686960027e-01  1.6666666666666430e-01
2.8000000000001101e+01  1.6669119465372209e-01  1.6666666666666430e-01
2.8800000000001202e+01  1.6669083661183132e-01  1.6666666666666430e-01
2.9600000000001401e+01  1.6669036919474309e-01  1.6666666666666430e-01
3.0400000000001501e+01  1.6668980962849231e-01  1.6666666666666430e-01
3.1200000000001602e+01  1.6668927221672575e-01  1.6666666666666430e-01
3.2000000000001698e+01  1.6668884585109653e-01  1.6666666666666430e-01
3.2800000000001901e+01  1.6668844186935544e-01  1.6666666666666430e-01
3.3600000000001998e+01  1.6668792241654345e-01  1.6666666666666430e-01
3.4400000000002102e+01  1.6668730586705213e-01  1.6666666666666430e-01
3.5200000000002198e+01  1.6668669163856736e-01  1.6666666666666430e-01
3.6000000000002402e+01  1.6668612997140919e-01  1.6666666666666430e-01
3.6800000000002498e+01  1.6668555572820387e-01  1.6666666666666430e-01
3.7600000000002602e+01  1.6668490948234846e-01  1.6666666666666430e-01
3.8400000000002699e+01  1.6668420458206984e-01  1.6666666666666430e-01
3.9200000000002902e+01  1.6668349346471484e-01  1.6666666666666430e-01
4.0000000000002998e+01  1.6668280079974229e-01  1.6666666666666430e-01
4.0800000000003102e+01  1.6668210874626749e-01  1.6666666666666430e-01
4.1600000000003199e+01  1.6668137951621079e-01  1.6666666666666430e-01
4.2400000000003402e+01  1.6668058135980263e-01  1.6666666666666430e-01
4.3200000000003499e+01  1.6667977496878270e-01  1.6666666666666430e-01
4.4000000000003602e+01  1.6667899553464746e-01  1.6666666666666430e-01
4.4800000000003699e+01  1.6667822276971225e-01  1.6666666666666430e-01
4.5600000000003902e+01  1.6667739321558384e-01  1.6666666666666430e-01
4.6400000000003999e+01  1.6667652434204908e-01  1.6666666666666430e-01
4.7200000000004103e+01  1.6667564371198715e-01  1.6666666666666430e-01
4.8000000000004199e+01  1.6667474576123190e-01  1.6666666666666430e-01
4.8800000000004403e+01  1.6667385872968241e-01  1.6666666666666430e-01
4.9600000000004499e+01  1.6667293894320426e-01  1.6666666666666430e-01
5.0400000000004603e+01  1.6667198865545724e-01  1.6666666666666430e-01
5.1200000000004700e+01  1.6667101657423075e-01  1.6666666666666430e-01
5.2000000000004903e+01  1.6667004606921779e-01  1.6666666666666430e-01
5.2800000000004999e+01  1.6666905878062796e-01  1.6666666666666430e-01
5.3600000000005103e+01  1.6666804261513887e-01  1.6666666666666430e-01
5.4400000000005200e+01  1.6666700228716655e-01  1.6666666666666430e-01
5.5200000000005403e+01  1.6666593434743907e-01  1.6666666666666430e-01
5.6000000000005500e+01  1.6666485804982079e-01  1.6666666666666430e-01
5.6800000000005603e+01  1.6666378143787780e-01  1.6666666666666430e-01
5.7600000000005700e+01  1.6666264822896004e-01  1.6666666666666430e-01
5.8400000000005903e+01  1.6666152295247644e-01  1.6666666666666430e-01
5.9200000000006000e+01  1.6666036502281334e-01  1.6666666666666430e-01
6.0000000000006096e+01  1.6665914532580409e-01  1.6666666666666430e-01
6.0800000000006200e+01  1.6665797647607558e-01  1.6666666666666430e-01
6.1600000000006403e+01  1.6665674637419409e-01  1.6666666666666430e-01
6.2400000000006500e+01  1.6665547529860811e-01  1.6666666666666430e-01
6.3200000000006597e+01  1.6665421629523211e-01  1.6666666666666430e-01
6.4000000000006807e+01  1.6665297971783793e-01  1.6666666666666430e-01
6.4800000000005994e+01  1.6665165216105232e-01  1.6666666666666430e-01
6.5600000000005295e+01  1.6665032265436630e-01  1.6666666666666430e-01
6.6400000000004596e+01  1.6664902163081668e-01  1.6666666666666430e-01
6.7200000000003797e+01  1.6664769047614508e-01  1.6666666666666430e-01
6.8000000000003098e+01  1.6664632654795786e-01  1.6666666666666430e-01
6.8800000000002399e+01  1.6664491352584790e-01  1.6666666666666430e-01
6.9600000000001700e+01  1.6664349105252060e-01  1.6666666666666430e-01
7.0400000000000901e+01  1.6664202030117536e-01  1.6666666666666430e-01
7.1200000000000202e+01  1.6664047556125308e-01  1.6666666666666430e-01
7.1999999999999503e+01  1.6663898722682288e-01  1.6666666666666430e-01
7.2799999999998704e+01  1.6663746535943100e-01  1.6666666666666430e-01
