# time  Re_m-2(R=8)  Im_m-2(R=8)  Re_m-1(R=8)  Im_m-1(R=8)  Re_m0(R=8)  Im_m0(R=8)  Re_m1(R=8)  Im_m1(R=8)  Re_m2(R=8)  Im_m2(R=8)  Re_m-2(R=16)  Im_m-2(R=16)  Re_m-1(R=16)  Im_m-1(R=16)  Re_m0(R=16)  Im_m0(R=16)  Re_m1(R=16)  Im_m1(R=16)  Re_m2(R=16)  Im_m2(R=16)
0.0000000000000000e+00  1.0595963693195839e-06  7.4186687226162110e-07  2.0746085187605485e-06  5.7331329094695257e-10  -7.7976376835728675e-07  7.4188015959978336e-17  2.0746085250826534e-06  -5.7331974625228180e-10  1.0595963691996440e-06  -7.4186687217496116e-07  5.2856241939262177e-08  9.1608971579427086e-09  4.7516261063186098e-08  6.3862407846243989e-09  -4.4434206907877116e-08  7.6282528260829983e-17  4.7516273667287074e-08  -6.3862538301494825e-09  5.2856241678744667e-08  -9.1608971020638690e-09
8.0000000000000104e-01  8.2471801003184126e-07  7.6539644515191793e-07  2.6642170783514697e-06  -6.9537569845806470e-09  -2.7604367902900329e-07  -2.1013299234603090e-16  2.6642170778928115e-06  6.9537571418731400e-09  8.2471800960547537e-07  -7.6539644521517044e-07  4.8640003163839123e-08  9.1547924576529368e-09  4.6144953168303947e-08  6.4812826336926737e-09  -4.0214778880160282e-08  -3.5384072046402309e-16  4.6144953704605398e-08  -6.4812828796293236e-09  4.8640001358488796e-08  -9.1547914832183976e-09
1.5999999999999901e+00  9.2328644769956682e-07  7.1796031512408216e-07  1.8093468028312399e-06  4.8621757023918512e-09  -1.0868991628419612e-06  -3.1362591306128467e-16  1.8093468024253960e-06  -4.8621756369337745e-09  9.2328644755552326e-07  -7.1796031527753287e-07  4.3061816459215769e-08  9.1541103735644831e-09  4.7539057861932768e-08  6.4180657187644013e-09  -3.6447343518793620e-08  4.1683234308010315e-16  4.7539059786723237e-08  -6.4180668882276977e-09  4.3061813581802621e-08  -9.1541089320561228e-09
2.3999999999999702e+00  3.7696101059366445e-07  7.3703320614010281e-07  2.0834074543580819e-06  -7.7947630784687222e-11  -1.7343232679744653e-07  1.5046481516788578e-16  2.0834074543974655e-06  7.7948613600145145e-11  3.7696101043105588e-07  -7.3703320609011262e-07  3.5675219035559079e-08  9.1454697185840478e-09  4.6481583695666150e-08  6.3919799404927323e-09  -3.0275853291049754e-08  1.2245252123673695e-15  4.6481584381828905e-08  -6.3919809135991818e-09  3.5675222170464889e-08  -9.1454695914723992e-09
3.1999999999999500e+00  -4.7914571886453716e-08  7.3958223622941731e-07  2.0451442447570739e-06  1.6045187985506644e-09  2.2354602056106605e-07  1.5496923050226574e-16  2.0451442455003487e-06  -1.6045178917036013e-09  -4.7914571198267280e-08  -7.3958223579366364e-07  2.0307192810888234e-08  8.9281417121789237e-09  8.0426559584045732e-08  6.4201699501988751e-09  -3.2090826892230834e-08  6.0656824108012988e-16  8.0426560702446013e-08  -6.4201719659334921e-09  2.0307191950350310e-08  -8.9281401790173484e-09
3.9999999999999400e+00  -8.1853073541479466e-07  7.3974292729204389e-07  2.1311562170717326e-06  9.7509594746682723e-10  7.2268958284631677e-07  -3.7099100765584534e-16  2.1311562171727396e-06  -9.7509609905229966e-10  -8.1853073433974902e-07  -7.3974292708234702e-07  3.4319869697737762e-10  8.7651392179733997e-09  2.1403252430441836e-07  6.4593991290718168e-09  -4.1577131132210211e-08  2.5457428322451207e-16  2.1403252375671966e-07  -6.4593990232577926e-09  3.4319888675913452e-10  -8.7651391411767935e-09
4.7999999999999199e+00  -2.1270124078797360e-06  7.4042760086443047e-07  2.0728338930097687e-06  4.5987941937050134e-09  1.8223167840699359e-06  -5.3797042419634821e-16  2.0728338926174637e-06  -4.5987940641030862e-09  -2.1270124081909854e-06  -7.4042760102049386e-07  -6.3424954612170397e-08  9.1558833453731134e-09  2.1256781689927839e-07  6.5182701241669362e-09  -2.9869887463155950e-08  1.0806996151479915e-15  2.1256781803127693e-07  -6.5182706656458536e-09  -6.3424957139960234e-08  -9.1558822884221233e-09
5.5999999999999002e+00  -2.7952298744667415e-06  7.4074951533221151e-07  2.0018376417816984e-06  4.2099154683578870e-09  2.3819988717412962e-06  2.2363406225055400e-16  2.0018376419031020e-06  -4.2099158920519604e-09  -2.7952298725325845e-06  -7.4074951528277263e-07  -6.6417932394314415e-08  9.8572207247415754e-09  -1.0413685023231280e-07  6.4021528812354061e-09  2.6685784817536073e-08  -9.8015093298091820e-17  -1.0413684988664458e-07  -6.4021526600043159e-09  -6.6417933487062938e-08  -9.8572216865231000e-09
6.3999999999998902e+00  -3.0612167643606737e-06  7.3889803484521828e-07  1.9582930457915824e-06  3.9631567580294877e-09  2.5907986476451292e-06  -2.4760477702049548e-16  1.9582930446795569e-06  -3.9631561912460169e-09  -3.0612167626941050e-06  -7.3889803388323830e-07  -4.7191102224932625e-08  9.1869057487792075e-09  2.9051890568974939e-08  7.3732458005559579e-09  6.6540198869947560e-08  -7.8280247195123125e-17  2.9051891098434482e-08  -7.3732443790053994e-09  -4.7191106846773440e-08  -9.1869057933128531e-09
7.1999999999998696e+00  -3.3315249626339410e-06  7.3911188434846487e-07  2.0070507977774932e-06  4.7788195872243565e-09  2.8181527508686474e-06  2.3735938412786269e-16  2.0070507975692315e-06  -4.7788198364519229e-09  -3.3315249627715152e-06  -7.3911188330186270e-07  -1.4076463480579819e-07  1.0583053576702450e-08  4.6288169721687796e-08  1.3643160647569572e-10  8.6364970958142934e-08  8.0754489329312550e-16  4.6288169565937495e-08  -1.3643017958842366e-10  -1.4076463611169123e-07  -1.0583057966666348e-08
