time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  1.6698496623281718e-08
8.0000000000000004e-01  -2.0834369626570440e-16  1.9728819488132633e-08
1.6000000000000001e+00  -1.3652725867691963e-16  2.9224461527605248e-08
2.3999999999999901e+00  1.1463126812578964e-16  3.7725815203875113e-08
3.1999999999999802e+00  2.3285381840103005e-16  4.0709864552222622e-08
3.9999999999999600e+00  8.1960656309070161e-17  4.0370787302198889e-08
4.7999999999999403e+00  -1.4790079478131669e-16  3.8502119207081779e-08
5.5999999999999304e+00  -1.6662242475657470e-16  3.5794091707088422e-08
6.3999999999999098e+00  5.6630939764340671e-17  3.3013614357364620e-08
7.1999999999998900e+00  2.4398116470086829e-16  3.0814991270470374e-08
7.9999999999998703e+00  1.5523469968758969e-16  2.9307023737265527e-08
8.7999999999998604e+00  -1.0090234261521286e-16  2.8409135974952081e-08
9.5999999999998398e+00  -1.9727373713272556e-16  2.7863236732791528e-08
1.0399999999999800e+01  -5.8590857792787122e-18  2.7581664487300216e-08
1.1199999999999800e+01  2.2238127406555964e-16  2.7329514924753502e-08
1.1999999999999799e+01  2.3066470108985653e-16  3.0307217460835800e-08
1.2799999999999800e+01  -2.9337065516046462e-17  3.1556140232428090e-08
1.3599999999999801e+01  -1.3521648043769289e-16  3.7158599571179949e-08
1.4399999999999700e+01  6.5643076301680621e-16  4.0104144224642381e-08
1.5199999999999701e+01  5.4383354751965857e-15  3.7424150920906151e-08
1.5999999999999700e+01  1.9349119333441232e-14  3.7993360040700989e-08
1.6799999999999802e+01  1.1093304538890513e-13  3.5242734787806042e-08
1.7600000000000001e+01  2.5210272948446575e-13  3.8678003955486968e-08
1.8400000000000102e+01  9.5470213783461898e-13  4.1593911229755486e-08
1.9200000000000198e+01  3.6670199072884182e-12  4.2619106237414071e-08
2.0000000000000298e+01  4.6130811579213181e-12  4.2405568101396167e-08
2.0800000000000502e+01  2.1918483156962216e-11  4.3835551185966694e-08
2.1600000000000598e+01  2.8257737872947114e-11  4.4801130219678128e-08
2.2400000000000698e+01  7.2080292133859057e-11  6.7017464609761826e-08
2.3200000000000799e+01  1.0782526787791705e-10  8.6453574963419646e-08
2.4000000000000998e+01  1.8294291914679719e-10  9.4812066060892315e-08
2.4800000000001098e+01  2.2176683486795361e-10  8.0585366077710344e-08
2.5600000000001199e+01  3.4044570801229498e-10  9.5527736390301971e-08
2.6400000000001299e+01  2.8527073107452264e-10  9.9479698151292635e-08
2.7200000000001499e+01  4.2668061740683308e-10  1.1331919864753437e-07
2.8000000000001599e+01  2.9608889955168886e-10  9.6465311789015585e-08
2.8800000000001699e+01  4.6270140764081998e-10  1.0711067789674430e-07
2.9600000000001799e+01  4.6074616340313756e-10  8.5872538652747090e-08
3.0400000000001999e+01  6.4140198157589488e-10  1.0993749332309483e-07
3.1200000000002099e+01  7.3695064697245239e-10  8.3272226283081381e-08
3.2000000000002203e+01  8.5637311494290234e-10  1.0600662637201345e-07
3.2800000000002001e+01  7.9132316641175189e-10  8.7954919638365169e-08
3.3600000000001899e+01  8.1746567595332187e-10  9.6317292921791521e-08
3.4400000000001697e+01  6.9300326642176853e-10  9.4496693891437949e-08
3.5200000000001602e+01  6.6084287160691480e-10  8.1562050851044067e-08
3.6000000000001400e+01  6.0214649461077557e-10  6.8062821293985235e-08
3.6800000000001198e+01  5.7275285311651379e-10  5.2615369473851896e-08
3.7600000000001103e+01  5.3716828033489349e-10  5.0948353947703042e-08
3.8400000000000901e+01  5.6099017015350112e-10  5.0527531836127782e-08
3.9200000000000799e+01  5.8231051249354405e-10  5.6274117109777785e-08
4.0000000000000597e+01  6.3202033473687571e-10  5.6568517839112848e-08
4.0800000000000502e+01  6.5651528046498241e-10  4.6873621790477816e-08
4.1600000000000300e+01  7.2022525771125937e-10  4.8688630089391981e-08
4.2400000000000098e+01  5.2369892326641217e-10  4.7480223247325429e-08
4.3200000000000003e+01  5.4561076084955462e-10  5.0977223910513311e-08
4.3999999999999801e+01  3.7621055189538641e-10  5.1830750093977031e-08
4.4799999999999699e+01  2.6137974541343002e-10  5.2823144221833709e-08
4.5599999999999497e+01  2.8998349302468838e-10  5.7386973544121231e-08
4.6399999999999302e+01  3.3045110480303133e-10  6.0507040259374684e-08
4.7199999999999200e+01  2.9550518336843215e-10  6.1330475716491918e-08
4.7999999999998998e+01  3.5541488361036652e-10  6.6074035171403861e-08
4.8799999999998903e+01  3.5855840925237886e-10  5.9600477872252229e-08
4.9599999999998701e+01  2.9658820709472584e-10  6.6610239189197176e-08
5.0399999999998499e+01  3.1215696963526053e-10  6.1897696429761143e-08
5.1199999999998397e+01  3.1165302736214776e-10  6.6709830564920814e-08
5.1999999999998202e+01  3.5183049511240355e-10  7.7032999081376793e-08
5.2799999999998100e+01  3.4700154054957702e-10  6.1353957749749358e-08
5.3599999999997898e+01  3.0023700167767403e-10  8.1326271363957868e-08
5.4399999999997704e+01  2.9415292137409056e-10  5.9546133878233355e-08
5.5199999999997601e+01  2.7609860153207004e-10  8.2844658784258212e-08
5.5999999999997399e+01  2.3382169339016470e-10  8.4651725560207915e-08
5.6799999999997297e+01  2.6040422538394576e-10  7.5671624989460138e-08
5.7599999999997102e+01  3.2264197551915452e-10  8.3790764934288197e-08
5.8399999999997000e+01  3.1375048623434690e-10  7.1682575022661587e-08
5.9199999999996798e+01  2.6743354302014889e-10  9.4352900498796294e-08
5.9999999999996597e+01  2.7704443044732758e-10  8.5129030511197761e-08
6.0799999999996501e+01  2.6909076316547537e-10  8.2580744367425185e-08
6.1599999999996299e+01  2.3470802085990427e-10  8.4551942893502422e-08
6.2399999999996197e+01  2.2333259752529320e-10  9.0879981820700706e-08
6.3199999999996002e+01  2.8114085462755015e-10  9.4511077107573707e-08
6.3999999999995801e+01  2.8064490951796399e-10  9.5308153426146598e-08
6.4799999999996203e+01  2.1511027429813886e-10  9.1520212115870656e-08
6.5599999999996697e+01  2.1455705101520592e-10  9.1278156717883281e-08
6.6399999999997107e+01  2.4346010903681050e-10  9.9227151428368077e-08
