# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  2.6905791774566521e-11  6.2897130690152263e-12  2.6652673324727727e-01  2.0661069329891091e+00  9.1246702358688470e-01
8.0000000000000004e-01  3.4192435517649625e-11  6.9582032911164230e-12  2.3780558519926248e-01  1.9512223407970499e+00  9.2405930504560363e-01
1.6000000000000001e+00  2.6769267987455980e-11  5.7924339618921814e-12  2.4592370444782019e-01  1.9836948177912808e+00  9.2159054478368940e-01
2.3999999999999901e+00  2.6616945589774986e-11  5.6920838761398859e-12  3.4714285687512175e-01  2.3885714275004872e+00  9.4527085603338923e-01
3.1999999999999802e+00  2.8525917457450808e-11  6.0530563876535373e-12  1.6854873937607656e-01  1.6741949575043062e+00  9.1186452654071437e-01
3.9999999999999600e+00  2.9270611890727435e-11  6.5639546886973746e-12  1.8191674414450948e-01  1.7276669765780379e+00  9.3030249907602436e-01
4.7999999999999403e+00  2.6459173531864173e-11  7.0410621687638716e-12  1.9288308616886168e-01  1.7715323446754467e+00  9.2330362533931365e-01
5.5999999999999304e+00  3.1932458771337937e-11  8.8706334920854435e-12  2.5270554685038549e-01  2.0108221874015419e+00  9.1752784727447778e-01
6.3999999999999098e+00  3.2775234283368656e-11  1.0141674734713453e-11  4.1868771602010063e-01  2.6747508640804023e+00  9.1014673563175597e-01
7.1999999999998900e+00  3.1269117009223561e-11  9.2816343712799862e-12  4.1499747109265395e-01  2.6599898843706158e+00  8.6983554642451744e-01
7.9999999999998703e+00  3.1908160840310412e-11  9.4454512991840476e-12  4.6958043177145137e-01  2.8783217270858055e+00  7.9869709474758055e-01
8.7999999999998604e+00  3.0961675660383131e-11  8.5243700997618568e-12  5.0115230077489836e-01  3.0046092030995935e+00  7.3791538365042253e-01
9.5999999999998398e+00  2.9257138807942660e-11  7.9268951326611502e-12  5.0148059725611649e-01  3.0059223890244660e+00  6.1291143263184078e-01
1.0399999999999800e+01  2.9569717787877506e-11  7.8473688935081497e-12  4.9768167655992601e-01  2.9907267062397040e+00  5.4402144961862409e-01
1.1199999999999800e+01  3.1024859672174772e-11  8.8459550181038057e-12  4.9996885424084669e-01  2.9998754169633868e+00  3.6613316132359408e-01
1.1999999999999799e+01  3.3606868426464832e-11  1.0645423855442099e-11  5.1071274272554046e-01  3.0428509709021618e+00  2.4990051654096185e-01
1.2799999999999800e+01  3.5266542431170200e-11  1.1898999022359280e-11  5.1785127584683810e-01  3.0714051033873524e+00  1.8096229079096182e-01
1.3599999999999801e+01  3.7421620834801431e-11  1.3750996983477809e-11  5.3346955330427970e-01  3.1338782132171188e+00  1.5440625181802092e-01
1.4399999999999700e+01  4.0752733294105433e-11  1.5894132226026815e-11  5.4499850600470878e-01  3.1799940240188351e+00  1.6028802985180865e-01
