# time  f_op  f_geo  geo_trustworthy  max_local_speed  superluminal_fraction  max_shift  structure_coherence  reachable  n_rays  n_reached  max_h_rel_drift  f_geo_evol  f_geo_evol_ok
0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0142273475609580e+00  0.0000000000000000e+00  0.0000000000000000e+00  nan  1  5  5  1.2989938636413667e-04  0.0000000000000000e+00  0
8.0000000000000004e-01  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0142354198547627e+00  0.0000000000000000e+00  7.8209912996873995e-06  nan  1  5  5  1.2986525077609653e-04  0.0000000000000000e+00  0
1.6000000000000001e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0142779626736136e+00  0.0000000000000000e+00  1.2959881220302660e-05  nan  1  5  5  1.3037697355391273e-04  0.0000000000000000e+00  0
2.3999999999999901e+00  8.5756720612671856e-07  0.0000000000000000e+00  1  1.0142418613263693e+00  0.0000000000000000e+00  2.5722046106934689e-05  nan  1  5  5  1.3246607017511369e-04  0.0000000000000000e+00  0
3.1999999999999802e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0141632055308007e+00  0.0000000000000000e+00  2.1686352867670619e-05  nan  1  5  5  1.2937488360887923e-04  0.0000000000000000e+00  0
3.9999999999999600e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0141007731388416e+00  0.0000000000000000e+00  4.6812798285418337e-05  nan  1  5  5  1.2995597441322758e-04  0.0000000000000000e+00  0
4.7999999999999403e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0142304642138082e+00  0.0000000000000000e+00  1.5395514780573753e-05  nan  1  5  5  1.3049160254210003e-04  0.0000000000000000e+00  0
5.5999999999999304e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0142239556856891e+00  0.0000000000000000e+00  1.6087769519525992e-05  nan  1  5  5  1.3076495490231584e-04  0.0000000000000000e+00  0
6.3999999999999098e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0142409164556510e+00  0.0000000000000000e+00  1.1193175056635713e-05  nan  1  5  5  1.3028177713717248e-04  0.0000000000000000e+00  0
7.1999999999998900e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0142375214909671e+00  0.0000000000000000e+00  1.2299563825245703e-05  nan  1  5  5  1.2974855657444149e-04  0.0000000000000000e+00  0
7.9999999999998703e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0142208692723875e+00  0.0000000000000000e+00  1.6548616564411222e-05  nan  1  5  5  1.2998759154426924e-04  0.0000000000000000e+00  0
8.7999999999998604e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0142106331596663e+00  0.0000000000000000e+00  1.8251001569856175e-05  nan  1  5  5  1.3007102746826922e-04  0.0000000000000000e+00  0
9.5999999999998398e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0142086232554908e+00  0.0000000000000000e+00  1.7043697461782985e-05  nan  1  5  5  1.2986058063660030e-04  0.0000000000000000e+00  0
1.0399999999999800e+01  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0142114511783811e+00  0.0000000000000000e+00  1.6415390049630247e-05  nan  1  5  5  1.2965853475768778e-04  0.0000000000000000e+00  0
1.1199999999999800e+01  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0142126458516478e+00  0.0000000000000000e+00  1.6924095748594829e-05  nan  1  5  5  1.2952569533103623e-04  0.0000000000000000e+00  0
1.1999999999999799e+01  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0142071713141669e+00  0.0000000000000000e+00  1.8617533546494883e-05  nan  1  5  5  1.2971742154711295e-04  0.0000000000000000e+00  0
1.2799999999999800e+01  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0142039418238702e+00  0.0000000000000000e+00  2.1408659381908167e-05  nan  1  5  5  1.3008031823508401e-04  0.0000000000000000e+00  0
1.3599999999999801e+01  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0142073048131075e+00  0.0000000000000000e+00  2.1077795635168238e-05  nan  1  5  5  1.3003585146553908e-04  0.0000000000000000e+00  0
1.4399999999999700e+01  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0142095843149455e+00  0.0000000000000000e+00  1.9578853915416334e-05  nan  1  5  5  1.2960096957802169e-04  0.0000000000000000e+00  0
1.5199999999999701e+01  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0142078218056738e+00  0.0000000000000000e+00  2.1510210333759591e-05  nan  1  5  5  1.2943534662094940e-04  0.0000000000000000e+00  0
1.5999999999999700e+01  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0142063059833555e+00  0.0000000000000000e+00  2.4904722602470177e-05  nan  1  5  5  1.2963353636074652e-04  0.0000000000000000e+00  0
