# time  chi_mean_R8  chi_min_R8  chi_max_R8  lapse_mean_R8  lapse_min_R8  lapse_max_R8  K_mean_R8  K_min_R8  K_max_R8  chi_mean_R16  chi_min_R16  chi_max_R16  lapse_mean_R16  lapse_min_R16  lapse_max_R16  K_mean_R16  K_min_R16  K_max_R16
0.0000000000000000e+00  9.9999842885543300e-01  9.9090293884202296e-01  1.0091195746474955e+00  9.9999630273991180e-01  9.9467721126184128e-01  1.0053174041511235e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  9.9999924410221341e-01  9.9609607174281445e-01  1.0039174746515054e+00  9.9999731472813136e-01  9.9806734639925609e-01  1.0019274023967748e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
8.0000000000000004e-01  9.9999842975548181e-01  9.9091063985671146e-01  1.0091110579000280e+00  9.9999632611680833e-01  9.9467538921730936e-01  1.0053229198866993e+00  -2.1686813556101857e-08  -3.4016931413959937e-05  4.3861046953031773e-05  9.9999923468400675e-01  9.9610356403593125e-01  1.0039102795411528e+00  9.9999734306114085e-01  9.9804377211391004e-01  1.0019510013746582e+00  -2.9643003741155252e-08  -2.2909721877477466e-05  1.7894402492452373e-05
1.6000000000000001e+00  9.9999843283205525e-01  9.9091470483801525e-01  1.0091057662907770e+00  9.9999637148090392e-01  9.9466955723403205e-01  1.0053342836205439e+00  5.3021087645059370e-08  -3.3424625206469404e-05  4.0385484145151839e-05  9.9999922190297430e-01  9.9609641748218136e-01  1.0039169759769115e+00  9.9999739217718719e-01  9.9804689458539542e-01  1.0019522125931977e+00  -3.0849400441558761e-08  -1.7971395409042038e-05  1.3753873038537538e-05
2.3999999999999901e+00  9.9999846645187485e-01  9.9089921772888712e-01  1.0091276627964809e+00  9.9999631830142577e-01  9.9470202932098972e-01  1.0052912092121027e+00  1.9722100203648083e-08  -2.9381887376559341e-05  4.2196964758274063e-05  9.9999921077129095e-01  9.9609951009364650e-01  1.0039148138106608e+00  9.9999743984280820e-01  9.9804487188665647e-01  1.0019513409914778e+00  -2.5085948600877305e-08  -1.3708754141185673e-05  1.1279902564319069e-05
3.1999999999999802e+00  9.9999847704889167e-01  9.9091011380240090e-01  1.0091191283410599e+00  9.9999629124656841e-01  9.9469900021242152e-01  1.0052838567392877e+00  7.5200767425422709e-08  -1.1491989597358091e-05  1.4640307398964990e-05  9.9999919959398564e-01  9.9609948466220055e-01  1.0039136497655379e+00  9.9999748423492996e-01  9.9804465174760082e-01  1.0019531115880225e+00  -2.8863436903155397e-08  -1.1279772587626461e-05  9.2053898283480238e-06
3.9999999999999600e+00  9.9999853824348794e-01  9.9091488940146688e-01  1.0091153220012583e+00  9.9999617960301812e-01  9.9469994499128445e-01  1.0052771288892166e+00  5.9211918069894063e-08  -1.5869868524107583e-05  2.0669135729279837e-05  9.9999918238023233e-01  9.9609891374025072e-01  1.0039143719907360e+00  9.9999753828079618e-01  9.9804467306711475e-01  1.0019532442071339e+00  -3.8684963143291945e-08  -9.5545912384487824e-06  8.0575758035812791e-06
4.7999999999999403e+00  9.9999857313515905e-01  9.9091629924346691e-01  1.0091132669957716e+00  9.9999611312803327e-01  9.9470295233330142e-01  1.0052731324798658e+00  8.0190869550071899e-08  -1.1758445186505712e-05  7.9072223853586165e-06  9.9999916851798265e-01  9.9610157152110290e-01  1.0039129824446520e+00  9.9999758949493633e-01  9.9804011326644582e-01  1.0019554725294479e+00  -1.9973194271854048e-08  -8.2637694358889202e-06  7.0975970198219556e-06
5.5999999999999304e+00  9.9999853234126701e-01  9.9093846015801013e-01  1.0090836517096773e+00  9.9999616299078053e-01  9.9465734112239723e-01  1.0053358582559810e+00  -1.2038414737670714e-07  -3.2792715029683710e-05  2.4968626085885602e-05  9.9999916880006556e-01  9.9610433810303278e-01  1.0039106138763736e+00  9.9999760920234348e-01  9.9803323253638365e-01  1.0019606432772101e+00  -1.2940840714895561e-09  -7.4006903438534547e-06  6.4139324639153794e-06
6.3999999999999098e+00  9.9999847604504188e-01  9.9093555003781797e-01  1.0090865970961156e+00  9.9999631874202566e-01  9.9465201443819662e-01  1.0053483669397867e+00  1.2771945424803242e-08  -3.1359932926727782e-05  2.5410687194143189e-05  9.9999918084650619e-01  9.9610069276359503e-01  1.0039159978947285e+00  9.9999759649107467e-01  9.9803664924352997e-01  1.0019534467584810e+00  1.5228782318542834e-08  -6.8655579589512274e-06  6.6834677575514323e-06
7.1999999999998900e+00  9.9999850941553381e-01  9.9093614904936067e-01  1.0090885480404763e+00  9.9999633006929223e-01  9.9465507291233024e-01  1.0053500920619185e+00  -1.3039489113520701e-08  -2.1410605081562044e-05  1.6717295326420128e-05  9.9999919511358759e-01  9.9610165627284930e-01  1.0039140091035890e+00  9.9999756912362026e-01  9.9803556662017001e-01  1.0019551127906601e+00  2.2599703654257631e-08  -9.9308929895831067e-06  7.9445233506527627e-06
