# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  2.5133459181083295e-01  2.5000000000000000e-01
8.0000000000000004e-01  2.4660198863042082e-01  2.5000000000000000e-01
1.6000000000000001e+00  2.4309243961983387e-01  2.5000000000000000e-01
2.3999999999999901e+00  2.4219918322905823e-01  2.5000000000000000e-01
3.1999999999999802e+00  2.4259249170527797e-01  2.5000000000000000e-01
3.9999999999999600e+00  1.2179935434037717e-01  1.2500000000000000e-01
4.7999999999999403e+00  2.4499101502440704e-01  2.5000000000000000e-01
5.5999999999999304e+00  1.2348043381494790e-01  1.2500000000000000e-01
6.3999999999999098e+00  2.4991453169998104e-01  2.5000000000000000e-01
7.1999999999998900e+00  2.5311900615254734e-01  2.5000000000000000e-01
7.9999999999998703e+00  2.5407675989474143e-01  2.5000000000000000e-01
8.7999999999998604e+00  2.5390191902929793e-01  2.5000000000000000e-01
9.5999999999998398e+00  2.5376473918449427e-01  2.5000000000000000e-01
1.0399999999999800e+01  2.5369569612597520e-01  2.5000000000000000e-01
1.1199999999999800e+01  2.5365974865507540e-01  2.5000000000000000e-01
1.1999999999999799e+01  2.5363662579249130e-01  2.5000000000000000e-01
1.2799999999999800e+01  2.5363675652380857e-01  2.5000000000000000e-01
1.3599999999999801e+01  2.5365249410606072e-01  2.5000000000000000e-01
1.4399999999999700e+01  2.5368101996644121e-01  2.5000000000000000e-01
1.5199999999999701e+01  2.5371744757747783e-01  2.5000000000000000e-01
1.5999999999999700e+01  2.5375655638455069e-01  2.5000000000000000e-01
1.6799999999999802e+01  2.5379747625465615e-01  2.5000000000000000e-01
1.7600000000000001e+01  2.5384512009808996e-01  2.5000000000000000e-01
1.8400000000000102e+01  2.5390562644336634e-01  2.5000000000000000e-01
1.9200000000000198e+01  2.5398123367615610e-01  2.5000000000000000e-01
2.0000000000000298e+01  2.5407304532461233e-01  2.5000000000000000e-01
2.0800000000000502e+01  2.5418194472334854e-01  2.5000000000000000e-01
2.1600000000000598e+01  2.5431894484331097e-01  2.5000000000000000e-01
2.2400000000000698e+01  2.5450483925373513e-01  2.5000000000000000e-01
2.3200000000000799e+01  2.5473242189006789e-01  2.5000000000000000e-01
2.4000000000000998e+01  2.5497346687996242e-01  2.5000000000000000e-01
2.4800000000001098e+01  2.5522082862917256e-01  2.5000000000000000e-01
2.5600000000001199e+01  2.5548095808832033e-01  2.5000000000000000e-01
2.6400000000001299e+01  2.5575559907354123e-01  2.5000000000000000e-01
2.7200000000001499e+01  2.5604283455959348e-01  2.5000000000000000e-01
2.8000000000001599e+01  2.5633764599243375e-01  2.5000000000000000e-01
2.8800000000001699e+01  2.5663414407549273e-01  2.5000000000000000e-01
2.9600000000001799e+01  2.5693004653862672e-01  2.5000000000000000e-01
3.0400000000001999e+01  2.5722768290823628e-01  2.5000000000000000e-01
3.1200000000002099e+01  2.5752823930271929e-01  2.5000000000000000e-01
3.2000000000002203e+01  2.5783015019704364e-01  2.5000000000000000e-01
3.2800000000002001e+01  2.5813595342642309e-01  2.5000000000000000e-01
3.3600000000001899e+01  2.5844679789365999e-01  2.5000000000000000e-01
3.4400000000001697e+01  2.5876143788871653e-01  2.5000000000000000e-01
3.5200000000001602e+01  2.5908383586543615e-01  2.5000000000000000e-01
3.6000000000001400e+01  2.5942295897093481e-01  2.5000000000000000e-01
3.6800000000001198e+01  2.5979021855000833e-01  2.5000000000000000e-01
3.7600000000001103e+01  2.6019758650989133e-01  2.5000000000000000e-01
3.8400000000000901e+01  2.6064601401209742e-01  2.5000000000000000e-01
3.9200000000000799e+01  2.6113565198251348e-01  2.5000000000000000e-01
4.0000000000000597e+01  2.6168494059395414e-01  2.5000000000000000e-01
