# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
0.0000000000000000e+00  3.9125963616045318e+00  2.4529085840934970e-02  4.3375119566986591e+00  7.4559428183880139e-01  3.5999999809857080e+01  3.1999999999999687e+01  3.1999999999999879e+01  4.7999999999999998e+00  3.9594436871342467e+00  4.3286457559316940e+00  7.4699861242344268e-01  4.3375119566986591e+00  7.4559428183880139e-01  nan  nan  1.0000000000000000e+00  9.8716182535339048e-01
8.0000000000000004e-01  3.9155959076992422e+00  2.4599790277865338e-02  4.3375998098101798e+00  7.4559256188748047e-01  3.6000000008122100e+01  3.2000000000000021e+01  3.2000000000000007e+01  4.7999999999999998e+00  3.9624726230018776e+00  4.3287376691707937e+00  7.4699692586354483e-01  4.3375998098101798e+00  7.4559256188748047e-01  nan  nan  1.0000000000000000e+00  9.8716369607015553e-01
1.6000000000000001e+00  3.9186914017689634e+00  2.4531579317133401e-02  4.3377983888593974e+00  7.4563460179863628e-01  3.6000000220452705e+01  3.2000000000000064e+01  3.2000000000000036e+01  4.7999999999999998e+00  3.9656017087639017e+00  4.3289391330938818e+00  7.4703876938027902e-01  4.3377983888593974e+00  7.4563460179863628e-01  nan  nan  1.0000000000000000e+00  9.8717817624961213e-01
2.3999999999999901e+00  3.9219408519306036e+00  2.4436211113871696e-02  4.3379218064789642e+00  7.4564029398582377e-01  3.6000000369796659e+01  3.2000000000000419e+01  3.2000000000000213e+01  4.7999999999999998e+00  3.9688989633364455e+00  4.3290568694664717e+00  7.4704490698071457e-01  4.3379218064789642e+00  7.4564029398582377e-01  nan  nan  1.0000000000000000e+00  9.8719158849787603e-01
3.1999999999999802e+00  3.9252508754149726e+00  2.4518880448976269e-02  4.3380086633380630e+00  7.4538217416086983e-01  3.6000000518065427e+01  3.2000000000001158e+01  3.2000000000000583e+01  4.7999999999999998e+00  3.9722534392058884e+00  4.3291375630328739e+00  7.4678808398426866e-01  4.3380086633380630e+00  7.4538217416086983e-01  nan  nan  1.0000000000000000e+00  9.8715967902941415e-01
3.9999999999999600e+00  3.9285357095430848e+00  2.4554601729060703e-02  4.3381781218217510e+00  7.4524126334925100e-01  3.6000000761785039e+01  3.2000000000002331e+01  3.2000000000001215e+01  4.7999999999999998e+00  3.9755583522663667e+00  4.3293148948261706e+00  7.4664697125760582e-01  4.3381781218217510e+00  7.4524126334925100e-01  nan  nan  1.0000000000000000e+00  9.8714595472764510e-01
4.7999999999999403e+00  3.9315496413374746e+00  2.4522220357824611e-02  4.3384738270227672e+00  7.4530041798862690e-01  3.6000001094964304e+01  3.2000000000004398e+01  3.2000000000002345e+01  4.7999999999999998e+00  3.9785688875143976e+00  4.3296290403263997e+00  7.4670426905953413e-01  4.3384738270227672e+00  7.4530041798862690e-01  nan  nan  1.0000000000000000e+00  9.8723627346805753e-01
5.5999999999999304e+00  3.9343269879274860e+00  2.4508230048256162e-02  4.3386968171250722e+00  7.4549079057391465e-01  3.6000001427154075e+01  3.2000000000008498e+01  3.2000000000004619e+01  4.7999999999999998e+00  3.9813418544091710e+00  4.3298663303044789e+00  7.4689149885037120e-01  4.3386968171250722e+00  7.4549079057391465e-01  nan  nan  1.0000000000000000e+00  9.8721616283666080e-01
6.3999999999999098e+00  3.9373061827636406e+00  2.4520692005180207e-02  4.3386941188550274e+00  7.4547884665108832e-01  3.6000001718922960e+01  3.2000000000016747e+01  3.2000000000009202e+01  4.7999999999999998e+00  3.9843379197919004e+00  4.3298677646356021e+00  7.4687786099766384e-01  4.3386941188550274e+00  7.4547884665108832e-01  nan  nan  1.0000000000000000e+00  9.8722186773073184e-01
7.1999999999998900e+00  3.9407318109191549e+00  2.4526960729242174e-02  4.3386828915555187e+00  7.4543003553202247e-01  3.6000002021409649e+01  3.2000000000033396e+01  3.2000000000018467e+01  4.7999999999999998e+00  3.9877958306679711e+00  4.3298571930706276e+00  7.4682916860578219e-01  4.3386828915555187e+00  7.4543003553202247e-01  nan  nan  1.0000000000000000e+00  9.8722575406842217e-01
7.9999999999998703e+00  3.9442346024439501e+00  2.4522990423266316e-02  4.3389786345135031e+00  7.4545782088475498e-01  3.6000002369103463e+01  3.2000000000066883e+01  3.2000000000037112e+01  4.7999999999999998e+00  3.9913349520559485e+00  4.3301519154990435e+00  7.4685794306048325e-01  4.3389786345135031e+00  7.4545782088475498e-01  nan  nan  1.0000000000000000e+00  9.8722932661757301e-01
8.7999999999998604e+00  3.9471904068884296e+00  2.4511446937892565e-02  4.3395429360392992e+00  7.4552015102905900e-01  3.6000002704194245e+01  3.2000000000133639e+01  3.2000000000074280e+01  4.7999999999999998e+00  3.9943244060396896e+00  4.3307124739534046e+00  7.4692028579901082e-01  4.3395429360392992e+00  7.4552015102905900e-01  nan  nan  1.0000000000000000e+00  9.8723217499117821e-01
9.5999999999998398e+00  3.9496092952596893e+00  2.4504479627007029e-02  4.3400972270367726e+00  7.4560625044142015e-01  3.6000002954930402e+01  3.2000000000269175e+01  3.2000000000149520e+01  4.7999999999999998e+00  3.9967737745021727e+00  4.3312617510943134e+00  7.4700599634896281e-01  4.3400972270367726e+00  7.4560625044142015e-01  nan  nan  1.0000000000000000e+00  9.8723715147620017e-01
1.0399999999999800e+01  3.9522766627868466e+00  2.4511527252135956e-02  4.3409540807566991e+00  7.4567557512808968e-01  3.6000003141487070e+01  3.2000000000533383e+01  3.2000000000298783e+01  4.7999999999999998e+00  3.9994730042168860e+00  4.3321122536466721e+00  7.4707490227198259e-01  4.3409540807566991e+00  7.4567557512808968e-01  nan  nan  1.0000000000000000e+00  9.8724377166852606e-01
1.1199999999999800e+01  3.9558014211516661e+00  2.4525602055598998e-02  4.3435552508773769e+00  7.4567511654085450e-01  3.6000003339599587e+01  3.2000000001112504e+01  3.2000000000622293e+01  4.7999999999999998e+00  4.0030335683043905e+00  4.3346970596295105e+00  7.4707428786864216e-01  4.3435552508773769e+00  7.4567511654085450e-01  nan  nan  1.0000000000000000e+00  9.8724840883207221e-01
