# time  f_op  f_geo  geo_trustworthy  max_local_speed  superluminal_fraction  max_shift  structure_coherence  reachable  n_rays  n_reached  max_h_rel_drift  f_geo_evol  f_geo_evol_ok
0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0  9.9814233105214800e-01  0.0000000000000000e+00  0.0000000000000000e+00  nan  1  0  0  0.0000000000000000e+00  0.0000000000000000e+00  0
8.0000000000000004e-01  0.0000000000000000e+00  0.0000000000000000e+00  0  9.9814235802498219e-01  0.0000000000000000e+00  6.7537405059429358e-06  nan  1  0  0  0.0000000000000000e+00  0.0000000000000000e+00  0
1.6000000000000001e+00  0.0000000000000000e+00  0.0000000000000000e+00  0  9.9814243978359707e-01  0.0000000000000000e+00  1.1445979822703028e-05  nan  1  0  0  0.0000000000000000e+00  0.0000000000000000e+00  0
2.3999999999999901e+00  0.0000000000000000e+00  0.0000000000000000e+00  0  9.9814257596097367e-01  0.0000000000000000e+00  2.3667645134035967e-05  nan  1  0  0  0.0000000000000000e+00  0.0000000000000000e+00  0
3.1999999999999802e+00  0.0000000000000000e+00  0.0000000000000000e+00  0  9.9814276943993652e-01  0.0000000000000000e+00  1.7439731883777477e-05  nan  1  0  0  0.0000000000000000e+00  0.0000000000000000e+00  0
3.9999999999999600e+00  0.0000000000000000e+00  0.0000000000000000e+00  0  9.9814304240577501e-01  0.0000000000000000e+00  3.7752620836323635e-05  nan  1  0  0  0.0000000000000000e+00  0.0000000000000000e+00  0
4.7999999999999403e+00  0.0000000000000000e+00  0.0000000000000000e+00  0  9.9814316504939526e-01  0.0000000000000000e+00  1.2235558339444876e-05  nan  1  0  0  0.0000000000000000e+00  0.0000000000000000e+00  0
5.5999999999999304e+00  0.0000000000000000e+00  0.0000000000000000e+00  0  9.9814432214312687e-01  0.0000000000000000e+00  1.1597932580617371e-05  nan  1  0  0  0.0000000000000000e+00  0.0000000000000000e+00  0
6.3999999999999098e+00  0.0000000000000000e+00  0.0000000000000000e+00  0  9.9814002755706221e-01  0.0000000000000000e+00  1.0162651145223751e-05  nan  1  0  0  0.0000000000000000e+00  0.0000000000000000e+00  0
7.1999999999998900e+00  0.0000000000000000e+00  0.0000000000000000e+00  0  9.9813649667357285e-01  0.0000000000000000e+00  9.9783875324797206e-06  nan  1  0  0  0.0000000000000000e+00  0.0000000000000000e+00  0
7.9999999999998703e+00  0.0000000000000000e+00  0.0000000000000000e+00  0  9.9813658509498071e-01  0.0000000000000000e+00  1.1363369623091780e-05  nan  1  0  0  0.0000000000000000e+00  0.0000000000000000e+00  0
8.7999999999998604e+00  0.0000000000000000e+00  0.0000000000000000e+00  0  9.9813650129479770e-01  0.0000000000000000e+00  1.3594290476594134e-05  nan  1  0  0  0.0000000000000000e+00  0.0000000000000000e+00  0
9.5999999999998398e+00  0.0000000000000000e+00  0.0000000000000000e+00  0  9.9813597827990519e-01  0.0000000000000000e+00  1.4868021335358922e-05  nan  1  0  0  0.0000000000000000e+00  0.0000000000000000e+00  0
1.0399999999999800e+01  0.0000000000000000e+00  0.0000000000000000e+00  0  9.9813478837114067e-01  0.0000000000000000e+00  1.3268678591896354e-05  nan  1  0  0  0.0000000000000000e+00  0.0000000000000000e+00  0
1.1199999999999800e+01  0.0000000000000000e+00  0.0000000000000000e+00  0  9.9813231144178050e-01  0.0000000000000000e+00  1.0610749690688162e-05  nan  1  0  0  0.0000000000000000e+00  0.0000000000000000e+00  0
1.1999999999999799e+01  0.0000000000000000e+00  0.0000000000000000e+00  0  9.9813332043425285e-01  0.0000000000000000e+00  1.0268191391691970e-05  nan  1  0  0  0.0000000000000000e+00  0.0000000000000000e+00  0
1.2799999999999800e+01  0.0000000000000000e+00  0.0000000000000000e+00  0  9.9813449153796363e-01  0.0000000000000000e+00  1.2825745977284368e-05  nan  1  0  0  0.0000000000000000e+00  0.0000000000000000e+00  0
1.3599999999999801e+01  0.0000000000000000e+00  0.0000000000000000e+00  0  9.9813100609902516e-01  0.0000000000000000e+00  1.5150433058905397e-05  nan  1  0  0  0.0000000000000000e+00  0.0000000000000000e+00  0
1.4399999999999700e+01  0.0000000000000000e+00  0.0000000000000000e+00  0  9.9812824830408109e-01  0.0000000000000000e+00  1.4524163317395850e-05  nan  1  0  0  0.0000000000000000e+00  0.0000000000000000e+00  0
