time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  1.0659603908216627e-08
8.0000000000000004e-01  -2.0339189966577239e-16  3.0415712720217596e-07
1.6000000000000001e+00  -1.0771196783908259e-16  1.3529941989589326e-07
2.3999999999999901e+00  1.4643762024954417e-16  6.6907120536298562e-07
3.1999999999999802e+00  2.0035336748011077e-16  9.6021709798948802e-07
3.9999999999999600e+00  -1.3997654536376113e-17  8.8212545460066643e-07
4.7999999999999403e+00  -1.9163472039388270e-16  6.8967558072144811e-07
5.5999999999999304e+00  -8.0271793959373797e-17  5.4375933051463144e-07
6.3999999999999098e+00  1.6660995912686673e-16  4.6216441780778905e-07
7.1999999999998900e+00  2.0155158570763496e-16  4.1320169728439601e-07
7.9999999999998703e+00  -2.6293927448318178e-17  3.7503914178543571e-07
8.7999999999998604e+00  -1.9439921747725044e-16  3.4067740994827141e-07
9.5999999999998398e+00  -6.1115617157186931e-17  3.0917489085620410e-07
1.0399999999999800e+01  1.8735950159371443e-16  2.8091460137055066e-07
1.1199999999999800e+01  1.9674715792293600e-16  2.5592681468870632e-07
1.1999999999999799e+01  -4.8017230020065116e-17  2.3463184531091313e-07
1.2799999999999800e+01  -1.9975731729041569e-16  2.1854784528397380e-07
1.3599999999999801e+01  -4.0908480674016450e-17  2.0618225519372185e-07
1.4399999999999700e+01  1.9391725240107971e-16  1.9814457321376469e-07
1.5199999999999701e+01  3.1740693485477034e-16  1.9029222965569128e-07
1.5999999999999700e+01  7.6946260164619130e-17  1.8438050837285724e-07
1.6799999999999802e+01  4.5304804242965451e-16  1.7863654060081361e-07
1.7600000000000001e+01  6.0590512441042306e-15  1.7246084435018734e-07
1.8400000000000102e+01  2.5040803161788162e-14  1.6837168725343297e-07
1.9200000000000198e+01  6.4709041633310281e-14  1.6324129307392732e-07
2.0000000000000298e+01  3.8265745275941288e-13  1.5813207075916510e-07
2.0800000000000502e+01  7.2007911057942464e-13  1.5377468918612768e-07
2.1600000000000598e+01  2.4187437973540811e-12  1.5048901413704960e-07
2.2400000000000698e+01  5.8234830336694569e-12  1.4727259677091321e-07
2.3200000000000799e+01  1.0564349216040357e-11  1.4385869287845444e-07
2.4000000000000998e+01  2.3406423095939176e-11  1.4222456736622807e-07
2.4800000000001098e+01  2.7695039345363491e-11  1.3884506559259997e-07
2.5600000000001199e+01  5.8376994929288814e-11  1.3605312448680093e-07
2.6400000000001299e+01  4.6013064925030440e-11  1.3554222182165718e-07
2.7200000000001499e+01  1.0211961127682865e-10  1.3664643046044506e-07
2.8000000000001599e+01  6.8699810250244792e-11  1.3219429856567112e-07
