# time  Re(R=8)  Im(R=8)  Re(R=16)  Im(R=16)
0.0000000000000000e+00  8.6078108147318776e-05  3.2534006108445642e-19  5.4559846161467663e-06  2.3054698268322707e-18
8.0000000000000004e-01  8.6216532155449199e-05  8.9214803960743251e-18  5.4556483213594691e-06  3.2835633382910041e-18
1.6000000000000001e+00  8.6547588189358544e-05  -8.5030302382629397e-17  5.4559443689861799e-06  1.2692802735317073e-16
2.3999999999999901e+00  8.5911500370922510e-05  1.0267082230038427e-16  5.4553485013571038e-06  -1.7001941654742764e-16
3.1999999999999802e+00  8.5673374297403054e-05  -1.5280672891814591e-16  5.4544101063727782e-06  7.6456360266558002e-17
3.9999999999999600e+00  8.5699930391359232e-05  -7.2011723620686021e-17  5.4316753531668865e-06  4.2759153176559774e-16
4.7999999999999403e+00  8.6727605210531902e-05  5.1816764092248993e-17  5.5872449800667612e-06  -6.5099749317197596e-16
5.5999999999999304e+00  8.6209658616055005e-05  2.5667639400647063e-17  5.2772131194062598e-06  -1.9350932633697314e-14
6.3999999999999098e+00  8.6005208663792219e-05  -4.2679210885286016e-17  5.4902684241655395e-06  1.0020156272335614e-13
7.1999999999998900e+00  8.6507339061809015e-05  -7.9912899892233338e-17  5.5449641755980362e-06  -2.8903360422933983e-13
7.9999999999998703e+00  8.6629824658109256e-05  -2.4998644837971736e-16  5.4476055814673258e-06  5.7486157387682801e-13
8.7999999999998604e+00  8.6038048200880385e-05  4.7244210251218342e-16  5.3800906900283149e-06  -1.4588266290045730e-13
9.5999999999998398e+00  8.6197776564844305e-05  -8.8811907445425823e-16  5.7092612618355596e-06  -1.0985321485005112e-12
1.0399999999999800e+01  8.5737380769951061e-05  2.8697388108609622e-15  5.5348281072712728e-06  1.0806211987280492e-12
1.1199999999999800e+01  8.5313963861545944e-05  -1.5015766143357446e-14  4.8621129853002101e-06  -1.8616854823054315e-12
1.1999999999999799e+01  8.6297832237315267e-05  7.1393054461780625e-14  5.1877865968731027e-06  2.9981285586682161e-12
1.2799999999999800e+01  8.7239439171415891e-05  -2.6710979777314734e-13  5.8892962269212163e-06  7.0702380512880960e-12
1.3599999999999801e+01  8.6717209688750281e-05  7.0812624393520786e-13  5.6835625074344878e-06  -2.4059512299048534e-11
1.4399999999999700e+01  8.6080619769498000e-05  -9.1584748360568633e-13  5.2114662767341693e-06  1.2677257778917689e-11
1.5199999999999701e+01  8.6021787811018578e-05  -7.0608295252400496e-13  5.9308203194945162e-06  3.0192082099063074e-11
1.5999999999999700e+01  8.5951322982726546e-05  3.2142821666185363e-12  5.7153214716042079e-06  -4.2481731519748691e-11
1.6799999999999802e+01  8.6147838281190110e-05  -4.8151214107608416e-12  5.2318042381912422e-06  -1.9606292976616893e-11
1.7600000000000001e+01  8.6347306234195302e-05  7.5238563663231833e-13  5.4548072126094234e-06  3.6423525027717221e-11
1.8400000000000102e+01  8.6297899130581286e-05  -7.5081556106175515e-13  4.9749465591430923e-06  2.9551324717465476e-12
1.9200000000000198e+01  8.6279469092927024e-05  -6.3889327842978060e-12  4.5511061230978169e-06  -1.0199322382407650e-11
2.0000000000000298e+01  8.6281308048920800e-05  -4.6541660655420362e-12  5.5837181301764945e-06  -5.6705162034662735e-12
2.0800000000000502e+01  8.6266280749579065e-05  -1.3752495572047432e-11  6.5285439802213663e-06  3.0999828649276785e-12
2.1600000000000598e+01  8.6255500198848195e-05  -1.4966735622570906e-11  5.9523966428251281e-06  3.8190513918680726e-12
2.2400000000000698e+01  8.6250321142102409e-05  2.3303750306377430e-11  5.2511900959317049e-06  9.6779136321574185e-12
2.3200000000000799e+01  8.6244830743850023e-05  3.0404862049641017e-11  5.1580798237782564e-06  -4.2638205686437833e-11
2.4000000000000998e+01  8.6259764632518044e-05  5.6035132898071699e-11  5.1804708039423282e-06  -1.2261129400854373e-10
2.4800000000001098e+01  8.6287436405863645e-05  1.0554752890554272e-10  5.3617573310508935e-06  -1.7097877362919483e-10
2.5600000000001199e+01  8.6298087660567450e-05  7.5925342510027135e-11  5.5603234749429655e-06  -1.7700968415456489e-10
2.6400000000001299e+01  8.6292642271931799e-05  1.6845157152544920e-10  5.5308250617463434e-06  -2.1360818801821096e-10
2.7200000000001499e+01  8.6289759298138334e-05  3.1210214060554605e-11  5.4810623546763003e-06  -3.5117469251362791e-10
2.8000000000001599e+01  8.6304910522166635e-05  -3.1771248680709717e-10  5.4822596477453270e-06  -4.2616433315369822e-10
2.8800000000001699e+01  8.6328271119511042e-05  -1.5583498719937527e-10  5.4659796027000009e-06  -2.7240841998969817e-10
