# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  9.7859023779829711e-09  7.2983762614079682e-09  7.4662417682121252e-01  3.9864967072848501e+00  7.7330938100806090e-01
8.0000000000000004e-01  9.7632831609080237e-09  7.2444760388619566e-09  7.4472422104880376e-01  3.9788968841952150e+00  7.7307867352811022e-01
1.6000000000000001e+00  9.8643704698559045e-09  7.3647983686902216e-09  7.4702472246187968e-01  3.9880988898475187e+00  7.7411429698203749e-01
2.3999999999999901e+00  9.7521132831442329e-09  7.2678491636499260e-09  7.4638428310708038e-01  3.9855371324283215e+00  7.7295297852990363e-01
3.1999999999999802e+00  9.7625401169158850e-09  7.2883889591506702e-09  7.4694415031039330e-01  3.9877766012415732e+00  7.7318526706034751e-01
3.9999999999999600e+00  9.7079040719045086e-09  7.2403571626817834e-09  7.4708211362792376e-01  3.9883284545116950e+00  7.7348765902727645e-01
4.7999999999999403e+00  9.7962207183192809e-09  7.2984508889417889e-09  7.4544911642562550e-01  3.9817964657025020e+00  7.6927363650931890e-01
5.5999999999999304e+00  9.7839342271488029e-09  7.3059768601958848e-09  7.4752633932851298e-01  3.9901053573140519e+00  7.7795462328353526e-01
6.3999999999999098e+00  9.8817010889729755e-09  7.3685709526948107e-09  7.4660702836061643e-01  3.9864281134424657e+00  7.7545689673485108e-01
7.1999999999998900e+00  9.9755219702983572e-09  7.4384318339577441e-09  7.4658084289227500e-01  3.9863233715691000e+00  7.6941061235053687e-01
7.9999999999998703e+00  9.9440213984853212e-09  7.4177376821782619e-09  7.4605900467656849e-01  3.9842360187062740e+00  7.7691238647156247e-01
8.7999999999998604e+00  9.7042463267881791e-09  7.2398626555471004e-09  7.4785174757568784e-01  3.9914069903027514e+00  7.7604954009128135e-01
9.5999999999998398e+00  9.6671192382258042e-09  7.2077397764603908e-09  7.4589541391220227e-01  3.9835816556488091e+00  7.6282787197614932e-01
1.0399999999999800e+01  9.7111918556525429e-09  7.2450488914155804e-09  7.4552354840282531e-01  3.9820941936113012e+00  7.6959475363215990e-01
1.1199999999999800e+01  9.7207315187355882e-09  7.2496249042672419e-09  7.4853194519816046e-01  3.9941277807926419e+00  7.8458269155400684e-01
1.1999999999999799e+01  9.9638165655939503e-09  7.4304498485955115e-09  7.4621670161371378e-01  3.9848668064548551e+00  7.8898734015997884e-01
1.2799999999999800e+01  1.0052113304363461e-08  7.4985216513894124e-09  7.4600444640247954e-01  3.9840177856099181e+00  7.7614356089547298e-01
1.3599999999999801e+01  9.8731703108577065e-09  7.3651980186765028e-09  7.4691008774649059e-01  3.9876403509859624e+00  7.7207673710329106e-01
1.4399999999999700e+01  9.7715570001981470e-09  7.2876359084345442e-09  7.4762532593158826e-01  3.9905013037263530e+00  7.6511863408079583e-01
1.5199999999999701e+01  9.8289419604129040e-09  7.3308843047428617e-09  7.4582900770490101e-01  3.9833160308196041e+00  7.3988435791918383e-01
1.5999999999999700e+01  9.8236074522481667e-09  7.3272016571412138e-09  7.4661943499031835e-01  3.9864777399612734e+00  7.6124987500286956e-01
1.6799999999999802e+01  9.8465075011691857e-09  7.3437959365786444e-09  7.4659264570047390e-01  3.9863705828018956e+00  7.9890305484751345e-01
1.7600000000000001e+01  9.8844053837413179e-09  7.3726380741589038e-09  7.4697935137346705e-01  3.9879174054938682e+00  7.9596563060594683e-01
1.8400000000000102e+01  9.8628318280918557e-09  7.3564146148537175e-09  7.4688338606102112e-01  3.9875335442440845e+00  7.9550777411103180e-01
1.9200000000000198e+01  9.8645774080724277e-09  7.3574527194465369e-09  7.4625152071043621e-01  3.9850060828417448e+00  7.8710715929327324e-01
2.0000000000000298e+01  9.8904863229185914e-09  7.3767821756322291e-09  7.4583751046781077e-01  3.9833500418712431e+00  7.5229147589621215e-01
2.0800000000000502e+01  9.8980974679781510e-09  7.3826667912910202e-09  7.4731639412145823e-01  3.9892655764858329e+00  7.3902878239805159e-01
2.1600000000000598e+01  9.8842807203568631e-09  7.3724856721397487e-09  7.4730035712917375e-01  3.9892014285166950e+00  7.7084467783220323e-01
2.2400000000000698e+01  9.8789513293676726e-09  7.3680853254187723e-09  7.4589776290357646e-01  3.9835910516143058e+00  7.8911053154303457e-01
2.3200000000000799e+01  9.8859549551510386e-09  7.3734520923833609e-09  7.4654426050794209e-01  3.9861770420317684e+00  7.8240170171610335e-01
2.4000000000000998e+01  9.8953131422183315e-09  7.3805584356910450e-09  7.4686971559327975e-01  3.9874788623731190e+00  7.7941195717386358e-01
2.4800000000001098e+01  9.9035086315010075e-09  7.3865115898629000e-09  7.4639501579686018e-01  3.9855800631874407e+00  7.7509617464364711e-01
