# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  2.5050292680309244e-01  2.5000000000000000e-01
8.0000000000000004e-01  2.5050281339174796e-01  2.5000000000000000e-01
1.6000000000000001e+00  2.5050348854878973e-01  2.5000000000000000e-01
2.3999999999999901e+00  2.5050280152278015e-01  2.5000000000000000e-01
3.1999999999999802e+00  2.5050268114686358e-01  2.5000000000000000e-01
3.9999999999999600e+00  2.5050255694240542e-01  2.5000000000000000e-01
4.7999999999999403e+00  2.5050252417764635e-01  2.5000000000000000e-01
5.5999999999999304e+00  2.5050253788171006e-01  2.5000000000000000e-01
6.3999999999999098e+00  2.5050181054741033e-01  2.5000000000000000e-01
7.1999999999998900e+00  2.5050125914934340e-01  2.5000000000000000e-01
7.9999999999998703e+00  2.5050150263469551e-01  2.5000000000000000e-01
8.7999999999998604e+00  2.5050168960561503e-01  2.5000000000000000e-01
9.5999999999998398e+00  2.5050178184814631e-01  2.5000000000000000e-01
1.0399999999999800e+01  2.5050183853276370e-01  2.5000000000000000e-01
1.1199999999999800e+01  2.5050192872928562e-01  2.5000000000000000e-01
1.1999999999999799e+01  2.5050209989645283e-01  2.5000000000000000e-01
1.2799999999999800e+01  2.5050227918902757e-01  2.5000000000000000e-01
1.3599999999999801e+01  2.5050241666029660e-01  2.5000000000000000e-01
1.4399999999999700e+01  2.5050253774574144e-01  2.5000000000000000e-01
1.5199999999999701e+01  2.5050270070526537e-01  2.5000000000000000e-01
1.5999999999999700e+01  2.5050292776721106e-01  2.5000000000000000e-01
1.6799999999999802e+01  2.5050317854492116e-01  2.5000000000000000e-01
1.7600000000000001e+01  2.5050340217466149e-01  2.5000000000000000e-01
1.8400000000000102e+01  2.5050360541849037e-01  2.5000000000000000e-01
1.9200000000000198e+01  2.5050385074171505e-01  2.5000000000000000e-01
2.0000000000000298e+01  2.5050414058379228e-01  2.5000000000000000e-01
2.0800000000000502e+01  2.5050448752341414e-01  2.5000000000000000e-01
2.1600000000000598e+01  2.5050497000056815e-01  2.5000000000000000e-01
2.2400000000000698e+01  2.5050536899696324e-01  2.5000000000000000e-01
2.3200000000000799e+01  2.5050563084788768e-01  2.5000000000000000e-01
2.4000000000000998e+01  2.5050617928576924e-01  2.5000000000000000e-01
2.4800000000001098e+01  2.5050704211864744e-01  2.5000000000000000e-01
2.5600000000001199e+01  2.5050790790007949e-01  2.5000000000000000e-01
2.6400000000001299e+01  2.5050869158886074e-01  2.5000000000000000e-01
2.7200000000001499e+01  2.5050944621891663e-01  2.5000000000000000e-01
