# time  total_canon  bary_x_canon  bary_y_canon  bary_z_canon  rms_radius_canon  total_phantom  bary_x_phantom  bary_y_phantom  bary_z_phantom  rms_radius_phantom
0.0000000000000000e+00  3.7168382535653439e+00  3.5999916575863715e+01  3.1999999999868955e+01  3.1999999999931081e+01  5.9905188707308730e+00  0.0000000000000000e+00  nan  nan  nan  nan
8.0000000000000004e-01  3.7209099759326190e+00  3.5999930890770209e+01  3.1999999999993140e+01  3.1999999999997566e+01  5.9906329401693856e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.6000000000000001e+00  3.7250255570131912e+00  3.5999928025406135e+01  3.1999999999932562e+01  3.1999999999966473e+01  5.9906914121827279e+00  0.0000000000000000e+00  nan  nan  nan  nan
2.3999999999999901e+00  3.7290118757359698e+00  3.5999912689278176e+01  3.1999999999913399e+01  3.1999999999958394e+01  5.9907052387693946e+00  0.0000000000000000e+00  nan  nan  nan  nan
3.1999999999999802e+00  3.7327245258975124e+00  3.5999895601704509e+01  3.1999999999965596e+01  3.1999999999984706e+01  5.9908479429662176e+00  0.0000000000000000e+00  nan  nan  nan  nan
3.9999999999999600e+00  3.7361317509521577e+00  3.5999881538426614e+01  3.2000000000075758e+01  3.2000000000037552e+01  5.9912342816250188e+00  0.0000000000000000e+00  nan  nan  nan  nan
4.7999999999999403e+00  3.7392368320430949e+00  3.5999869753750282e+01  3.2000000000261792e+01  3.2000000000126938e+01  5.9917884589369317e+00  0.0000000000000000e+00  nan  nan  nan  nan
5.5999999999999304e+00  3.7419806513005360e+00  3.5999859778160861e+01  3.2000000000573756e+01  3.2000000000276046e+01  5.9924156223112472e+00  0.0000000000000000e+00  nan  nan  nan  nan
6.3999999999999098e+00  3.7442166210781114e+00  3.5999851900839360e+01  3.2000000001067832e+01  3.2000000000511001e+01  5.9931931817082358e+00  0.0000000000000000e+00  nan  nan  nan  nan
7.1999999999998900e+00  3.7457664200881791e+00  3.5999845617944985e+01  3.2000000001838295e+01  3.2000000000879020e+01  5.9942579414678594e+00  0.0000000000000000e+00  nan  nan  nan  nan
7.9999999999998703e+00  3.7465328884553388e+00  3.5999840111429130e+01  3.2000000003057586e+01  3.2000000001463079e+01  5.9955653487917733e+00  0.0000000000000000e+00  nan  nan  nan  nan
8.7999999999998604e+00  3.7465460180038370e+00  3.5999835008618042e+01  3.2000000004984152e+01  3.2000000002385931e+01  5.9969421902775828e+00  0.0000000000000000e+00  nan  nan  nan  nan
9.5999999999998398e+00  3.7458315144008445e+00  3.5999830454531875e+01  3.2000000008002715e+01  3.2000000003833087e+01  5.9983624881353101e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.0399999999999800e+01  3.7442537807715950e+00  3.5999826715693082e+01  3.2000000012698365e+01  3.2000000006082303e+01  5.9999558274260050e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.1199999999999800e+01  3.7415857845774503e+00  3.5999823653629633e+01  3.2000000020028040e+01  3.2000000009608250e+01  6.0017241491922135e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.1999999999999799e+01  3.7377531153246548e+00  3.5999820783190145e+01  3.2000000031440429e+01  3.2000000015083238e+01  6.0034929768103895e+00  0.0000000000000000e+00  nan  nan  nan  nan
