# time  core_x_canon  core_y_canon  core_z_canon  peak_canon  core_x_phantom  core_y_phantom  core_z_phantom  peak_phantom  coord_sep  proper_sep  px_canon  px_phantom  px_total  shift_x_canon  shift_x_phantom  max_abs_shift
0.0000000000000000e+00  3.6000000000000000e+01  3.1999999999999993e+01  3.1999999999999993e+01  2.0828765779016066e-02  nan  nan  nan  nan  nan  nan  0.0000000000000000e+00  nan  nan  0.0000000000000000e+00  nan  0.0000000000000000e+00
8.0000000000000004e-01  3.5999999990704886e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.0835251400014278e-02  nan  nan  nan  nan  nan  nan  2.5182623960785823e-12  nan  nan  -5.5680075442780933e-07  nan  3.7178609752551844e-06
1.6000000000000001e+00  3.5999999940283388e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.0810428540926740e-02  nan  nan  nan  nan  nan  nan  4.4077083178508026e-12  nan  nan  -1.8134150770548702e-06  nan  6.7095611782126693e-06
2.3999999999999901e+00  3.5999999863069952e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.0861629256412269e-02  nan  nan  nan  nan  nan  nan  6.5655475588420888e-12  nan  nan  -1.7055769317675805e-06  nan  1.0909688911965247e-05
3.1999999999999802e+00  3.5999999801632171e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.0908454318972831e-02  nan  nan  nan  nan  nan  nan  8.6216254473401213e-12  nan  nan  -6.9184186474675403e-06  nan  1.8636144524090072e-05
3.9999999999999600e+00  3.5999999748588337e+01  3.1999999999999993e+01  3.2000000000000007e+01  2.0940825113899622e-02  nan  nan  nan  nan  nan  nan  9.4249450535187501e-12  nan  nan  4.3545243820386731e-06  nan  1.0539607634352582e-05
4.7999999999999403e+00  3.5999999696624819e+01  3.1999999999999986e+01  3.1999999999999993e+01  2.0967202403199228e-02  nan  nan  nan  nan  nan  nan  9.5097673091247128e-12  nan  nan  -2.4330199621117749e-06  nan  4.9520383556968452e-06
5.5999999999999304e+00  3.5999999657798703e+01  3.1999999999999993e+01  3.1999999999999993e+01  2.1003720350069786e-02  nan  nan  nan  nan  nan  nan  9.8718936054590511e-12  nan  nan  -3.1381965283440631e-06  nan  1.4458214157786751e-05
6.3999999999999098e+00  3.5999999631297889e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.1047008028637768e-02  nan  nan  nan  nan  nan  nan  1.0756244263610105e-11  nan  nan  -2.7684932159122010e-06  nan  1.0301533395281089e-05
7.1999999999998900e+00  3.5999999607158905e+01  3.1999999999999986e+01  3.2000000000000000e+01  2.1085521853106949e-02  nan  nan  nan  nan  nan  nan  1.1848767588130568e-11  nan  nan  -2.0751680805279339e-06  nan  8.1549039319864677e-06
7.9999999999998703e+00  3.5999999584032750e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.1125899680046856e-02  nan  nan  nan  nan  nan  nan  1.2663951662993117e-11  nan  nan  -2.1995385914016594e-06  nan  7.9592607745530858e-06
8.7999999999998604e+00  3.5999999567666656e+01  3.2000000000000007e+01  3.2000000000000000e+01  2.1169610545693645e-02  nan  nan  nan  nan  nan  nan  1.3071927156210080e-11  nan  nan  -2.6141696719576318e-06  nan  9.3964938068205237e-06
9.5999999999998398e+00  3.5999999557879050e+01  3.2000000000000007e+01  3.2000000000000000e+01  2.1216236268197321e-02  nan  nan  nan  nan  nan  nan  1.3519811766854430e-11  nan  nan  -2.5759506201229159e-06  nan  9.7899862095216001e-06
1.0399999999999800e+01  3.5999999548908853e+01  3.1999999999999989e+01  3.2000000000000000e+01  2.1261924407705517e-02  nan  nan  nan  nan  nan  nan  1.4526805722056798e-11  nan  nan  -2.4114436650996253e-06  nan  9.4444196260834941e-06
1.1199999999999800e+01  3.5999999539895654e+01  3.1999999999999993e+01  3.1999999999999993e+01  2.1307793045241566e-02  nan  nan  nan  nan  nan  nan  1.5898748884346695e-11  nan  nan  -2.4290777877898978e-06  nan  9.5509113142496914e-06
1.1999999999999799e+01  3.5999999535062940e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.1357445909826571e-02  nan  nan  nan  nan  nan  nan  1.6849821485190406e-11  nan  nan  -2.7073321800353905e-06  nan  1.0528069190544927e-05
1.2799999999999800e+01  3.5999999534820596e+01  3.1999999999999964e+01  3.1999999999999975e+01  2.1411337113910300e-02  nan  nan  nan  nan  nan  nan  1.7021268601363399e-11  nan  nan  -2.9869391419050375e-06  nan  1.1703454712400545e-05
1.3599999999999801e+01  3.5999999534717908e+01  3.2000000000000192e+01  3.2000000000000142e+01  2.1465895668036770e-02  nan  nan  nan  nan  nan  nan  1.7077795763744449e-11  nan  nan  -3.0088569089895594e-06  nan  1.2159302372672978e-05
1.4399999999999700e+01  3.5999999534223818e+01  3.1999999999998799e+01  3.1999999999999091e+01  2.1517844303650849e-02  nan  nan  nan  nan  nan  nan  1.7201330756023468e-11  nan  nan  -2.8282212005384666e-06  nan  1.1875771223536436e-05
1.5199999999999701e+01  3.5999999534901434e+01  3.2000000000007020e+01  3.2000000000005798e+01  2.1568247829198764e-02  nan  nan  nan  nan  nan  nan  1.3535620846003796e-11  nan  nan  -2.7505148813571310e-06  nan  1.1748904314255130e-05
1.5999999999999700e+01  3.5999999540555422e+01  3.1999999999969464e+01  3.1999999999972722e+01  2.1620852588639033e-02  nan  nan  nan  nan  nan  nan  5.7371197712585199e-12  nan  nan  -2.9316542084712766e-06  nan  1.2270112723170992e-05
1.6799999999999802e+01  3.5999999560498516e+01  3.2000000000086636e+01  3.2000000000089045e+01  2.1676613960991787e-02  nan  nan  nan  nan  nan  nan  -6.3484894745360990e-11  nan  nan  -3.1706601525163439e-06  nan  1.3209970720431031e-05
1.7600000000000001e+01  3.5999999472713156e+01  3.1999999999980083e+01  3.1999999999894811e+01  2.1731787315103449e-02  nan  nan  nan  nan  nan  nan  -2.9827246558214259e-10  nan  nan  -3.1934795582447592e-06  nan  1.3919688004252550e-05
1.8400000000000102e+01  3.5999999296324091e+01  3.1999999998690438e+01  3.1999999999178829e+01  2.1782596138898071e-02  nan  nan  nan  nan  nan  nan  -1.8557768992707611e-11  nan  nan  -2.7488914701589079e-06  nan  1.3314197656719683e-05
1.9200000000000198e+01  3.5999999573574364e+01  3.2000000005600882e+01  3.2000000004405933e+01  2.1830223479792115e-02  nan  nan  nan  nan  nan  nan  2.7034670006809825e-09  nan  nan  -2.4523954481273891e-06  nan  1.2640555158748697e-05
2.0000000000000298e+01  3.6000000497466942e+01  3.1999999993569524e+01  3.1999999992028851e+01  2.1878978035090438e-02  nan  nan  nan  nan  nan  nan  8.5497917852172140e-09  nan  nan  -3.3687337851624716e-06  nan  1.2919290132004914e-05
2.0800000000000502e+01  3.6000001762460514e+01  3.1999999932249100e+01  3.1999999949806757e+01  2.1929949056351133e-02  nan  nan  nan  nan  nan  nan  1.4325128454798782e-08  nan  nan  2.0413557616893599e-06  nan  1.3843556147963341e-05
