time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  1.0381006097445814e-10
8.0000000000000004e-01  -6.6483905987826089e-34  1.0525886337920882e-10
1.6000000000000001e+00  -4.8256653851959991e-34  1.1914898638671381e-10
2.3999999999999901e+00  3.1661370454023008e-34  1.2897950209572384e-10
3.1999999999999802e+00  7.1406493301481747e-34  1.3936275302574652e-10
3.9999999999999600e+00  1.9905628242016182e-34  1.4400401382026663e-10
4.7999999999999403e+00  -5.7262726468066708e-34  1.4386421672705178e-10
5.5999999999999304e+00  -6.1410610354297100e-34  1.5104944379992551e-10
6.3999999999999098e+00  1.2818020989536876e-34  1.7881148876177759e-10
7.1999999999998900e+00  7.0901418840707917e-34  2.1220334142443003e-10
7.9999999999998703e+00  3.8908998079997831e-34  2.7992419838610491e-10
8.7999999999998604e+00  -4.2556637371473046e-34  3.3090557917858448e-10
9.5999999999998398e+00  -6.9725568801543348e-34  3.5430608177326653e-10
1.0399999999999800e+01  -7.6610127588257376e-35  5.0212915646468505e-10
1.1199999999999800e+01  6.4753009018958297e-34  5.6681560129624543e-10
1.1999999999999799e+01  5.5001627426315466e-34  5.2902056829377409e-10
1.2799999999999800e+01  -2.4837556006040026e-34  5.0832010473089241e-10
1.3599999999999801e+01  -7.3027928450600126e-34  5.4186834844101642e-10
1.4399999999999700e+01  -2.7871030771351478e-34  5.7652174291420226e-10
1.5199999999999701e+01  5.3225354888042763e-34  6.0651385886721145e-10
1.5999999999999700e+01  6.6695740293706166e-34  6.5928190396682591e-10
1.6799999999999802e+01  -4.9242250106313280e-35  7.2358452622195462e-10
1.7600000000000001e+01  -7.0389975012810439e-34  8.6258825437025230e-10
1.8400000000000102e+01  -4.6046457989953943e-34  1.0324196843656354e-09
1.9200000000000198e+01  3.7247394138786451e-34  1.0952055920923918e-09
2.0000000000000298e+01  7.3245816644004601e-34  1.0745780996290712e-09
2.0800000000000502e+01  1.5839553147434399e-34  1.0382551661005973e-09
2.1600000000000598e+01  -6.1897203172597890e-34  1.0298916911828500e-09
2.2400000000000698e+01  -6.0733505702128213e-34  1.0562018473980532e-09
2.3200000000000799e+01  1.8069101130923045e-34  1.1056406590070201e-09
2.4000000000000998e+01  7.3814430597910726e-34  1.1414273102984673e-09
2.4800000000001098e+01  3.7398206363584670e-34  1.1723132348355773e-09
2.5600000000001199e+01  -4.8986674753486209e-34  1.1973889602315298e-09
2.6400000000001299e+01  -3.8845836250375048e-34  1.2539781109557707e-09
2.7200000000001499e+01  3.6787916585619843e-33  1.3046070021814132e-09
2.8000000000001599e+01  2.4197138266386383e-32  1.3316999283639397e-09
2.8800000000001699e+01  2.3746369697566126e-31  1.3626934396469845e-09
2.9600000000001799e+01  3.6645408993778672e-30  1.3670220874633321e-09
3.0400000000001999e+01  3.3499500581905342e-29  1.3881990983049789e-09
3.1200000000002099e+01  1.5984608610947499e-28  1.4892445346554741e-09
3.2000000000002203e+01  9.5817875449730844e-28  1.6645912097242878e-09
3.2800000000002001e+01  1.3182633626031811e-26  2.5115892826637442e-09
3.3600000000001899e+01  9.5921744080842571e-26  3.6575146357582647e-09
3.4400000000001697e+01  3.1143838382893378e-25  6.2503636979120669e-09
3.5200000000001602e+01  2.0000900996683611e-24  6.9602725664798656e-09
3.6000000000001400e+01  1.9552895088420429e-23  8.2740926858371607e-09
3.6800000000001198e+01  7.6459243331123617e-23  7.1119938157264570e-09
3.7600000000001103e+01  2.8107442907592226e-22  4.4489191252028959e-09
3.8400000000000901e+01  2.2162364403212166e-21  7.0949874030949485e-09
3.9200000000000799e+01  8.3004524846075809e-21  9.3464097449597376e-09
4.0000000000000597e+01  2.9692258946286315e-20  8.6285392511562316e-09
4.0800000000000502e+01  1.7591965421045078e-19  6.0571063997403506e-09
4.1600000000000300e+01  5.2146959585381022e-19  7.5282343294634437e-09
4.2400000000000098e+01  2.1279544529775149e-18  4.9050349987305419e-09
4.3200000000000003e+01  8.8066806794440180e-18  5.0447816539236987e-09
4.3999999999999801e+01  2.2956097119759899e-17  7.3753842344275167e-09
4.4799999999999699e+01  1.0246156058882595e-16  5.8514689033022352e-09
4.5599999999999497e+01  2.6339875416049287e-16  6.8527353464553063e-09
4.6399999999999302e+01  8.8168808058862955e-16  6.5403683202359737e-09
4.7199999999999200e+01  2.7632206936949841e-15  5.8344333241619824e-09
4.7999999999998998e+01  6.1687263074353811e-15  5.4895872939332876e-09
