# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
0.0000000000000000e+00  7.9472467205591801e+00  2.4551160005931646e-02  6.6419768530724417e+00  2.7556671313875603e-01  6.3920973684921940e+01  6.4000000000000000e+01  6.4000000000000014e+01  4.7999999999999998e+00  7.9470505537315486e+00  6.6422439932911184e+00  2.7634443373230683e-01  4.3375370561997251e+00  7.4559276528897256e-01  4.4068785722319204e+00  7.3603049856179403e-01  4.9206579950344997e-01  9.8961189342455891e-01
8.0000000000000004e-01  7.9533919519159388e+00  2.4619320299759620e-02  6.6419980842320347e+00  2.7556233794715335e-01  6.3920384465515880e+01  6.4000000000000270e+01  6.4000000000000000e+01  4.7999999999999998e+00  7.9531891437401070e+00  6.6422697516484721e+00  2.7633726439885981e-01  4.3377552209793313e+00  7.4557068763937739e-01  4.4067508408151985e+00  7.3606349113630631e-01  4.9200326836300945e-01  9.8961153991223039e-01
1.6000000000000001e+00  7.9596643347523433e+00  2.4560041813735969e-02  6.6420560383862890e+00  2.7557412745261095e-01  6.3919593188954686e+01  6.4000000000002558e+01  6.4000000000000000e+01  4.7999999999999998e+00  7.9594492720843029e+00  6.6423349022514069e+00  2.7478133230544449e-01  4.3381876019640746e+00  7.4558200286826648e-01  4.4065376222485231e+00  7.3616803055613045e-01  4.9191682348674531e-01  9.8962398597655343e-01
2.3999999999999901e+00  7.9661395803520696e+00  2.4491305656683234e-02  6.6420815191383484e+00  2.7558337169834390e-01  6.3920111270847045e+01  6.4000000000007603e+01  6.4000000000000000e+01  4.7999999999999998e+00  7.9659131631047320e+00  6.6423610633468826e+00  2.7479242609413845e-01  4.3384930145769269e+00  7.4556155761011467e-01  4.4063200014356072e+00  7.3621673001678156e-01  4.9196308790417076e-01  9.8963840862031605e-01
3.1999999999999802e+00  7.9725502140499582e+00  2.4588527231596713e-02  6.6420921885597446e+00  2.7557296241755252e-01  6.3922387423321091e+01  6.4000000000014339e+01  6.4000000000000000e+01  4.7999999999999998e+00  7.9723227485914201e+00  6.6423619919144263e+00  2.7634577922204112e-01  4.3388626252363114e+00  7.4517627942215614e-01  4.4059623729180508e+00  7.3615761291213000e-01  4.9218597188305407e-01  9.8960182020704768e-01
3.9999999999999600e+00  7.9786819970078948e+00  2.4610769300527888e-02  6.6421192425142870e+00  2.7395549779807499e-01  6.3925490749381744e+01  6.4000000000024073e+01  6.3999999999999993e+01  4.7999999999999998e+00  7.9784671073837679e+00  6.6423732626949716e+00  2.7595236342609203e-01  4.3396226770890660e+00  7.4472595444759837e-01  4.4052745997899789e+00  7.3644705409645750e-01  4.9248499121570932e-01  9.8958052534131447e-01
4.7999999999999403e+00  7.9841788881470386e+00  2.4547779559432131e-02  6.6421684024965604e+00  2.7394830775142659e-01  6.3927989634880952e+01  6.4000000000030184e+01  6.3999999999999993e+01  4.7999999999999998e+00  7.9839829688300652e+00  6.6424096257544969e+00  2.7594089754066453e-01  4.3407901875141492e+00  7.4442537720750657e-01  4.4042832857336132e+00  7.3697649932880294e-01  4.9271163986863831e-01  9.8966809580318249e-01
5.5999999999999304e+00  7.9893146166846023e+00  2.4511217479760778e-02  6.6421367211024158e+00  2.7395305529477765e-01  6.3929519778858975e+01  6.4000000000014396e+01  6.4000000000000000e+01  4.7999999999999998e+00  7.9891344445898289e+00  6.6423719856108550e+00  2.7594292243708352e-01  4.3419471693553202e+00  7.4439111837404948e-01  4.4030790090272580e+00  7.3744088134108610e-01  4.9283245033603923e-01  9.8965256225019971e-01
6.3999999999999098e+00  7.9949426779678028e+00  2.4529437044907388e-02  6.6419603616612557e+00  2.7397692772495641e-01  6.3931267117902522e+01  6.3999999999963414e+01  6.4000000000000000e+01  4.7999999999999998e+00  7.9947723851367218e+00  6.6421906528712604e+00  2.7539087178214638e-01  4.3428739475183527e+00  7.4430886071414581e-01  4.4016591757689625e+00  7.3754737278424864e-01  4.9297179683495385e-01  9.8966633109903335e-01
7.1999999999998900e+00  8.0013837623591861e+00  2.4559931439345668e-02  6.6417621058113872e+00  2.7256472021665179e-01  6.3934255620208241e+01  6.3999999999875776e+01  6.4000000000000000e+01  4.7999999999999998e+00  8.0012204322397942e+00  6.6419822206644685e+00  2.7542215331612402e-01  4.3440762828365385e+00  7.4420430753430578e-01  4.3998965047008713e+00  7.3768715418474051e-01  4.9323003698855700e-01  9.8967642690576607e-01
7.9999999999998703e+00  8.0078962521526869e+00  2.4569358015934170e-02  6.6417065348191704e+00  2.7272917549217429e-01  6.3937746335517012e+01  6.3999999999754166e+01  6.4000000000000000e+01  4.7999999999999998e+00  8.0077354077970959e+00  6.6419147793837743e+00  2.7412255311041900e-01  4.3461435451671164e+00  7.4402259078165156e-01  4.3977358901328563e+00  7.3806916611167861e-01  4.9352388655622509e-01  9.8967635680333388e-01
8.7999999999998604e+00  8.0134397986269033e+00  2.4546116684231300e-02  6.6417949378355088e+00  2.7263416606138519e-01  6.3940164144335760e+01  6.3999999999596419e+01  6.4000000000000000e+01  4.7999999999999998e+00  8.0132749498326330e+00  6.6419973763981037e+00  2.7241799739906769e-01  4.3488638432027384e+00  7.4374294102618965e-01  4.3954078713623650e+00  7.3859174032252595e-01  4.9369150869441331e-01  9.8967292018709496e-01
9.5999999999998398e+00  8.0181977814198433e+00  2.4521531202998735e-02  6.6419329853893858e+00  2.7264477248235552e-01  6.3941296138589792e+01  6.3999999999393665e+01  6.4000000000000000e+01  4.7999999999999998e+00  8.0180261781249769e+00  6.6421360261756979e+00  2.7242065763780521e-01  4.3516402144443900e+00  7.4350399445772275e-01  4.3932130157639788e+00  7.3905217215226993e-01  4.9371837178696848e-01  9.8967921982129547e-01
1.0399999999999800e+01  8.0236672625736976e+00  2.4529086691204544e-02  6.6423841276079818e+00  2.7265807383843876e-01  6.3942601015592942e+01  6.3999999999139476e+01  6.4000000000000000e+01  4.7999999999999998e+00  8.0234925091226330e+00  6.6425862532968800e+00  2.6949976705504552e-01  4.3550480734838830e+00  7.4333859460071416e-01  4.3913875936435325e+00  7.3936607444094826e-01  4.9375798769978307e-01  9.8968878639406499e-01
1.1199999999999800e+01  8.0309435708334416e+00  2.4562588985993321e-02  6.6440991703760268e+00  2.7264099387926843e-01  6.3945114760584588e+01  6.3999999998838348e+01  6.4000000000000000e+01  4.7999999999999998e+00  8.0307705189139504e+00  6.6442938939166387e+00  2.6948319822863959e-01  4.3613968634319447e+00  7.4316456172119372e-01  4.3905727585334873e+00  7.3950823255351694e-01  4.9391085630504061e-01  9.8969208620292681e-01
1.1999999999999799e+01  8.0393889982170705e+00  2.4576426093866236e-02  6.6480488927097605e+00  2.7305943163828650e-01  6.3947939241109808e+01  6.3999999998490281e+01  6.4000000000000000e+01  4.7999999999999998e+00  8.0392177037070383e+00  6.6482349271704964e+00  2.6942100133581376e-01  4.3725240035217929e+00  7.4288220262846449e-01  4.3919262850777647e+00  7.3945508414663941e-01  4.9407744685786653e-01  9.8968907470371148e-01
1.2799999999999800e+01  8.0478860529159526e+00  2.4553852332478563e-02  6.6546327927316611e+00  2.7296426821771697e-01  6.3949627892167811e+01  6.3999999998092413e+01  6.4000000000000000e+01  4.7999999999999998e+00  8.0477125751532839e+00  6.6548164372816583e+00  2.6932265388481702e-01  4.3887378806303383e+00  7.4252456096593122e-01  4.3963425832022711e+00  7.3927131244882271e-01  4.9411494468032885e-01  9.8968373548389266e-01
1.3599999999999801e+01  8.0571377244481859e+00  2.4527170548012338e-02  6.6647290963691930e+00  2.7283308951576601e-01  6.3950253339254296e+01  6.3999999997675801e+01  6.4000000000000000e+01  4.7999999999999998e+00  8.0569600526230101e+00  6.6649159442167303e+00  2.6918631521127401e-01  4.4110417809534370e+00  7.4210530977331868e-01  4.4053627037715914e+00  7.3896439711477757e-01  4.9404073079737820e-01  9.8968468097749951e-01
1.4399999999999700e+01  8.0686581687155972e+00  2.4533756397734918e-02  6.6789655754169672e+00  2.7265200814264107e-01  6.3950822630983694e+01  6.3999999997252495e+01  6.4000000000000000e+01  4.7999999999999998e+00  8.0684786717098440e+00  6.6791556226278352e+00  2.6900253642162791e-01  4.4382451351421226e+00  7.4168419451048395e-01  4.4220011535417667e+00  7.3842362788431259e-01  4.9394515068496397e-01  9.8969416573267399e-01
1.5199999999999701e+01  8.0822404735552151e+00  2.4564928865119569e-02  6.6969184006053988e+00  2.7243030078816055e-01  6.3951915971349415e+01  6.3999999996730004e+01  6.3999999999999986e+01  4.7999999999999998e+00  8.0820622574141900e+00  6.6971086750260698e+00  2.6878196702828910e-01  4.4687109207628115e+00  7.4132347491488515e-01  4.4464786852031883e+00  7.3764716522354123e-01  4.9387445379251538e-01  9.8970180570183564e-01
1.5999999999999700e+01  8.0958123196260097e+00  2.4578682658579033e-02  6.7173653331655974e+00  2.7220622374423331e-01  6.3952853367121904e+01  6.3999999996099675e+01  6.4000000000000000e+01  4.7999999999999998e+00  8.0956354957666683e+00  6.7175566098227799e+00  2.6855926738331565e-01  4.5010597310201188e+00  7.4105904545989887e-01  4.4762157980357813e+00  7.3721587433317837e-01  4.9376197650881493e-01  9.8969979777666761e-01
1.6799999999999802e+01  8.1086967350166521e+00  2.4558078214982963e-02  6.7402746760644625e+00  2.7198397640875788e-01  6.3952466389574120e+01  6.3999999995386645e+01  6.4000000000000000e+01  4.7999999999999998e+00  8.1085197532355018e+00  6.7404738230229881e+00  2.6833512413661054e-01  4.5343495446548694e+00  7.4084635633923357e-01  4.5120708456037946e+00  7.3712964355099586e-01  4.9349503480392076e-01  9.8969344074541821e-01
1.7600000000000001e+01  8.1215622911095693e+00  2.4533674664090354e-02  6.7658084379102501e+00  2.7175434577274965e-01  6.3951187384842989e+01  6.3999999994569855e+01  6.4000000000000000e+01  4.7999999999999998e+00  8.1213854605138458e+00  6.7660203662806149e+00  2.6810105263689976e-01  4.5691338507068586e+00  7.4103245491803826e-01  4.5538332256629532e+00  7.3610816942354762e-01  4.9313375301428808e-01  9.8969338418569119e-01
1.8400000000000102e+01  8.1348195260388874e+00  2.4540621414939200e-02  6.7930871083970104e+00  2.7152385340534935e-01  6.3950648727938812e+01  6.3999999993811400e+01  6.4000000000000000e+01  4.7999999999999998e+00  8.1346456557032578e+00  6.7933085793210362e+00  2.6786720381106960e-01  4.6063189504250062e+00  7.4118044198067790e-01  4.5978248015925063e+00  7.3559418013580213e-01  4.9285092665059477e-01  9.8970098617257363e-01
1.9200000000000198e+01  8.1488131205781702e+00  2.4570818466006016e-02  6.8226187380493331e+00  2.7128330016756419e-01  6.3951773650007915e+01  6.3999999993060314e+01  6.4000000000000000e+01  4.7999999999999998e+00  8.1486452954932922e+00  6.8228418305007432e+00  2.6762610567166878e-01  4.6482481579819881e+00  7.4128487232048346e-01  4.6429683601096023e+00  7.3558029686546011e-01  4.9271342993400319e-01  9.8970695239781026e-01
2.0000000000000298e+01  8.1630297826525684e+00  2.4585404158182205e-02  6.8552597646720388e+00  2.7103664832543750e-01  6.3953637302439454e+01  6.3999999992074230e+01  6.4000000000000000e+01  4.7999999999999998e+00  8.1628687501378074e+00  6.8554811705078684e+00  2.6737906058837979e-01  4.6957367734821087e+00  7.4134506257432886e-01  4.6908518953081817e+00  7.3469262131518154e-01  4.9261970406444477e-01  9.8970447689001340e-01
2.0800000000000502e+01  8.1768373021924745e+00  2.4568102540378400e-02  6.8907617933117882e+00  2.7079676771679018e-01  6.3954196369667812e+01  6.3999999991237388e+01  6.4000000000000000e+01  4.7999999999999998e+00  8.1766816789729901e+00  6.8909884502539871e+00  2.6713559353888505e-01  4.7446264488007648e+00  7.4185496094260883e-01  4.7450392011103544e+00  7.3372334429347597e-01  4.9240715501798138e-01  9.8969835197405120e-01
2.1600000000000598e+01  8.1907964620443234e+00  2.4545642697031179e-02  6.9291537684334248e+00  2.7055116232264076e-01  6.3953958991835954e+01  6.3999999990433786e+01  6.4000000000000000e+01  4.7999999999999998e+00  8.1906457758856490e+00  6.9293905085632614e+00  2.6688384191433551e-01  4.7947739068198123e+00  7.4142130921410110e-01  4.8058087731595016e+00  7.3359121667053118e-01  4.9212874918293015e-01  9.8969787223107974e-01
2.2400000000000698e+01  8.2055053937290960e+00  2.4549468199453948e-02  6.9704132481378984e+00  2.7028966149206890e-01  6.3954703250233209e+01  6.3999999989592375e+01  6.3999999999999929e+01  4.7999999999999998e+00  8.2053609287639588e+00  6.9706560812475740e+00  2.6661712296762641e-01  4.8498597331724529e+00  7.4084828138023828e-01  4.8694777988220981e+00  7.3245320107804712e-01  4.9195832760838654e-01  9.8970403455615907e-01
2.3200000000000799e+01  8.2210841119872491e+00  2.4573644955654828e-02  7.0152836106239498e+00  2.7000906388263618e-01  6.3956720200503604e+01  6.3999999988612323e+01  6.3999999999999638e+01  4.7999999999999998e+00  8.2209474661553408e+00  7.0155266445372009e+00  2.6633387001031733e-01  4.9119517127914554e+00  7.4107326167141174e-01  4.9359695262434560e+00  7.3158687957384605e-01  4.9192079644764208e-01  9.8970878827398023e-01
2.4000000000000998e+01  8.2360360678689357e+00  2.4585518756391683e-02  7.0627049549833725e+00  2.7153816787822682e-01  6.3959089387150989e+01  6.3999999987529826e+01  6.3999999999998245e+01  4.7999999999999998e+00  8.2359075195307447e+00  7.0629469418388924e+00  2.6607181651812434e-01  4.9769994544198797e+00  7.4028858636425887e-01  5.0057961546307874e+00  7.3034248622098108e-01  4.9190499845131069e-01  9.8970638228433239e-01
2.4800000000001098e+01  8.2496587508158115e+00  2.4571187638348327e-02  7.1116223885871745e+00  2.7131256349396410e-01  6.3961288053020297e+01  6.3999999986514460e+01  6.3999999999993122e+01  4.7999999999999998e+00  8.2495368655322210e+00  7.1118652301997445e+00  2.6584281794257608e-01  5.0431421483698804e+00  7.3969826621604728e-01  5.0777933137603100e+00  7.2967240403707545e-01  4.9187141963599923e-01  9.8970086578696337e-01
2.5600000000001199e+01  8.2634002219341021e+00  2.4552677354716158e-02  7.1632390080086985e+00  2.7255984036838377e-01  6.3963966910789310e+01  6.3999999985655656e+01  6.3999999999977824e+01  4.7999999999999998e+00  8.2632835662357618e+00  7.1634816021941417e+00  2.6560165419731641e-01  5.1153050492856638e+00  7.3841042692699155e-01  5.1509545769691520e+00  7.2915785431202673e-01  4.9191280601581405e-01  9.8969999600194647e-01
2.6400000000001299e+01  8.2787836465086606e+00  2.4555922426218783e-02  7.2198233415866460e+00  2.7188877249520849e-01  6.3968301016135385e+01  6.3999999984863585e+01  6.3999999999941721e+01  4.7999999999999998e+00  8.2786727743655391e+00  7.2200584944092610e+00  2.6531077618245708e-01  5.1989651702155326e+00  7.3723102104071436e-01  5.2257215370266152e+00  7.2873124045924575e-01  4.9211792727668296e-01  9.8970462696767103e-01
2.7200000000001499e+01  8.2943518449818558e+00  2.4576223078011730e-02  7.2799036086112698e+00  2.7102299672295044e-01  6.3973602837585389e+01  6.3999999984009449e+01  6.3999999999874959e+01  4.7999999999999998e+00  8.2942481356786715e+00  7.2801268680381908e+00  2.6795200401320951e-01  5.2884825857865509e+00  7.3610696904342587e-01  5.3029258100858048e+00  7.2790589736312572e-01  4.9239501303712785e-01  9.8970815769155451e-01
2.8000000000001599e+01  8.3088953956072675e+00  2.4586909674389531e-02  7.3418283453283788e+00  2.7029717131120257e-01  6.3978878616301174e+01  6.3999999983047068e+01  6.3999999999783093e+01  4.7999999999999998e+00  8.3087987849745186e+00  7.3420402303010288e+00  2.7018241751761563e-01  5.3794157726377030e+00  7.3512926323894245e-01  5.3824547620270744e+00  7.2757289274953885e-01  4.9266655921404090e-01  9.8970584094572289e-01
2.8800000000001699e+01  8.3231510231808947e+00  2.4576108193863262e-02  7.4066454610245271e+00  2.6747245874631453e-01  6.3984211711814211e+01  6.3999999982109898e+01  6.3999999999692164e+01  4.7999999999999998e+00  8.3230597590332405e+00  7.4068466814681599e+00  2.7036657970098288e-01  5.4753456786951844e+00  7.3401610008156015e-01  5.4637830903857170e+00  7.2732718076564240e-01  4.9295617371669437e-01  9.8970086509529920e-01
2.9600000000001799e+01  8.3374848885074329e+00  2.4561082157881078e-02  7.4752989851249936e+00  2.6434727645539396e-01  6.3989873082325651e+01  6.3999999981125207e+01  6.3999999999605933e+01  4.7999999999999998e+00  8.3373976205437685e+00  7.4754888229327916e+00  2.7062967229529156e-01  5.5781341462978746e+00  7.3275846989251514e-01  5.5470995457017223e+00  7.2757214743314158e-01  4.9325649694376916e-01  9.8969950786664940e-01
3.0400000000001999e+01  8.3512715698734201e+00  2.4563185609622746e-02  7.5467400412708772e+00  2.6411364484181610e-01  6.3995533896660945e+01  6.3999999980162777e+01  6.3999999999486718e+01  4.7999999999999998e+00  8.3511887042403110e+00  7.5469185737267752e+00  2.6928569954616627e-01  5.6838527328855353e+00  7.3123456717535829e-01  5.6332935148329941e+00  7.2715968523143315e-01  4.9351901333513853e-01  9.8970265355746490e-01
3.1200000000002099e+01  8.3644029271181317e+00  2.4579766569983830e-02  7.6202264431692219e+00  2.6391099278960817e-01  6.4001094408427946e+01  6.3999999979343755e+01  6.3999999999328864e+01  4.7999999999999998e+00  8.3643257108921869e+00  7.6203940175933695e+00  2.6725443167922464e-01  5.7900573935577082e+00  7.3039223033111433e-01  5.7229501508286109e+00  7.2714806462893566e-01  4.9374831883471354e-01  9.8970514903598406e-01
3.2000000000002203e+01  8.3773832759842701e+00  2.4589708192719179e-02  7.6963250519934752e+00  2.6371863939171891e-01  6.4006688778649632e+01  6.3999999978730571e+01  6.3999999999210743e+01  4.7999999999999998e+00  8.3773117628146778e+00  7.6964818833756237e+00  2.6704934825963439e-01  5.8986967931655432e+00  7.2960622523939789e-01  5.8156936980093521e+00  7.2691307559349894e-01  4.9397923116785197e-01  9.8970301501423696e-01
3.2800000000002001e+01  8.3904825079835774e+00  2.4582315215072335e-02  7.7761213779853238e+00  2.6351771068615842e-01  6.4012274535218822e+01  6.3999999978258096e+01  6.3999999999203858e+01  4.7999999999999998e+00  8.3904152478625633e+00  7.7762681873214134e+00  2.6633287955603807e-01  6.0129063255131729e+00  7.2914244269501582e-01  5.9110740984631036e+00  7.2711882658085147e-01  4.9420224397751256e-01  9.8969847804893374e-01
3.3600000000001899e+01  8.4032838357744382e+00  2.4570241330716766e-02  7.8595496552065764e+00  2.6779825542377717e-01  6.4017550853496047e+01  6.3999999977625869e+01  6.3999999999358138e+01  4.7999999999999998e+00  8.4032197233432200e+00  7.8596881515175623e+00  2.6611823762782966e-01  6.1317572029896619e+00  7.2806316795017934e-01  6.0095250564597871e+00  7.2685801211522771e-01  4.9435603766742131e-01  9.8969657106483955e-01
3.4400000000001697e+01  8.4155744809164421e+00  2.4571171571468233e-02  7.9456647350092418e+00  2.6840875037534395e-01  6.4022318591418610e+01  6.3999999976809889e+01  6.3999999999627164e+01  4.7999999999999998e+00  8.4155141358410432e+00  7.9457969786172411e+00  2.6586513351205227e-01  6.2518566528188986e+00  7.2762655786665453e-01  6.1120618281299519e+00  7.2650883112759523e-01  4.9441804693903313e-01  9.8969841598010344e-01
3.5200000000001602e+01  8.4278512210910836e+00  2.4584683781637015e-02  8.0342482129474053e+00  2.6866546478166459e-01  6.4026849826106641e+01  6.3999999976055172e+01  6.3999999999985299e+01  4.7999999999999998e+00  8.4277960739443927e+00  8.0343751055101613e+00  2.6707864598800313e-01  6.3723717818620500e+00  7.2715497096427728e-01  6.2190921807693442e+00  7.2607065742687049e-01  4.9444219806770412e-01  9.8970014116016491e-01
3.6000000000001400e+01  8.4405210905375618e+00  2.4594250528728080e-02  8.1259553748773712e+00  2.6900401040029293e-01  6.4031363173416707e+01  6.3999999975518243e+01  6.4000000000401073e+01  4.7999999999999998e+00  8.4404714352653691e+00  8.1260772588325807e+00  2.6688856145136214e-01  6.4954442114414652e+00  7.2711946896416679e-01  6.3300184156840613e+00  7.2558390801094641e-01  4.9446972420386132e-01  9.8969825048924354e-01
3.6800000000001198e+01  8.4534277642603293e+00  2.4589650187545171e-02  8.2214296041595887e+00  2.6915034133418286e-01  6.4035514255890632e+01  6.3999999975204126e+01  6.4000000000834191e+01  4.7999999999999998e+00  8.4533825496908737e+00  8.2215483441233737e+00  2.6821228869170632e-01  6.6227996204443738e+00  7.2661521363795589e-01  6.4446577776090290e+00  7.2460546378507107e-01  4.9445393807284149e-01  9.8969406048755226e-01
