# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  2.3159761992444315e-15  8.9462061397320387e-16  5.8821641246497069e-01  3.3528656498598828e+00  1.2245296813373387e+00
8.0000000000000004e-01  2.1339301824861487e-15  7.4160829882561039e-16  5.0370404114580769e-01  3.0148161645832308e+00  1.2307385260482080e+00
1.6000000000000001e+00  1.9897400203142592e-15  5.6247095034157191e-16  5.7048306105392121e-01  3.2819322442156849e+00  1.2352548647674524e+00
2.3999999999999901e+00  2.3190561252978918e-15  3.5218692192180166e-16  5.1665635672605981e-01  3.0666254269042392e+00  1.2870788433600635e+00
3.1999999999999802e+00  1.4403790631039071e-15  2.5741989332729191e-16  5.0248937538677574e-01  3.0099575015471030e+00  1.2321610551996398e+00
3.9999999999999600e+00  2.1714916127684926e-15  2.2893221733030557e-16  4.7672255960880744e-01  2.9068902384352295e+00  1.3471441138146190e+00
4.7999999999999403e+00  2.3736220941370742e-15  1.3234089630566711e-15  5.6461223527882654e-01  3.2584489411153061e+00  1.4043418051636958e+00
5.5999999999999304e+00  2.8289054192941187e-15  9.2989789895388856e-16  4.5971302710560258e-01  2.8388521084224103e+00  1.4720789357654966e+00
6.3999999999999098e+00  4.4721005545597171e-15  1.8553116746091244e-15  5.1650613303095216e-01  3.0660245321238087e+00  1.5519767162804576e+00
7.1999999999998900e+00  1.7118209533702881e-14  1.1257738547819247e-14  4.2379535717759531e-01  2.6951814287103812e+00  1.5670561566268844e+00
7.9999999999998703e+00  3.9688919729158793e-14  2.8881763091159476e-14  4.5493126816323048e-01  2.8197250726529219e+00  1.6082110468676050e+00
8.7999999999998604e+00  6.2058948181200053e-14  4.1840724769674398e-14  4.4003667387481765e-01  2.7601466954992704e+00  1.4760067427203214e+00
9.5999999999998398e+00  2.5620685412067870e-13  1.9058974417317720e-13  3.8442190194388925e-01  2.5376876077755570e+00  1.5277232650142551e+00
1.0399999999999800e+01  3.5967190630867985e-13  2.6622492388717759e-13  5.2729493563991581e-01  3.1091797425596632e+00  1.4519135646058210e+00
1.1199999999999800e+01  8.8201463593095192e-13  6.5687924980628373e-13  3.6060818380528231e-01  2.4424327352211295e+00  1.6369848691354836e+00
1.1999999999999799e+01  2.2011317197042263e-12  1.6313258436266381e-12  6.1979585914821300e-01  3.4791834365928520e+00  1.6217273788881641e+00
1.2799999999999800e+01  3.6785327754355300e-12  2.7440660850076182e-12  5.5630639913142776e-01  3.2252255965257111e+00  1.6428614674047559e+00
1.3599999999999801e+01  5.5605234935691116e-12  4.1552921781159617e-12  5.6825446452637651e-01  3.2730178581055061e+00  1.5907071469138825e+00
1.4399999999999700e+01  5.5409634180252751e-12  4.1501248590683811e-12  6.6431116589326977e-01  3.6572446635730791e+00  1.6291840847607075e+00
1.5199999999999701e+01  4.6436274942120329e-12  3.4634324219976277e-12  7.5618447039843317e-01  4.0247378815937331e+00  1.4950354517978903e+00
1.5999999999999700e+01  2.3496839452335482e-12  1.7610067195780865e-12  7.5670866460310648e-01  4.0268346584124259e+00  1.3400634033113159e+00
1.6799999999999802e+01  6.4618042546073528e-13  4.8353249157301743e-13  7.3478996705739219e-01  3.9391598682295688e+00  1.0255175552875664e+00
1.7600000000000001e+01  2.5436961619075482e-13  1.8847242383595436e-13  6.9581440155272323e-01  3.7832576062108929e+00  1.2077761267902742e+00
1.8400000000000102e+01  3.3907472508829051e-13  2.5004937874223080e-13  4.7017414827838994e-01  2.8806965931135595e+00  1.4156129599508647e+00
1.9200000000000198e+01  8.3515712018002039e-13  6.1650168226084259e-13  5.6535724895411210e-01  3.2614289958164484e+00  1.2342024820961619e+00
2.0000000000000298e+01  1.7118160561985805e-12  1.2754411517722877e-12  5.7911243752965258e-01  3.3164497501186103e+00  1.5715221894099334e+00
2.0800000000000502e+01  3.4598293313488114e-12  2.6006642932414513e-12  6.1231283254086966e-01  3.4492513301634786e+00  1.4544540756350246e+00
2.1600000000000598e+01  4.4373853580808688e-12  3.3449159847018487e-12  7.0563426063376977e-01  3.8225370425350791e+00  1.3502006312628858e+00
2.2400000000000698e+01  4.5198572145791303e-12  3.3597913740130618e-12  7.1097041008311657e-01  3.8438816403324663e+00  1.3127395252636906e+00
2.3200000000000799e+01  3.1676077249815318e-12  2.3564377188880367e-12  7.1486034248580732e-01  3.8594413699432293e+00  1.1748198218046453e+00
2.4000000000000998e+01  1.4969763035292705e-12  1.1260778553782786e-12  6.6836040531601348e-01  3.6734416212640539e+00  9.8234692959322534e-01
2.4800000000001098e+01  5.1911219575949611e-13  3.8416696411581017e-13  7.3587759611585679e-01  3.9435103844634272e+00  5.5092319965185288e-01
2.5600000000001199e+01  8.6450561860288647e-13  6.4308999110069159e-13  5.6407007383114927e-01  3.2562802953245971e+00  5.5397473455228496e-01
2.6400000000001299e+01  1.5025278490783534e-12  1.1213279009346444e-12  6.6742810859292157e-01  3.6697124343716863e+00  5.3021927368233257e-01
2.7200000000001499e+01  2.1903737880606995e-12  1.6287076090394498e-12  6.1808207193082976e-01  3.4723282877233190e+00  5.8515552000910320e-01
2.8000000000001599e+01  3.2433812047842743e-12  2.4119382440750144e-12  7.5619925031688595e-01  4.0247970012675438e+00  7.6552346664288107e-01
2.8800000000001699e+01  4.5033231789705991e-12  3.3608075932703569e-12  7.4394014639812567e-01  3.9757605855925027e+00  9.5258578394731286e-01
2.9600000000001799e+01  5.5030636950645848e-12  4.1231156327102133e-12  7.2157409006177298e-01  3.8862963602470919e+00  1.1110992282939598e+00
3.0400000000001999e+01  5.4543437549890733e-12  4.0874206615411029e-12  7.4188307069650150e-01  3.9675322827860060e+00  1.0686392958839106e+00
3.1200000000002099e+01  4.6950361136493706e-12  3.5139875293714620e-12  7.4272285471943955e-01  3.9708914188777582e+00  9.1911955473073514e-01
3.2000000000002203e+01  3.3784231987650616e-12  2.5294365604339672e-12  7.5026265930468339e-01  4.0010506372187340e+00  6.8186703933293713e-01
3.2800000000002001e+01  2.9144041483981399e-12  2.1727485499575157e-12  6.0783866537634745e-01  3.4313546615053898e+00  1.1173741966490787e+00
3.3600000000001899e+01  3.6870887371576069e-12  2.7458523955469885e-12  7.4415369888033034e-01  3.9766147955213214e+00  5.6763072673383752e-01
3.4400000000001697e+01  4.4026431917730835e-12  3.2814638025346157e-12  7.4400296280838418e-01  3.9760118512335367e+00  4.9230756889911442e-01
3.5200000000001602e+01  5.1237062110260409e-12  3.8250791347665385e-12  7.4767543631946443e-01  3.9907017452778577e+00  4.3479354593513669e-01
3.6000000000001400e+01  5.8815508607126483e-12  4.3949881479677903e-12  7.4909771694814298e-01  3.9963908677925719e+00  5.1080215436817189e-01
3.6800000000001198e+01  6.8356742576311060e-12  5.0848205013441717e-12  7.4674192471237621e-01  3.9869676988495049e+00  7.1324298614311088e-01
3.7600000000001103e+01  7.3572730368817301e-12  5.4892578291004417e-12  7.4968124179737816e-01  3.9987249671895126e+00  8.2868323314256009e-01
3.8400000000000901e+01  7.0570951846846196e-12  5.2905712786298734e-12  7.4580804664786471e-01  3.9832321865914588e+00  7.9546501754604071e-01
3.9200000000000799e+01  6.0799846471351262e-12  4.5605104848247382e-12  7.4977612832668883e-01  3.9991045133067553e+00  6.4334565683607492e-01
4.0000000000000597e+01  4.6095678321432079e-12  3.4466460811637773e-12  7.5185891013169592e-01  4.0074356405267837e+00  3.8440332432814173e-01
4.0800000000000502e+01  4.1643273749540345e-12  3.1061447465779161e-12  7.2054678724715981e-01  3.8821871489886393e+00  6.1375558562759791e-01
4.1600000000000300e+01  4.8326031335936040e-12  3.6031266139660794e-12  7.4554220341919042e-01  3.9821688136767617e+00  5.2878400278535065e-01
4.2400000000000098e+01  5.4953089457692031e-12  4.0968948041921310e-12  7.5651275383689764e-01  4.0260510153475906e+00  6.4944986479842692e-01
4.3200000000000003e+01  5.9439308089622961e-12  4.4444619751914254e-12  7.3842303919300212e-01  3.9536921567720085e+00  6.6462272333305117e-01
4.3999999999999801e+01  5.9048423091973847e-12  4.4109445254782105e-12  7.4692972017928594e-01  3.9877188807171438e+00  5.7966783841410674e-01
4.4799999999999699e+01  5.6552393681621289e-12  4.2252061443540494e-12  7.4951676625733898e-01  3.9980670650293559e+00  5.0056725228552668e-01
4.5599999999999497e+01  5.7804994007094842e-12  4.3118661092503532e-12  7.4284150229119905e-01  3.9713660091647962e+00  5.3472598783473224e-01
4.6399999999999302e+01  6.2334166529196184e-12  4.6510475434166063e-12  7.4393218123100469e-01  3.9757287249240187e+00  5.5307471656111673e-01
4.7199999999999200e+01  6.8362981192688811e-12  5.1039138911748008e-12  7.4846928010803504e-01  3.9938771204321402e+00  5.2878804371861621e-01
4.7999999999998998e+01  7.3837262638608720e-12  5.5136657675505748e-12  7.4943071532787719e-01  3.9977228613115088e+00  5.4628418140464574e-01
4.8799999999998903e+01  7.8466341921007334e-12  5.8592126908038809e-12  7.4899131392421969e-01  3.9959652556968788e+00  6.2704274893537904e-01
4.9599999999998701e+01  8.3408099568519371e-12  6.2286955100180132e-12  7.4981094178819852e-01  3.9992437671527941e+00  7.2259230994456969e-01
5.0399999999998499e+01  8.8678657049258200e-12  6.6223727177873721e-12  7.5156506509756316e-01  4.0062602603902526e+00  8.1185650294866696e-01
5.1199999999998397e+01  9.3733085602004740e-12  6.9998129230737495e-12  7.4501795593511644e-01  3.9800718237404658e+00  9.1196701575975092e-01
5.1999999999998202e+01  9.8124736344985685e-12  7.3283655051270678e-12  7.4591227198954768e-01  3.9836490879581907e+00  8.9830078511274680e-01
