# time  total_canon  bary_x_canon  bary_y_canon  bary_z_canon  rms_radius_canon  total_phantom  bary_x_phantom  bary_y_phantom  bary_z_phantom  rms_radius_phantom
0.0000000000000000e+00  3.9105683114031238e+00  6.9000309341916989e+01  6.4000000000000014e+01  6.4000000000000014e+01  4.3375370561997260e+00  4.0366784091560568e+00  5.9000321839540590e+01  6.4000000000000014e+01  6.4000000000000014e+01  4.4068785722319213e+00
8.0000000000000004e-01  3.9130948349146970e+00  6.9000343851905129e+01  6.4000000000000625e+01  6.4000000000000028e+01  4.3377552209793304e+00  4.0402971170012414e+00  5.9000359462203726e+01  6.3999999999999915e+01  6.4000000000000014e+01  4.4067508408151994e+00
1.6000000000000001e+00  3.9154927955721095e+00  6.9000413581857543e+01  6.4000000000007532e+01  6.4000000000000014e+01  4.3381876019640746e+00  4.0441715391802333e+00  5.9000435964471720e+01  6.3999999999997748e+01  6.3999999999999986e+01  4.4065376222485222e+00
2.3999999999999901e+00  3.9190466266256392e+00  6.9000465181070211e+01  6.4000000000022936e+01  6.4000000000000000e+01  4.3384930145769269e+00  4.0470929537264304e+00  5.9000495121286669e+01  6.3999999999992781e+01  6.4000000000000000e+01  4.4063200014356072e+00
3.1999999999999802e+00  3.9239773754886289e+00  6.9000506656314926e+01  6.4000000000041283e+01  6.4000000000000014e+01  4.3388626252363114e+00  4.0485728385613289e+00  5.9000548104905313e+01  6.3999999999988233e+01  6.3999999999999972e+01  4.4059623729180499e+00
3.9999999999999600e+00  3.9293811332093700e+00  6.9000610015503241e+01  6.4000000000056744e+01  6.4000000000000014e+01  4.3396226770890669e+00  4.0493008637985248e+00  5.9000670746163195e+01  6.3999999999992362e+01  6.3999999999999972e+01  4.4052745997899780e+00
4.7999999999999403e+00  3.9338978729834890e+00  6.9000830703512960e+01  6.4000000000039421e+01  6.4000000000000000e+01  4.3407901875141492e+00  4.0502810151635487e+00  5.9000914546717247e+01  6.4000000000021245e+01  6.3999999999999986e+01  4.4042832857336141e+00
5.5999999999999304e+00  3.9373934990462063e+00  6.9001142604108438e+01  6.3999999999953701e+01  6.4000000000000014e+01  4.3419471693553211e+00  4.0519211176383960e+00  5.9001246458131007e+01  6.4000000000073385e+01  6.4000000000000000e+01  4.4030790090272571e+00
6.3999999999999098e+00  3.9412812575502452e+00  6.9001486808338811e+01  6.3999999999782723e+01  6.3999999999999993e+01  4.3428739475183527e+00  4.0536614204175576e+00  5.9001609762473883e+01  6.4000000000139124e+01  6.4000000000000000e+01  4.4016591757689616e+00
7.1999999999998900e+00  3.9465228090680617e+00  6.9001878080254116e+01  6.3999999999503366e+01  6.4000000000000028e+01  4.3440762828365385e+00  4.0548609532911257e+00  5.9002030358554272e+01  6.4000000000238217e+01  6.4000000000000014e+01  4.3998965047008713e+00
