# time  Re(R=8)  Im(R=8)  Re(R=16)  Im(R=16)
0.0000000000000000e+00  -7.5682236258035006e-04  1.1885520323620346e-07  -5.9237261310024307e-05  1.8037420338690868e-09
4.0000000000000002e-01  -7.7925465030950357e-04  -4.0903028706236718e-07  -6.7984195406976724e-05  4.9630812325806018e-09
8.0000000000000004e-01  -7.5787709425945875e-04  1.7716863034188208e-06  -6.9366626872117230e-05  -2.8514091115155855e-08
1.2000000000000000e+00  -7.1682913293886021e-04  -1.3702396019770800e-06  -6.7620748590472630e-05  1.0834087688888747e-07
1.6000000000000001e+00  -6.2526987852570565e-04  -3.7396490239435534e-07  -6.7738266554853068e-05  -2.2263658942355311e-07
2.0000000000000000e+00  -4.6546988828520433e-04  2.1150138316825357e-06  -6.8121988016153586e-05  1.0544123191727346e-07
2.3999999999999901e+00  -1.9535801958364980e-04  -1.3637399815647510e-06  -6.8616067646653817e-05  4.9025718570907998e-07
2.7999999999999798e+00  5.2891900604875696e-04  -3.7174114946604627e-07  -6.8961655556663864e-05  -1.0891320433948622e-06
3.1999999999999802e+00  1.4255368948053130e-03  1.3254805377033219e-07  -6.6316559006082777e-05  5.2420794019649068e-07
3.5999999999999699e+00  1.2058976757334714e-03  -1.5726021226457508e-07  -6.7127341139777799e-05  6.5857288812677695e-07
3.9999999999999600e+00  3.9621143225405443e-04  2.0432463140792385e-07  -7.0350121245515827e-05  -5.1153171844206031e-07
4.3999999999999497e+00  3.2083450026579212e-03  2.8581429363223487e-07  -6.8532203970265659e-05  3.9892367444978282e-08
4.7999999999999403e+00  3.0136672640323795e-03  2.4868017264080829e-08  -6.6953946915820949e-05  -4.7129581234878227e-07
5.1999999999999300e+00  -2.9591000870076286e-03  -6.8807055624615598e-08  -6.9981580855245758e-05  -7.2899996621209367e-08
5.5999999999999304e+00  -6.6440192293451602e-03  -2.2141628134956403e-07  -7.1074061021219698e-05  6.7283795649797817e-07
5.9999999999999201e+00  -7.7581661485121179e-03  -4.1123355196669872e-07  -7.2404970103789949e-05  3.2714709157021305e-07
6.3999999999999098e+00  -1.0653889523951521e-02  9.8505838921609318e-08  -7.7435173377678987e-05  -5.4333134863701732e-07
6.7999999999999003e+00  -1.4537554724569631e-02  5.8570347900560755e-07  -6.5832674490868013e-05  -4.5959314051270577e-07
7.1999999999998900e+00  -1.6129882748876959e-02  7.1650790801721651e-09  -4.1647903466282699e-05  5.6702062228461756e-07
7.5999999999998797e+00  -1.3619096183864490e-02  -3.2440776865961090e-07  -8.4044334211633259e-05  2.2994896502009027e-07
7.9999999999998703e+00  -8.4919570015553666e-03  7.1334742916735514e-08  -1.0429274668891707e-04  -4.0690790403450881e-07
8.3999999999998707e+00  -3.8640788487270738e-03  4.8628890748728841e-08  1.1144620577263704e-04  -2.0335573329435019e-07
8.7999999999998604e+00  -3.8441170743201773e-04  7.6069035741796369e-08  9.0383880554063169e-05  -3.7683496402506199e-08
9.1999999999998501e+00  2.7152487217752146e-03  8.9337097094054044e-08  -3.0558946712100360e-04  2.8428807219541792e-07
9.5999999999998398e+00  5.0173680691707493e-03  -4.6582093115668438e-07  8.3959657920539352e-05  4.6661228388118721e-07
9.9999999999998295e+00  5.6724838971014616e-03  -4.7792324163018260e-07  1.0057777708334628e-03  -8.5209345315369173e-08
1.0399999999999800e+01  4.4195075843125649e-03  2.9124040607159482e-07  1.0360594299633633e-03  -4.6145447739627895e-07
1.0799999999999800e+01  1.7577663333650656e-03  4.9240798522808691e-07  9.0993832732054068e-04  -1.5162691112481878e-07
1.1199999999999800e+01  -1.7602111516208787e-04  7.3192761361890213e-08  1.7933951629671156e-03  4.2091323705128627e-08
1.1599999999999801e+01  -4.1228393382149035e-04  5.5922536019402641e-08  2.9102870830152641e-03  -2.3797348230936442e-08
1.1999999999999799e+01  2.6358572762410370e-04  3.7190484457675869e-08  3.2382014498013511e-03  1.9848090996017048e-07
1.2399999999999800e+01  9.2354793487357432e-04  -3.5519835846183543e-07  2.4653079649394117e-03  3.5233742287636698e-07
1.2799999999999800e+01  1.0833390282439406e-03  -2.2890508592430497e-07  5.7386545268965313e-04  -2.0218555336252179e-08
