time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  5.0039786621376739e-05
4.0000000000000002e-01  -6.2554745663836752e-19  2.0807047628891609e-06
8.0000000000000004e-01  -1.1240011073260537e-18  4.3135335081014708e-07
1.2000000000000000e+00  -1.3799116293477188e-18  1.8693121439832167e-07
1.6000000000000001e+00  -1.3598436028598406e-18  1.2524347916138436e-07
2.0000000000000000e+00  -1.0869841990758343e-18  1.3305232323511168e-07
2.3999999999999901e+00  -6.1446195097448813e-19  1.3890730164430895e-07
2.7999999999999798e+00  -2.0643482658607113e-20  1.4045553919301741e-07
3.1999999999999802e+00  5.9557029952198345e-19  1.3992178363084587e-07
3.5999999999999699e+00  1.1257549183156683e-18  1.3893166555626694e-07
3.9999999999999600e+00  1.4694151133048133e-18  1.3715394991960627e-07
4.3999999999999497e+00  1.5552782278255336e-18  1.3295392423208258e-07
4.7999999999999403e+00  1.3595995858827879e-18  1.2740114500173093e-07
5.1999999999999300e+00  9.1455250542223949e-19  1.2116691545735639e-07
5.5999999999999304e+00  3.0357939717210398e-19  1.1367516338669655e-07
5.9999999999999201e+00  -3.5507965185480745e-19  1.0619444882329302e-07
6.3999999999999098e+00  -9.3244314142665235e-19  9.9362947542714120e-08
6.7999999999999003e+00  -1.3150577980136653e-18  9.2278506551715397e-08
7.1999999999998900e+00  -1.4277557675545921e-18  8.5602287913711814e-08
7.5999999999998797e+00  -1.2483738411944564e-18  7.9839007908152267e-08
7.9999999999998703e+00  -8.1323035547301694e-19  7.5056644109015828e-08
8.3999999999998707e+00  -2.0831860010917965e-19  7.0714253712397813e-08
8.7999999999998604e+00  4.5658065450829276e-19  6.7593329557739158e-08
9.1999999999998501e+00  1.0548263147265806e-18  6.5290663061843656e-08
9.5999999999998398e+00  1.4286214431173126e-18  6.1102600918633562e-08
9.9999999999998295e+00  1.4599418472098780e-18  5.9283461459583712e-08
1.0399999999999800e+01  1.3522656164792360e-18  6.3983071764907575e-08
1.0799999999999800e+01  1.6007380553947917e-18  6.5448435153221518e-08
1.1199999999999800e+01  1.9028226599890672e-18  6.1888800196790710e-08
1.1599999999999801e+01  3.4287210723303612e-18  7.4269703956127784e-08
1.1999999999999799e+01  5.1437728696534369e-18  9.1709249376398791e-08
1.2399999999999800e+01  2.2598366586261049e-17  9.5863374437917539e-08
1.2799999999999800e+01  8.8468278976899964e-17  1.0040864188100584e-07
1.3199999999999800e+01  1.7393958475327374e-16  1.1668545348373552e-07
1.3599999999999801e+01  5.7110616030294007e-16  1.3093924067619458e-07
1.3999999999999700e+01  1.6160209644728721e-15  1.4520559987066957e-07
1.4399999999999700e+01  2.7761240294809775e-15  1.7126246061692505e-07
1.4799999999999701e+01  8.5980893199895154e-15  1.8545383885658595e-07
1.5199999999999701e+01  2.4062430806223167e-14  2.2912322823560199e-07
1.5599999999999699e+01  3.0010482606352537e-14  1.9107106465907369e-07
1.5999999999999700e+01  1.0524014683331692e-13  2.4420699328484255e-07
1.6399999999999800e+01  2.9179297244627319e-13  1.8245848956105353e-07
1.6799999999999802e+01  2.5670734531134340e-13  2.3249757695370393e-07
1.7199999999999900e+01  9.5018086092173776e-13  2.0133995447599304e-07
1.7600000000000001e+01  2.9536347156825581e-12  2.0212279425973221e-07
1.8000000000000000e+01  2.4875044959162681e-12  2.3739926310630398e-07
1.8400000000000102e+01  5.2286036088304691e-12  2.0909857445993122e-07
