# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
0.0000000000000000e+00  3.6911588580285041e+01  4.0713460014044092e-02  6.5897020136884121e+00  3.0194131953582615e-01  3.2554936793202245e+01  3.2000047085301027e+01  3.2000047122758900e+01  4.7999999999999998e+00  3.6647113492294686e+01  6.5963514352149213e+00  2.9985157037046944e-01  5.0454192897809236e+00  5.5925450731030368e-01  5.4267484448347165e+00  4.5501479343896978e-01  4.3039556118947475e-01  9.8434729917127017e-01
4.0000000000000002e-01  3.6919189320939189e+01  4.0707124228414444e-02  6.5896862956045883e+00  3.0194638165453164e-01  3.2555779060743653e+01  3.2000050386626114e+01  3.2000050421649114e+01  4.7999999999999998e+00  3.6654364756634379e+01  6.5963542916353433e+00  2.9985238937133984e-01  5.0458247488392356e+00  5.5902428930495396e-01  5.4265004315142953e+00  4.5506647380688253e-01  4.3027529454950114e-01  9.8430706202465446e-01
8.0000000000000004e-01  3.6926354577503069e+01  4.0687289706233941e-02  6.5896861227562669e+00  3.0195544148598091e-01  3.2557971028165262e+01  3.2000058826249060e+01  3.2000058858884039e+01  4.7999999999999998e+00  3.6660569172297528e+01  6.5964182823802551e+00  2.9936452167357430e-01  5.0469065898226066e+00  5.5868820430293065e-01  5.4259231960037644e+00  4.5512478197222167e-01  4.2996107000910533e-01  9.8418398857841938e-01
1.2000000000000000e+00  3.6932651601483641e+01  4.0676175116127221e-02  6.5897524179163387e+00  3.0228714381238719e-01  3.2560663724091562e+01  3.2000069735802022e+01  3.2000069765165968e+01  4.7999999999999998e+00  3.6665411354863664e+01  6.5965808073993752e+00  2.9918622957864283e-01  5.0482338373953581e+00  5.5837676312966988e-01  5.4253450610617806e+00  4.5510380616541407e-01  4.2957211544133433e-01  9.8395339263911941e-01
1.6000000000000001e+00  3.6938962891948975e+01  4.0685124929526563e-02  6.5898834568283915e+00  3.0238444838878459e-01  3.2563024629225360e+01  3.2000080962647267e+01  3.2000080980849191e+01  4.7999999999999998e+00  3.6669913102801488e+01  6.5968208179291352e+00  2.9850104810213834e-01  5.0493486245214863e+00  5.5820774388625294e-01  5.4250022786834471e+00  4.5494996061537929e-01  4.2922655194319009e-01  9.8353706381072592e-01
2.0000000000000000e+00  3.6946409211284610e+01  4.0707178721031842e-02  6.5900459852115123e+00  3.0209158340578557e-01  3.2564654474446691e+01  3.2000091889485454e+01  3.2000091874928408e+01  4.7999999999999998e+00  3.6675275854257833e+01  6.5970930982450096e+00  2.9846250292657522e-01  5.0500800191607720e+00  5.5822286574114766e-01  5.4249079839298870e+00  4.5467288610487178e-01  4.2898334749602512e-01  9.8303487090809671e-01
2.3999999999999901e+00  3.6955345995489530e+01  4.0726736084401235e-02  6.5902167847080664e+00  3.0206752505509948e-01  3.2565635007374539e+01  3.2000103672678904e+01  3.2000103590668083e+01  4.7999999999999998e+00  3.6681874236918844e+01  6.5973712358303542e+00  2.9858919609479817e-01  5.0506367106780941e+00  5.5837282635812069e-01  5.4248847141322107e+00  4.5433948055500467e-01  4.2883529081140564e-01  9.8246785351612709e-01
2.7999999999999798e+00  3.6965386942458338e+01  4.0734261676834402e-02  6.5904059750250870e+00  3.0204611421986377e-01  3.2566229664200506e+01  3.2000118264292965e+01  3.2000118080886182e+01  4.7999999999999998e+00  3.6689326214429229e+01  6.5976648935233007e+00  2.9904945405108196e-01  5.0514319247710198e+00  5.5855113910878351e-01  5.4247077789068330e+00  4.5403317508658508e-01  4.2874928994322431e-01  9.8194559360685141e-01
3.1999999999999802e+00  3.6976054798720924e+01  4.0731188113210304e-02  6.5906516199652021e+00  3.0202153913182489e-01  3.2566553816555597e+01  3.2000136325453049e+01  3.2000136022393313e+01  4.7999999999999998e+00  3.6697189337421136e+01  6.5980081081457884e+00  2.9917775464592600e-01  5.0528114283913705e+00  5.5865566886609319e-01  5.4242412014578596e+00  4.5380281186515958e-01  4.2871025062842988e-01  9.8162170657527392e-01
3.5999999999999699e+00  3.6987402747729234e+01  4.0723831011912667e-02  6.5909928938570372e+00  3.0198069327319138e-01  3.2566503303459221e+01  3.2000156536345351e+01  3.2000156115203211e+01  4.7999999999999998e+00  3.6705595562118717e+01  6.5984311961164970e+00  2.9961547053147358e-01  5.0548810824668102e+00  5.5864418831958740e-01  5.4234793816231637e+00  4.5363868306411864e-01  4.2872915416456236e-01  9.8148099748615580e-01
3.9999999999999600e+00  3.7000030261668790e+01  4.0716824382410380e-02  6.5914469186429505e+00  3.0191124724180823e-01  3.2565970970720912e+01  3.2000177400098544e+01  3.2000176875922016e+01  4.7999999999999998e+00  3.6715239607842548e+01  6.5989416432796180e+00  3.0000138917198665e-01  5.0575162073731255e+00  5.5855001532216730e-01  5.4225066590894517e+00  4.5349069756543597e-01  4.2881206549257761e-01  9.8147469297504764e-01
4.3999999999999497e+00  3.7014450776986223e+01  4.0711496835078700e-02  6.5920136383087726e+00  3.0180700872842586e-01  3.2565136116193749e+01  3.2000199705452644e+01  3.2000199096159143e+01  4.7999999999999998e+00  3.6726700210633084e+01  6.5995349642479821e+00  3.0005654136862081e-01  5.0604935549449239e+00  5.5845043661382943e-01  5.4214548082970291e+00  4.5330509355322623e-01  4.2892080635610125e-01  9.8151201850314074e-01
4.7999999999999403e+00  3.7030532731773363e+01  4.0707323166998981e-02  6.5926978965935286e+00  3.0166817567032667e-01  3.2564531793917197e+01  3.2000227566513225e+01  3.2000226882785270e+01  4.7999999999999998e+00  3.6739861582089219e+01  6.6002195101591381e+00  3.0033627650542916e-01  5.0635921391088266e+00  5.5842038052865817e-01  5.4205120746569424e+00  4.5304700826242034e-01  4.2896634938253436e-01  9.8155545160431901e-01
5.1999999999999300e+00  3.7047676880081141e+01  4.0703526809581642e-02  6.5935218649816871e+00  3.0149935072565520e-01  3.2564790279361780e+01  3.2000267214706788e+01  3.2000266451243355e+01  4.7999999999999998e+00  3.6754121785655670e+01  6.6010256958790539e+00  3.0032851903564678e-01  5.0665803595006800e+00  5.5850687497391938e-01  5.4199595581408966e+00  4.5269876479619686e-01  4.2884804583145275e-01  9.8163234955815726e-01
5.5999999999999304e+00  3.7065496021044190e+01  4.0700167871531842e-02  6.5945237577849438e+00  3.0130770641257765e-01  3.2566261570070957e+01  3.2000324227867083e+01  3.2000323357860310e+01  4.7999999999999998e+00  3.6769121530845432e+01  6.6019988095377640e+00  2.9989972077107757e-01  5.0691756562366734e+00  5.5872651978481624e-01  5.4201675398511791e+00  4.5224741656101874e-01  4.2851055016545919e-01  9.8169398488671578e-01
5.9999999999999201e+00  3.7084437688924183e+01  4.0698606368457423e-02  6.5957503615860453e+00  3.0140511715395218e-01  3.2568787863855761e+01  3.2000401018623911e+01  3.2000399995750413e+01  4.7999999999999998e+00  3.6785389413634945e+01  6.6031879062191203e+00  2.9945602331491272e-01  5.0710958068464427e+00  5.5906987457212587e-01  5.4215087718487229e+00  4.5168126031148703e-01  4.2797773607706696e-01  9.8173509960450567e-01
6.3999999999999098e+00  3.7105795544169801e+01  4.0700507384498180e-02  6.5972609104319426e+00  3.0119742625108992e-01  3.2571786952737376e+01  3.2000496133869333e+01  3.2000494901748432e+01  4.7999999999999998e+00  3.6804344232184725e+01  6.6046505182687634e+00  2.9866153521432015e-01  5.0722407031042218e+00  5.5949824552210259e-01  5.4242247255612073e+00  4.5100117511368681e-01  4.2734111651678103e-01  9.8181473688626286e-01
