# time  total_canon  bary_x_canon  bary_y_canon  bary_z_canon  rms_radius_canon  total_phantom  bary_x_phantom  bary_y_phantom  bary_z_phantom  rms_radius_phantom
0.0000000000000000e+00  1.5886583881406789e+01  2.7997613862577680e+01  3.1999841832335587e+01  3.1999841831219786e+01  5.0454192897809227e+00  2.1025004698878249e+01  3.5998469579470239e+01  3.2000202175323565e+01  3.2000202241927859e+01  5.4267484448347165e+00
4.0000000000000002e-01  1.5885415059595903e+01  2.7997470906494932e+01  3.1999830767007499e+01  3.1999830768797093e+01  5.0458247488392356e+00  2.1033774261343282e+01  3.5998366971980339e+01  3.2000216250762222e+01  3.2000216310884227e+01  5.4265004315142944e+00
8.0000000000000004e-01  1.5876894925678847e+01  2.7997085909244571e+01  3.1999801171018674e+01  3.1999801181054739e+01  5.0469065898226066e+00  2.1049459651824222e+01  3.5998092294884842e+01  3.2000253166868134e+01  3.2000253216548693e+01  5.4259231960037635e+00
1.2000000000000000e+00  1.5865237277307113e+01  2.7996571995920743e+01  3.1999757031103105e+01  3.1999757053373216e+01  5.0482338373953581e+00  2.1067414324176532e+01  3.5997744189145493e+01  3.2000305224323284e+01  3.2000305259029382e+01  5.4253450610617815e+00
1.6000000000000001e+00  1.5855183674468709e+01  2.7996054857319756e+01  3.1999701828533066e+01  3.1999701865265724e+01  5.0493486245214863e+00  2.1083779217480267e+01  3.5997425256475125e+01  3.2000366074768586e+01  3.2000366079035231e+01  5.4250022786834471e+00
2.0000000000000000e+00  1.5849394301414847e+01  2.7995620998887937e+01  3.1999636835694726e+01  3.1999636887435003e+01  5.0500800191607720e+00  2.1097014909869756e+01  3.5997197582553255e+01  3.2000433754293745e+01  3.2000433689930020e+01  5.4249079839298897e+00
2.3999999999999901e+00  1.5847756547011866e+01  2.7995307502808874e+01  3.1999561568143914e+01  3.1999561634314428e+01  5.0506367106780941e+00  2.1107589448477661e+01  3.5997075523557825e+01  3.2000510689345326e+01  3.2000510496078704e+01  5.4248847141322107e+00
2.7999999999999798e+00  1.5848883404055545e+01  2.7995127597888352e+01  3.1999476898041550e+01  3.1999476977785797e+01  5.0514319247710198e+00  2.1116503538402796e+01  3.5997046870527562e+01  3.2000599638442772e+01  3.2000599257529345e+01  5.4247077789068330e+00
3.1999999999999802e+00  1.5852013720010202e+01  2.7995087275993502e+01  3.1999387034097378e+01  3.1999387127336185e+01  5.0528114283913697e+00  2.1124041078710711e+01  3.5997097719189455e+01  3.2000698612602868e+01  3.2000698012150686e+01  5.4242412014578596e+00
3.5999999999999699e+00  1.5857577894777958e+01  2.7995165948008903e+01  3.1999297483580641e+01  3.1999297591695861e+01  5.0548810824668111e+00  2.1129824852951270e+01  3.5997215043941864e+01  3.2000801240985687e+01  3.2000800422644829e+01  5.4234793816231628e+00
3.9999999999999600e+00  1.5866059399794072e+01  2.7995275490337018e+01  3.1999209781356470e+01  3.1999209906531149e+01  5.0575162073731255e+00  2.1133970861874715e+01  3.5997362376723267e+01  3.2000903827542700e+01  3.2000902815874035e+01  5.4225066590894517e+00
4.3999999999999497e+00  1.5876268074093151e+01  2.7995239554530681e+01  3.1999117382244247e+01  3.1999117527176050e+01  5.0604935549449239e+00  2.1138182702893076e+01  3.5997451178638045e+01  3.2001012606620208e+01  3.2001011430850241e+01  5.4214548082970291e+00
4.7999999999999403e+00  1.5884852441639270e+01  2.7994830876010866e+01  3.1999007490301153e+01  3.1999007658703508e+01  5.0635921391088257e+00  2.1145680290134095e+01  3.5997338106478026e+01  3.2001144100307847e+01  3.2001142776450855e+01  5.4205120746569424e+00
5.1999999999999300e+00  1.5887823832617888e+01  2.7993860282430965e+01  3.1998868764059228e+01  3.1998868956600976e+01  5.0665803595006800e+00  2.1159853047463251e+01  3.5996861871710202e+01  3.2001317237950211e+01  3.2001315756672611e+01  5.4199595581408957e+00
5.5999999999999304e+00  1.5882956092133284e+01  2.7992268428641111e+01  3.1998699731218753e+01  3.1998699937697417e+01  5.0691756562366743e+00  2.1182539928910909e+01  3.5995903741163701e+01  3.2001542297514234e+01  3.2001540620344073e+01  5.4201675398511791e+00
5.9999999999999201e+00  1.5871313685796828e+01  2.7990170699782617e+01  3.1998512211824607e+01  3.1998512408576858e+01  5.0710958068464427e+00  2.1213124003127355e+01  3.5994434611947405e+01  3.2001814193090752e+01  3.2001812257713162e+01  5.4215087718487229e+00
6.3999999999999098e+00  1.5856832097088919e+01  2.7987832032839208e+01  3.1998327518706379e+01  3.1998327674665283e+01  5.0722407031042218e+00  2.1248963447080882e+01  3.5992518683321414e+01  3.2002114441821519e+01  3.2002112173859580e+01  5.4242247255612073e+00
6.7999999999999003e+00  1.5844347300631519e+01  2.7985579701494700e+01  3.1998168061902575e+01  3.1998168148094926e+01  5.0728948081183480e+00  2.1286671878719041e+01  3.5990272259741381e+01  3.2002420270803199e+01  3.2002417594848922e+01  5.4283444413928592e+00
