# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  2.4982442815534847e-01  2.5000000000000000e-01
4.0000000000000002e-01  2.4983010864137870e-01  2.5000000000000000e-01
8.0000000000000004e-01  2.4984589559178982e-01  2.5000000000000000e-01
1.2000000000000000e+00  2.4986245182382333e-01  2.5000000000000000e-01
1.6000000000000001e+00  2.4987155839670624e-01  2.5000000000000000e-01
2.0000000000000000e+00  2.4987214424241944e-01  2.5000000000000000e-01
2.3999999999999901e+00  2.4986769325776509e-01  2.5000000000000000e-01
2.7999999999999798e+00  2.4986303884831967e-01  2.5000000000000000e-01
3.1999999999999802e+00  2.4985967465626391e-01  2.5000000000000000e-01
3.5999999999999699e+00  2.4985498929918629e-01  2.5000000000000000e-01
3.9999999999999600e+00  2.4984656716086875e-01  2.5000000000000000e-01
4.3999999999999497e+00  2.4983359526758861e-01  2.5000000000000000e-01
4.7999999999999403e+00  2.4981751800322843e-01  2.5000000000000000e-01
5.1999999999999300e+00  2.4980073342369180e-01  2.5000000000000000e-01
5.5999999999999304e+00  2.4978270270330502e-01  2.5000000000000000e-01
5.9999999999999201e+00  2.4976289037993696e-01  2.5000000000000000e-01
6.3999999999999098e+00  2.4974598725514241e-01  2.5000000000000000e-01
6.7999999999999003e+00  2.4973787933796157e-01  2.5000000000000000e-01
7.1999999999998900e+00  2.4973834856039898e-01  2.5000000000000000e-01
7.5999999999998797e+00  2.4974227395206994e-01  2.5000000000000000e-01
7.9999999999998703e+00  2.4974649999784584e-01  2.5000000000000000e-01
8.3999999999998707e+00  2.4975154939528116e-01  2.5000000000000000e-01
8.7999999999998604e+00  2.4975804890433309e-01  2.5000000000000000e-01
9.1999999999998501e+00  2.4976505295817955e-01  2.5000000000000000e-01
9.5999999999998398e+00  2.4977123560592437e-01  2.5000000000000000e-01
9.9999999999998295e+00  2.4977604135459505e-01  2.5000000000000000e-01
1.0399999999999800e+01  2.4977983457692154e-01  2.5000000000000000e-01
1.0799999999999800e+01  2.4978325069657240e-01  2.5000000000000000e-01
1.1199999999999800e+01  2.4978650250930304e-01  2.5000000000000000e-01
1.1599999999999801e+01  2.4978942411564301e-01  2.5000000000000000e-01
1.1999999999999799e+01  2.4979196071982904e-01  2.5000000000000000e-01
1.2399999999999800e+01  2.4979439537737710e-01  2.5000000000000000e-01
1.2799999999999800e+01  2.4979718395366970e-01  2.5000000000000000e-01
1.3199999999999800e+01  2.4980066508883567e-01  2.5000000000000000e-01
1.3599999999999801e+01  2.4980489450657808e-01  2.5000000000000000e-01
1.3999999999999700e+01  2.4980969883508958e-01  2.5000000000000000e-01
1.4399999999999700e+01  2.4981483640249680e-01  2.5000000000000000e-01
1.4799999999999701e+01  2.4982007640662221e-01  2.5000000000000000e-01
1.5199999999999701e+01  2.4982516254652279e-01  2.5000000000000000e-01
1.5599999999999699e+01  2.4982978596455882e-01  2.5000000000000000e-01
1.5999999999999700e+01  2.4983365163279495e-01  2.5000000000000000e-01
1.6399999999999800e+01  2.4983658137044124e-01  2.5000000000000000e-01
1.6799999999999802e+01  2.4983855526040760e-01  2.5000000000000000e-01
1.7199999999999900e+01  2.4983967195334206e-01  2.5000000000000000e-01
1.7600000000000001e+01  2.4984007813881134e-01  2.5000000000000000e-01
1.8000000000000000e+01  2.4983990980110685e-01  2.5000000000000000e-01
1.8400000000000102e+01  2.4983925359038767e-01  2.5000000000000000e-01
1.8800000000000100e+01  2.4983812669421965e-01  2.5000000000000000e-01
1.9200000000000198e+01  2.4983647698644723e-01  2.5000000000000000e-01
1.9600000000000300e+01  2.4983420367429890e-01  2.5000000000000000e-01
2.0000000000000298e+01  2.4983119219088834e-01  2.5000000000000000e-01
2.0400000000000400e+01  2.4982734679362917e-01  2.5000000000000000e-01
2.0800000000000502e+01  2.4982260511263490e-01  2.5000000000000000e-01
2.1200000000000500e+01  2.4981694235982602e-01  2.5000000000000000e-01
2.1600000000000598e+01  2.4981038369028233e-01  2.5000000000000000e-01
2.2000000000000600e+01  2.4980301149670733e-01  2.5000000000000000e-01
2.2400000000000698e+01  2.4979492926110189e-01  2.5000000000000000e-01
2.2800000000000800e+01  2.4978618094397456e-01  2.5000000000000000e-01
2.3200000000000799e+01  2.4977668442007087e-01  2.5000000000000000e-01
2.3600000000000900e+01  2.4976623765839406e-01  2.5000000000000000e-01
2.4000000000000998e+01  2.4975459402390243e-01  2.5000000000000000e-01
2.4400000000001000e+01  2.4974155164174347e-01  2.5000000000000000e-01
2.4800000000001098e+01  2.4972701108851628e-01  2.5000000000000000e-01
2.5200000000001101e+01  2.4971099784899611e-01  2.5000000000000000e-01
2.5600000000001199e+01  2.4969366360624634e-01  2.5000000000000000e-01
