# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  5.9930658767148674e-08  3.3212175937252411e-08  4.9666739283487338e-01  2.9866695713394935e+00  7.7546606389542339e-01
4.0000000000000002e-01  5.4358895669247925e-08  3.1111278260774745e-08  6.6302534321606454e-01  3.6521013728642582e+00  7.6747278206115677e-01
8.0000000000000004e-01  5.2428979880581602e-08  3.0143380205831973e-08  6.5631625759945755e-01  3.6252650303978302e+00  7.6792053149769346e-01
1.2000000000000000e+00  5.1646528470924882e-08  3.0033220369664659e-08  6.5875932271650628e-01  3.6350372908660251e+00  7.7422220309859979e-01
1.6000000000000001e+00  4.9288896861357881e-08  2.8699463066950056e-08  6.6291021168522557e-01  3.6516408467409023e+00  7.6855767071519621e-01
2.0000000000000000e+00  5.0259618186472522e-08  2.9246609600580338e-08  6.5663173196094293e-01  3.6265269278437717e+00  7.6603222647010860e-01
2.3999999999999901e+00  4.7302242419228138e-08  2.7682549717722587e-08  6.4941421537501520e-01  3.5976568615000608e+00  7.5650737572930205e-01
2.7999999999999798e+00  4.3389822777849264e-08  2.5266504625322468e-08  6.5250837120266225e-01  3.6100334848106490e+00  7.6838159840191689e-01
3.1999999999999802e+00  4.2075091014902622e-08  2.4379379342480145e-08  6.6451964517267859e-01  3.6580785806907143e+00  7.7516511730194182e-01
3.5999999999999699e+00  4.0237995249370293e-08  2.3271103296286302e-08  6.5101707229867567e-01  3.6040682891947027e+00  7.3912371347346062e-01
3.9999999999999600e+00  3.7406802800242081e-08  2.1257554859255098e-08  6.3969920392457591e-01  3.5587968156983036e+00  7.2570165095452854e-01
4.3999999999999497e+00  3.4880252741018515e-08  1.9482176251628162e-08  6.3658117543998427e-01  3.5463247017599371e+00  7.4575728569953670e-01
4.7999999999999403e+00  3.2700679617502632e-08  1.8207742306628918e-08  6.3445075641582993e-01  3.5378030256633197e+00  7.4818820438777001e-01
5.1999999999999300e+00  3.0819171291170095e-08  1.7143144949767985e-08  6.3613644857478757e-01  3.5445457942991503e+00  7.2545708813063248e-01
5.5999999999999304e+00  2.9259076316464031e-08  1.6202051652353871e-08  6.3808385172141746e-01  3.5523354068856698e+00  7.0725769117432935e-01
5.9999999999999201e+00  2.7816129101203404e-08  1.5264162120451475e-08  6.3294745617582793e-01  3.5317898247033117e+00  6.9876270242672534e-01
6.3999999999999098e+00  2.6223314014843753e-08  1.4180900048838137e-08  6.2898488977959799e-01  3.5159395591183920e+00  6.9373494864251262e-01
6.7999999999999003e+00  2.4646767090485384e-08  1.3152712022636537e-08  6.2656607351070992e-01  3.5062642940428397e+00  7.4128829781461891e-01
7.1999999999998900e+00  2.3682443033397419e-08  1.2495279544052251e-08  6.0106476481463211e-01  3.4042590592585285e+00  8.1258794301326565e-01
7.5999999999998797e+00  2.3135986256891532e-08  1.2022657296766236e-08  5.7299921097083117e-01  3.2919968438833247e+00  8.0109318006157992e-01
7.9999999999998703e+00  2.2468061727353097e-08  1.1506563370657725e-08  5.9310692577622093e-01  3.3724277031048837e+00  7.7145281777543584e-01
8.3999999999998707e+00  2.1829134428937054e-08  1.0993144545994553e-08  6.0259992898141945e-01  3.4103997159256778e+00  7.5004053358240430e-01
8.7999999999998604e+00  2.1418748804865312e-08  1.0467948908946572e-08  6.0273725954141866e-01  3.4109490381656746e+00  7.2971663714133939e-01
9.1999999999998501e+00  2.1458571367201835e-08  1.0089890422953449e-08  5.9181801718446281e-01  3.3672720687378512e+00  7.7435957204458672e-01
9.5999999999998398e+00  2.2239122967026845e-08  1.0077680239798778e-08  4.8932653193186332e-01  2.9573061277274535e+00  8.4220405940590803e-01
9.9999999999998295e+00  2.3471708803047843e-08  1.0270177399863345e-08  4.7101960852947783e-01  2.8840784341179111e+00  8.2527388769712107e-01
1.0399999999999800e+01  2.4855347806348226e-08  1.0496317655049246e-08  4.7142556505480954e-01  2.8857022602192384e+00  8.5637408854207220e-01
1.0799999999999800e+01  2.6962741883633739e-08  1.1037420684353068e-08  5.1111773165944518e-01  3.0444709266377807e+00  8.3577829969218354e-01
1.1199999999999800e+01  3.0642788859554613e-08  1.2330134955282618e-08  5.4179370755383738e-01  3.1671748302153495e+00  6.9417747092431037e-01
1.1599999999999801e+01  3.6214244417245433e-08  1.4611700354534007e-08  5.5004394717462657e-01  3.2001757886985063e+00  5.5273786443621420e-01
1.1999999999999799e+01  4.3552325571835694e-08  1.7830465629602631e-08  5.5720180391660146e-01  3.2288072156664058e+00  4.7049271707611495e-01
1.2399999999999800e+01  5.3447028467473028e-08  2.2390179181547617e-08  5.6547119088579245e-01  3.2618847635431698e+00  4.3319732025300284e-01
1.2799999999999800e+01  6.6562414252001318e-08  2.8707073022821999e-08  5.7291701571221298e-01  3.2916680628488519e+00  4.0532527268847973e-01
1.3199999999999800e+01  8.1223040685596539e-08  3.5827477967700060e-08  5.7755169294244268e-01  3.3102067717697707e+00  3.7953888802396546e-01
1.3599999999999801e+01  9.6311686543565535e-08  4.3018935384366649e-08  5.7986664215428885e-01  3.3194665686171554e+00  3.6684387584019251e-01
1.3999999999999700e+01  1.1386510240440423e-07  5.1484692980082635e-08  5.8249995899865747e-01  3.3299998359946299e+00  3.5742378692191418e-01
1.4399999999999700e+01  1.3518604488490988e-07  6.2034364270427215e-08  5.8606227640879727e-01  3.3442491056351891e+00  3.3932388374798467e-01
1.4799999999999701e+01  1.5908547824987079e-07  7.3858795421921746e-08  5.8900987268704885e-01  3.3560394907481954e+00  3.2399689405726095e-01
1.5199999999999701e+01  1.8519316623395151e-07  8.6632436774076819e-08  5.9087868439488578e-01  3.3635147375795431e+00  3.1980172693647546e-01
1.5599999999999699e+01  2.1470484659801340e-07  1.0110132184316386e-07  5.9252489960315080e-01  3.3700995984126032e+00  3.2176403898458100e-01
1.5999999999999700e+01  2.4885949957880721e-07  1.1803446376213700e-07  5.9442488721791320e-01  3.3776995488716528e+00  3.2623272281831628e-01
1.6399999999999800e+01  2.8956599849810662e-07  1.3860201027626773e-07  5.9668266120940283e-01  3.3867306448376113e+00  3.2880405556955494e-01
1.6799999999999802e+01  3.3897091222721415e-07  1.6418052902329361e-07  5.9953952622988249e-01  3.3981581049195300e+00  3.2433007938179520e-01
1.7199999999999900e+01  3.9711424993729833e-07  1.9477827452437881e-07  6.0275677237990288e-01  3.4110270895196115e+00  3.1780678520067634e-01
1.7600000000000001e+01  4.6266286196016991e-07  2.2945092782558399e-07  6.0564596529929382e-01  3.4225838611971753e+00  3.1597121652985616e-01
1.8000000000000000e+01  5.3602619491149276e-07  2.6843423293544887e-07  6.0823640094542386e-01  3.4329456037816954e+00  3.1624792833301885e-01
1.8400000000000102e+01  6.1928900438336835e-07  3.1307790218275213e-07  6.1088991528889669e-01  3.4435596611555868e+00  3.1552712508876130e-01
1.8800000000000100e+01  7.1410809638828161e-07  3.6437882122674902e-07  6.1347648907886465e-01  3.4539059563154586e+00  3.1594408071100838e-01
1.9200000000000198e+01  8.2176994213500311e-07  4.2313919941699953e-07  6.1586293793619573e-01  3.4634517517447829e+00  3.1679095662122103e-01
1.9600000000000300e+01  9.4368922941559424e-07  4.9034563464856014e-07  6.1824357055181933e-01  3.4729742822072773e+00  3.1434833397487788e-01
2.0000000000000298e+01  1.0806662344689880e-06  5.6649280474557126e-07  6.2066013984144908e-01  3.4826405593657963e+00  3.0977404687841947e-01
2.0400000000000400e+01  1.2334092177767476e-06  6.5188430144487480e-07  6.2292635474438440e-01  3.4917054189775376e+00  3.0715538185301061e-01
2.0800000000000502e+01  1.4038203278616260e-06  7.4766024685144912e-07  6.2504604137600095e-01  3.5001841655040038e+00  3.0756796842561346e-01
2.1200000000000500e+01  1.5942287340466376e-06  8.5531917904559589e-07  6.2714567956800382e-01  3.5085827182720153e+00  3.1025785983364934e-01
2.1600000000000598e+01  1.8060929323669931e-06  9.7575083195849198e-07  6.2921561808923054e-01  3.5168624723569222e+00  3.1528588349606357e-01
2.2000000000000600e+01  2.0406615488069607e-06  1.1096927814077069e-06  6.3117632980347416e-01  3.5247053192138966e+00  3.2244761988518639e-01
2.2400000000000698e+01  2.2999192049400799e-06  1.2584256085115459e-06  6.3301839644488267e-01  3.5320735857795307e+00  3.3047346725069193e-01
2.2800000000000800e+01  2.5860835476975734e-06  1.4234012959629976e-06  6.3476720693026212e-01  3.5390688277210485e+00  3.3847564902721278e-01
2.3200000000000799e+01  2.9010021410221273e-06  1.6057882261011703e-06  6.3641753794667733e-01  3.5456701517867093e+00  3.4672106533674707e-01
2.3600000000000900e+01  3.2467288484484758e-06  1.8068858261267664e-06  6.3795864300034055e-01  3.5518345720013622e+00  3.5550760610095511e-01
2.4000000000000998e+01  3.6264915477889331e-06  2.0288294878896428e-06  6.3942079324956325e-01  3.5576831729982530e+00  3.6404336898278844e-01
2.4400000000001000e+01  4.0447394892837730e-06  2.2746160010690930e-06  6.4086554003289153e-01  3.5634621601315661e+00  3.7088701187336814e-01
2.4800000000001098e+01  4.5061584902880989e-06  2.5473703284880302e-06  6.4233147412351532e-01  3.5693258964940613e+00  3.7536529045171035e-01
2.5200000000001101e+01  5.0147195392392397e-06  2.8496483493413155e-06  6.4380355009686030e-01  3.5752142003874412e+00  3.7826616621298614e-01
2.5600000000001199e+01  5.5737460172590863e-06  3.1835074169264155e-06  6.4524156222326245e-01  3.5809662488930498e+00  3.8106661259069308e-01
2.6000000000001300e+01  6.1868146529601051e-06  3.5512012911165120e-06  6.4662671814558181e-01  3.5865068725823273e+00  3.8468859906117975e-01
2.6400000000001299e+01  6.8583608640054123e-06  3.9556441742616072e-06  6.4797093369446923e-01  3.5918837347778769e+00  3.8907530082864888e-01
2.6800000000001400e+01  7.5933567741114324e-06  4.4001613819516113e-06  6.4928842205014414e-01  3.5971536882005766e+00  3.9370814535121279e-01
2.7200000000001499e+01  8.3966780900546509e-06  4.8879930393813921e-06  6.5057278075874270e-01  3.6022911230349708e+00  3.9825851462950274e-01
2.7600000000001501e+01  9.2730588830352673e-06  5.4222392115989255e-06  6.5180680981450556e-01  3.6072272392580222e+00  4.0275002360858414e-01
2.8000000000001599e+01  1.0227698565026304e-05  6.0063026508446516e-06  6.5298592172287639e-01  3.6119436868915056e+00  4.0730666871108673e-01
2.8400000000001601e+01  1.1266841481086292e-05  6.6443184140691418e-06  6.5412360133673786e-01  3.6164944053469514e+00  4.1190603675368942e-01
2.8800000000001699e+01  1.2397745418463281e-05  7.3411325728017098e-06  6.5523660040179066e-01  3.6209464016071626e+00  4.1637813289946174e-01
2.9200000000001801e+01  1.3628112027316818e-05  8.1018848687914981e-06  6.5633021991802964e-01  3.6253208796721186e+00  4.2057597370055005e-01
2.9600000000001799e+01  1.4965545402560442e-05  8.9316117065092151e-06  6.5739706353778060e-01  3.6295882541511224e+00  4.2451570914570297e-01
3.0000000000001901e+01  1.6417504026705689e-05  9.8352110677943559e-06  6.5842559315048566e-01  3.6337023726019426e+00  4.2836997156727308e-01
3.0400000000001999e+01  1.7991694323417640e-05  1.0817737160704667e-05  6.5940845686483462e-01  3.6376338274593385e+00  4.3235257542831090e-01
3.0800000000002001e+01  1.9696457858961363e-05  1.1884698694966731e-05  6.6034486323097485e-01  3.6413794529238994e+00  4.3660654851358383e-01
3.1200000000002099e+01  2.1540786342628273e-05  1.3042082794837695e-05  6.6123754373875365e-01  3.6449501749550146e+00  4.4116575792936408e-01
3.1600000000002101e+01  2.3533994356785530e-05  1.4296117571072969e-05  6.6208860152213400e-01  3.6483544060885360e+00  4.4598057308036115e-01
3.2000000000002203e+01  2.5685365130999030e-05  1.5653009830907817e-05  6.6289826881987568e-01  3.6515930752795027e+00  4.5096085792356139e-01
3.2400000000002102e+01  2.8004067863430087e-05  1.7118883112920107e-05  6.6366669294397895e-01  3.6546667717759158e+00  4.5600383319890303e-01
3.2800000000002001e+01  3.0499433197954783e-05  1.8699969333560300e-05  6.6439559466048537e-01  3.6575823786419415e+00  4.6100405751343421e-01
3.3200000000001999e+01  3.3181443383183981e-05  2.0402934751836111e-05  6.6508781813324236e-01  3.6603512725329694e+00  4.6586012967786827e-01
3.3600000000001899e+01  3.6061168176995780e-05  2.2235153978828382e-05  6.6574613445097097e-01  3.6629845378038839e+00  4.7049169379365258e-01
3.4000000000001798e+01  3.9150917954966552e-05  2.4204799367278798e-05  6.6637303785156143e-01  3.6654921514062457e+00  4.7486594033146912e-01
3.4400000000001697e+01  4.2464082628196838e-05  2.6320741696418738e-05  6.6697069312284496e-01  3.6678827724913798e+00  4.7901587227254755e-01
3.4800000000001603e+01  4.6014846462414006e-05  2.8592379240106346e-05  6.6753965121375436e-01  3.6701586048550174e+00  4.8302948498648807e-01
3.5200000000001602e+01  4.9817974428505903e-05  3.1029508556579895e-05  6.6807777568083204e-01  3.6723111027233282e+00  4.8700801261966820e-01
3.5600000000001501e+01  5.3888588350740695e-05  3.3642186082271907e-05  6.6858194408546456e-01  3.6743277763418583e+00  4.9101716066206252e-01
3.6000000000001400e+01  5.8241654543068936e-05  3.6440404017528298e-05  6.6905155171854358e-01  3.6762062068741743e+00  4.9506192497871088e-01
3.6400000000001299e+01  6.2891191745252588e-05  3.9433571385726914e-05  6.6948957684858923e-01  3.6779583073943569e+00  4.9909692774955294e-01
3.6800000000001198e+01  6.7849729386065184e-05  4.2630126860064456e-05  6.6989948742385685e-01  3.6795979496954274e+00  5.0305889044212659e-01
3.7200000000001197e+01  7.3128605984870555e-05  4.6037682067063290e-05  6.7028173109946843e-01  3.6811269243978737e+00  5.0689728212870067e-01
3.7600000000001103e+01  7.8739131729086792e-05  4.9663753495479561e-05  6.7063418712167755e-01  3.6825367484867102e+00  5.1058784549513980e-01
3.8000000000001002e+01  8.4694048440049659e-05  5.3516734978038033e-05  6.7095560753714711e-01  3.6838224301485885e+00  5.1412977755832712e-01
3.8400000000000901e+01  9.1008612842721008e-05  5.7606649392554173e-05  6.7124733758882593e-01  3.6849893503553037e+00  5.1753691488329634e-01
3.8800000000000800e+01  9.7700900746230726e-05  6.1945383130478478e-05  6.7151154717786454e-01  3.6860461887114582e+00  5.2083205228606422e-01
3.9200000000000799e+01  1.0479126015813246e-04  6.6546338972499683e-05  6.7174889887030331e-01  3.6869955954812133e+00  5.2404609431798188e-01
3.9600000000000698e+01  1.1230111144118738e-04  7.1423624058809034e-05  6.7195824121162773e-01  3.6878329648465109e+00  5.2721704519401480e-01
4.0000000000000597e+01  1.2025147716705444e-04  7.6591009110291134e-05  6.7213731505943508e-01  3.6885492602377403e+00  5.3038328845882499e-01
4.0400000000000503e+01  1.2866164253885564e-04  8.2060940836445600e-05  6.7228287969798584e-01  3.6891315187919433e+00  5.3357186304092397e-01
4.0800000000000502e+01  1.3754820052941006e-04  8.7843843740407259e-05  6.7239119733196728e-01  3.6895647893278691e+00  5.3678915340525335e-01
4.1200000000000401e+01  1.4692462458118879e-04  9.3947861736257086e-05  6.7246005106099993e-01  3.6898402042439997e+00  5.4002070381246181e-01
4.1600000000000300e+01  1.5680157781510591e-04  1.0037914300063650e-04  6.7249043363257899e-01  3.6899617345303160e+00  5.4323917767250829e-01
4.2000000000000199e+01  1.6718821676525532e-04  1.0714274569709413e-04  6.7248514512358026e-01  3.6899405804943211e+00  5.4641363465841630e-01
4.2400000000000098e+01  1.7809432613925417e-04  1.1424402439733546e-04  6.7244531268247254e-01  3.6897812507298902e+00  5.4951509174800328e-01
4.2800000000000097e+01  1.8953233091857039e-04  1.2168993599017315e-04  6.7236902053161374e-01  3.6894760821264549e+00  5.5251907990090299e-01
4.3200000000000003e+01  2.0151801802297911e-04  1.2948955159433075e-04  6.7225371256341671e-01  3.6890148502536668e+00  5.5540883283996090e-01
4.3599999999999902e+01  2.1406968647856721e-04  1.3765353633943993e-04  6.7209910435792064e-01  3.6883964174316826e+00  5.5818064031430825e-01
4.3999999999999801e+01  2.2720669934688377e-04  1.4619312573286395e-04  6.7190678777260393e-01  3.6876271510904157e+00  5.6084842501703847e-01
4.4399999999999700e+01  2.4094852590665687e-04  1.5511929999987306e-04  6.7167701177423011e-01  3.6867080470969205e+00  5.6344230180980215e-01
