# time  chi_mean_R8  chi_min_R8  chi_max_R8  lapse_mean_R8  lapse_min_R8  lapse_max_R8  K_mean_R8  K_min_R8  K_max_R8  chi_mean_R16  chi_min_R16  chi_max_R16  lapse_mean_R16  lapse_min_R16  lapse_max_R16  K_mean_R16  K_min_R16  K_max_R16
0.0000000000000000e+00  1.0029506758104676e+00  9.8589139457229313e-01  1.0214593098640155e+00  1.0016474680327887e+00  9.9066620817910678e-01  1.0149478737723430e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0014234008560707e+00  9.9697734888149059e-01  1.0063468908156308e+00  1.0008285054836294e+00  9.9847837778479298e-01  1.0033859002939041e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
4.0000000000000002e-01  1.0029549491727443e+00  9.8587581588068451e-01  1.0214963727509634e+00  1.0016393422250980e+00  9.9071704405852901e-01  1.0148341350760830e+00  2.2065024857390533e-05  -6.0962060810443460e-04  7.6099857677143056e-04  1.0014228868974520e+00  9.9700403402689386e-01  1.0063242983664076e+00  1.0008283450980811e+00  9.9849077111378370e-01  1.0033727413128573e+00  2.0381235421118097e-07  -1.3942843761727863e-04  1.1283440039817864e-04
8.0000000000000004e-01  1.0029653633258704e+00  9.8580698114652232e-01  1.0216362215013828e+00  1.0016076965939185e+00  9.9092354369422209e-01  1.0144436577832836e+00  4.4505213797035965e-05  -7.7392068804604070e-04  1.1340766351937907e-03  1.0014230395851995e+00  9.9699689736175212e-01  1.0063178034286726e+00  1.0008283220776772e+00  9.9848846242738321e-01  1.0033707711004067e+00  5.8921041114529185e-07  -1.3480112378824808e-04  8.1189236825865679e-05
1.2000000000000000e+00  1.0029802086134589e+00  9.8563217890409527e-01  1.0219220858997087e+00  1.0015559075992082e+00  9.9139619003314106e-01  1.0136631141279948e+00  6.0833672838478975e-05  -9.4938333850108799e-04  1.4939227084263776e-03  1.0014231664265951e+00  9.9699235210325499e-01  1.0063189920550728e+00  1.0008282604676859e+00  9.9848960029553158e-01  1.0033665213306273e+00  4.4943980022745391e-07  -7.3057120555524333e-05  6.0696973343022463e-05
1.6000000000000001e+00  1.0029985284626028e+00  9.8535453188854416e-01  1.0223249487518029e+00  1.0014903970490292e+00  9.9216858245059536e-01  1.0124953736763782e+00  7.6910570279924419e-05  -1.1834013434749845e-03  1.7266767410882061e-03  1.0014232892797987e+00  9.9699064039249374e-01  1.0063193662122600e+00  1.0008281745100225e+00  9.9848861006021039e-01  1.0033610953298493e+00  5.1237871780066620e-07  -4.0603026787717651e-05  4.8634892109208889e-05
2.0000000000000000e+00  1.0030218477591766e+00  9.8502919183292514e-01  1.0227451334365727e+00  1.0014107980216682e+00  9.9314470292397505e-01  1.0111194497639315e+00  9.6166977601208915e-05  -1.3661680178494006e-03  1.8164858247812848e-03  1.0014234868993097e+00  9.9698803555287585e-01  1.0063078169529553e+00  1.0008279373377014e+00  9.9848969049610248e-01  1.0033787323105920e+00  7.0512781435373570e-07  -3.4382920487948685e-05  3.7630455098088504e-05
2.3999999999999901e+00  1.0030497745217901e+00  9.8470341648657722e-01  1.0231094433343815e+00  1.0013177028478641e+00  9.9419547231972982e-01  1.0097386641048745e+00  1.1084925292431292e-04  -1.3945763862121781e-03  1.7748448730364238e-03  1.0014236127044105e+00  9.9698430191455023e-01  1.0063020861883267e+00  1.0008277374785366e+00  9.9849400893831297e-01  1.0033965419018742e+00  3.2291510264682957e-07  -2.6994748300454755e-05  2.5154361412815111e-05
2.7999999999999798e+00  1.0030780917853772e+00  9.8437623625789816e-01  1.0234413438646301e+00  1.0012186606292193e+00  9.9525701628046148e-01  1.0084146104653728e+00  1.1306824546704653e-04  -1.3834419927292933e-03  1.7431317543724176e-03  1.0014234059166893e+00  9.9698256152268672e-01  1.0063082557319507e+00  1.0008281044263774e+00  9.9849741637248257e-01  1.0033951901272364e+00  -5.5430457122610316e-07  -4.3224089218105632e-05  2.1706835129387413e-05
3.1999999999999802e+00  1.0031027954068050e+00  9.8403722653755388e-01  1.0237828940757894e+00  1.0011231771443527e+00  9.9630594433185482e-01  1.0071020300764437e+00  1.0586476178275657e-04  -1.3031895881831369e-03  1.7144368586469423e-03  1.0014229785061368e+00  9.9698416631045117e-01  1.0063160439124468e+00  1.0008290214462101e+00  9.9849527737241572e-01  1.0033866130514262e+00  -9.0723849538040182e-07  -4.8419117349265137e-05  2.6198889259915212e-05
3.5999999999999699e+00  1.0031234570763123e+00  9.8371206012116741e-01  1.0241252417969180e+00  1.0010357706680055e+00  9.9727384351866022e-01  1.0058482220777287e+00  9.6186717481468718e-05  -1.1327238322793162e-03  1.5699120141411348e-03  1.0014226786184566e+00  9.9698179154412225e-01  1.0063245421141529e+00  1.0008299239463880e+00  9.9849770012917138e-01  1.0033721873729022e+00  -5.7252359650558345e-07  -3.3110584543388574e-05  3.1201265608267227e-05
