# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  5.2979470739529668e-08  2.5694952249906590e-08  6.7472569376109481e-01  3.6989027750443793e+00  8.8298698787196883e-01
4.0000000000000002e-01  4.5945162201309315e-08  2.2776401692834722e-08  6.2383391388272025e-01  3.4953356555308810e+00  9.1848519746723523e-01
8.0000000000000004e-01  4.3252998294971630e-08  2.1743268053970419e-08  6.3155463580857862e-01  3.5262185432343145e+00  9.1539335825471702e-01
1.2000000000000000e+00  4.1858290433843158e-08  2.1119604625477133e-08  6.4280099939730007e-01  3.5712039975892003e+00  9.1916187992372611e-01
1.6000000000000001e+00  3.9352863096556344e-08  1.9740479081200870e-08  6.4242610534352995e-01  3.5697044213741198e+00  9.1526630117815400e-01
2.0000000000000000e+00  3.8752931797368319e-08  1.9565675027252746e-08  6.2216629145959401e-01  3.4886651658383760e+00  9.1733006683604201e-01
2.3999999999999901e+00  3.7472767975011502e-08  1.8909710726488289e-08  6.1074808013988258e-01  3.4429923205595303e+00  9.0987066558374563e-01
2.7999999999999798e+00  3.4565353503574245e-08  1.7461833959818905e-08  6.1466384499063376e-01  3.4586553799625350e+00  8.9973011231726763e-01
3.1999999999999802e+00  3.2621382117286463e-08  1.6387909834039751e-08  5.9619970510875553e-01  3.3847988204350221e+00  9.3171714949910844e-01
3.5999999999999699e+00  3.1156493610929124e-08  1.5573688323275204e-08  6.1059115515546858e-01  3.4423646206218743e+00  9.2108522139735449e-01
3.9999999999999600e+00  2.9594962478688920e-08  1.4641547720366746e-08  6.1327374956332226e-01  3.4530949982532890e+00  8.7471505681970596e-01
4.3999999999999497e+00  2.8060215339254119e-08  1.3694172052813486e-08  5.9831535786855494e-01  3.3932614314742198e+00  9.0012135825923834e-01
4.7999999999999403e+00  2.6295032974678485e-08  1.2750576791940622e-08  5.6799237032590688e-01  3.2719694813036275e+00  9.2346641028686749e-01
5.1999999999999300e+00  2.4557739832807274e-08  1.1859591026151764e-08  5.3682511532146526e-01  3.1473004612858611e+00  9.0847861375144789e-01
5.5999999999999304e+00  2.3331868596292402e-08  1.1210878733732344e-08  5.3486643238470888e-01  3.1394657295388355e+00  9.1145779522956827e-01
5.9999999999999201e+00  2.2502763557284738e-08  1.0775562244364285e-08  5.8344424450522181e-01  3.3337769780208872e+00  8.9877801238345734e-01
6.3999999999999098e+00  2.1650086957569400e-08  1.0333646222002232e-08  6.0327424359473025e-01  3.4130969743789210e+00  8.8467648834949308e-01
6.7999999999999003e+00  2.0987158651169378e-08  9.9863974673093327e-09  5.6404742876603975e-01  3.2561897150641590e+00  9.0547898402402349e-01
7.1999999999998900e+00  2.0966513221093349e-08  9.9622130163920316e-09  4.2421565348652140e-01  2.6968626139460854e+00  9.5515535968623155e-01
7.5999999999998797e+00  2.1210464180718547e-08  1.0049518478404383e-08  4.0323046247764693e-01  2.6129218499105877e+00  9.3395356956405406e-01
7.9999999999998703e+00  2.1272887276527351e-08  1.0001710690167932e-08  4.1278122506156695e-01  2.6511249002462680e+00  9.1427441238233365e-01
8.3999999999998707e+00  2.1407561589030382e-08  9.9613044899303186e-09  4.1889678607094655e-01  2.6755871442837860e+00  9.2105478302716359e-01
8.7999999999998604e+00  2.2069062023109859e-08  1.0187663985250998e-08  3.9452469169392901e-01  2.5780987667757160e+00  9.4073560624383656e-01
9.1999999999998501e+00  2.3448590302140145e-08  1.0753277761834462e-08  4.4956559915764011e-01  2.7982623966305606e+00  9.2776285039411799e-01
9.5999999999998398e+00  2.5329368612508003e-08  1.1522178206277596e-08  5.2578166143859950e-01  3.1031266457543980e+00  8.4799230636348233e-01
