# time  Re_m-2(R=8)  Im_m-2(R=8)  Re_m-1(R=8)  Im_m-1(R=8)  Re_m0(R=8)  Im_m0(R=8)  Re_m1(R=8)  Im_m1(R=8)  Re_m2(R=8)  Im_m2(R=8)  Re_m-2(R=16)  Im_m-2(R=16)  Re_m-1(R=16)  Im_m-1(R=16)  Re_m0(R=16)  Im_m0(R=16)  Re_m1(R=16)  Im_m1(R=16)  Re_m2(R=16)  Im_m2(R=16)
0.0000000000000000e+00  9.4532239342774748e-05  1.3451846090766363e-04  1.3365038472464572e-04  1.3333031988191144e-05  -1.1485965650493984e-04  4.2677446748009574e-07  -1.5204834915049514e-04  -1.4261969304245265e-05  7.0531081431344543e-05  -1.3890762998537058e-04  6.1450324492657353e-06  5.3533218740188850e-06  -3.0531729026128690e-06  -1.1344921577128554e-06  1.6610700801645107e-06  -2.6883129656630436e-07  6.1092369523816071e-07  3.5134448171603276e-08  1.3189486873630632e-06  -4.4968521356666046e-06
4.0000000000000002e-01  8.0348826420953288e-05  1.3192308291347935e-04  1.3185256854061702e-04  4.9985058293125504e-06  -9.0582538047012754e-05  -5.4643614100107911e-07  -1.4389979061252831e-04  -2.1244140410955342e-06  7.4870694173423868e-05  -1.2671374416184326e-04  4.0752848874765675e-06  5.2223852376962434e-07  5.7265087384150820e-07  -1.1715003913282763e-07  -3.0791524038180101e-06  -1.6745292004978207e-07  -3.3219695658245156e-07  5.6323427087100184e-07  3.7269195481875611e-06  -6.3659894463856877e-07
8.0000000000000004e-01  7.4842340136134576e-05  1.2796936634806971e-04  1.3506332038371255e-04  -4.9033233591257072e-07  -8.0607921708136351e-05  -7.6268048920119020e-08  -1.3506959775362771e-04  5.0577406109375719e-06  7.2012716023125029e-05  -1.2763656901847821e-04  3.7381817766010313e-06  9.5725750131086916e-07  8.8101341218257421e-07  2.8659889102896804e-07  -2.9421112500367194e-06  -1.0861348044309436e-07  -7.4915331602200932e-07  1.1107227982503710e-07  4.0341218180037636e-06  -9.5498888175560227e-07
1.2000000000000000e+00  7.3334134817169255e-05  1.2575431171420550e-04  1.3374091956024065e-04  3.6102313975522706e-07  -7.9212597967208626e-05  -1.0941628362867765e-07  -1.3155515460199001e-04  1.0388984692983129e-06  7.2787274802016069e-05  -1.2538016228632362e-04  3.5801745173160185e-06  1.1281821316536589e-06  5.3365976834581585e-07  -2.6834318795508714e-07  -2.4243636302994241e-06  -2.2324097373717914e-08  -1.3259799605808306e-06  3.5915475373011706e-07  3.7276415992189791e-06  -1.0043816107691941e-06
1.6000000000000001e+00  7.1906571742167864e-05  1.2145715890409978e-04  1.2911488116670145e-04  4.3625906843479696e-07  -7.4692086122678985e-05  -6.6905479077366823e-07  -1.3025437982532972e-04  -1.6492393525825357e-07  7.0447613023145929e-05  -1.2068778344812974e-04  3.6727126441220830e-06  1.2024300591956021e-06  1.0703135100975543e-06  -9.0267389250646875e-08  -2.3537558692040178e-06  7.9965120712321992e-08  -1.2779321690691469e-06  7.5840857997412220e-08  3.7636705443706370e-06  -1.0269017347183543e-06
2.0000000000000000e+00  6.8670718316868557e-05  1.2131505603992448e-04  1.2677406798202188e-04  -2.4447454880772506e-07  -7.3000878655178468e-05  9.1382283212600151e-07  -1.3020613614318029e-04  3.1322193079358055e-06  7.1355324812895219e-05  -1.2074820401770028e-04  3.4392546336068711e-06  9.7931054129204648e-07  1.0415441491951285e-06  1.5478585977931275e-07  -2.6689888958661689e-06  1.4876271371654460e-08  -1.0689952297960303e-06  -4.6575548077035563e-08  3.6158550659394819e-06  -8.7555485143149970e-07
2.3999999999999901e+00  6.6986377654953031e-05  1.1934398504691544e-04  1.2588498511821285e-04  -1.4030244641095237e-07  -7.1092236625613516e-05  -7.1507087540361126e-07  -1.2730987465462741e-04  2.2002897345054264e-06  6.7650286123438613e-05  -1.2034449721643472e-04  3.9449760014788506e-06  7.3495549765390508e-07  7.0981384461676979e-07  3.9163182846640501e-07  -3.1695658662618930e-06  -2.0140268379346297e-07  -1.0057619481336188e-06  -2.1670411741323130e-07  3.6294377487573843e-06  -7.9047979022636146e-07
2.7999999999999798e+00  6.3331553989493365e-05  1.1515100218205770e-04  1.2215204183237192e-04  -8.3133365745545427e-07  -6.5864262577504043e-05  -5.6428469294668277e-07  -1.2219828995213932e-04  1.0583393469357943e-06  6.4688079596477197e-05  -1.1590354980736347e-04  3.3985666575271319e-06  1.5362845839830009e-06  1.5242578338401845e-06  -1.1035225935955946e-06  -2.5586166531103799e-06  2.9841568431935208e-07  -1.7335462117419302e-06  2.8830352854885040e-07  4.4206652818818202e-06  -1.1813883232091607e-06
3.1999999999999802e+00  5.8453592951481038e-05  1.1333880657598907e-04  1.1920087490497163e-04  -2.6908039854402421e-07  -6.0994069708188717e-05  2.4140423832574404e-07  -1.2053666040431031e-04  1.5126892156527078e-06  6.0476168489783040e-05  -1.1332204244668669e-04  1.9435639300118226e-06  1.4287089407812443e-06  1.4521324421043212e-06  -2.3289685526156658e-07  -7.1515557796117101e-07  3.2954021395309127e-08  -1.6621204991832129e-06  9.3591178236361364e-07  2.4958506847033215e-06  -1.4184085982079852e-06
3.5999999999999699e+00  5.3395602948983757e-05  1.1213664584381709e-04  1.1700907799354021e-04  -7.0981023900887134e-07  -5.5984201604486711e-05  1.5891529628658098e-07  -1.1969929168482958e-04  2.1180161798389542e-06  5.6008375678613811e-05  -1.1209712162482059e-04  3.7402102990689662e-06  4.9526393513643793e-07  8.3927995928762909e-07  1.2139431115003167e-06  -1.9319231068510367e-06  -3.7653856402706142e-07  -8.9481526750332381e-07  -6.8341408451954253e-07  2.0533938798316729e-06  -7.1076196031249471e-07
