# time  chi_mean_R8  chi_min_R8  chi_max_R8  lapse_mean_R8  lapse_min_R8  lapse_max_R8  K_mean_R8  K_min_R8  K_max_R8  chi_mean_R16  chi_min_R16  chi_max_R16  lapse_mean_R16  lapse_min_R16  lapse_max_R16  K_mean_R16  K_min_R16  K_max_R16
0.0000000000000000e+00  1.0002932626826053e+00  9.8412488439350343e-01  1.0178210938452401e+00  1.0000411793642900e+00  9.8958112820186572e-01  1.0122076080074780e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0001988014515131e+00  9.9605361197497122e-01  1.0044970837677545e+00  1.0000164732721020e+00  9.9781724441384090e-01  1.0022603467615232e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
4.0000000000000002e-01  1.0002950154703898e+00  9.8410943989351440e-01  1.0178689984941123e+00  1.0000368285494896e+00  9.8963088275716682e-01  1.0120692123405115e+00  1.5583482569362454e-05  -6.2578953200248544e-04  7.5635710732963155e-04  1.0001991824723389e+00  9.9608398660839992e-01  1.0044799951517218e+00  1.0000167263977899e+00  9.9783129783989255e-01  1.0022504357754884e+00  1.8707056920313850e-07  -6.7741327491870198e-05  7.8886104341786991e-05
8.0000000000000004e-01  1.0003012739074948e+00  9.8404178285259103e-01  1.0180453905676967e+00  1.0000237515650499e+00  9.8983430837910036e-01  1.0115793249373892e+00  2.3920806549102548e-05  -7.7957569895530305e-04  1.1315361897777951e-03  1.0001991759115398e+00  9.9607586969603656e-01  1.0044752422133065e+00  1.0000166474236991e+00  9.9782869041831856e-01  1.0022485982234035e+00  -1.1778971105499397e-07  -5.1179397293106127e-05  6.3164904913484999e-05
1.2000000000000000e+00  1.0003081235901818e+00  9.8386893213530124e-01  1.0183494970581903e+00  1.0000023271452330e+00  9.9030131764925389e-01  1.0106960963583809e+00  2.4026918657835109e-05  -9.4493780887666375e-04  1.3839015725938264e-03  1.0001991403519896e+00  9.9607070855433311e-01  1.0044750265873517e+00  1.0000166264115113e+00  9.9782996915501487e-01  1.0022469799828604e+00  -1.0441117206661698e-07  -2.7354297813891863e-05  4.1537063604770951e-05
1.6000000000000001e+00  1.0003141371128486e+00  9.8359183080550194e-01  1.0187015350988244e+00  9.9997840161903984e-01  9.9107092963152432e-01  1.0095571598482773e+00  2.2834231449516696e-05  -1.1819352642956022e-03  1.5335681141893378e-03  1.0001990996217009e+00  9.9606874176560989e-01  1.0044765211619251e+00  1.0000166468580352e+00  9.9782888724412500e-01  1.0022430544110075e+00  -1.3745692960546692e-07  -1.8097148669794496e-05  2.7345750603387411e-05
2.0000000000000000e+00  1.0003213052466560e+00  9.8327091438440994e-01  1.0190261501236457e+00  9.9995136175249255e-01  9.9203935894004824e-01  1.0083562516520410e+00  2.6962060432482142e-05  -1.3565683042725523e-03  1.5280952815273302e-03  1.0001991089189977e+00  9.9606589865925510e-01  1.0044739057005034e+00  1.0000166246972504e+00  9.9782995618393400e-01  1.0022450689814222e+00  4.2251727159532874e-08  -1.5038322846280180e-05  2.3715954749234725e-05
2.3999999999999901e+00  1.0003302138957719e+00  9.8294793771405842e-01  1.0193252400519262e+00  9.9992011251933577e-01  9.9308293955271709e-01  1.0071803608342167e+00  2.9910751896447288e-05  -1.3920033965572809e-03  1.4986546137888024e-03  1.0001991479669710e+00  9.9606201911215331e-01  1.0044666421715986e+00  1.0000165248186335e+00  9.9783454884134681e-01  1.0022588997344040e+00  -1.7042078249198416e-08  -2.6780790280100154e-05  2.5846922512300534e-05
2.7999999999999798e+00  1.0003382470503315e+00  9.8262537662112348e-01  1.0196455216445857e+00  9.9988905401697892e-01  9.9413500109343189e-01  1.0060149515853753e+00  2.5743396630810319e-05  -1.3721088060985218e-03  1.4841838510477319e-03  1.0001989840370962e+00  9.9605988375149390e-01  1.0044660114854020e+00  1.0000167452509088e+00  9.9783826805363229e-01  1.0022659646122680e+00  -6.8052948962977992e-07  -4.3319836736132682e-05  2.5377603392471368e-05
3.1999999999999802e+00  1.0003429618577884e+00  9.8228936388966992e-01  1.0199752256735684e+00  9.9986376334686367e-01  9.9517525066951906e-01  1.0048795868178524e+00  1.6481328284727954e-05  -1.3119903410160299e-03  1.3673758143513827e-03  1.0001985187848850e+00  9.9606127966736180e-01  1.0044723973127097e+00  1.0000175847813775e+00  9.9783626516164625e-01  1.0022599192555497e+00  -1.4118971456640619e-06  -3.2662134455659863e-05  1.7562737773833673e-05
3.5999999999999699e+00  1.0003439269497998e+00  9.8195212846682367e-01  1.0202719221208512e+00  9.9984695662600254e-01  9.9616240021014557e-01  1.0038665562829652e+00  5.5932443982831915e-06  -1.1755798559845453e-03  1.1425522696109679e-03  1.0001979336985400e+00  9.9605902631288568e-01  1.0044773825585767e+00  1.0000188402487753e+00  9.9783883012985153e-01  1.0022528287544907e+00  -1.6361987544277148e-06  -2.6622273066473706e-05  2.5889299108000943e-05
3.9999999999999600e+00  1.0003415181411546e+00  9.8163221188370742e-01  1.0205343633707158e+00  9.9983951246554703e-01  9.9704699395189789e-01  1.0030081003026767e+00  -6.2523288536268897e-06  -1.0357632054773041e-03  9.3646413855593205e-04  1.0001974825693862e+00  9.9604151593569301e-01  1.0044805449324341e+00  1.0000200688596959e+00  9.9786835445677458e-01  1.0022490874331706e+00  -1.3806508443017091e-06  -6.6731321620949161e-05  3.2848258215555249e-05
4.3999999999999497e+00  1.0003356679339497e+00  9.8132936989942543e-01  1.0207672268153587e+00  9.9984239882580950e-01  9.9781329260474938e-01  1.0023061057712468e+00  -1.9579915769673482e-05  -8.2719506400267639e-04  7.8571171777544393e-04  1.0001972019369361e+00  9.9600200716653942e-01  1.0044995304046982e+00  1.0000210959402482e+00  9.9794330268972853e-01  1.0022165398979246e+00  -1.2504879316241988e-06  -1.3282831959484954e-04  8.5751992123574700e-05
4.7999999999999403e+00  1.0003262042579506e+00  9.8104399407494325e-01  1.0209450306068242e+00  9.9985642574757638e-01  9.9844894173599807e-01  1.0018182178652637e+00  -3.3072840987249198e-05  -6.5965778623231592e-04  6.7783644100280341e-04  1.0001968474005445e+00  9.9593786500519388e-01  1.0045553200555384e+00  1.0000222437456989e+00  9.9807060320013052e-01  1.0021133513244080e+00  -1.7100311085578230e-06  -2.0832495607145068e-04  1.9698665861143686e-04
5.1999999999999300e+00  1.0003140754553004e+00  9.8078461270543338e-01  1.0210644644442601e+00  9.9988026225768845e-01  9.9867113283183584e-01  1.0015745590592517e+00  -4.2878288704097513e-05  -6.7804733268714658e-04  6.1399007160841486e-04  1.0001962701872276e+00  9.9585323121533242e-01  1.0046546255179316e+00  1.0000238184667036e+00  9.9823157371382898e-01  1.0019462936233385e+00  -2.1100692482866454e-06  -2.7514501340571000e-04  3.1990176149561807e-04
5.5999999999999304e+00  1.0003017861385681e+00  9.8058026528811015e-01  1.0211568830300179e+00  9.9990925744193504e-01  9.9840527495030529e-01  1.0015280898275587e+00  -4.5091548845953500e-05  -9.6312029381033233e-04  7.0759219825325078e-04  1.0001959331842047e+00  9.9575698053430006e-01  1.0047855872397780e+00  1.0000251165585023e+00  9.9840195086797989e-01  1.0017576791537970e+00  -7.6379882065089120e-07  -3.2089410704255473e-04  4.1298602331824095e-04
5.9999999999999201e+00  1.0002925324518799e+00  9.8047464508905779e-01  1.0212282410644862e+00  9.9993651609621570e-01  9.9819542883175127e-01  1.0016690767039227e+00  -3.8266171959184199e-05  -1.1462929754185247e-03  9.4642551231007748e-04  1.0001967979629898e+00  9.9565567151569934e-01  1.0049276064987573e+00  1.0000242876993828e+00  9.9860335648675835e-01  1.0015238307835341e+00  3.1321920979867810e-06  -3.5881839584111922e-04  4.6403107538442304e-04
6.3999999999999098e+00  1.0002889443996790e+00  9.8047852922534084e-01  1.0212698459141849e+00  9.9995519597082971e-01  9.9804600535862242e-01  1.0019864003723264e+00  -2.3899070276847560e-05  -1.2328447920212594e-03  1.2230984275964838e-03  1.0001994797352616e+00  9.9554934554012797e-01  1.0050684249287378e+00  1.0000197128909536e+00  9.9882415790005707e-01  1.0012571691978966e+00  8.2601728753833155e-06  -3.9736786459382034e-04  4.9911148439850926e-04
6.7999999999999003e+00  1.0002921793255182e+00  9.8054650952088396e-01  1.0212689267633019e+00  9.9996064855333910e-01  9.9795769747716245e-01  1.0025291082810948e+00  -5.7114683747475211e-06  -1.5046185910431952e-03  1.6219540152973813e-03  1.0002037867555396e+00  9.9543510599263385e-01  1.0052073872677336e+00  1.0000111653703989e+00  9.9901921591116583e-01  1.0010056359628285e+00  1.2886655905549710e-05  -4.3840714903388580e-04  5.2474052313645841e-04
7.1999999999998900e+00  1.0003016694983633e+00  9.8061770284507477e-01  1.0212101309844925e+00  9.9995160772859559e-01  9.9707543304358459e-01  1.0033202475859437e+00  1.2031251001111436e-05  -1.8615806052942239e-03  2.0105886784518275e-03  1.0002091986027559e+00  9.9531371455767892e-01  1.0053460998783870e+00  9.9999929713634361e-01  9.9924033719642646e-01  1.0007525918183906e+00  1.6630215487158846e-05  -4.7763155867267568e-04  5.5076417600859943e-04
7.5999999999998797e+00  1.0003157772255746e+00  9.8065637337431710e-01  1.0211261670322491e+00  9.9992969783296060e-01  9.9601650004854780e-01  1.0043137726863050e+00  2.6746746287990492e-05  -2.0994106516151788e-03  2.2456248550960308e-03  1.0002153334591721e+00  9.9518865266020295e-01  1.0054821956138715e+00  9.9998476573015360e-01  9.9946315909588734e-01  1.0005144705537523e+00  1.9586049046517314e-05  -5.0928083642678447e-04  5.6475673928294186e-04
7.9999999999998703e+00  1.0003328710422481e+00  9.8064907247098743e-01  1.0210756863659178e+00  9.9989772087181483e-01  9.9489974742416254e-01  1.0053931070277202e+00  3.7891802490292859e-05  -2.3124578091460223e-03  2.3973347071040720e-03  1.0002217327193113e+00  9.9506203865545273e-01  1.0056100998119371e+00  9.9996847262471333e-01  9.9917137817024815e-01  1.0005715760985037e+00  2.0985143528950121e-05  -5.3571011028856225e-04  5.6694578416277531e-04
8.3999999999998707e+00  1.0003516197421667e+00  9.8059169392833534e-01  1.0210868481876694e+00  9.9985878663221950e-01  9.9375997780392922e-01  1.0064846514833485e+00  4.4805400344849037e-05  -2.4515866378279857e-03  2.5236110149020842e-03  1.0002275854145384e+00  9.9493470131142148e-01  1.0057269924339494e+00  9.9995211062623524e-01  9.9873646116143966e-01  1.0010058770664221e+00  1.9866693358634097e-05  -5.5762071141285516e-04  5.5555340950252604e-04
8.7999999999998604e+00  1.0003704239121292e+00  9.8048718656374423e-01  1.0211503708008602e+00  9.9981697364339817e-01  9.9261207462346968e-01  1.0075793239357642e+00  4.5790506667959575e-05  -2.5326294955096882e-03  2.6184891519429074e-03  1.0002320547424732e+00  9.9480982568305210e-01  1.0058350265476010e+00  9.9993768922001802e-01  9.9830916736144137e-01  1.0014528290673217e+00  1.6506107249799418e-05  -5.6675912153902289e-04  5.4713857528329666e-04
9.1999999999998501e+00  1.0003873618929324e+00  9.8034224194770481e-01  1.0212575695164396e+00  9.9977742768527222e-01  9.9145690366170858e-01  1.0086822488863754e+00  4.0221275255709813e-05  -2.5548638302314111e-03  2.6756607772921975e-03  1.0002347609579973e+00  9.9469471247485097e-01  1.0059337324629287e+00  9.9992654589487495e-01  9.9789142837088773e-01  1.0018974152869569e+00  1.2034163674652672e-05  -5.5305882083769170e-04  5.2886392036847281e-04
9.5999999999998398e+00  1.0004010679803883e+00  9.8016106379426127e-01  1.0214090744054072e+00  9.9974474528295076e-01  9.9029407278345638e-01  1.0097889917402616e+00  2.9998749769387082e-05  -2.5982055192919490e-03  2.7249704458271583e-03  1.0002356509055859e+00  9.9459890941160145e-01  1.0060143193127054e+00  9.9991931037314963e-01  9.9749972483172344e-01  1.0023181327737758e+00  6.8662314986923886e-06  -5.1853746936371262e-04  5.0024719235187563e-04
9.9999999999998295e+00  1.0004113548924072e+00  9.7994463662343179e-01  1.0216087162460681e+00  9.9972138921166054e-01  9.8912643103739173e-01  1.0108895137448162e+00  1.8078849181517352e-05  -2.6536948230473814e-03  2.7864167415533733e-03  1.0002345723693238e+00  9.9453011333918062e-01  1.0060651510718341e+00  9.9991661429528655e-01  9.9715939800824627e-01  1.0026940924247052e+00  7.6206128584505442e-07  -4.7126834612837634e-04  4.5963279595428308e-04
1.0399999999999800e+01  1.0004188349481065e+00  9.7969389321817435e-01  1.0218572378140947e+00  9.9970779759530837e-01  9.8795562956606231e-01  1.0119774964495742e+00  6.2188293532275788e-06  -2.6943006529009249e-03  2.8468523675314657e-03  1.0002314002563550e+00  9.9449111998165718e-01  1.0060803910284601e+00  9.9991902629381979e-01  9.9688726474044975e-01  1.0030123877286676e+00  -5.6451130636532564e-06  -4.0314996393706911e-04  3.9294484837783451e-04
1.0799999999999800e+01  1.0004241481363221e+00  9.7940771509665681e-01  1.0221517044751707e+00  9.9970363671899687e-01  9.8678484056630278e-01  1.0130532586941619e+00  -5.3503863695858525e-06  -2.7461332123290059e-03  2.8861806615468875e-03  1.0002265685749161e+00  9.9448233013074061e-01  1.0060616039686594e+00  9.9992609429918833e-01  9.9668870459288905e-01  1.0032662758834514e+00  -1.0517375135071032e-05  -3.3492880342438547e-04  3.0085449640168883e-04
