# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  5.8632094211718925e-08  2.8828359262240908e-08  4.5086673051065035e-01  2.8034669220426016e+00  4.5132007114571959e-01
4.0000000000000002e-01  5.2665444332353618e-08  2.8096313508321749e-08  6.1061254806609033e-01  3.4424501922643613e+00  5.6086405074175727e-01
8.0000000000000004e-01  5.1707719056216857e-08  2.8211422663405306e-08  6.0569846565525398e-01  3.4227938626210159e+00  5.5349254787838154e-01
1.2000000000000000e+00  4.9857847052131433e-08  2.7279813846738216e-08  6.2898808994041799e-01  3.5159523597616720e+00  5.5657309418496437e-01
1.6000000000000001e+00  4.8404144352252787e-08  2.6631594971422428e-08  6.4915350038302033e-01  3.5966140015320813e+00  5.5391282999069402e-01
2.0000000000000000e+00  4.7747265221450000e-08  2.6350883652132441e-08  6.3378216626197015e-01  3.5351286650478806e+00  5.4503973521261739e-01
2.3999999999999901e+00  4.6289172770999042e-08  2.5562887976123828e-08  6.4350683252121876e-01  3.5740273300848751e+00  5.3109819336794595e-01
2.7999999999999798e+00  4.4460120599530431e-08  2.4548666113653878e-08  6.4520595610326748e-01  3.5808238244130699e+00  5.3713133274906089e-01
3.1999999999999802e+00  4.3115524990962653e-08  2.3775225012133084e-08  6.4109584787044283e-01  3.5643833914817713e+00  5.4413075003093403e-01
3.5999999999999699e+00  4.1772428410443833e-08  2.3002243550082123e-08  6.4058335645690434e-01  3.5623334258276174e+00  5.2845658436736276e-01
3.9999999999999600e+00  4.0813672999654095e-08  2.2485460826142700e-08  6.4081546575017678e-01  3.5632618630007071e+00  5.0732436597409469e-01
4.3999999999999497e+00  3.9547007226692773e-08  2.1836648387999184e-08  6.4147244105090140e-01  3.5658897642036056e+00  5.0570011294116068e-01
4.7999999999999403e+00  3.8133105315475084e-08  2.1037173495495329e-08  6.4140315025358086e-01  3.5656126010143234e+00  5.1786609063901923e-01
5.1999999999999300e+00  3.6921776854649282e-08  2.0333053169381782e-08  6.4158493461948729e-01  3.5663397384779492e+00  5.2020447511930634e-01
5.5999999999999304e+00  3.5570191200835368e-08  1.9595368843323816e-08  6.4313215304486593e-01  3.5725286121794637e+00  5.1838749656857330e-01
5.9999999999999201e+00  3.4322477401858461e-08  1.8929509327200202e-08  6.4294912651474967e-01  3.5717965060589987e+00  5.1680156721633352e-01
6.3999999999999098e+00  3.3433265554432107e-08  1.8488029977814761e-08  6.4341060501992309e-01  3.5736424200796924e+00  5.0582670336375335e-01
6.7999999999999003e+00  3.2496532592844348e-08  1.8034602400249029e-08  6.4593290037300777e-01  3.5837316014920311e+00  5.0092375407756617e-01
7.1999999999998900e+00  3.1500062216953603e-08  1.7544847066135459e-08  6.4888960618147107e-01  3.5955584247258843e+00  5.0810078531517011e-01
7.5999999999998797e+00  3.0645583367002328e-08  1.7088448054733828e-08  6.5134305373216539e-01  3.6053722149286616e+00  5.1386161106477379e-01
7.9999999999998703e+00  2.9807654433549050e-08  1.6575378525350559e-08  6.5136772028725165e-01  3.6054708811490066e+00  5.1704254253185467e-01
8.3999999999998707e+00  2.9060471489338433e-08  1.6116979238017351e-08  6.5154410833730481e-01  3.6061764333492192e+00  5.1600348831331422e-01
8.7999999999998604e+00  2.8393362851144863e-08  1.5720938853847307e-08  6.5566066226128195e-01  3.6226426490451278e+00  5.1487302350278363e-01
9.1999999999998501e+00  2.7540811142327645e-08  1.5147773716672679e-08  6.5828685122043307e-01  3.6331474048817323e+00  5.2596014854954676e-01
9.5999999999998398e+00  2.6654918647015983e-08  1.4409686375219332e-08  6.5572687261403484e-01  3.6229074904561394e+00  5.4204661877478177e-01
9.9999999999998295e+00  2.6068930456098407e-08  1.3690162601798406e-08  6.5244675787146633e-01  3.6097870314858653e+00  5.6029086627609570e-01
1.0399999999999800e+01  2.5748602488927081e-08  1.2995984057994567e-08  6.4450620401560466e-01  3.5780248160624186e+00  6.0074758624040225e-01
1.0799999999999800e+01  2.5716746127115812e-08  1.2360415908740068e-08  6.2602690389810822e-01  3.5041076155924329e+00  6.5255852658432156e-01
1.1199999999999800e+01  2.6200632690791092e-08  1.1912281415905568e-08  6.1640601120729110e-01  3.4656240448291644e+00  6.8441767957134692e-01
1.1599999999999801e+01  2.7281708646763182e-08  1.1665184182960918e-08  6.1442561539130791e-01  3.4577024615652316e+00  7.0857468245091493e-01
1.1999999999999799e+01  2.8945902053944850e-08  1.1571905509468850e-08  5.7893084853543553e-01  3.3157233941417421e+00  7.5000428418524479e-01
1.2399999999999800e+01  3.1214566364064302e-08  1.1673902696422430e-08  4.8848136425136035e-01  2.9539254570054414e+00  7.8482811968794952e-01
1.2799999999999800e+01  3.4046689945502847e-08  1.1989020489573065e-08  3.9814404829964967e-01  2.5925761931985987e+00  7.9527439940373390e-01
1.3199999999999800e+01  3.7686539592478795e-08  1.2582948942266768e-08  3.3688760710841026e-01  2.3475504284336410e+00  7.8605588190453046e-01
1.3599999999999801e+01  4.2643678323889138e-08  1.3647046452952845e-08  3.3318110313759008e-01  2.3327244125503603e+00  7.4887807674184681e-01
1.3999999999999700e+01  4.8887950968519063e-08  1.5180654730990573e-08  3.5368110111098228e-01  2.4147244044439291e+00  7.0343197405466062e-01
1.4399999999999700e+01  5.6080734509211127e-08  1.7017611100706446e-08  3.6596523299303529e-01  2.4638609319721412e+00  6.7087380679294717e-01
1.4799999999999701e+01  6.4587891260676782e-08  1.9304998304233442e-08  3.7318358988060885e-01  2.4927343595224354e+00  6.4930675845013119e-01
1.5199999999999701e+01  7.5145035753597468e-08  2.2397622656523864e-08  3.8226086075555682e-01  2.5290434430222275e+00  6.2653779290346534e-01
1.5599999999999699e+01  8.8167600503083563e-08  2.6496038020520104e-08  3.9501574970174702e-01  2.5800629988069881e+00  5.9591420763265257e-01
