# time  Re_m-2(R=8)  Im_m-2(R=8)  Re_m-1(R=8)  Im_m-1(R=8)  Re_m0(R=8)  Im_m0(R=8)  Re_m1(R=8)  Im_m1(R=8)  Re_m2(R=8)  Im_m2(R=8)  Re_m-2(R=16)  Im_m-2(R=16)  Re_m-1(R=16)  Im_m-1(R=16)  Re_m0(R=16)  Im_m0(R=16)  Re_m1(R=16)  Im_m1(R=16)  Re_m2(R=16)  Im_m2(R=16)
0.0000000000000000e+00  8.4358245071894792e-05  1.4911045943865646e-04  1.3660317192019402e-04  1.5949586974532808e-05  -9.4210323050019265e-05  -9.2277994983131983e-07  -1.7003804317782770e-04  -2.2459271291905068e-05  6.9031878972885128e-05  -1.4796776363189734e-04  -2.6187568703710045e-06  -5.3257709813251323e-06  3.3330223771442302e-05  1.3261667359199238e-05  -3.2235995221461298e-05  -4.6606645803343383e-06  7.1551980108387726e-06  9.3969588381514573e-08  3.8763934662902516e-05  -1.0428430153729558e-05
4.0000000000000002e-01  8.0617589279136071e-05  1.4739570117420500e-04  1.3952324324605225e-04  4.2776022888530996e-06  -7.5770971808744386e-05  -8.5271079150955477e-07  -1.5256275912456808e-04  -2.0019154539710982e-06  7.7780153697547369e-05  -1.4319976536125917e-04  2.5527831207009998e-05  3.6624843859355840e-06  4.9354630518137127e-06  -1.3313828933581365e-07  -2.3873288116707175e-05  -1.7061946674054460e-06  -4.5974059130892366e-06  3.6742741987717719e-06  2.6759235818840189e-05  -5.5563317463586789e-06
8.0000000000000004e-01  7.9391991615175469e-05  1.4692391088836710e-04  1.4291359578930184e-04  -1.5927012848848144e-06  -6.5117457357920830e-05  -6.8723713140828457e-08  -1.4706772223017407e-04  1.5877384743508585e-06  7.8558453744468853e-05  -1.4478648479922650e-04  2.5892490336084919e-05  5.2392454611543881e-06  6.6982359088583111e-06  -2.3814678321461118e-07  -2.5305096886522641e-05  -3.0894336670158759e-07  -2.6547172621727061e-06  1.2737500952021128e-06  2.5897562799544767e-05  -5.4781438875179358e-06
1.2000000000000000e+00  7.8905360767539829e-05  1.4342706738112873e-04  1.4188578752736454e-04  -1.2116202692107030e-06  -6.6305930723816603e-05  -1.8548702437346117e-07  -1.4162881524193481e-04  1.0600233614825419e-06  7.7820145378182485e-05  -1.4244335028579740e-04  2.5670078210403241e-05  5.2854116218224122e-06  6.5105023891704432e-06  3.9602071012119427e-07  -2.2550178078642052e-05  -5.3550548746691463e-07  -3.7990201951095096e-06  9.4474768578911178e-07  2.6378184062688309e-05  -5.7851469264621379e-06
1.6000000000000001e+00  7.7004804410665001e-05  1.4166426764303683e-04  1.4090508187245779e-04  5.4712782758291501e-07  -6.3616022990992338e-05  4.2802874773879459e-09  -1.3841350853819242e-04  1.0709578931496716e-06  7.7261885307180461e-05  -1.4080177819648332e-04  2.6680979243313538e-05  5.2167465112081255e-06  4.2280816190166067e-06  2.6546151342081304e-07  -2.0966014995588344e-05  -2.4869964717907678e-07  -5.0920801802990166e-06  7.7495695361454232e-07  2.6477507750572209e-05  -5.4770553169179598e-06
2.0000000000000000e+00  7.5033940988153159e-05  1.4051179562135752e-04  1.4036198764899084e-04  -2.0388269809010244e-06  -6.1652259209365071e-05  -3.2014351129149097e-07  -1.3678267078489731e-04  2.7924056860644124e-06  7.8328251240168548e-05  -1.4048259858293486e-04  2.6630290538418550e-05  5.1849623928460651e-06  5.9231803718192032e-06  8.2043336443239224e-07  -2.2811455473741621e-05  -1.0770481315431048e-07  -3.5344446104301854e-06  3.0831131317490969e-07  2.6327235654683827e-05  -5.3155716496945047e-06
2.3999999999999901e+00  7.4114767961703387e-05  1.3821553185346637e-04  1.3867948139240926e-04  -2.0249119102684257e-06  -6.1396317659356928e-05  -7.6386179968108863e-08  -1.3374103110959937e-04  2.6525173507109991e-06  7.7038738968558034e-05  -1.3793668880493175e-04  2.7747508725067579e-05  5.5855715892336215e-06  5.5596589803951597e-06  2.8181322895428650e-07  -2.2427357651260652e-05  2.2097874335328940e-07  -4.3851840348067483e-06  -5.9884811868485895e-08  2.7143490096072687e-05  -5.4639318570043090e-06
2.7999999999999798e+00  7.2269566468097929e-05  1.3622802537418394e-04  1.3652626824894930e-04  -8.1792124820896920e-08  -5.8494929941103160e-05  -3.0087667899900225e-08  -1.3135279919422054e-04  9.3401653176353774e-07  7.3116720475582727e-05  -1.3603914095605191e-04  2.5832772216189077e-05  5.7075977643469084e-06  5.4953149833563844e-06  -7.2194552947100899e-07  -2.1223055707780413e-05  -1.8773165156488326e-07  -5.0703989708931650e-06  7.1442851973052632e-07  2.7024848878555896e-05  -5.7804115584184753e-06
3.1999999999999802e+00  6.9260636339729876e-05  1.3482594761332636e-04  1.3427620850724479e-04  -6.1948591940810346e-07  -5.5669905955622138e-05  -4.5556122014524769e-08  -1.3061518122427625e-04  1.7017477596948799e-06  7.1050872693384672e-05  -1.3481847255061846e-04  2.4929301041464643e-05  5.3278697919291812e-06  5.5001805704662619e-06  5.3941356428615689e-07  -2.0834100092695719e-05  -3.5267190384888961e-07  -4.6851463275847910e-06  1.0374748485192404e-06  2.5871374580228123e-05  -5.6521506765852668e-06
3.5999999999999699e+00  6.5661932952784316e-05  1.3336277231770248e-04  1.3211635509373276e-04  -1.2855869807744276e-06  -5.2871170512953220e-05  7.5123181542716295e-08  -1.2948616647334160e-04  2.6822252025938989e-06  6.8806451870403594e-05  -1.3321445058553418e-04  2.6277898954843781e-05  5.5525347238227490e-06  5.6004331322699258e-06  7.9471043191536164e-07  -2.1482179724491659e-05  1.2129800781500396e-08  -4.5864235209557865e-06  4.9179180842548014e-07  2.5940925930888226e-05  -5.7149543754078791e-06
3.9999999999999600e+00  6.4469148229654295e-05  1.3169932379877242e-04  1.3046312330810568e-04  -1.0781456362818755e-06  -5.1189215587875325e-05  -2.2472018745598579e-07  -1.2824876124222396e-04  2.2679514254634731e-06  6.7362279391974721e-05  -1.3179603955849230e-04  2.7639150999010957e-05  5.5125703911261963e-06  5.7404854897395010e-06  4.9211261179265187e-07  -2.2489377912426966e-05  -2.7466795496529299e-08  -4.7313573908282957e-06  8.2375073604876466e-08  2.7156760962486433e-05  -5.5013812221434766e-06
4.3999999999999497e+00  6.4087917370567787e-05  1.2963601302683900e-04  1.2797902520623634e-04  -6.4071865999360616e-07  -4.9248411306160043e-05  -2.3425108326279741e-07  -1.2674477424858623e-04  1.8891644470480068e-06  6.6268021945077140e-05  -1.2977821987310571e-04  2.7293919606296980e-05  5.3984524511672734e-06  5.6552281786083450e-06  5.0238115622659083e-07  -2.2228049528515029e-05  -1.9881240469350098e-07  -4.6955455419921163e-06  2.7930880389026194e-08  2.6894079161814362e-05  -5.4138556830618472e-06
4.7999999999999403e+00  6.1411146574224206e-05  1.2837927309482030e-04  1.2596158756179092e-04  -4.6760209666283034e-07  -4.4909350466513666e-05  1.6224286249651765e-07  -1.2573642444670987e-04  1.7338501449191735e-06  6.3221809093160468e-05  -1.2823490443728200e-04  2.5643899083342334e-05  5.5106128999221594e-06  5.7537153553895830e-06  2.8856197477299554e-07  -2.0990201979989145e-05  -1.4993520229848050e-07  -4.6876713395358063e-06  1.3735135937289927e-07  2.5703377864840283e-05  -5.6526451889611688e-06
5.1999999999999300e+00  5.7768756809173130e-05  1.2754159183935306e-04  1.2478602756506194e-04  -9.7903762004097348e-08  -3.9124626599517647e-05  -1.5939654220108696e-08  -1.2490394310726583e-04  1.5684506545831964e-06  5.9017237498593092e-05  -1.2750077569735881e-04  2.4814865001612913e-05  5.2584058465349298e-06  5.6978883657565912e-06  1.9992301568928305e-07  -2.0469141756913279e-05  -9.9711393985747359e-08  -4.4635231905984442e-06  5.1842179373095317e-07  2.5468538471938016e-05  -5.5192836659093036e-06
