# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  2.4981274451069968e-01  2.5000000000000000e-01
4.0000000000000002e-01  2.4981850570679118e-01  2.5000000000000000e-01
8.0000000000000004e-01  2.4982385020864648e-01  2.5000000000000000e-01
1.2000000000000000e+00  2.4982989094826455e-01  2.5000000000000000e-01
1.6000000000000001e+00  2.4983182504372173e-01  2.5000000000000000e-01
2.0000000000000000e+00  2.4983043969146210e-01  2.5000000000000000e-01
2.3999999999999901e+00  2.4983206037670255e-01  2.5000000000000000e-01
2.7999999999999798e+00  2.4983866297449325e-01  2.5000000000000000e-01
3.1999999999999802e+00  2.4984678323700388e-01  2.5000000000000000e-01
3.5999999999999699e+00  2.4985309825247082e-01  2.5000000000000000e-01
3.9999999999999600e+00  2.4985725541443121e-01  2.5000000000000000e-01
4.3999999999999497e+00  2.4985979316198562e-01  2.5000000000000000e-01
4.7999999999999403e+00  2.4986059761716620e-01  2.5000000000000000e-01
5.1999999999999300e+00  2.4985998074695234e-01  2.5000000000000000e-01
5.5999999999999304e+00  2.4985900988116733e-01  2.5000000000000000e-01
5.9999999999999201e+00  2.4985773189519681e-01  2.5000000000000000e-01
6.3999999999999098e+00  2.4985492111162452e-01  2.5000000000000000e-01
6.7999999999999003e+00  2.4984989279064224e-01  2.5000000000000000e-01
7.1999999999998900e+00  2.4984310229199630e-01  2.5000000000000000e-01
7.5999999999998797e+00  2.4983514534932233e-01  2.5000000000000000e-01
7.9999999999998703e+00  2.4982632814860248e-01  2.5000000000000000e-01
8.3999999999998707e+00  2.4981708511111006e-01  2.5000000000000000e-01
8.7999999999998604e+00  2.4980840032994664e-01  2.5000000000000000e-01
9.1999999999998501e+00  2.4980181807583288e-01  2.5000000000000000e-01
9.5999999999998398e+00  2.4979858327876298e-01  2.5000000000000000e-01
9.9999999999998295e+00  2.4979833365524359e-01  2.5000000000000000e-01
1.0399999999999800e+01  2.4979915227961810e-01  2.5000000000000000e-01
1.0799999999999800e+01  2.4979943267548527e-01  2.5000000000000000e-01
1.1199999999999800e+01  2.4979920517059270e-01  2.5000000000000000e-01
1.1599999999999801e+01  2.4979923397799980e-01  2.5000000000000000e-01
1.1999999999999799e+01  2.4979948554897446e-01  2.5000000000000000e-01
