time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  9.2939746357506559e-05
4.0000000000000002e-01  -3.0525044180860907e-16  4.0513355597553319e-06
8.0000000000000004e-01  -5.4339941518079294e-16  8.8351464232881486e-07
1.2000000000000000e+00  -6.4873660036947059e-16  3.9131028149907291e-07
1.6000000000000001e+00  -6.1896166012740498e-16  2.7094139234544225e-07
2.0000000000000000e+00  -4.7977994313594208e-16  2.6756419403323796e-07
2.3999999999999901e+00  -2.5709528553071144e-16  2.6619481362261238e-07
2.7999999999999798e+00  2.0072655262762238e-17  2.6006412541644115e-07
3.1999999999999802e+00  3.1297604694576716e-16  2.5603812731332722e-07
3.5999999999999699e+00  5.7289758560524341e-16  2.5455908084090193e-07
3.9999999999999600e+00  7.4895071313200463e-16  2.5206259179748070e-07
4.3999999999999497e+00  8.0131615228770380e-16  2.4775418729225112e-07
4.7999999999999403e+00  7.1358509360970555e-16  2.4329713732520618e-07
5.1999999999999300e+00  4.9869279636508565e-16  2.4081390415114734e-07
5.5999999999999304e+00  1.9669989299103405e-16  2.3896779034972678e-07
5.9999999999999201e+00  -1.3297778181835219e-16  2.3504624281416691e-07
6.3999999999999098e+00  -4.2288927179220982e-16  2.3219916504641538e-07
6.7999999999999003e+00  -6.1483130820621129e-16  2.3111616397202057e-07
7.1999999999998900e+00  -6.7356623743983270e-16  2.2966119910417392e-07
7.5999999999998797e+00  -5.8515903041341351e-16  2.2918444558287206e-07
7.9999999999998703e+00  -3.6831364610253833e-16  2.3053184671596517e-07
8.3999999999998707e+00  -8.7643171464002496e-17  2.3293684149058793e-07
8.7999999999998604e+00  2.1314961645186353e-16  2.3645658809731400e-07
9.1999999999998501e+00  7.2364368056226671e-16  2.3272977143190574e-07
9.5999999999998398e+00  1.3491630213068876e-15  2.4018460559395745e-07
9.9999999999998295e+00  1.7258033771547692e-15  2.5789365415444387e-07
1.0399999999999800e+01  2.5816835694384146e-15  2.7048188756006902e-07
1.0799999999999800e+01  2.7565661112571694e-15  2.5408465001668262e-07
1.1199999999999800e+01  1.4787330638545795e-14  2.4504333067822334e-07
1.1599999999999801e+01  4.8714490054824458e-14  2.6395126614037286e-07
1.1999999999999799e+01  6.8760054133532649e-14  2.9613397818297915e-07
1.2399999999999800e+01  2.0362610163489676e-13  3.0795151251176924e-07
1.2799999999999800e+01  5.3221326084773528e-13  2.9253435117390041e-07
1.3199999999999800e+01  6.7886176723368485e-13  2.7873937492436618e-07
1.3599999999999801e+01  1.8459433296190557e-12  2.8863762819849200e-07
1.3999999999999700e+01  6.1438747652865224e-12  2.8718701075773002e-07
1.4399999999999700e+01  8.4036548738910840e-12  2.9265513197048397e-07
1.4799999999999701e+01  9.9001335318337831e-12  3.0330265766449801e-07
1.5199999999999701e+01  4.3480429527094786e-11  3.2404610196905025e-07
1.5599999999999699e+01  9.3268503051644866e-11  3.4942616481293408e-07
1.5999999999999700e+01  7.4112457958435829e-11  3.4805502431670997e-07
1.6399999999999800e+01  1.1190043951958841e-10  3.2154256316677739e-07
1.6799999999999802e+01  4.1485031159686628e-10  3.0526501370662172e-07
1.7199999999999900e+01  6.4016835087958257e-10  2.8925797621653233e-07
